"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena magnifica","Locale carinissimo, per non parlare di quanto abbiamo mangiato bene !!!! Antipastone abbondante e prodotti di prima qualità , carbonara pazzesca e carne buonissima.Lo staff, soprattutto il titolare e la figlia sono accoglienti , disponibili e gentilissimi , dovete andare per forza !!!"
"ui_bubble_rating bubble_50","Ottima esperienza nella valle dell'Esino","Pranzo domenicale tra coppie, giornata uggiosa, posto incantevole! Il locale si presenta molto accogliente, in stile pub country diciamo, pulito. Abbiamo ordinato antipasti misti con un classico tagliere di affettati e formaggi ma che di classico non aveva nulla; cibi nostrani, marmellata di peperoni e miele locale. OTTIMO! I primi pappardelle all'anatra e una carbonara super condita veramente ottimi, da golosi veri...secondi con tagliata irlandese e grigliata mista buoni, così come i dolci della casa...sentiti tiramisù e cheesecake ! Tutto bagnato dall'ottimo vino locale sfuso! Amari offerti direttamente al banco! Consigliato! Prezzo 27.50 a testa, nella norma. Tutte le portate erano per 8 persone su 12 commensali, quindi porzioni adeguate, magari aumenterei leggermente le porzioni "
"ui_bubble_rating bubble_10","Mai Più","Location non male, peccato il personale non molto cordiale e ragnatele ovunque.. ci fanno accomodare, i menu arrivano dopo circa 10 minuti di attesa... scegliamo l’ordine: due grigliate, una pizza, una tagliata (spacciata per tagliata ma era una semplice fettina di carne) 3 hamburger di Angus...il tutto è arrivato dopo un ora.. grigliata un po’ scarsetta (considerando che costa 14€), patate arrosto salatissime, i tre hamburger ed insalata piena di acqua.. uno hamburger era bruciato.. chiedo con gentilezza se era possibile rifarlo, la cameriera scocciata, avendo un locale strapieno ed essendo solo in due... lo porta via e dopo 15 minuti torna con un hamburger, questa Volta Non cotto... Abbiamo pagato 25€ a testa e dopo neanche un ora... risparmio i dettagli che forse è meglio.....  Non metterò mai più piede in questo posto. A non rivederci."
"ui_bubble_rating bubble_50","Un meraviglioso posto","MERAVIGLIOSO! Personale cordiale e sempre disponibile, location fantastica,interamente immersa nel verde! Comodo per rilassarsi sia in famiglia che in coppia, o da soli! La qualità del cibo è ottima."
"ui_bubble_rating bubble_40","Si puo fare!","Posto molto carino ,rustico e in campagna cibo molto buono personale gentile e anche disponibile,mi è successo un piccolo inghippo,nel menù un prezzo andiamo alla cassa un altro ma il titolare si è scusato e mi ha fatto pagare quello che c'era scritto sul menù,ottima anche la pizza.Lo consiglio vivamente."
"ui_bubble_rating bubble_40","Ottima cena","Siamo stati qui una domenica a cena, devo dire abbiamo mangiato bene (unico neo: credo che sia sfuggito il mio ordine e il secondo è arrivato un po' in ritardo). Le porzioni sono abbondanti, il personale attento e cordiale. Sono anche in grado di fornire pietanze senza glutine. Ottimo l'antipasto di affettati e formaggi, cosi come il piatto unico di verdure ed i secondi di carne. Prezzi popolari. Tutto ok!"
"ui_bubble_rating bubble_10","Serata da dimenticare","Convinto nella vecchia gestione, la nuova purtroppo mostra un servizio lento e disorganizzato con tempi di attesa lunghi con pochissima gente in sala. Peccato perché il posto avrebbe delle buone potenzialità. Giudizio PESSIMO"
"ui_bubble_rating bubble_50","Ottimo","Bel locale, personale cordiale e gentile. Si mangia veramente benissimo, consigliato a chi vuole mangiare bene "
"ui_bubble_rating bubble_10","CUCINE DA INCUBO","Cena aziendale di lavoro.Il locale tutto sommato è carino, rustico, classica trattoria di campagna, voto 6.Antipasti scarsi voto 5.Come antipasto ci viene proposto crescia, bruschetta con salsa alle erbe e un pezzetto di frittata a testa, peccato che nella frittata c'erano residui di coccia dell'uovo.(può capitare?...bah)Primi scarsi, qualità sufficente, voto 6.Come primo orecchiette fave e cicerchia non male solo che erano troppo al dente (sono gusti) e scarsa porzione 20 a testa circa. Dopo circa 20 minuti arriva il secondo primo.Per secondo primo manicotti al sugo rosso pancetta e pecorino, il piatto nn era male solo che abbiamo dovuto sollecitare ripetutamente perché le porzioni erano veramente scarse.Secondo scarso e con CAPELLI, voto 4Come secondo grigliata mista di carne, ogni 4 persone un vassoio con 1spiedino 1 costarella di maiale 1bistecchina di capocollo 1salsiccia (ritirata),nel vassoio trovati 2 capelli lunghi da donna.Abbiamo chiesto se c'era anche l'agnello, ci viene risposto: e che facciamo l'agnello solo per voi con tono scortese e maleducato.Pane cotto a legna buono (chiesto più volte),voto 7.Contorno patate arrosto circa 3/4 patate a testa, voto 4. Anche le patate chieste più volte, ci viene risposto: ragazzi le patate ci sono solo queste.....bahPersonale scortese e maleducato, voto 3.Pulizia igene non all'altezza, voto 4.Dolce semplice ed economico, voto 5.Come dolce una fettina di dolce classico al burro con sopra un cucchiaio di gelato.Caffè portato sui bicchierini di plastica, c'era a chi mancava zucchero e chi le bacchette per mescolare, insomma risparmiano anche su questo, voto 4.Recensione assolutamente negativa per tutto, ristorante da evitare!!!Mi domando solo chi sono e dove mangiano quelli che anno dato 5 stelle..."
"ui_bubble_rating bubble_40","Serata rustica","Cena assolutamente gradita insieme alla mia famiglia, la titolare di straordinaria gentilezza e simpatia, primi piatti fatti in casa ottimi e carne cotta nel giusta maniera, locale rustico che racchiude l'essenza di questa osteria, trasmettendo al cliente il calore del locale. Prezzi adeguati alla qualità dei piatti. Cena da rifare."
"ui_bubble_rating bubble_40","Bel posto per una grigliata in campagna","Siamo tornati a cena io e la mia ragazza in questo posto dopo il cambio gestione, di qualche tempo fa ormai.Il locale è lo stesso, rustico, caldo ed accogliente, personale idem.Partiamo con l'idea di un primo o una pizza, ma vediamo servire al tavolo davanti il nostro una super grigliata bellissima che emanava un odorino tentatore.... E non abbiamo resistito, abbiamo preso la carne anche noi.Carne ottima, io ho preso una Tomahawk e la mia ragazza uno spiedone di carne mista. Entrambi cotti benissimo, nulla da dire.Per dolce abbiamo preso una crema catalana ed una mousse al cioccolato davvero simpatica, servita su tazzina con foglia di menta a mo' di piantina!Unica pecca è che ci hanno fatto pagare 2 quarti di vino invece che 1 (ovvero 3€ in più) e che si erano dimenticati di servirci il contorno insieme alla carne.Torneremo sicuramente!"
"ui_bubble_rating bubble_50","Bellissimo Posto!","Certo, un bellissimo posto in mezzo alla natura, senza nessun tipo di rumore molesto, cucina ricercata ed ottima carne con delle pezzature considerevoli, bello l'ambiente con un parco per bambini ed il giardino per gli aperitivi...d'estate si può mangiare all'aperto sotto degli splendidi alberi....Incantevole...da tornare!!!!"
"ui_bubble_rating bubble_40","Bella scoperta ","A solo 5 minuti da Jesi Centro , ristorante pizzeria di buona qualità Non lo conoscevo nonostante siano tanti anni che vivo a Jesi , fate più pubblicità !Pizza molto buona , primi piatti molto buoni. La carbonara è da 10 e lode !Tornerò sicuramente PE provare gli altri piatti."
"ui_bubble_rating bubble_40","una piacevole sorpresa","Appuntamento festivo per pranzo la scorsa settimana; locale ampio, essenziale e pulito, proposti piatti della tradizione culinaria della Vallesina; molto buoni i primi accostati alle salse di un tempo, esaltanti le pietanze di carne, vino in caraffa di qualità oltre la media; servizio attento e efficace; il tempo ha pure permesso di apprezzare gli spazi esterni e un luminoso panorama; aspettative soddisfatte."
"ui_bubble_rating bubble_20","Serata da dimenticare ","Preciso che abbiamo prenotato arrivati il tavolo non c'era e ci hanno dato un altro poi si erano finiti i menu ok ordiniamo 2 birre ambrate e arrivano 2 bionde ce le cambiano e fino a qui tutto ok poi i primi che avevamo ordinato sensa salsiccia perché vegetariana arrivano con la salsiccia e allorché la rimando indietro mi tornano orecchiette con olio e pomodorini ripassare con 3 dita d olio uno schifo lo rimando indietro chiedendo il primo da me ordinato cioè orecchiette cicerchia e pendolini sensa salsiccia e niente alla 3 volta mi ritorna lo stesso piatto ritirato 3 volte allorché quando vado a pagare chiedo spiegazione alla proprietaria che mi risponde che io non voglio pagare perciò sto facendo tutto sto capricci e arrogante si mette a rispondervi male dicendo che noi siamo partiti prevenuti ma quali prevenuti hai sbagliato tutto quello che hai portato dalle birra alla pasta e non abbiamo mangiato il primo perché rigirato 3 volte uno schifo e vi vantate tanto di avere menu vegetariani "
"ui_bubble_rating bubble_10","Non vi conviene cambiare mestiere? ","Dopo un po' di tempo che volevamo andarci, ieri sera con una coppia di nostri amici e loro figli siamo stati in questa osteria...e qui ha avuto inizio la nostra odissea.Dire che la partenza è stata una falsa partenza è a dir poco, abbiamo prenotato per 7 e loro ci hanno riservato un tavolo per 6...sconcerto, chi rimane in piedi? Ok alla fine ci trovano un tavolo, meno male.Secondo aspetto negativo, chiediamo dei menù e dopo 10 minuti ci vengono a dire che sono tutti sugli altri tavoli...ma come 100 posti e 30 menù a disposizione? Un po' braccini corti? Se si ordinano in tipografia li fanno...! Arriviamo alla terza cosa, arrivano 4 persone dopo di noi e la proprietaria che fa? Ovviamente prende le ordinazioni prima da loro e poi con calma da noi...e qui ho iniziato a pensare che forse gli stavamo sul naso. Ordiniamo per i bambini una pizza gigante, un tagliere di affettati con verdure (c'erano 2 foglie di bietola) e crescita che se la sbattevi per terra si rompevano le mattonelle, due primi orecchiette con pendolini, cicerchia e salsiccia specificando bene che una doveva essere senza salsiccia per mia moglie che nn mangia carne, 2 tagliate di Angus cottura al sangue, acqua, 1 litro di cocacola e 2 birre medie ambrate...Bene arriviamo al dunque, le birre arrivano medie ma bionde, la pizza arriva e per fortuna che era buona, arriva il tagliere (così così), arrivano le 2 orecchiette ma entrambe con la salsiccia, mi moglie la rimanda indietro e poco dopo gli ritorna una pseudo orecchietta slavata senza cicerchia e con un dito di olio sul fondo del piatto (immangiabile). La rimanda indietro x la seconda volta, nel frattempo arrivano le tagliate e invece che essere al sangue come chiesto sono con cottura media, ma il colmo è che in realtà era una tagliata divisa in due, ma alla modica cifra di 13€ ognuna. Ritorna x la terza volta l'orecchietta di mia moglie, ma faceva schifo...una cosa che neanche al tuo peggior nemico auguri. Ah, mi sono dimenticato di dire che l'orecchietta della mia amica c'era dentro un aglio intero non capato e pulito. Arriviamo in cassa per pagare, gli elenco tutto ciò che non è andato e la proprietaria che fa? È lei che si incavola...gli ho detto in faccia che di sicuro non mi rivedrà più e vi assicuro che sarà così.Scandaloso!! "
"ui_bubble_rating bubble_10","Non consigliato ","Mi dispiace pubblicare una recensione negativa ma ieri sera è stata una serata da dimenticare ... menù fisso giro pizza x 6 arrivano 4 pizze e quando ne chiediamo altre ci viene risposto , da un cameriere che poretto non sapeva come dircelo , che avevano finito le pizze quindi finito il giro pizza.Il titolare non solo non si è scusato ma non ha cercato neanche di rimediare al problema . Premesso che avevamo tre bambini di 10/12 anni che hanno mangiato una pizza Margherita in tutto . Vergogna non ci si comporta così ! "
"ui_bubble_rating bubble_40","Ottime serate. Consigliato","Siamo stati in 2 diverse serate e abbiamo potuto apprezzare una buona parte del menu (antipasti, primi, secondi , dolci e pizza). Tutto decisamente gradevole ma personalmente ho trovato eccezionale il semifreddo di zabaione al Varnelli con ananas fresco. Buon rapporto qualità/prezzo"
"ui_bubble_rating bubble_40","Ambiente che non ti aspetti","I punti forti di questo locale sono la gentilezza dei titolari e il panorama che offre la location.Particolarmente graditi gli antipasti nella sua composizione e genuinita'.Veramente una serata piacevole."
"ui_bubble_rating bubble_40","pizza in compagnia","salve sono passato per una pizza con amici in queto ristorante situato in collina fuori jesi, posto moto gradevole sopratutto in estate con tavoli all'aperto e un comodissimo parcheggio, pizza buona (pizza carbonara) sapore molto forte e gradevole ."
"ui_bubble_rating bubble_50","COMPLIMENTI !! UN BEL PASSO AVANTI ","Un locale accoglie , pulito .Personale gentile e professionale. Siamo arrivati senza preavviso martedì sera credendo che non ci fosse molta gente erano 2 anni che non ci andavamo con la curiosità del nuovo cambiamento . I camerieri essendo arrivati in 22 ci hanno gentilmente detto di pazientare x prepararci un posto x noi., facendoci scegliere. Con titubanza da parte nostra x locale pieno di clienti. .Una volta seduti tutto procede a meraviglia. Entratina di chips appena preparato e poi Valeria la proprietaria ci ha consigliato il menu Degustazione con prodotti tipici locali oppure pazientare una 20 di minuti sulla pizza perché in quel momento c'erano comando di pizza . ERAVAMO ARRIVATI GIA TARDI QUINDI INCURIOSITI DALLA PRESENTAZIONE DESCRITTA E DALLAPPETITO .....PERCHE NO !!!Piatti molto ben preparati. La tradizione Marchigiana dal piatto al palato senza esasperazioni complesse,ma semplici e dirette. Menu di degustazione Fantastico merita tutto il nostro apprezzamento ; con la promessa di essere nuovamente vostri ospiti BRAVIIIIII!!!!!!. CI HANNO SUGGERITO QUESTO LOCALE PERCHÉ VOLEVAMO MANGIARE LA VOSTRA ELIGIATA PIZZA. A prestissimo SERVIZIO PERFETTO CENA SUBLIME CONSIGLIATISSIMO "
"ui_bubble_rating bubble_50","Un'esperienza molto positiva!","Andando a trovare i nostri parenti nelle marche, siamo stati a cena in questo posticino un pò sperduto sulle colline sopra Jesi.Il nostro tavolo all'aperto godeva di una vista spettacolare sulla campagna circostante e l'atmosfera era molto rilassata e piacevole.Eravamo 5 amici e ci siamo lasciati consigliare dal cuoco, che ci ha portato una serie di antipasti uno più buono dell'altro, un assaggio di tagliatelle fatte al mattarello con un sughetto squisito e del coniglio come secondo davvero ben cucinato. Molto graditi il biscottino col caffè e l'elisir all'alloro fatto in casa, che ci sono stati offerti.Anche il pane è di loro produzione: eccezionale!!Abbiamo concluso con un assaggio generale di dolci: la mousse al cioccolato libidinosa, mentre il semifreddo al lime era da migliorare.In definitiva siamo stati molto bene e anche il conto è stato una sorpresa: un ottimo rapporto qualità/prezzo.Ci torneremo senz'altro appena ricapiterà l'occasione!!"
"ui_bubble_rating bubble_40","Si sta bene","Ubicato tra il verde delle colline marchigiane questa osteria propone ottimi piatti di terra in un ambiente gradevole,tavoli anche all'aperto in stagione,staff gentile e conto onesto."
"ui_bubble_rating bubble_50"," 9 giugno ","Una comitiva di amici di circa 70 persone dopo aver trovato una già bella e spaziosa stanza tutta x loro. .. con tavoli già predisposti e comodi prima di sedersi hanno voluto cambiare e restringere tutti i tavoli creando disagio a tutto lo staff che molto gentilmente e con professionalità l'hanno accontentati. ...PUR SAPENDO DI Doversi RIARGANIZZARE . .... oltre tutto il prezzo era di favore 10 euro ragazzi 15 adulti BIS DI PRIMI MEGA PIZZE PATATINE BEVANDE COMPRESE .....I bambini 5 anni non pagavano. ...I loro figli giocando TUTTI senza l'osservazione dei genitori erano saliti sulle staccionate di legno e rotto un palo. ... gli adulti Hanno mangiato in continuazione fino a tardi e sui tavoli vuoti lo staff aspettavano il rientro. .. portando cibo caldo a chi era presenti .. aspettando LA LORO PRESENZA E AVEVANO ANCHE LA TERRAZZA CON ALTRI CLIENTI E ALTRETTANTI IN GIARDINO. ..... .....Alcuni di loro SENZA RISPETTO chiedevano ancora lamentandosi. ..... Sinceramente vedere la recensione del 9 giugno di cui ero presente rimango esterefatta. ..... mi chiedo Ma PERCHÉ NON SELEZIONATE I CLIENTI ADESSO CHE STATE ANDANDO ALLA GRANDE CON UN PIZZAIOLO FAVOLOSO UNO CHEFF DA INVIDIA E CAMERIERI PROFESSIONALI? L'HO DETTO SEMPRE CON L'IGNORANZA È UNA BATTAGLIA PERSA. ......CONTINUATE COMUNQUE AD ESSERE GENTILE E CORDIALI.  L'INTELLIGENZA E LA PROFESSIONALITÀ PREVALE SU TUTTO .A PRESTO OSTERIA DEL CILIEGIO "
"ui_bubble_rating bubble_10","Cena da dimenticare","Cena di 70 persone a menù fisso, personale errante senza meta nella sale, disorganizzazione massima,cucina in tilt. In sostanza: entrati alle 20 usciti alle 24 e mentre qualcuno prendeva un disgustoso caffè fatto con i fondi (probabilmente con una dose ne hanno fatti almeno 4) altri ancora attendevano il secondo assaggio di primi, forno in cui i gestori hanno dichiarato entrano 3 pizze! Qualcuno è rimasto senza pizza, qualcuno senza primo, ma tutti sono rimasti delusi e chi già conosceva il locale conferma che la storia si ripete ogni volta."
"ui_bubble_rating bubble_10","Cena pessima ","Cena con 70 amici, cibo scarsissimo, servizio pessimo c'è chi ha mangiato e chi no, andate a zappare la terra."
"ui_bubble_rating bubble_40","Pranzo di Pasqua","Siamo stati a pranzo in occasione di Pasqua, il loro punto vincente sono le portate abbondanti e servizio veloce, forse anche perchè era previsto un menù fisso. Cibo buono, nella media. Prezzo giusto. Location carina ma non raffinata, proprio da Osteria!"
