"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Sembra di stare in una famiglia.... Sarda!!! ","Già stato altra volta, ho voluto far provare anche a mia moglie quel maialino tanto sospirato... Risultato, è rimasta incantata dalla bontà e dalla morbidezza!!!! Un sapore unico, accompagnato dalle patate al forno tagliare sottili e come non mangiavo da anni!! La mia tagliata, per cambiare un po', tenerissima, è stata servita al punto di cottura esattamente come desiderata!!Che dire del servizio? TRATTATI BENISSIMO,SANDRO IL PROPRIETARIO E FRANCESCO, UNICI NELLA LORO SIMPATIA, NELLA LORO CORTESIA, NELLA LORO DISPONIBILITÀ.... poi per finire le siadas squisite, come in Sardegna!! Prezzo più che onesto!! ANDATECI A PROVARE!!! "
"ui_bubble_rating bubble_40","Sapori veri","Ristorante carino,dove i proprietari sono davvero molto cordiali.Si assapora la cucina sarda,con piatti di carne e di pesce.Prezzi medio-alti"
"ui_bubble_rating bubble_50","Un ristorante veramente speciale!","Siamo venuti a cena in questo ristorante con i colleghi di lavoro durante la settimana. Da fuori il locale non da nell'occhio, ma fortunatamente una volta entrati la situazione cambia. Eccome se cambia...Primi piatti particolari tra cui dei gustosissimi ravioli con retrogusto agrumato. Maialino arrosto a dir poco spettacolare, oltre ad una grigliata mista di carne. Contorno di patate. Accompagnato il tutto da vino rosso e pane carasau. Il dessert è stata una sorpresa: una tazza di crema catalana buonissima. Alla fine ci è stato offerto un digestivo della casa veramente efficace!Personale gentilissimo ed accogliente che ci accompagnato dall'inizio alla fine della serata. I proprietari ci hanno accolto come se ci conoscessimo da sempre: veramente bravi!Mi sento di consigliare questo locale per assaggiare una tipica (ottima) cucina sarda e per passare una piacevole serata!"
"ui_bubble_rating bubble_40","La cucina sarda ci ha incuriosito","Con una collega eravamo a Jesi per lavoro e ci ha incuriosito questo ristorante di cucina sardaAbbiamo mangiato benissimo il maialino era squisito ,per antipasto il pane carassau con il pecorino era molto buonoLe porzioni abbondanti ed un'ottimo rapporto qualità prezzo Il personale attento e decisamente simpaticoSe siamo ancora in zona torneremo sicuramente"
"ui_bubble_rating bubble_40","Ristorante con tipicita' sarde molto interessante","Parere molto positivo confermato da tutti noi, siamo stati a cena in sei; siamo andati sicuri nel chiedere il maialino, presentato nei taglieri di sughero come dalle foto.buono e delicato sopra le aspettative. Il pecorino sardo da non tralasciare e per finire le seades alla ricotta...tipico dolce di Oristano"
"ui_bubble_rating bubble_50","Bravi, bravi","Conosco la Sardegna che fortunatamente ho l'occasione di frequentare con regolarità e ne conosco le diverse cucine diverse da loro. Dico Bravi, perché con le inevitabili differenze dovute all'approvigionamento delle materie prime, che non possono essere sempre di produzione dell'isola, riconosco che i sapori del cibo rispecchiano i sapori della Sardegna. Mi sono rimasti impressi i Colurgiones, ottimo il maialino (di taglia leggermente superiore a quella sarda). Seadas super. nel locale si respira una bell'aria conviviale. Apprezzato il pane carasau con farina integrale, che ha effettivamente cominciato a prendere campo anche in Sardegna."
"ui_bubble_rating bubble_40","Simpaticissimi!","Proprietari molto simpatici e cordiali.Il maialino che abbiamo ordinato era molto buono e tenero!Una seadas basta per due persone, la consiglio però solo a chi piacciono sapori particolari."
"ui_bubble_rating bubble_50","Super cordialità, simpatia e ottima cena.","Sono stato in quanto locale su suggerimento di mio nipote e mia nipote.Trattasi di un ristorante gestito da 2 fratelli sardi, ove sin dal nostro arrivo ci hanno accolto con molta cordialità .Per il primo ci siamo affidati ai proprietari e ci hanno portato in padella dei culurgiones con pomodoro , molto gustosi e appettitosi. Secondo una bella tagliata di manzo e una grigliata di carne di maiale,talmente abbondanti che ci è bastato per tutti e tre.Il Signor Sandro, uno dei fratelli, poi si è seduto con noi, offrendoci un ottima acquavite, dimostrando col suo modo di fare di essere una persona attenta, preparata e super simpaticissimo. Ci tornerò alla mia prossima sortita in zona."
"ui_bubble_rating bubble_50","Bravi","Pranzo all'aperto con ventilazione di serie!Carbonara da applausi.Servizio di buon livello con personale molto gentile e disponibile."
