"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Pizzeria pura..!!!","Siamo ritornati per una cena tra amici in questo locale, che non sapevo avesse cambiato gestione dalla vecchia orchidea. Cmq devo dire che questo locale è rimasto sempre sulla risma delle pizzerie pure, con molti coperti e con gran confusione, specie nelle serate week end..!!. Primi come la pizza nella media, non è una delle migliori di Jesi , ma è abbastanza buona, poi i prezzi sono popolari. Locale devo dire su misura per comitive, e per chi non ha tante pretese dal cibo ma vuole passare una serata all'insegna dell'allegria tra amici...!!!"
"ui_bubble_rating bubble_50","Ottima pizza","La pizza è buonissima così come i dolci sono spettacolari! Locale confortevole e personale gentile e disponibile!"
"ui_bubble_rating bubble_30","Nella media","Questa sera all'orchidea per una pizza, locale carino e ben arredato, personale attento e cordiale, la pizza per i miei gusti non mi a entusiasmato, troppo sottile, buona la birra, ci ritornerò per assaggiare altri piatti,"
"ui_bubble_rating bubble_50","Tutto molto buono!","Sono tornata qui con degli amici e devo dire che ogni volta resto sempre molto soddisfatta!Era davvero tutto buono...Pizza sottile e molto digeribile. Carbonara saporita e succulenta! Insalatona abbondante e gustosa. Ottima carne! Nonostante ognuno di noi abbia ordinato pietanza diverse, il servizio è stato impeccabile e veloce. Tutto molto buoni e porzioni abbondanti.Prezzo nella media.Consigliato!!"
"ui_bubble_rating bubble_40","Pizza molto sottile e saporita!!","Pizza davvero sottile e buona, molto gentili i camerieri. Leggermente salata la frittura ma gustosa!!! Consigliato soprattutto se siete al campo sportivo o palazzetto dietro l’angolo!!"
"ui_bubble_rating bubble_30","La pizza del sabato","Abbiamo mangiato in questo locale dopo aver prenotato. Abbiamo preso due pizze.Non ci ha molto convinto la pizza perché molto Fina e molto acquosa e morbida al centro. Forse è il tipo di impasto che non convince.Patate fritte in aggiunta porzione abbondante. Acqua e caffè. Il Prezzo pagato è giusto ed economico.Locale che non colpisce sopratutto per il colore grigio acqua di mare della sala alla sinistra dell 'entrata. Fa' andare di traverso la cena!Servizio cordiale nota positiva!"
"ui_bubble_rating bubble_40","Dopo tanto tempo...","Dopo tanti anni sono ritornato e, seppur l'ambiente sia lo stesso della precedente gestione, ho apprezzato la velocità del servizio e la cortesia del personale oltre alle buone pizze ( ho addirittura fatto il bis) in un locale spazioso il tutto a prezzi onesti se non anche sotto la media; insomma: da tornarci presto e con piacere"
"ui_bubble_rating bubble_30","BENE","Ho cenato con amici, grigliata e pizza ottima. L'unico appunto da fare é che nella parte esterna anche se riscaldato con una stufa e qualche lampada non é abbastanza caldo. Abbiamo cenato con il giubbino"
"ui_bubble_rating bubble_10","Girate alla larga da questa pizzeria!!!","Esperienza negativa in questa pizzeria , siamo stati a cena con amici, tavoli appiccicati l'uno all'altro,se ti alzavi x andare in bagno,nello spostare la sedia,urtavi qualcuno dietro di te, per chiacchierare,dovevamo urlare,aria pesante, il personale poco gentile e poco professionale, tempi di attesa lunghissimi ,frittini poveri di qualita' pizze insapore e impasto troppo sottile e bruciacchiato prezzi nella norma ma per noi bocciato,mai più."
"ui_bubble_rating bubble_30","Consigliato.","Cena infrasettimanale, cameriere molto educato, gentile e sorridente. Locale pulito. Servizio veloce. Abbiamo provato le penne allo zafferano e speck, ottime. Prezzi molto abbordabili."
"ui_bubble_rating bubble_10","Pensateci bene prima di scegliere questa pizzeria!!!","Non mi era mai capitato di andare a fare una pizza e trovare una pizzeria cosi disorganizzato ed inefficiente,con tempi d'attesa sia per l'ordinazione cosi' lunghi da farti perdere pazienza e appetito , cameriere con la puzza sotto il naso che rispondeva in maniera non consona al suo lavoro , be' non entro in particolari , posso solo dire che dopo un ora e trentacinque minuti da quando ci siamo seduti al tavolo di pizza nemmeno l'ombra, alle ore 22,25 decidevo di alzarmi e rivolgermi ai 3 addetti pizzaioli che stranamente non avevano pizze da lavorare e forno a legna VUOTO dico VUOTO senza alcuna pizza all'interno , alla mia dimostranza di come mai le nostre pizze non uscivano , l'unica risposta avuta e' che la comanda era solo di un ora prima, ma quanto avremmo dovuto aspettare? ASSURDO mi sono talmente sentito preso in giro che non ho potuto fare altro che prendere la porta d'uscita e lasciare il locale!Sono consapevole che se nel locale c'e' gente ci siano tempi d'attesa un po' piu' lunghi , ma qui era proprio DISORGANIZZAZIONE PURA con gente che aspettava di mangiare e tenere il forno a legna VUOTO non e' possibile, mai visto una cosa del genere!!!!!!!!!!Percio' il mio consiglio e' : PENSATECI BENE PRIMA DI SCEGLIERE QUESTA PIZZERIA!!!"
"ui_bubble_rating bubble_40","Buona pizzeria! ","Ci siamo presentati in questo ristorante/pizzeria una domenica sera con il mio ragazzo senza aver prenotato,nel giro di 5 minuti ci hanno trovato un tavolo,abbiamo preso 2 pizze, una birra media,una bottiglia d'acqua e una porzione di patatine fritte, il tutto a 25 euro!! Pizza buona,servizio veloce,personale gentile e prezzo giusto! Ho visto anche le altre portate in altri tavoli e i primi sembravano appetitosi e abbondanti!! Bravi! "
"ui_bubble_rating bubble_50","Carbonara","Posto piacevole e accogliente, camerieri educati e disponibili, il piatto migliore: la carbonara di Renato.Nulla di negativo da dire"
"ui_bubble_rating bubble_50","Eccellente","Che dire,oramai sono anni che quando abbiamo con la mia o i miei amici,voglia di mangiare al ristorante, c'è solo un ristorante eccellente a Jesi: L'ORCHIDEA DA MIMMA.Location molto accogliente e in estate c'è la possibilità di cenare fuori.Il cibo:dalle pizze,ai primi/secondi,non solo sono davvero ottimi,ma molto abbondanti oltre che di vera qualità.I dolci sono deliziosi, soprattutto il tortino al cioccolato,davvero spettacolare.I camerieri e la titolare poi,sono ragazzi di una cortesia e competenza,che è difficile trovarne di meglio in giro.E cmq,inutile stare qui a parlare,se volete mangiare meravigliosamente e a prezzi super,andate all'Orchidea da Mimma e vedrete se non ho ragione."
"ui_bubble_rating bubble_50","Piacevolezza","Cena di classe del V in pieno svolgimento degli esami:tutto bene, dal menù scelto dai ragazzi a base di primi alla norcina e all ' arrabbiata ai tranci di pizza croccanti e ben guarniti.Gentilezza e buon servizio fino a mezzanotte! A Jesi ? Sì, dove la pizza non è mai appetitosa e gradevole da gustare. Ci ricordiamo del vecchio Meo, dietro il corso? O il tralcio unto del Vedova' poco lontano dal liceo?"
"ui_bubble_rating bubble_40","Una pizza in compagnia","Sono stato con amici a mangiare una pizza e devo dire che era ottima, buona la birra artigianale flea , anche il millefoglie con la crema era ottimo!!! Il personale gentile e sorridente come la titolare...."
"ui_bubble_rating bubble_50","Pizza non delude mai","Possiamo definirci consumatori seriali in questo ristorante. Comprendiamo il disappunto di chi reclama per tempi di attesa un po lunghi (ma di sabato è ovunque cosi). Però in questo ristorante, primi e pizza non deludono mai. Il servizio idem."
"ui_bubble_rating bubble_40","Carbonara pantagruelica","Avevo adocchiato la carbonara dell'orchidea tempo fa. Stasera, dopo una giornata di mare quasi a digiuno, mi son tolto la voglia. La carbonara era veramente valida, e non è facile farla come Cristo comanda: guanciale pepe e via dicendo. La porzione deve averla suggerita Bud Spencer da lassù, mi sa che eravamo sui 200 gr. a testa. Che dire? Andateci, amanti della carbonara!"
"ui_bubble_rating bubble_20","Asporto No grazie!","Siamo stati un paio di volte a mangiare a cena, pizza niente male, personale gentile, locale un po' spartano... fin qui niente da contestare. Se non fosse che, essendo il locale di ubicazione più prossima a casa nostra, abbiamo provato un paio di volte ad ordinare pizza da asporto e siamo rimasti alquanto delusi. La prima volta ho sorvlato sul fatto che per 2 pizze ho dovuto aspettare un quarto d'ora, nonostante abbia preventivamente telefonato spiegando alla titolare che in linea d'aria abitavo a 500 mt e se avesse infornato subito la pizza in 10 minuti sarei arrivata a ritirarla (invece a quanto pare i titolari sono malfidati, ed hanno infornato la pizza solo dopo il mio arrivo). La seconda (ed ultima) volta, nonostante si fosse ripresentato lo stesso problema (pizza infornata dopo il mio arrivo e un quarto d'ora d'attesa), arrivata a casa con mio sommo stupore scopro che le pizze erano entrambe sbagliate ! della serie, oltre il danno la beffa. Non avendo voglia di ritornare là e di dover aspettare altri interminabili minuti ce le siamo fatte andar bene, ma il mio ragazzo ha telefonato alla titolare dicendogliene quattro. La mia domanda è: perchè offrire un servizio se poi risulta inefficiente?! a questo punto è la stessa cosa di andare lì ed ordinarle al momento! Abbiamo voluto dar loro una seconda possibilità, ma non credo ce ne sarà una terza."
