"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Da migliorare","Abbiamo provato questo posticino ma ci ha delusi un po'. La focaccia ripiena era gommosa e poco saporita, la pizza niente di speciale. Il primo con il pesto abbastanza buono. La paella (specialità tanto decantata anche nel menù) non l'abbiamo ordinata ma solo vista e sentita passare perché l'odore non era per niente invitante. Personale gentile.Posticino carino ma potete e dovete fare di più!"
"ui_bubble_rating bubble_40","Bene!","Siamo entrati attirati dalle birre (finalmente una pizzeria che offre ottime birre tedesche e non le solite che vedi ovunque nei locali, e anche al supermercato...) e ci è stato offerto un tagliere di margherita, molto buona. Il locale è ordinatissimo e perfetto. Torneremo per provare le pizze!"
"ui_bubble_rating bubble_40","Ottima pizza, ma menù davvero striminzito","Ottima pizza, gustosa fino all'ultimo morso! Un consiglio è quello di ampliare il menù, perché è davvero troppo sintetico... Davvero troppo poche le pizze elencate. Ovviamente su richiesta si compongono pizze con altri ingredienti, ma talvolta un cliente ha semplicemente voglia di essere stuzzicato con suggerimenti gustosi.. Tutto sommato, esperienza da ripetere."
"ui_bubble_rating bubble_40","Da provare","Ho mangiato a pranzo in questo locale molto carino e curato. In due abbiamo preso un primo a testa: una pasta con finto ragù (noci, pomodorini), davvero eccellente e uno piatto di scialatielli con pistacchi, zucchine e panna di soia, buono anche questo. Una mozzarellina fritta e nell’attesa ci hanno offerto un’ottima crescia bianca al rosmarino. Prezzi giusti, personale cortese, location carinissima. Hanno anche diverse birre e la pizza dovrebbe essere molto buona!"
"ui_bubble_rating bubble_40","Bel posto, buon cibo","Sono stata alla Mangeria giusto sabato scorso. Onestamente non è stato il primo posto a cui ho pensato ma per le prossime sarà sicuramente uno dei primi. L'impasto della pizza è molto buono(forse steso un po' sottile per il mio gusto). Gli abbinamenti sono semplici e molto validi. Il dolce è stato decisamente un buon finale.Da provare! ^_^"
"ui_bubble_rating bubble_40","Ristorantino carino","Ristorante carino vicino al centro di Jesi. Il menù non è molto vario, ma i piatti sono buoni.Il personale è cordiale!"
"ui_bubble_rating bubble_40","Buonissime le pizze e le focacce!","Ottimo locale dove trascorrere una piacevole serata tra amici con una buona scelta di pizze o focacce! Buona la paella ma migliorabile, personale cortese, ottimi i fritti e buona scelta di birre! Ci ritorneremo sicuramente."
"ui_bubble_rating bubble_40","Buon pranzo!","Nonostante siamo arrivate quasi alle 15 ( orario di chiusura) ci hanno preparato dei scialatielli al pomodoro buonissimi! Porzioni perfette. Con il caffè ci hanno anche offerto un dolcetto di Carnevale.L’unico neo è stata la poca considerazione, forse per l’orario, visto che stavano pulendo e sistemando.Comunque tornerò!"
"ui_bubble_rating bubble_50","Una sicurezza.","Ci vado almeno un paio di volte a settimana, per la pausa pranzo. Ogni giorno c'è a disposizione, oltre alle varie pietanze in menù, anche primi del giorno, preparati all'istante. Veramente ottimi. Se non sapete dove andare per pranzo, provate questo locale."
"ui_bubble_rating bubble_40","Pizza e fritti molto buoni","Piccolo e accogliente locale, con pizza e fritti molto buoni. È anche possibile ordinare piatti vegani/vegetariani e birra artigianale regionale. Il personale è rapido e gentile. L'unica cosa che potrebbe dare fastidio ai primi tavoli, è la vicinanza della porta d'ingresso che a ogni apertura lascia entrare l'aria fredda dall'esterno. Nel complesso resta comunque un bel locale in cui tornare."
"ui_bubble_rating bubble_40","La Tradizione si Rinnova","Cosa chiedere di più alla migliore pizzeria della città ? che con il locale rinnovato arrivino piatti moderni e sfiziosi, con ingredienti tradizionali ma ben orchestrati, senza paura di osare su gusti contemporanei. consiglio ad esempio l'insalatona fruttata con frutta vera e scamorza affumicata. ma ci sono molte cose da scoprire sotto la nuova insegna La Mangeria. Senza dimenticare la pizza sottile e digeribile che impone una sosta ai Viali."
"ui_bubble_rating bubble_50","Intramontabile","Il prezzo è basso e la pizza è davvero buonissima, da provare assolutamente quella con il prosciutto e quella con le patate, non ne potrete più fare a meno."
"ui_bubble_rating bubble_50","Consigliata!!!!!","...colazione buona e piacevole grazie a Rita...pizza al piatto davvero buona....sottile e non gommosa....insalatone davvero enormi e cariche d'ingredienti....aperitivi a tema,dove solo a guardarli hai fatto cena....paella ancora non assaggiata,ma decantata da tutti quindi la prossima da provare ! Super consigliata."
"ui_bubble_rating bubble_40","buona pizza","Posto lungo il Viale della Vittoria, pizza mania e' un ottimo posto per assaggiare molte qualita' di pizza, veramente tutti i tipi molto buone"
"ui_bubble_rating bubble_50","La mia pizza preferita !!!!!!!","La migliore pizza al taglio e non solo!! Non unta ma saporita, gusti a volontà e ... non solo pizza! Personale amichevole e discreto!"
"ui_bubble_rating bubble_50","aperitivi, pausa pranzo e pizza! tutto ottimo","Locale a metà del Viale della Vittoria, quindi anche molto comodo per raggiungere a piedi il Corso.Gli aperitivi sono sempre abbondanti e ogni sabato organizzano serate a tema.Da provare la paella. Bravissimi Federico e Matteo "
"ui_bubble_rating bubble_20","Pausa pranzo","I titolari sono poco disponibili, talvolta neanche ti rivolgono il saluto.Non sempre c'è molta varietà / scelta di pizza al taglio anche in orari di punta (13/13.30)"
"ui_bubble_rating bubble_50","ottimi primi in specialmodo la paella per non parlare delle pizze al piatto","passeggiando per il Viale della Vittoria di fronte all'Albergo Mariani ho notato un bellissimo e simpaticissimo ''DEHORS''... Entro e trovo molta cordialità e simpatia....locale pulito...personale simpatico e cordiale.....ordino una pizza al piatto il ragazzo mi propone ''fiori di zucca zucchine acciughe e mozzarella''''..... QUALE DELIZIA DEL PALATO!!! OTTIMA!!....la mia amica si accontenta del primo del giorno ''PAELLA DI PESCE''... direi a questo punto ''sublime''....ce ne siamo andati soddisfatti e contenti...abbiamo chiesto il biglietto da visita perchè di sicuro torneremo anche con i nostri amici!....complimenti chef FederiGo e Pizzaiolo Matteo!!"
"ui_bubble_rating bubble_20","Molto deludente!","Arrivato in loco sono state accolto con un grande sorriso e con molta cordialità ciò mi ha riempito di aspettative deluse dalla pizza fredda e gommosa.Il locale è pulito ma scarno ciò non ti invoglia più di tanto ad entrarvi mentre il personale come già detto è molto cordiale e simpatico."
"ui_bubble_rating bubble_40","A me piace!","La storica pizzamania (poi cambiata di gestione in varie occasioni) non mi ha mai deluso.Che ci sia andato col SAS (quello delle Forze Speciali Inglesi) o il Perro ha dato gradite sorprese abbinando due pezzi di pizza, uno con le patate, l'altro con il prosciutto cotto e tutto irrorato dal classico bicchiere di spuma al cedro.Servizio con il sorriso e possibilità di sedersi all'esterno, nell'adiacente scalinata ammirando i passanti con gelato alla mano (alzi la mano chi non l'ha fatto almeno una volta!)."
"ui_bubble_rating bubble_50","Un piccolo grande ristorante che pugni sopra il suo peso.",""
