"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Gustoso","Diversi gusti freschi e variegatiLocale carinoPersonale cortese.Ho preso melone pistacchio e cheeescake ai frutti di bosco.bonissimo!"
"ui_bubble_rating bubble_40","in centro","Gelateria a due passi dall'arco Clementino, il gelato di per se è gradevole e leggero da digerire ma purtroppo ho trovato pochi gusti e soprattutto creme e non alla frutta, magari sarò stato sfortunato ed i gelati erano in preparazione e non disponibili....Prezzi modici e qualità buona."
"ui_bubble_rating bubble_40","Morella che sorpresa!","Sono passata in questa gelateria sotto consiglio di un buongustaio....E che sorpresa!Ottimo gelato!2 vaschette.1 alla frutta :visciola,arancia e kiwi banana(Aveva solo questi perché usa frutta di stagione.)Le creme sono fantastiche soprattutto crema e Arancia.Parlando con la titolare (molto simpatica)ho saputo che organizzano delle cene vere e proprie a base di gelato!Non mancherò.Fateci un salto ne vale la pena "
"ui_bubble_rating bubble_30","sul corso","gelateria/bar non appariscente ma con valida offerta.possibilità di sedersi lungo la via.personale cortese."
"ui_bubble_rating bubble_50","Spettacolo","Che dire finalmente a Jesi una Gelateria, prodotto di stagione genuini e di alta qualità, gusti che sicuramente la concorrenza si sogna e che fanno capire la capacità della Morella come gelataia.Complimenti e andate a trovare Manuela"
"ui_bubble_rating bubble_30","ampia varietà di proposte","gelateria sul Corso principale di Jesi. Ambiente accogliente, adatto prevalentemente per gelato d'asporto, Ampia scelta di gusti di gelato, Qualità/presso nella media,"
"ui_bubble_rating bubble_50","Sorpresa","Capitati per caso in questa gelateria perché vicina ad un noto negozio e con l esigenza di far merenda. Obbiettivo raggiunto, merenda fatta di un gran gelato con gusti rispettosi della stagione e di una qualità eccellente adatta a tutti i gusti e problematiche alimentari"
"ui_bubble_rating bubble_40","Il vero gusto del gelato","Il pistacchio e l arachide sono i due gusti che non puoi non provare, la varietá dei gusti cambia molto, facendoti scoprire nuovi sapori "
"ui_bubble_rating bubble_10","Gelato perché freddo!!!!","Localino arrangiato con arredamento mediocre compresa la tenda arancione,gelato dalla consistenza gelatinosa,cialda non più croccante,personale alle prime armi.Se proprio ho voglia di gelato non lo scelgo solo perché è gelato.Prezzo uguale alle altre gelaterie."
"ui_bubble_rating bubble_50","Consigliatissimo!","Sono rimasto molto sorpreso dalla qualità del gelato. Rispetto ad altre gelaterie la meno gusti (tipo una ventina) ma sempre diversi e ben realizzati. Si vede il lavoro e la passione che c'è dietro! Complimenti!!!"
"ui_bubble_rating bubble_50","Novità!","Gelateria favolosa. Gusti sempre nuovi, sempre freschi.Tutto lavoro di cuore, ogni giorno. Personale adorabile, prezzi onesti, locale pulito e grazioso, consigliatissimo per i fanatici del pistacchio!"
"ui_bubble_rating bubble_50","Cioccolato da favola ","Gusti meravigliosi sopratutto il cioccolatoGusti sempre nuovi Locale carino e pulito Personale molto gentile Da provare "
"ui_bubble_rating bubble_50","Ottima gelateria","Gelato veramente buono, ogni volta sorprende con gusti nuovi sempre migliori. Oggi ho potuto apprezzare la novità dei gusti al cremino veramente fantastici.Sono stupende anche le torte, sia per la bontà che per la bellezza.Consigliatissima "
"ui_bubble_rating bubble_50","Gelati Ottimi e gusti sempre nuovi grazie alla fantasia e bravura della proprietaria !!!","Il gelato è ottimo ed i coni sono abbondanti ma il vero punto di forza di questa gelateria sono i gusti sempre nuovi che la proprietaria riesce ad inventare con accostamenti che possono sembrare arditi ma poi risultano squisiti.Oltre ai soliti gusti si possono infatti trovare : KIWI e spinaci , mela rossa e cannella , vino di visciola , Mojito e tanti altri ancora !!!"
