"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Compleanno speciale!","Ho scelto questo bellissimo ristorante per festeggiare il mio compleanno, con mia sorella e dei carissimi amici, ospiti, per l'occasione, del confortevolissimo Hotel Federico II. Cena impeccabile! Ottima la qualità e la presentazione dei cibi, accompagnati da una eccellente selezione di vini, oltre ad un perfetto servizio al tavolo. La serata è stata di grande soddisfazione per tutti, sotto la costante e premurosa attenzione del Maitre, il Sign. Cristiano, splendido padrone di casa, che desidero ringraziare per la professionalità ed i preziosi consigli, insieme all'appassionato Chef, il Sign. Stefano, ed al cordialissimo personale di sala (credo Francesca!).Desideravo una compleanno speciale: così è stato!Grazie ancora al Ristorante La Rotonda ed all'Hotel Federico II: torneremo sicuramente."
"ui_bubble_rating bubble_50","RISTORANTE DA 10 E LODE","Alloggiando presso l'Hotel Federico II abbiamo voluto assaggiare le portate di questo ristorante. Dobbiamo ammettere che non siamo andati da altre parti, nonostante fosse nostro intento assaggiare le specialità locali diversificando luoghi ed ambienti. Servizio impeccabile, il Maitre sempre disponibile ad ogni esigenza per esaudirla al meglio. Pur avendo il pacchetto con la struttura dell'Hotel che limitava la scelta, potevamo anche cambiare; ma le scelte erano sempre ottime. Vi erano sempre le possibilità di menu carne o pesce interscambiabili. I menu comprendevano l'antipasto, il primo, il secondo con contorno ed il dessert rigorosamente artigianale.Ricordo ancora un dolce alla nocciola sublime. Il pranzo di ferragosto con portate sempre ben presentate e ben dosate, è stato veramente indimenticabile. Noi abitiamo a circa 300 km, ricordo che l'ultima sera dissi al Maitre che se non fosse per la distanza, saremmo diventati dei clienti abituali. Confidiamo di ritornare appena possibile. Veramente da 10 con Lode."
"ui_bubble_rating bubble_40","Benessere","Dopo essere stati al centro benessere dell'hotel Federico 2 ci siamo fermati a pranzo nel ristorante dell'hotel.Ricette particolari, antipasto tris di mare e dell'hotel, ravioli alla vodka, sgombro al vapore...... Sempre aperto a pranzo e cena."
"ui_bubble_rating bubble_50","Sublime!!!","Sono ritornata dopo circa 2 mesi... e devo ammettere che anche questa volta sono rimasta incantata dai favolosi piatti preparati dallo chef.. Stefano.Abbiamo preso un antipasto caldo e freddo di pesce... un mix di sapori e fantasia!! La presentazione del piatto era veramente incantevole... x no parlare del gusto.... molto saporito, il pesce era fresco!!! Buonissimo! X secondo optiamo x una frittura... che dire??? Sublime!! Non si sentiva quella pastella pesante ma solo pesce fresco croccante fuori e morbido e saporito fuori!!Per ultimo vorrei concludere ringraziando il maitre x il vino che ci ha consigliato delle terre Pierasili... un verdicchio molto buono... delicato al palato!! E ringrazio anche la cameriera Gloria molto accogliente, gentile e professionale. Con il suo dolce sorriso è riuscita a rendere il nostro pranzo veramente.... SUBLIME!!! Complimenti a tutti!!!! Ritorneremo sicuramente!"
"ui_bubble_rating bubble_50","Ottima conclusione della vacanza! ","Cena di fine vacanza davvero ottima. Tutto di qualità e buon rapporto qualità /prezzo. Apprezzati molto i fritti... Eccellenti! Anche i nostri due bimbi molto soddisfatti... Servizio davvero attento e preciso... Complimenti!!! Se dovessimo tornare in zona sicuramente verremo di nuovo a farvi visita! "
"ui_bubble_rating bubble_40","Merita una visita di gusto e sapori","Io e mia moglie abbiamo soggiornato qualche giorno all'Hotel Federico II e abbiamo cenato al ristorante, ambiente elegante e pulito, personale professionale e cordiale, un particolar ringraziamento al Sig. Cristiano per i suoi consigli dei vini, ottimi e in particolare il rosso Lacrima di Morro d'Alba, che mi ha colpito molto non avendo personalmente mia assaggiato vini di questi luoghi. Abbiamo gustato come primi gnocchi al sugo di papera della tradizione e tagliatelle con melanzane pomodoro pachino e guanciale croccante, personalmente consigliati e di secondo, rimanendo nella tradizione marchigiana, coniglio in porchetta e costine di agnello cotto su carboni d'ulivo. Costo adeguato ai piatti e tempi di attesa veloci considerando che la sala era piena di clienti."
"ui_bubble_rating bubble_50","Ottima qualità e professionalità","La qualità del cibo è ottima. Vastissima scelta di vini : locali e non (compresi gli stranieri). Possibilità di pranzare bordo piscina. Personale cordiale e molto professionale all'altezza dell'hotel"
"ui_bubble_rating bubble_50","DA NON PERDERE L'OCCASIONE","Sono stato ospite dell'albergo e ho cenato in questo ristorante con piacere e grande soddisfazione per la professionalità dimostrata da tutto il personale di sala, ma in particolar modo dal maitre, Sig. Cristiano, che ringrazio, vero padrone di casa e molto attento alle esigenze di ogni commensale. Ottima la qualità della cucina che si fa apprezzare per l'elaborazione di piatti semplici e gustosi ben presentati. Ottima la lista dei vini. Non fatevi mancare una crepe suzette come dolce alla fine del pasto, una vera leccornia preparata al momento davanti al tavolo. Complimenti."
"ui_bubble_rating bubble_20","Lacune","40 minuti ! Di attesa per 2 dolci di cui 1 dei biscotti secchi..non certo cotti al momento per giustificare tale tempo...dalle 2130 alle 22.10. Con un bambino neonato distrutto dopo 5 ore di auto... il problema non sta nell attesa. Ma al conto si scopronoa testa 3.5 wuro di coperto...basito...neanche da cracco credo di aver trovato tale costo di coperto.Il problema e che se tu mi metti 3.5 euro di coperto...alzi tu l asticella delle mie pretese..e se poi mi fai 40 minuti d attesa prr un dolce e al terzo sollecito il metre dice: vado a vedere dove sono andati i dolci (!?!?!?).. Le due cose stonano. Mi aspettavo un gesto minimo..vi sconto il coperto...vi offro il.caffe...nulla.Complimenti. Perso cliente potenzialmente continuativo su jesi. A mai piu"
