"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Snack da fiera in città! ","Per uno spuntino di quelli tipici da sagra di paese è l'ideale! Lungo la cornice (insolita) del Viale, proprio come in una festa di paese si possono trovare panini a base di carne e verdure grigliati con gusto e maestria. Le spuntature (decisamente una rarità, complimenti per la riscoperta) sono cotti come consuetudine qui in zona, non eccessivamente a rischio secchezza eccessiva, gustosi e molto saporiti. Buono anche il pastrami abbinato alla rucola, un po' esigua forse la quantità di carne. Bene anche la crescia a menu. Merita una seconda prova, sicuramente per provare le aggiunte su richiesta ai panini, e la gamma vasta di grigliate. Buono il rapporto qualità / (basso) prezzo. Gusto e fame chiederebbero porzioni più ricche, ma può starci. Occhio al parcheggio, una vera e propria lotta con la sorte. "
"ui_bubble_rating bubble_20","Non ci siamo","Avevamo una gran voglia di mangiare le spuntature, così abbiamo provato un panino in questo locale ma siamo rimasti molto delusi. Le spuntature erano insipide, poco cotte e per niente invitanti. Il pane gommoso. Porzioni ridotte. Peccato che le spuntature si trovino così difficilmente, ma qui non ce le mangeremo più."
"ui_bubble_rating bubble_50","Panini buonissimi","Prezzo basso e qualità della carne eccezionale, il posto perfetto per un panino al volo e buonissimo!"
"ui_bubble_rating bubble_20","High- cost per un panino low-quality","Mi sono trovata a prendere una panino con una braciola per una cena al volo ma devo dire che sono rimasta più che delusa. La carne era dura, mi è venuta su per tutto il resto della serata ed il prezzo diciamo che non è stato basso. Posto da evitare."
"ui_bubble_rating bubble_30","Cenetta al volo","Panino con salsiccia un po troppo asciutta. Nell'insieme un bel panino caldo e gustoso. Locale un po piccolino, si rischia di mangiare il panino lungo la strada se si trova un po di gente dentro ."
"ui_bubble_rating bubble_40","per una sosta veloce","Locale non tanto grande, lungo il Viale della Vittoria, se si vuole fare un pasto veloce a base di panini, questo e' il posto giusto, carne cotta al momento rapidita' del servizio e gentilezza, tutto molto buono"
"ui_bubble_rating bubble_40","Ottimo per un panino al volo","Panini e carne di ottima qualità, servizio molto veloce!!! il locale forse troppo piccolo nelle ore di punta! Ottimo rapporto qualità prezzo"
"ui_bubble_rating bubble_50","Buono, semplice, di qualita","Locale essenziale, panini cotti al momento farciti con carne alla brace, carne marchigiana, personale giovane ed educato."
"ui_bubble_rating bubble_40","Adeguato alle aspettative","Se si vuole un panino veloce ed una birra spendendo poco questo è il posto giusto. Non ci si deve aspettare chissà cosa, un panino con la salsiccia o una bistecca o un hot dog, con un prezzo adeguato alla qualità e alle porzioni, nulla di più"
"ui_bubble_rating bubble_50","Ottimi panini alla brace","Buonissimi i panini con carne cotta alla brace. Carne di ottima qualità a prezzi modesti.Da consigliare sia alle famiglie con bambini che ai ragazzi per un'uscita dopo cena."
"ui_bubble_rating bubble_40","Un buon Panino al volo","Panino o crescia con salsiccia o salciccia come si dice da noi e verdure grigliate ottime per uno spuntino veloce abbinate ad una buona birra .. Locale moderno ed informale con 4 seggiole in tutto per cui si mangia in piedi, gestito da ragazzi giovani ed educati, aperto fino all'una di notte !! "
"ui_bubble_rating bubble_40","belloooooo","i panini sono buoni ma la pecca è che si sta in piediperò il prezzo è buono e anche il personale!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
"ui_bubble_rating bubble_30","Semplice, veloce, in piedi!","La pecca più grande di questo localino è l'assenza di posti a sedere, segno che il take away è stata una precisa scelta dei gestori.I prezzi sono adeguati alla qualità mediocre della carne alla griglia servita che viene condita con il classico panino da Festa dell'Unità. Birra e bibite varie ad un prezzo onesto sollazzeranno la vostra gola.Da provare in caso di fame chimica serale o per uno spuntino veloce."
"ui_bubble_rating bubble_20","bassa spesa, bassa qualità","si tratta di un piccolo localino senza posti a sedere, dove prendere un panino e una birra spendendo poco. non male come idea, in città mancava un posto del genere, sopratutto perchè la carne è cotta alla brace.ma la pratica è diversa dalla teoria. panino piccolo e contenuto ancora più ristretto. e vabbè.ma ho preso un panino con una bistecchina che era fredda e dura: immangiabile.sarà stato un caso?"
"ui_bubble_rating bubble_40","Consigliatissimo","Inaugurato a settembre 2012, è fantastico per mangiare bene senza spendere troppo, bello il locale e buonissimo il panino con le spuntature."
