"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Pausa pranzo","Pausa pranzo, locale un po' nascosto ma prezzi buoni per piatti più che buoni!! Lo consiglio!! Il locale era leggermente affollato e, nonostante ciò, siamo stati serviti nel giro di 10 minuti."
"ui_bubble_rating bubble_30","Pausa pranzo ..Ok..!!","Un ristorante un pò nascosto ubicato vicino Mc donald's , ma conosciuto e molto frequentato a Jesi per la pausa pranzo; soprattutto per la prerogativa di una sala ampia e comoda. Il Cibo è senza infamia e senza lode ..ma cmq con delle cose semplici e gustose, soprattutto il tutto a prezzi molto convenienti. Direi che per la pausa lavorativa va più che bene..uno dei migliori. .!!"
"ui_bubble_rating bubble_40","Alla buona ma... buono! ","Di primo impatto potrebbe sembrare un po' dozzinale come locale: in realtà il servizio professionale e cordiale, anche nei momenti di massima affluenza (come ad esempio in occasione delle partite in tv - come nel caso della nostra cena - ) e la qualità delle pizze, fanno ricredere in breve tempo dalle erronee impressioni. Personalmente, degna di nota la Cavaliere. Non abbiamo testato il menù ristorante (magari sarà pretesto per una prossima visita). Molto bene il rapporto qualità prezzo. "
"ui_bubble_rating bubble_50","Ottimi piatti a buon prezzo","Bel ristorante molto accogliente e ampio.Velocità nel farmi accomodare nel prendere le ordinazioni e anch e nel servire nonostante il locale fosse pieno.Ampia scelta di primi secondi e contorni,piatti abbondanti e di ottima qualità. Servizio veloce e lo staff sempre pronto per ogni esigenza.Primo ,secondo contorno acqua bibita e caffè a 12,50 euro.....direi ottimo.Consigliatissimo."
"ui_bubble_rating bubble_10","Imbarazzante ","Sono capitata per caso in questo locale non conoscendo la zona e non tornerei di certo. Piatti e servizio di bassissimo livello. L'unica cosa che ricordo con piacere è l'ambientazione medievale ricreata all'interno del locale, alquanto sconcertante! "
"ui_bubble_rating bubble_40","Locale accogliente","Sono stato ieri sera per la prima volta a cena al Ristorante Mago Merlino di Jesi. L'ho trovato molto accogliente, ampia sala interna con grandi televisioni dove vedere le partite di Serie A, Champions e altri sport: insomma, dove un appassionato di sport come me si troverebbe sicuramente proprio agio. Hanno dei primi favolosi, io ho assaggiato i tortellini alla boscaiola e gli gnocchi alla fonduta di formaggio, entrambi molto buoni. La grigliata è stata abbondante e saporita, mi aspettavo qualcosina in più dai contorni. In generale mi sono trovato molto bene e lo consiglio a chi passa dalle parti di Jesi."
"ui_bubble_rating bubble_40","Pranzo veloce ed economico","Ristorante da pranzi veloci e molto buoni. Il locale è più bello dentro (caratteristico) che fuori. Le ragazze offrono un servizio veloce e cordiale. Si sta bene ma consiglio un tavolo il più appartato possibile. Consigliato."
"ui_bubble_rating bubble_50","Bella sorpresa ","Ho pranzato con un menù prestabilito dal referente del gruppo di cui facevo parte. Tutto molto buono dalle giuste quantità, servite dal personale veloce e cordiale. Il locale da fuori non dice molto ma una volta all'interno è sobrio, fresco e pulito. Molto vicino al centro storico raggiungibile anche a piedi, dotato di parcheggio grande gratuito. "
"ui_bubble_rating bubble_40","Pranzo torneo di basket ","Un ottima organizzazione per un gruppo di 53 persone con 1 ora e mezza di tempo per fare pranzo. Buonissimi i primi scelti e i contorni. Consigliatissimo e torneremo "
