"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Discreto","Non propriamente Irish, la scelta delle birre è limitata e per un Irish non è proprio il massimo. Il personale è cordiale il servizio è discreto, per chiudere o iniziare una serata con gli amici va più che bene senza avere troppe pretese."
"ui_bubble_rating bubble_50","Ciliegina sulla torta","Ottimo locale x concludere la serata tra amici. Personale cordiale e titolare gentlissimo e molto competente x la degustazione delle birre.OTTIMO "
"ui_bubble_rating bubble_50","Molto buono","Ambiente soffuso e in linea con il pub irlandese. Hamburger ottimi ed abbondanti, fatti con carne vera! Il cameriere/barista che ci ha servite è stato molto carino e gentile. Tempi di attesa brevi. Lo consiglio."
"ui_bubble_rating bubble_40","Lo consiglio","Giunto in zona per lavoro in tarda serata e non conoscendo altri posti dove poter cenare, grazie a tripadv. ho trovato questo locale per altro unico aperto in questa zona.Ottimo il panino irish e la birra gustati nella zona all'aperto del locale, personale cortese e disponibile. Lo consiglio"
"ui_bubble_rating bubble_40","ottime birre","vado spesso in questo locale , che dire ottima professionalità accompagnato da ottime birre gruppo grimbergen superlative consigliato....ciao ciao"
"ui_bubble_rating bubble_20","ANGELO PORETTI?","Locale discreto, selezione di birre pessima per un Irish.Location carina, ma dopo il cambio di gestione é sicuramente peggiorato. Birra Angelo Poretti, niente birre artigianali, niente birre Irlandesi, Inglesi aldilà della Guinnes. Irish pub sicuramente non all' altezza. Lo Staff sicuramente non eccelle per cordialità e cortesia.Prezzi nella media, nonostante la qualità sia al di sotto.In zona c'é di meglio.Non torneremo!"
"ui_bubble_rating bubble_10","Pessimo","Non consiglio a nessuno di andare in questo locale..sono della zona e c'è molto di meglio in giro..a partire dallo staff.Sono stata servita da un signore a dir poco sgradevole..abbiamo ordinato una birra e un Irish coffee e una porzione di jalapenos, presenti nel menu, per stuzzicare, e ci è stato risposto che per una sola porzione non gli conveniva accendere la friggitrice..per quale motivo vengono proposti piatti nel menu se poi non vengono serviti? Alla fine ci ha risposto che avrebbe valutato se fosse stato possibile accendere la friggitrice, lasciandoci quindi con il dubbio se ci sarebbero stati serviti.Spazientiti, ce ne siamo andati pagando una birra di facile reperibilità non conforme ad un Irish pub, per non parlare dell'irish coffee troppo forte e non delicato come dovrebbe essere..Disgustati dal pessimo servizio abbiamo trovato più cortesi i camerieri di un noto fastfood della città nel quale ci siamo recati appena usciti di li.Vi sembra normale trovare sgradevole un Irish pub e gradevole un fastfood?! "
"ui_bubble_rating bubble_50","Irish & Oscar Wilde","La nuova gestione del famoso Pub Jesino ha ridato vita al locale. Nelle sapienti mani del proprietario Stefano ne è venuto fuori un locale originale nel suo genere. Alla pareti troviamo frasi di Oscar Wilde e pagine dei suoi libri. In pieno stile Irish c'è lo spazio per le gare a freccette. Ottima la scelta delle birre, tra cui non poteva mancare la Guinness, e ottima la cucina sotto la direzione di chef Pino. Personale molto cordiale e competente. Uno dei migliori Irish Pub delle nostre zone. "
"ui_bubble_rating bubble_50","Bella serata ","Reunion scolastica tra vecchi amici.... Ottima birra... Anzi.. Birre! A cominciare da quella per l'aperitivo per continuare con quella tedesca per accompagnare le prime portate.... Ricotta al ciauscolo e un ottima carne alla birra tenerissima .... Per finire con un ultima ambrata epiù corposa!!! Infine un ottimo tiramisù alla. Birra accompagnato da un bel bourbon. Tipico pub irlandese con tanto di sala per cimentarsi in tornei di freccette. Locale perfetto per passare una bella serata tra amici. "
"ui_bubble_rating bubble_50","Esperienza positiva!","Atmosfera tipica del pub, con luci soffuse, birre sublimi, pietanze per tutti i gusti, preparati con cura e ben presentati (non solo i soliti hamburger, hot dog e panini). Assolutamente imperdibile il tiramisù alla Guinness. Personale simpatico gentile e preparato. Francamente non ho visto nulla che sia riconducibile alle recensioni negative che avevo letto."
"ui_bubble_rating bubble_40","SERATA CON VECCHI AMICI DI SCUOLA","ho passato una bellissima serata con i miei mitici amici della 5b Istituto tecnico Vito Volterra di torrette.in questo locale stile pub irlandese con luci soffuse buona musica e ragazze carine e professionalmente preparate. Buona la birra sia rossa che chiara. Cibo ottimo e diverso dal solito panino. buona carne cotta al vapore e molto curato il piatto. ottimo dolce al mascarpone con bscotti bagnati con della buona guinnes invece che caffe'.partitina a freccette nel tipico sitle irlandese e poi tutti a nanna. anche perchè il locale era diventato strapieno cordiale anche il titolare molto preprato nelle birre ce le ha descritte nei minimi dettagli.ah dimenticavo per chi vuole vengono servite delle buone tisane e del ottimo bourbon. lo consiglio vivamente."
"ui_bubble_rating bubble_50","Cena con gli ex compagni delle superiori","Ottima birra, ottimo cibo, ottimo servizio, ottimo locale e ottima compagnia. Esperienza assolutamente da ripetere.iban"
"ui_bubble_rating bubble_20","C'è di meglio in giro ","Siamo stati con degli amici di mercoledì sera, servizio carente ( cameriera senza alcuna grazia al mondo), prendiamo dei dolci e chiediamo un litro d'acqua ma hanno solo le bottigliette e si erano finiti quelle naturali. Nel locale c'è anche un odore sgradevole, per il resto dolci, birre e bevande di qualità mediocre."
"ui_bubble_rating bubble_10","Ripasso ma da lontano","Capito una sera mi sembra forse ere San Patrizio o una festa simile quindi i pub stile irish sono pieni di gente,infatti questo pub era abbastanza affollato,entro e mi avesse considerato qualcuno,volevo sedermi se era possibile per mangiare un panino,così domando a uno al bancone penso sia il proprietario se c'è un posto,e lui con tono quasi irritato mi risponde troverai no sgabello da metterte seduto no?cose mi siedo al banco e ho resistito 5minuti e me ne sono andato,penso che se io dovevo rispondere così a un cliente non mi sarei mai aperto un pub,ce ne sono altri mille in giro ciao."
"ui_bubble_rating bubble_10","Da non ripetere","Dispiace lasciare recensioni negative, tuttavia in un locale non mi è mai successo di dover scrivere da me la mia ordinazione, consegnarla al gestore e sentirmi dire  puoi venire a prenderti le bevande tra 5 minuti. Sconsigliato.Non so se nel tempo le cose siano cambiate ma so per certo che la mia voglia di tornare è pari a zero."
"ui_bubble_rating bubble_50","Il migliore pub della provincia","Abbiamo gustato ottime birre (finalmente) spillate come si deve e hamburger di qualità molto elevata."
"ui_bubble_rating bubble_30","Bel bar ma....",""
"ui_bubble_rating bubble_50","Posto incantevole con personale cordiale",""
