"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","UN RISTORANTINO COMODO","Colazione in un giorno di lavoro. All’ora di pranzo, eravamo presso l’ospedale di Jesi ed abbiamo cercato un posticino dove pranzare.Non molto distante abbiamo trovato questo Ristorante Pizzeria. Il locale, dall’aspetto lasciava intedere che li sarebbe potuto mangiare bene e spendere poco.Questo che riporto è il resoconto che faccio sempre, con crudezza, perché ritengo che il turismo, in Italia, abbia necessità non di applausi ma di “confessioni” utilizzabili per migliorarsi, così da attirare sempre più turisti. Non mi piacciono i commenti falsamente pieni di soddisfazione.Come ho fatto in centinaia di recensioni riferisco, pertanto, con la severità che mi contraddistingue, su ciò che ho vissuto (anche in questa occasione).Approccio all’arrivo: 6 – Fuori è una normalissima pizzeria e non ho visto esposto il menù con i prezzi. Presentazione del locale: 6 – Locale discreto, con un’aria casareccia e un po’ retrò: peccato! Con qualche ritocco potrebbe migliorare di molto, pur sottolineando lo stile retrò.Ambiente sala interna e spazi esterni: 6 nulla eccelle in stile ma l’ambiente è pratico ed accoglienteEsattezza nella sala: 6 – Non aspettatevi grandi apparecchiatureBagno: 6 – Discretamente attrezzato, ma dovrebbe essere maggiormente il punto di eccellenza del localeApparecchiatura: 6 – MinimaleOfferta Ingresso: 0 – Non danno nulla per mitigare l’attesa, però hanno un servizio accettabile. La cosa più bella è quando si presenta al tavolo un'anziana signora che spiega che “il brodo di cappone l’ho fatto io”. In effetti, pur non essendo di alta cucina, si capisce che il cuore del locale è lei, abile casalinga.Menù: 7 –L’offerta è discreta e da “osteria”Impiattamento: 6 – E’ una sciocchezza a cui do sempre poco rilievo. Loro non se ne curano e guardano al sodo.Sapori del cibo: 7 – Il mio palato (e quello di chi mi accompagnava) ha trovato un po’ del sapore casareccio Quantità nel piatto: 7 – Porzioni abbondanti ma non eccessiveAcqua: 6 – Forniscono acqua di minerale marchigianaVini: 5 – Non hanno proposto la carta, ma puntano sulle birre. Una bottiglia di buon vino a basso prezzo farebbe la differenza (siamo nella zona vocata)Servizio: 7 – La sala è discretamente servita e la velocità è accettabile. Prezzo: 7 – Secondo noi il prezzo è in linea con altre pizzerie. Odioso, anche qui, pagare il copertoDesiderio di tornare in questo locale: 6 – Torniamo spesso in zona: ci torneremo alla necessità.Conclusioni: Non ci hanno proposto i piatti artistici che tanto ci fanno sorridere. Hanno badato al sodo e non ci aspettavamo di più. Il locale può essere adatto anche a turisti di passaggio.Il cibo, si spera sia genuino, ci ha lasciato un’ idea gradevole."
"ui_bubble_rating bubble_10","Personale inadeguato","Sbagliare é umano, perseverare é diabolico.Seconda e ultima volta che entriamo in questo ristorante. All'entrata é presente una lavagna con i prezzi( che non dovrebbero essere modificati in corso d'opera...)Non piacendoci i piatti scritti sulla stessa, chiediamo gentilmente i menú alla cameriera che li lancia e ci risponde:  perché non vi piace quello che c'é scritto li? Guarda che le cose scritte sul menú non ci sono...É considerata una mensa o un ristorante? Mi dispiace per il proprietario che é una brava persona, ma con un personale scontroso e inadeguato perderá soltanto i clienti"
"ui_bubble_rating bubble_20","Lunga attesa","Pizza discreta, attesa lunghissima... Quasi un ora per mangiare una pizza mi è se br veramente tanto. "
"ui_bubble_rating bubble_50","Pizza buona ","Siamo stati in questo ristorante una sera di venerdì senza prenotare, personale disponibile e veloce,pizza molto buona e leggera,prezzo basso, 2 margherita,una patata fritta, acqua ,birra, un dolce e un caffè €29 "
"ui_bubble_rating bubble_20","SCARSO!!","Come già capitato in questa pizzeria il servizio è stato pessimo, sia per la lentezza nel prendere le ordinazioni (ci siamo dovuti alzare tre volte per farci notare!), sia per i biblici tempi di attesa per mangiare la nostra pizza (oltre un'ora e un quarto). Personale non attento a semplici cose, come la luce spenta sopra un tavolo, mancanza delle posate che abbiamo dovuto richiedere. Anche quando siamo arrivati abbiamo dovuto placcare una cameriera per chiedere il nostro tavolo che avevamo prenotato, che, nonostante ci fosse passata davanti più volte, non ci aveva proprio notato!Nonostante tutto il locale era pieno perchè la pizza è buona e non si spende molto."
"ui_bubble_rating bubble_50","Per fortuna le cameriere","Ottima pizza, sicuramente la migliore di Jesi.Il servizio è stato impeccabile, in particolare la cameriera mora."
"ui_bubble_rating bubble_30","Cena","Buona la pizza ma nonostante il ristorante non fosse pieno i tempi di attesa sono stati lunghissimi. Peccato"
"ui_bubble_rating bubble_20","Rapporto prezzo/prestazioni insufficiente","Locale caotico i tavoli sono troppo vicinimenù carne scarso e mal rapportato ai prezzibuona la pizzaprezzi alti considerando che si paga un coperto per appena una tovaglietta di carta su di un tavolo peraltro troppo alto da terra"
"ui_bubble_rating bubble_10","Servizio da dimenticare","Andiamo in questo ristorante solo per la pizza, il personale è sgarbato e poco attento al servizio. Anche questa sera abbiamo dovuto chiedere che fine avessero fatto le nostre pizze....."
