"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Andate altrove","Arriviamo per l'aperitivo, ci fanno accomodare e si scordano di noi. Torna il cameriere dopo 20 min. ci prende l'ordine e si scusa. Andiamo nel frattempo al bagno il quale aveva un odore nauseabondo. Arriva l ordine e ci porta solo da bere senza cibo. Chiediamo qualche stuzzichino e ci porta 4 olive e una fetta di prosciutto con il formaggio Personale non adatto al pubblico. Il tutto 17€ per una spremuta e una birra. Mai piú"
"ui_bubble_rating bubble_10","Non ci siamo proprio","Il locale é molto carino e con una potenzialità che andrebbe sfruttata anche nel servizio. Questo risulta infatti molto carente e lento. L’atteggiamento triste di chi serve ai tavoli e prende gli ordini non invoglia a tornare in questo locale. Se si ordina un crodino o altro aperitivo il minimo é accompagnarlo con patatine, salatini etc."
"ui_bubble_rating bubble_10","La Malaeducation","Sono malcapitato in questo bel locale un paio di volte. Il locale è veramente bello, peccato sia gestito in maniera scriteriata. La prima volta, nonostante avessimo preso vino per 80/90 euro, ho sentito il personale di sala (credevano fossimo stranieri) parlare fra loro insultandoci perché stavamo ancora seduti a parlare nonostante fossero quasi le una di notte. Mi chiedo: se durante la settimana il locale chiude prima, perché non avvicinarsi ed informare cordialmente che il locale sta per chiudere? Mah!La seconda volta abbiamo ordinato 3 calici di Ubaldo Rosi ed il sommelier ci ha portato 3 calici di Ghislieri dicendo:  non avevo l'Ubaldo Rosi al fresco e mi sono permesso di portarvi il Ghislieri! ok, allora visto che vi siete permessi lo dovete anche offrire, visto che è un tipo di bolla che a me non piace. Pazzia allo stato puro"
"ui_bubble_rating bubble_20","che peccato non saper sfruttare questo locale...","sono andate 3-4 volte in questo locale per aperitivi. A jesi non ce ne sono tanti e questo situato nel pieno centro storico potrebbe fare mooolto di più. Il personale non è adatto alle esigenze degli amanti degli aperitivi. manca l'atmosfera chiacchierina dell'ape, manca il giro, manca... insomma davvero un peccato perché il locale per se è molto bello. tra l'altro se chiedi lo scontrino, sembra che li offendi...sarà stato un caso."
"ui_bubble_rating bubble_10","Delusione vegetariana","Appena terminata una terribile cena internazionale: attese interminabili. In più avevamo avvisato la necessità del mio menù vegetariano: mi hanno portato olive sott'olio, carciofi sott'olio, 4 pezzetti di formaggio e un bocchierino di insalata russa. Lo ho riferito a due cameriere e nonostante tutto ho pagato i 12€ di menù internazionale. Non tornerò mai +: non si prendono in giro i vegetariani, se non sapete creare una valida alternativa ditelo e basta. Vergognatevi."
"ui_bubble_rating bubble_20","Molto costoso !!!","Peccato non aver letto le recensioni prima : due spritz un succo di arancia è un piattino minuscolo di stuzzichini ( la descrizione che danno è come fosse un pranzo di matrimonio ) 21€ !!! Neanche a Roma paghi la posizione come in questo locale, non ci tornerò !!!"
"ui_bubble_rating bubble_40","Ottimo locale","Locale carinissimo e moderno, diverso dai soliti bar e locali della città. Fanno ottimi cocktail ed è adatto sia per una pausa caffè la mattina e il pomeriggio, sia per gli aperitivi serali con buffet. I prezzi non sono bassissimi ma si sta davvero bene!!"
"ui_bubble_rating bubble_10","MALE MALE MALE","Abbiamo aspettato giusto un ora per fare l'ordinazione più una buona mezzora per farci portare una birra in bottiglia e due coca cola. Servizio quantomeno mediocre e prezzi oltre la media. diciamo che si può migliorare moooltissimo. Visto da fuori il locale non sembra male, ma non entrate"
"ui_bubble_rating bubble_10","Non andate!!!","Dico solamente che abbiamo speso 12€ a testa per un aperitivo avendo mangiato 2 fette di prosciutto, un pezzo di porchetta grassa e tanto tanto tanto pane......Ah dimenticavo, nei 12€ era compreso il buffet a pagamento composto da pane con olio, pane con salsa di carciofi, pane con salsa di zucca, pane con salsa di oliva, pasta scotta al prosciutto e pasta scotta ai peperoni...."
"ui_bubble_rating bubble_30","Da rivedere","Dopo diverso tempo ritorno in questo locale per un apericena dopo il teatro pomeridiano intorno alle 20 in orario canonico per questo tipo di offerta. Staff gentile e disponibile ma servizio piuttosto lento sia prima di poter riferire l'ordine sia nella preparazione delle bevande, oltre 20 minuti di attesa per 2 birre, 4 calici ed un cocktail, praticamente una sola preparazione quindi. Il buffet che nella volta precedente, circa un anno fà o poco più, era si contenuto ma vario ed abbondante lascia invece ora molto a desiderare, poca qualità ed anche qualità appena sufficiente tenuto conto che il buffet viene pagato a parte rispetto alle bevande. Molto spesso il banco resta vuoto e vengono serviti solo stuzzichini freddi,"
"ui_bubble_rating bubble_50","Ottimo apericena..","Locale ambiente moderno nel centro storico di Jesi ottimi cocktail personale gentile e professionale ottimi buffet consigliato.. .."
"ui_bubble_rating bubble_30","Locale accogliente","Locale molto carino nel centro di Jesi. Disponendo di diversi ambienti è adatto per fare quattro chiacchiere tra amici senza troppa calca. Per chi è amante, buona varietà di infusi e tisane da provare. "
"ui_bubble_rating bubble_10","Pessimo","Locale carino ma i prezzi sono veramente troppo alti vista la quantità di cibo. Non pretendo di mangiare chissà cosa ma 11€ a testa per un aperitivo con due crostini, un po di pasta e un caffè mi sembra veramente troppo! "
"ui_bubble_rating bubble_30","Mediocre","Aperitivo senza troppe lodi. Buffet abbastanza scarso fatto pagare a parte con prezzi diversi in base al giorno della settimana. E' posizionato ben visibile all'ingresso e nel menù è ben indicato il costo, quindi ognuno può scegliere da solo se goderne o meno, ma se si vuole stuzzicare qualcosa sorseggiando il proprio cocktail quasi non se ne può fare a meno."
"ui_bubble_rating bubble_30","Buona degustazione","Ambiente carino in un locale al centro.Abbiamo preso un tagliere di salumi e formaggi e delle bruschette con varie salse.Buona scelta di vini. Prezzi per me giusti.Personale cortese"
