"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Pizza buona","Fa la pizza. La abbiamo presa anche da asporto qualche volta. L'impasto è ottimo. Il pizzaiolo è bravo. La pizza e sottile ma non troppo, giusto equilibrio tra croccantezza e morbidezza. Insomma per il mio gusto Buona! In un bel locale a prezzi modici. Cosa volere di piú?Quando andare? Quando non vi va di cucinare o comunque di mangiare a casa. Un break prima o dopo la passeggiata. Con la/il vostro/a ragazza/o dopo il primo bacio ;o)"
"ui_bubble_rating bubble_10","Deluso","Ho ordinato la pizza e dopo avermi portato un pizza sbagliata con l'aggiunta del pomodoro, non mi hanno neanche chiesto se mi andava bene, per concludere mi hanno fatto pagare l'aggiunta per l' ingrediene in più... "
"ui_bubble_rating bubble_40","La pizzeria sotto casa!","Pizzeria innovativa con posti a sedere in un locale carino ed accogliente, proprio sotto casa! La pizza é buona,con con tante varietà di gusti, ottima da consumare sul posto nei tavoli interni messi a disposizione per uno spuntino veloce, senza prenotazione, finché c'é posto o da asporto. Per colazione il bar interno offre un'ampia scelta di brioches gustose e da asporto. Pizza anche a pranzo. Complimenti"
"ui_bubble_rating bubble_50","Colazioni ottime!!!","Vado spesso da Pico a fare colazione. Massima pulizia e gentilezza da parte del personale. Grande scelta di brioches salate e dolci. Ottime le spremute d'arancia. Tavolini sempre puliti. Lo straconsiglio!"
"ui_bubble_rating bubble_50","Pizza buonissima. Anche GIGANTE!!!","Io amo la pizza. Il mio amore è paragonabile a quello di una tartaruga ninja. Anche se vivo dall'altra parte della città mi faccio volentieri il tragitto per la pizza (gigante) di Pico. Loro sono carinissimi e super accoglienti, anche con il mio cane :) Vivamente consigliato!"
"ui_bubble_rating bubble_50","Pizze squisite!!!","Il locale è molto carino, colorato e arredato con professionalità. Atmosfera divertente e pizze originali, piene di gusto! Le brioche e la caffetteria sono perfette per la colazione.Personale estremamente disponibile e simpatico. Non vedo l'ora di tornarci!"
"ui_bubble_rating bubble_50","A tuo agio","Ottimo tutto dal cibo al personale ci vado tutti i giorni per colazione e spesso per la pizza, non troppo alta e ben condita ,onesti anche i prezzi, colazione con brioche artigianali e non surgelate,tante tante brioche,personale attento professionale e simpatico, locale accogliente e ben arredato.lo consiglio vivamente"
"ui_bubble_rating bubble_50","Da non perdere!!!!","La pizza è veramente molto buona e leggera . Il servizio è stato veloce e con molta cordialità da parte del personale. Prezzi nella media."
"ui_bubble_rating bubble_10","Pessima pizza","Ho ancora mal di pancia, non ritornerò di sicuro, alla vista sembrava allettante ma non è altrettanto buona. Non la consiglio. Personale maleducato"
"ui_bubble_rating bubble_30","Bar carino","Bar ben arredato e pulito, ottime le colazioni e vasto assortimento di brioche, la pizza è buona ed i prezzi nella media della città."
