"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","quando la pizza e' pizza","di passaggio a iesi per visita ad un amico , attirato dalla semplicita' del locale ,ma curato e pulito ho avuto l'occasione di mangiare una ottima pizza con molteplici varieta' di gusti..tutti semplici ma ben abbinati. locale da rivisitare ad ottobre..visto che da domani 03 settembre vanno in ferie. bravi ragazzi continuate cosi'."
"ui_bubble_rating bubble_50","Quando la pizza è pizza","Una vera pizza, leggera e fragrante, ingredienti ottimi è sempre freschi, la mozzarella che usano spettacolare.Un salutoDiego Vigoni"
"ui_bubble_rating bubble_50","Ottima pizza da asporto","Sono passato avanti a questa pizzeria dopo tanto tempo e visto che aveva cambiato sono entrato, sono rimasto piacevolmente colpito dalla pizza tipo al piatto e farcita.Pizza buona ben farcita buoni ingredienti e molto leggera. "
"ui_bubble_rating bubble_40","Buona pizza ","Non volendo andare al ristorante abbiamo scelto pizzeria da asporto nel centro di Jesi. Impasto leggero e buono con variegati condimenti. Prezzo giusto. Unica pecca poca scelta nelle birre grandi da 66 cl."
"ui_bubble_rating bubble_50","Meglio di nonna","È l unica pizzeria che mi vada davvero a genio. Sottile, croccante ai bordi e sotto ma con una sua morbidezza. Ben farcita senza lesinare ne strafare ( less is more) Ottimissimissimo rapporto qualità prezzo.Le pizze farcite una sua specialità sonp divine.Ottimo"
"ui_bubble_rating bubble_50","pizzeria","ottimo,qualità prezzo gusti sempre vari,piccolo l ambiente ma è la pizza piu buona di jesipersonale giovane e con una grande voglia di fare e sperimentare semprecomplimenti"
"ui_bubble_rating bubble_50","Centodieci e lode!","Impasto fantastico, ingredienti di prima qualità, esecuzione impeccabile e proprietario eccezionalmente cortese. Una volta trovata non si cambia più."
"ui_bubble_rating bubble_50","Pizza più buona che c'è. ","La pizza è sempre molto ricca di gusti,croccante e morbida allo stesso tempo .Personale sempre pronto e disponibile nel soddisfare il cliente per non parlare del proprietario gentilissimo .Ottima idea per la tessera da compilare dopo 10 pizze al piatto una in omaggio. Pizza presto pronta! "
"ui_bubble_rating bubble_50","Buonissima","La pizza coi grasselli è unica. Anche d'estate, al banco un ragazzo simpatico. Tanti gusti. Pizza veramente buona"
"ui_bubble_rating bubble_50","La migliore pizzeria di Jesi","Focacce al top! La pizza e leggera croccante e digeribile! Quando posso passo a prenderla anche per cena nonostante abito a più di 30km! "
"ui_bubble_rating bubble_40","Buona","Pizza buona e digeribile ed il servizio è veloce, i gestori professionali e gentili mentre i prezzi sono nella norma della città."
"ui_bubble_rating bubble_40","PIZZA OTTIMA","Passo spesso da questa pizzeria prendere qualche spicchio delle varie specialità. Cortesi puliti ed i prezzi molto onesti, Lo raccomando"
"ui_bubble_rating bubble_40","pizza molto buona","Ideale per chi, come me, la preferisce sottile. Vasta scelta di farciture. Un complimento anche alla ragazza davvero cordiale che mi ha servito."
"ui_bubble_rating bubble_50","Buona","Capitati per caso abbiamo visto la pizza sul bancone e ci ha ispirato. pizza fina come piace a noi e non salata. Se torniamo in zona ci fermeremo di sicuro"
"ui_bubble_rating bubble_50","Pizza molto buona ","Sono stata da poco in questa pizzeria, la pizza è molto buona, sottile e leggera e varia nel condimento. Fanno anche le focacce ripiene con l'impasto della pizza e fritture varie. Il personale è molto gentile e cortese. Ci ritornerò sicuramente. "
"ui_bubble_rating bubble_50","Pizza digeribile, leggera e ben condita!","Torno sempre in questa pizzeria, ormai la mia preferita a Jesi. Lascio un'altra recensione perché a distanza di due anni devo dire che se la merita!!!L'impasto è sottile, decisamente come piace a me e sopra è molto ben condita!! Digeribile e leggero, si sente che lievita per moltissime ore. L'opposto di molte pizzerie di Jesi che fanno un impasto alto (tipo fetta di pane) e sopra poco niente!!!!Fantasia nei condimenti, sempre più particolari, ho provato quella con ciauscolo e pecorino...decisamente favolosa!!! Una sera anche formaggio e pere...eccezionale!! Bravi continuate così!!"
"ui_bubble_rating bubble_50","La migliore Pizza di Jesi","Pizza e focacce davvero ottime, vasta varietà di gusti tra cui scegliere, personale molto cordiale . Consigliato."
"ui_bubble_rating bubble_40","Pizza buona!","La pizza è buona, il ragazzo la prepara sempre in orario e le materie prime utilizzate sono anche loro di qualità. L'unica pecca è il parcheggio."
"ui_bubble_rating bubble_50","A Jesi pizza decente","Si tratta di una piccola pizzeria da asporto, con un paio di tavoli per consumazioni veloci.La pizza è fatta bene la consiglio."
"ui_bubble_rating bubble_50","Veramente buonissima!","Pizza veramente ottima e prezzi assolutamente competitivi!! Gestione giovanissima che non guasta mai!! Scoperto un' altro tesoretto del mangiar bene!! Sicuramente si tornerà!!! "
"ui_bubble_rating bubble_40","Buonissima","Vasta scelta di tipi di pizza personale molto disponibile e pizza a mio parere migliore di Jesi. PROVATE! !"
"ui_bubble_rating bubble_50","PIZZA SUPER!","Locale centrale e il personale è gentile,professionale e giovane. La pizza è SUPER!!!! Buonissima! Non rimane pesante ed è condita bene. Per me recensione molto positiva. Andate a provarla!"
"ui_bubble_rating bubble_50","Ottima pizza con ottimi prezzi e...ottima gente:)","La pizza è buonissima,i ragazzi che ci lavorano sono in gamba...sono tutti giovani e con tanta voglia di lavorare...il locale è pulito e molto accogliente!"
"ui_bubble_rating bubble_50","LA MIGLIORE!!!!!","servizio ottimo, la pizza ordinata esce SEMPRE puntuale e loro sono molto simpatici, la qualità è, appunto, ECCELLENTE, pizza molto leggera e ingredienti sempre freschi ed il locale è ACCOGLIENTE...in generale sono stato molto bene lì ahah!!! CIAO CAPO!!!!! ;)"
"ui_bubble_rating bubble_30","Pizza sottile sottile","La pizza che ho mangiato era molto sottile e croccante. Buona ma non eccezionale. Prezzi nella media"
"ui_bubble_rating bubble_40","Che pizza :)","pizza buonissima, leggera e vasta gamma di scelta!!! Una delle pizzerie più buone di Jesi, la consiglio vivamente!"
"ui_bubble_rating bubble_50","Pizza per tutti","Pizza leggera, a lungo lievitata e facilmente digeribile; condimenti variegati e ottimo staff!Consigliatissimo."
"ui_bubble_rating bubble_40","Ottima pizza!!","pizza sottile e gustosa, davvero molto buona!!Ne fanno di molti tipi e sopratutto il banco non e' mai vuoto!La ragazza sempre molto gentile e sorridente!!! Super consigliato!"
"ui_bubble_rating bubble_40","Ottimo rapporto qualità/prezzo!","La pizza è veramente buona e non costa nemmeno tanto! Oltretutto vi fanno una pizza al piatto gratis ogni 9 acquistate!!"
"ui_bubble_rating bubble_40","Ottima","Prezzo ottimo sopratutto per le pizze al piatto, gusti molto vari e soddisfacenti. Lunica pecca se così si può definire è il fatto che la pizza è un po° fina quindi tende a raffreddarsi presto "
"ui_bubble_rating bubble_50","Ottimo","Ormai io e i miei amici siamo clienti fissi. Qualità della pizza. Eccellente . Sempre cordiali. Miglior pizzeria a jesi."
"ui_bubble_rating bubble_50","La pizza più buona di Jesi!!!","Ognuno ha i suoi gusti, ma se avete una gran fame e la pizza è uno dei vostri piatti preferiti non potete non provare la pizza farcita! La mia preferita è la tartufona o la ciauscolo e pecorino. Fidelity card sempre alla mano! Uno spicchio a merenda o intere da asporto per una cena o un compleanno! Caldamente consigliato!"
"ui_bubble_rating bubble_50","numeri 1","pizza buonissima e prezzi bassi staff molto gentile e simpatico assolutamente da provare 5 stelle meritate"
"ui_bubble_rating bubble_10","Troppa lode 0 qualità ","E no, non ci siamo, come fa una pizzeria del genere ad essere tra i migliori? Ho preso una capricciosa ed era bassa e croccante, già non ci siamo, la pizza bassa va bene ma non può essere crostino quando la tagliavi faceva crack... Passiamo agli ingredienti, verdure sottolio disgustose, mozzarella la classica pizzarella che trovi al supermercato, ossia quei filoni di mozzarella che di mozzarella non hanno niente, sulla pizza non hanno un gran sapore.... Decisamente no!"
"ui_bubble_rating bubble_50","Pizza asporto","Ottima pizza. Tempo di attesa 0 sempre tanti gusti disponibili. Cordialità. Qualità degli ingredienti. Prezzi modici."
"ui_bubble_rating bubble_50","top del top","Tutto alla perfezione, la pizza è squisita,altrettanto le focacce,ben condite e croccanti servizio top"
"ui_bubble_rating bubble_20","pizza troppo croccante","pizza molto fina e croccante. non credo che debba essere così la vera pizza...ma ognuno ha il suo gusto "
"ui_bubble_rating bubble_50","Top del Top","La migliore pizza che potete mangiare a Jesi. Se passate da queste parti non potete non assaggiare la loro piazza. Ottima e gustosa con ottimi prezzi."
"ui_bubble_rating bubble_30","Due anni e mezzo dopo...","...sono ritornato alla pizzeria del Cavalcavia. Le migliorie sono evidenti, cosi come la cortesia del ragazzo pizzaiolo. Finalmente hanno aggiunto i quotidiani e hanno una maggiore varietà di pizze. Insomma, siamo sulla giusta strada. Purtroppo la qualità della pizza, troppo fina per i miei gusti (stile piadina per intenderci) continua a non soddisfarmi pienamente."
"ui_bubble_rating bubble_40","pizza al taglio di qualità","Premetto che bisognerebbe creare una categoria a parte per recensire attività ricettive diverse dai ristoranti (tipo gelaterie, pizzerie al taglio, bar......) in quanto, rispetto a questi, offrono servizi che non possono essere paragonati tra loro.Detto ciò questa pizzeria al taglio offre un prodotto molto buono sia nell'impasto che nel condimento per cui nulla assolutamente da ridire su quanto già indicato nelle altre recensioni. Presumo che una buona fetta delle recensioni positive sia stata anche indirettamente influenzata dall'aspetto piacevole della banconista"
"ui_bubble_rating bubble_50","<U+FFFD><U+FFFD><U+FFFD><U+FFFD>","La pizza è buonissima, sempre grande varietà sul bancone...tuttalpiù la ordini da portar via e te la fanno subito ...personale carinissimo e prezzi ottimi!"
"ui_bubble_rating bubble_50","pizza molto buona","pizza molto buona sottile e ben cotta personale molto cordiale e anche veloce loconsiglio sicuramente"
"ui_bubble_rating bubble_50","Pizza semplicemente BUONISSIMA","Pizza Buonissima sottile e con molta farcitura, focacce ripieni fantastiche, Titolare simpaticissimo."
"ui_bubble_rating bubble_50","Buonissima !!!","Focacce ripiene squisite..soprattutto quella tartufata .e per quanto riguarda la pizza ..molto croccante bravi bravi bravi !!"
"ui_bubble_rating bubble_50","Ottima fina croccante","La pizza è molto buona ben fatta. Sottile croccante e ben condita. Dipende dai gusti. Personalmente è come la preferisco io. L'unica mini pecca è che essendo un posto piccolino con poco spazio, vi è poca possibilità di scelta nella tipologia della pizza al taglio. Ma è comunque uja delle migliori a jesi"
"ui_bubble_rating bubble_30","Pizza buona, i fritti meno!","Buona la pizza e la pizza ripiena....la farcitura è sempre abbondante!Quanto ai fritti, non sempre le olive ascolane sono cotte al punto giusto....!!"
"ui_bubble_rating bubble_50","Da provare assolutamente!","Vado spesso in questa pizzeria a prendere la pizza da asporto o semplicemente a fare merenda; il personale è gentilissimo, e si impegnano moltissimo per soddisfare il cliente anche se hanno molto da fare. La pizza per ora rimane una delle migliori che abbia mai assaggiato e il prezzo è veramente contenuto...anzi direi quasi basso per la bontà della pizza. Consigliatissima!"
