"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Cena in due","Ci siamo recati da poldo per una cena volante. A primo impatto il locale sembra molto alla buona, ma, il tutto, viene più che compensato dalla qualità dei prodotti usati. I migliori panini della zona!! Unica pecca, almeno per quanto mi riguarda, il burger poteva essere un po' più cotto. Comunque lo consiglio alla grande. Saluti"
"ui_bubble_rating bubble_50","L'Hamburger con l'H maiuscola","Ambiente informale e simpatico ma la qualità degli Hamburger serviti è davvero cosa seria. Il pane viene preparato e cotto nel locale e poi via alle materie prime migliori, carne eccellente e a km zero, connubi particolari, porzioni generose e tanto gusto, ho mangiato in hamburgherie ben più blasonate, ma non reggono davvero il paragone con Poldo"
"ui_bubble_rating bubble_50","Buono ","Ottimo hamburger. Complimenti ai ragazzi di questo posto dove veramente si può gustare un ottimo hamburger. Complimenti alla gestione. Sicuramente ci sarà modo di tornare "
"ui_bubble_rating bubble_40","Un salto nel passato","Il 10 ottobre sono stato in questo locale all’interno del centro storico di Jesi. Una trentina di coperti, e un’atmosfera che ti riporta indietro all’adolescenza. Menù scritto col gessetto su muro lavagna, bancone piccolo da bottega, opere murarie artistiche con alberi disegnati in 2D ma con i frutti in 3D come le pere per esempio, molto d’impatto, il classico filo nero a penzoloni con le lampadine senza paralume, le sedie e i tavoli sembrano rubati a una scuola media per quanto sono simili a quelli con cui ognuno di noi è cresciuto a scuola. Alta qualità delle materie prime, non pasticciato o con sapori troppo grassi o stomachevoli, prezzi onesti, ho speso 17 € per due panini diametro circa 15cm (Poldo e uno al pollo di cui non ricordo il nome) con patatine e acqua, servito su vassoi di legno discreti e non ingombranti. Da provare ma anche da vivere. Consiglio vivamente"
"ui_bubble_rating bubble_50","Eccezionale","Io e mio marito abbiamo mangiato il miglior hamburger...panino ottimo hamburger con patatine eccellenti i ragazzi favolosi e gentili....locale piccolo ma carino....ottimo per una cena veloce...."
"ui_bubble_rating bubble_50","Bravi.","Locale piccolino , pochi posti a sedere. Non amo gli hamburger, ma qui la carne è di primissima scelta. Prezzi equi,buona birra. Simpatici e bravi. Per un mordi e fuggi di qualità."
"ui_bubble_rating bubble_50","Fantastici Burger.","Il posto giusto per una serata sfiziosa, sia li che da portar via. I panini sono davvero eccezionali, in più ovviamente con il panino abbiamo le patatine già incluse nel prezzo. Davvero consigliatissimo, sia per amanti della carne che vegetariani/vegan. Cosa aspettate!"
"ui_bubble_rating bubble_50","Panino senza glutine","Vengo spesso da Poldo perché c'è l'opzione del panino senza glutine, così da poter cenare insieme ai miei amici senza problemi. Il locale ha stile, è eccentrico. Il personale simpatico e cortese."
"ui_bubble_rating bubble_50","Sempre un punto di riferimento","Panini grandi, ingredienti di ottima qualità e carne succulenta. Combinazioni per la scelta dei panini originali ma sicuramente azzeccatissime! Personale cordiale e simpatico. Se siete degli amanti di hamburger di ottima qualità, ne uscirete sicuramente soddisfatti!"
