"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Cinese vecchia maniera e ben sopra la media ","Niente casermoni anonimi, niente formule sospette all you can eat. Nonostante si trovi in un centro commerciale, l'Oriente si presenta come un ristorante cinese old school. Tre sale a disposizione degli avventori, la prima più all' occidentale, la seconda stile tatami, la terza più riservata e privè (piccole variazioni del prezzo del coperto per la seconda è la terza). Servizio preciso, impeccabile e cordiale. Fra i primi, da provare gli spaghetti di soia (più che quelli di riso) con frutti di mare o piccanti, gli gnocchi cinesi ed i classici ravioli al vapore. Per proseguire si può sforare nella deriva giapponese con le varie barche o i box con grandi varianti di sushi. Qualità prezzo ottimale. Un consiglio: ordinate poco per volta senza paura di perdere eccessivamente tempo (altrimenti arriva tutto a tavola in contemporanea o quasi). Da provare. "
"ui_bubble_rating bubble_40","Buon ristorante","Stasera sono andato a cena insieme ad amici il cibo lo avevo assaggiato con la consegna a casa e mi era piaciuto allora abbiamo deciso di andare a vedere il ristorante.L'ambiente è molto carino ed è diviso in 2 stanze una con tavoli normali l'altro con tavoli infossati.Il cibo è molto buono ci sono specialità sia cinesi che giapponesi è da provare. "
"ui_bubble_rating bubble_50","5 ","Non siamo di qui, arriviamo da un paesino della provincia di Pesaro Urbino,ci imbattiamo in questo centro commerciale all'ora di pranzo e decidiamo di fermarci a mangiare cinese.Rimaniamo piacevolmente sorpresi: niente puzza di fritto e olio bruciato frequente in questo genere di locale, tavoli pavimento e bagno pulitissimi e incredibilmente le pagine del menù non appicicano! Cucina buona e prezzi giusti, non abbiamo assaggiato il sushi ahimè. ...se mai ripasseremo di qui torneremo sicuramente."
"ui_bubble_rating bubble_50","Consiglio","Probabilmente è il mio ristorante cinese preferito nella zona. I prezzi alla carta non sono assolutamente eccessivi e il cibo è di ottima qualità. Da provare!"
"ui_bubble_rating bubble_50","Il mio preferito","Qualità del sushi superiore rispetto alla zona.Camerieri simpatici.Caratteristico esteticamente.RiservatoVeloce e ottimo rapporto qualità prezzo.adorabile!"
"ui_bubble_rating bubble_40","Carino!","Buona la qualità del cibo e camerieri simpatici. Carina anche l’idea delle tre sale separate, ognuna con una propria particolarità "
"ui_bubble_rating bubble_50","Ottimo ristorante <U+0001F374> Cinese/Giapponese <U+0001F358><U+0001F359><U+0001F35C><U+0001F363><U+0001F961>","Servizio veloce e cordiale.Ristorante elegante e pulito. Cibo fresco e saporito. Prezzi nella norma. Straconsigliato!! "
"ui_bubble_rating bubble_40","Buono, e non solo per il take away","Da clienti abituali d'asporto abbiamo provato anche in loco a cenare presso l' Oriente. Carina la location (consigliabile la sala tatami, previa prenotazione ed indicazione specifica); ottima la coordinazione del servizio data dalla responsabile (titolare?) all'ingresso, che va anche a rintuzzare le (piccole) lacune di coordinazione del resto del personale. Menù molto ampio, sia prettamente cinese che orientale in genere. Abbondanza di porzioni e prezzi onestissimi. Nota particolare, per un tataki di tonno ordinato c'è stato fatto notare che seppur in condizioni valide di conservazione, il prodotto non presentava un'eccellenza a livello visivo ed hanno optato per cancellarlo dal conto (dopo averci fatto verificare il piatto di persona). Moltissime scuse da parte dello staff per l'inconveniente (che, oggettivamente, non c'è stato ed è stato evitato per loro intervento pronto e non richiesto).Il non esserci la formula All you can eat è formula di garanzia aggiuntiva.Non un locale stellato di livello, ma un più che buono compromesso per una piacevole serata particolare in compagnia."
"ui_bubble_rating bubble_40","Ottimo","Finalmente un ristorante orientale senza la formula all-you-can-eat, con piatti freschi e curati. Quando ho voglia di mangiare sushi vado al ristorante Oriente, buonissimi ingredienti e sushi ben fatto, anche con buone alternative vegetariane. Ottima la zuppa di miso, con molte alghe e ben calda.Unica nota un po' storta è che l'ultima volta ho trovato i noodles e il tofu conditi con un po' troppo olio, ma questo è solo il mio gusto!Carinissime le aree con i separé, per avere un'atmosfera più tranquilla e riservata. Personale gentilissimo! Lo consiglio davvero a tutti."
"ui_bubble_rating bubble_50","Ottima qualità ","Non me l’aspettavo sinceramente ma la qualità del pesce del sushi l’ho trovata decisamente alta.In ogni caso tutte le portate sono state decisamente sopra la media di tutti gli altri ristoranti cinesi di zona."
"ui_bubble_rating bubble_50","Molto buono!","Tutto molto buono, specialmente il menu cinese. Location molto accogliente e servizio impeccabile. Prezzi pienamente nella media. Consigliato "
"ui_bubble_rating bubble_30","ristorante cinese con servizio veloce","Siamo stati in questo ristorante ubicato dentro un centro commerciale il sabato sera ed era tutto pieno. Ritornati il lunedì, invece, era tranquillo. Il servizio è ottimo e veloce, la scelta dei piatti molto ampia e i prezzi bassi. (Tredici Euro in due)"
"ui_bubble_rating bubble_40","Buono","Cena con il mio ragazzo,lui ha preso del sushi io cinese,tutto buono,velocissimi nel portare le portate,quando ci sono molte persone si confondono un pò con le portate,ma siamo stati benissimo! "
"ui_bubble_rating bubble_40","Buon ristorante","Ristorante cinese di medio livello, che cucina anche piatti giapponesi. Il cibo è buono, i piatti giapponesi sono una discreta copia di quelli autenticamente giapponesi. Il servizio è veloce ma quando il locale è pieno, sembra di avere delle macchine davanti, al posto delle persone. Simpatica la possibilità di mangiare in modalità privé dietro a scomparti in legno, dalle pedane rialzate. Prezzi nella media."
"ui_bubble_rating bubble_50","Ristorante di gusto: Nuove clienti!","E' la prima volta che ci vengo e ne sono rimasta colpita positivamente. Ci sono andata con le mie amiche che me l'hanno consigliato. Il ristorante è molto carino: pulito ed ordinato. Le salette private sono il top!Il cibo è squisito, il pesce è nella media.Il servizio è rapidissimo e lo staff è cortese. Le mie amiche dicono che a volte possono sembrare frettolosi ma succede solo quando il ristorante è pieno.Una storiella: si dice che uno dei cuochi (prima cameriere) è riuscito a servire da solo 80-100 clienti in una sola cena!Si sono fatti una cliente affezionata! :D"
"ui_bubble_rating bubble_50","Miglior ristorante orientale che conosco a Jesi","Ideale per una cena da solo o con gli amici. Servizio veloce, cibo gustoso e camerieri simpatici (sebbene parlino un italiano molto semplice). Il ristorante può farsi molto vivo e pieno di gente che ha voglia di passare una buona serata davanti ad un buon pasto ma non c'è da preoccuparsene: si può richiedere uno scompartimento privato.I miei amici ed io siamo clienti abituali da 2 anni e mai delusi!"
"ui_bubble_rating bubble_50","Accogliente e gustoso","Il ristorante ha un servizio cordiale e disponibile, le salette private sono molto suggestive (con un po' di sovraccarico sul coperto). Abbiamo mangiato bene, praticamente tutta cucina giapponese (pesce crudo di vari tipi con salse) e gli involtini primavera. Alla fine il prezzo è stato abbastanza nella media."
