"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Non ci siamo ","Sono stato con mia famiglia per la prima volta personale e gentile carini servizio buono ma purtroppo la cucina orrenda mi dispiace scrivere questa recensione ma e cosi abbiamo ordinato primo di pesce giurò appena ho assaggiato l'ho mandato i dietro era immangiabile un odore cattivo e pessimo gusto alla fine andiamo con la pizza ma non ho trovato niente per farmi cambiare idea qui non ci siamo"
"ui_bubble_rating bubble_50","Cena di pesce eccellente!!","Abbiamo cenato in questo ristorante varie volte mangiando una semplice pizza ma l’ultima volta abbiamo provato il pesce e siamo rimasti molto sorpresi! Qualità eccellente e pesce freschissimo di giornata ( consiglio la padellata dell’Adriatico e i ravioli di pesce)! Primi e secondi molto abbondanti; con una porzione ci si mangia tranquillamente in due! Spesa totale meno di 25€ a testa con primo,secondo di arrosto misto e fritto, verdure, sorbetto, acqua vino e caffè!! N.b. Alcuni piatti vanno richiesti e prenotati al telefono perché acquistano il pesce fresco!"
"ui_bubble_rating bubble_50","Mea culpa errata corrige","Siamo tornati in questo ristorante e devo ammettere che il servizio è stato ottimo, rapido e altamente cordiale. La pizza è buonissima come la crescia con gli affettati. Il personale è gentilissimo. Consigliato!"
"ui_bubble_rating bubble_20","Pazienza tanta pazienza","La pizza è discreta ma si fa attendere, molto! Forse era una serata con personale ridotto ma l'attesa è stata decisamente luuunga."
"ui_bubble_rating bubble_30","Normale pizzeria nel complesso nella media","Pizza discreta ed ambiente tranquillo. Giusto per cambiare. Nulla di eccezionale. Gestione non italiana, gentili e disponibili."
"ui_bubble_rating bubble_50","Tutto perfetto","buona location, si mangia all'aperto posto tranquillo - buon servizio, gentile e con tempi di attesa ragionevoli in base alla cottura - cibo di qualità, ci siamo stati due volte abbiamo mangiato sempre piatti di pesce (consiglio antipasto zuppa e ravioli all'arancio) - prezzo più che onesto.Ci ritorneremo sicuramente"
"ui_bubble_rating bubble_40","Pizza buonissima","Prendo spesso la pizza da asporto e devo dire che nonostante venga portata via e trasportata nel classico cartone, resta sempre una delle più buone di Jesi...l'impasto è ottimo, non è piccolissima ed i condimenti sono davvero gustosi e ben posizionati...Non conosco il resto del menu ma resta sempre una pizzeria storica della città in una zona molto tranquilla e verde..."
"ui_bubble_rating bubble_50","Buffet vegano spettacolare ","Piatti della tradizione Marocchina e Levantina. Zuppe di ceci e vellutata di zucche cucinata all'impronta e gustosissima. Buffet ricchissimo con ogni tipo di piatto vegano e couscous spettacolare con condimenti a scelta. Ambiente molto tranquillo, a due passi dalla città ma spazio molto aperto, in campagna. Ampio parcheggio. Un must sono le serate tematiche come quella di oggi, 2 febbraio, vegana. Ma anche a capitare all'improvviso non si resta mai delusi. Se capitate a Jesi assolutamente da tenere presente, anche per la sua vicinanza al Palasport."
"ui_bubble_rating bubble_10","Cena","Al di sotto di ogni peggiore aspettativa. L’acqua arrivata dopo oltre mezz’ora dall’ordine, pizza non cotta, patatine fritte servite nel vassoio con presenza di patate ancora congelate, fatto presente al cameriere e mai riportate. I camerieri nel portare le pizze non ne conoscevano neanche il tipo. Insomma serata da dimenticare!!"
"ui_bubble_rating bubble_30","Tutto ","Ristorante grande con ampio spazio situato nel verde con un po' di tutto pizza affettati primo e secondo.Molto curato il servizio con personale gentilissimo e competente con un prezzo molto basso da ritornare assolutamente "
"ui_bubble_rating bubble_20","Locale triste","Il servizio improvvisato ,la pizza passabile, il locale piuttosto deprimente,non si capiva chi era il titolare"
"ui_bubble_rating bubble_40","Buono....","Il locale era semivuoto ma siamo rimasti contenti per la qualità dei piatti e la presentazione da migliorare il servizio "
"ui_bubble_rating bubble_50","Ottima pizza. Digeribile e ben condita","Impasto ottimoBen conditaMaterie prime saporiteLocale pulitoPersonale gioviale e allegroPrimi piatti eccellentiBuona selezione di birrePiacevole giardino esterno Musica nei fine settimana sempre di ottimo livello"
"ui_bubble_rating bubble_30","Locale carino","Locale carino ma, secondo me, molto migliorabile e con ottime potenzialità, pizza abbastanza buona mentre gli antipasti, pressoché affettati, nella norma o addirittura sotto....Migliorabile..."
"ui_bubble_rating bubble_20","Deludente","Siamo andati di sabato con amici.Il ristorante era mezzo vuoto. Abbiamo comunque atteso un tempo lunghissimo per dei primi un po' troppo saporiti e pizze abbastanza dure e secche. I dolci in compenso erano buoni. Conto salato e qualità del servizio discutibile. Non credo che tornerò."
"ui_bubble_rating bubble_50","Ottima pizzeria","Ottima pizza, sottile e croccante, personale attento e cortesissimo. Dolci strepitosi. Da rivisitare sicuramente."
"ui_bubble_rating bubble_20","C'è molto da migliorare ","Antipasti di affettati niente di speciale, grigliata piuttosto insapore, tempi di attesa lunghissimi. Conto piuttosto alto rispetto alla media. Salvabile la pizza. Non do il minimo perché i camerieri sono stati davvero cordiali e simpatici. "
"ui_bubble_rating bubble_50","Locale scoperto grazie ad un voucher ","Tramite un voucher siamo andati in questo locale ed abbiamo scoperto un'ottima pizza, pizzaiolo oltre che bravo anche simpatico che in passato ha lavorato in parecchie pizzerie a Jesi e credo che ora abbia deciso dimettersi in proprio.....Complimenti!!!!"
"ui_bubble_rating bubble_40","Buona pizza","Non è di certo il ristorante in cui si va per fare una gran mangiata o per provare piatti nuovi o particolari, ma sicuramente merita un buon punteggio per la cordialità e disponibilità del personale, per la bontà della pizza e dei fritti che abbiamo mangiato, e per finire per l'ottimo rapporto qualità/prezzo. La nostra è stata senz'altro un'esperienza positiva e ci torneremo molto volentieri."
"ui_bubble_rating bubble_30","Posto salva serate","Non è certamente un locale da gourmet. Però sia in estate che in inverno puoi trovare un'accoglienza unica, locale interno e giardino esterno ben messi e spaziosi. Un ristorante per famiglie. La pizza è senz'altro il cavallo di battaglia. Soprattutto in estate c'è sempre un po' di arretra che ti fa per un attimo dimenticare l'afa jesini."
"ui_bubble_rating bubble_20","Non ci siamo","Deludente l'ultima esperienza in questo locale.Non ho dato il minimo soltanto per le fritture e la cordialità del personale che sono a mio avviso gli unici pregi riscontrabili.Pizze poco cotte, tutte evidentemente troppo simili nella forma e nell'assenza del colorito tipico della pizza cotta a legna nonchè del bordo.Per ultimo da annotare la dimenticanza di due ordinazioni con conseguente inaccettabile attesa di un'ora.Sfortunatamente non mi sento di consigliarlo e allo stesso tempo auspico un miglioramento di qualità della cucina."
"ui_bubble_rating bubble_50","Tutto molto buono","Personale gentile disponibile e cordiale servizio efficiente e rapido costo nella norma locale e bagno super pulito veramente consigliato per chi vuole rilassarsi e godere di un'ottima cucina insieme ad un pizza super buona vivamente consigliato"
"ui_bubble_rating bubble_40","pizzisssma","sil serizio è stato ottimo cameriere simpatiche, olive ascolane buonissime così come le verdurine fritte, pizze ottime sia nell'impasto che nella farcitura, atmosfera casareccia, tutto nuono"
"ui_bubble_rating bubble_20","Piatti sbagliati e pizza non buona","Invece che un tortiglione hanno portato i cappelletti, la pizza non era buona in quanto aveva un gusto simile alle pizze congelate ed era dura da tagliare e dura da mangiare. Le tagliate: ne abbiamo ordinate tre e una era completamente fredda e veramente con un cattivo sapore. Accoglienza buona prezzo 15 euro, nella media dei ristoranti locali."
"ui_bubble_rating bubble_50","Ottima Pizzeria","Sono stato diverse volte, sempre trovato bene e ottima l’accoglienza sia dei titolari che delle simpaticissime e brave cameriere. Per chi ama della ottima pizza io lo consiglio."
"ui_bubble_rating bubble_30","Buono nella media","Siamo stati a cena in questo locale. Credo che come pizzeria meriti anche 4 stelle, mentre come ristorante siamo nella media.Il servizio è veloce e le cameriere gentili e sorridenti. Il primo che ho preso era eccessivamente salato.Nel complesso siamo stati bene."
"ui_bubble_rating bubble_30","così così","Avevo sentito parlare bene di questo ristorante pizzeria, l'ultima volta avevo mangiato la pizza e mi era piaciuta, sabato scorso invece mi ha mediamente soddisfatto! Il vino rosso della casa era un mix tra vin brulè e sangria.....speziato e dolciastro, quindi non associabile ai primi o alla carne!! La grigliata era buona e calda, ma la tagliata era un po' freddina senza contare il fatto che l'avevamo chiesta con sale grosso e rosmarino e invece ce l'hanno portata con rucola e grana (e io odio la rucola). Il prezzo leggermente alto, ma tutto sommato nella norma. I primi e i dessert erano buoni, il servizio veloce e l'ambiente tranquillo. Valutazione tutto sommato positiva se non fosse per qualche errore assolutamente da evitare."
"ui_bubble_rating bubble_50","Molto soddisfatto","Pizza davvero buona! Ottimi anche i piatti di carne e di pesce, ben presentati ed abbondanti. Davvero complimenti ai fratelli Alì per essere finalmente riusciti a riportare in vita questo ristorante, ora rinnovato e molto accogliente. "
"ui_bubble_rating bubble_40","pizza buona","Pizza e dolce buono. Carne/grigliata mista molto buono. Ambiente molto tranquilla in estate anche fuori"
"ui_bubble_rating bubble_30","Nulla di scandaloso ma non una prima scelta","Ho visto tanti ragazzi giovani/ssimi quindi credo proprio potranno rifarsi e migliorare, certo è che in questo momento non lo metterei fra le mie prime scelte.Cibo buono e con porzioni sufficienti, sala esterna un po freschina d'inverno e camerieri un pochino dimenticosi."
"ui_bubble_rating bubble_50","Pranzo di Pesce Fantastico !!!","Domenica abbiamo voluto provare il pesce al Ristorante Pizzeria Colle Paradiso... non potevamo fare scelta migliore !!!!Antipasti caldi e freddi, 2 assaggi di primo (in effetti erano 2 primi ed abbondanti),Fritto, Arrosto, Contorni, Sorbetto, Acqua, Vino, Caffè, Limoncino, Grappa...... veramente una gradevole e piacevole abbuffata di pesce.Il prezzo e menù sono fissi, pesce a soli Euro 35 !!!!!Il tutto di una bontà unica, sicuramente di ristoranti che cucinano il pesce così, io ne ho incontrati veramente molto pochi.Cortesia, pulizia ed attenzione è la prima cosa che si nota.Complimenti ai fratelli Alì, bravi e continuate così !!!!CONSIGLIATISSIMO"
"ui_bubble_rating bubble_40","Trovati bene.","Servizio carino ma niente n molto organizzato. Ha assaggiato il piatto di punta dello chef, i ciavattoni di Ali, composto da tartufo, formaggio di fossa e guanciale croccante.. Peccato solo che in fase di cottura dei ciavattoni è stato messo il sale, che abbinato al piatto saporito in se, mi ha lasciato parecchia sete. Non male comunque nel totale."
"ui_bubble_rating bubble_50","Ottima pizza ","Pizza ottima personale gentile ottima posizione a due passi dalla città ma sembra di essere in campagna. Tavolli alll aperto. Per godersi un pò di fresco."
"ui_bubble_rating bubble_50","Visitato piu volte","Ho mangiato piu volte sia Pizza che Pesce e sono stato super soddisfatto tutto ottimo veramente a prezzi anche leggermente sotto la media. Il giardino x mangiare all aria aperta è davvero carino x l estate. potrebbero migliorare leggermente il servizio ma x il resto tt ok"
"ui_bubble_rating bubble_40","Dalla pizza al pesce","Gestione nuova da un paio d'anni con propèrietari che gestiscono in prima persona la cucina e la sala. Locale interno ampio ed accogliente ma quello che mi è piaciuto di più e la sala all'aperto con gazebo elegante e confortevole. Cucina casalinga ma molto buona che spazia dalla semplice pizza ai più gustosi piatti di pesce e carne. Rapporto prezzo qualità davvero interessante. "
"ui_bubble_rating bubble_40","Ottima cena con amici !!","Abbiamo preso svariate cose ottime le verdure fritte la pizza i primi la tagliata i prezzi sono in linea consigliato"
