"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Tempi di attesa da rivedere, pizza non male","Locale poco riscaldato e non molto accogliente. Personale gentile e simpatico ma tempi di attesa troppo lunghi. La pizza buona ma secondo me non si può definite Napoletana, il cornicione non è all'altezza. Conto sicuramente competitivo."
"ui_bubble_rating bubble_30","Buono ma..","La pizza era buona, ottimo il condimento e l'impasto della consistenza giusta. Ottima la bufala a crudo. Peccato che la pizza è stata cotta un po troppo e quindi era a tratti bruciacchiata e un po secca in generale. Personale gentile e disponibile. Conto ottimo. Avrei dato un giudizio più alto se non fossi capitato nella saletta davanti alla cucina, non riscaldata e con i tavoli molto vicini."
"ui_bubble_rating bubble_40","Ottima pizza","Abbiamo trascorso una serata tra amici davvero molto divertente. ..locale molto affollato essendo sabato ci sta..Personale simpatico e disponibile abbiamo mangiato la pizza fritta (una scoperta sublime per me)pizze molto buone ....ottimi anche o dolci..buon rapporto qualità prezzo"
"ui_bubble_rating bubble_10","Serara da dimenticare!!","Io e la mia compagna siamo stati in questa pizzeria un sabato sera, il locale era semivuoto.Abbiamo ordinato un fritto misto e 2 pizze. I supplì fritti sono stati serviti completamente crudi, il dentro era addirittura ancora congelato e non si riuscica a rompere nemmeno con la forchetta. Le pizze non sono mai arrivate. Dopo 40 minuti chiediamo notizie la cameriera ci ha detto che c era stato un disguido in cucina e che non le avevano fatte. Qualita prezzo / prezzo pessimo. Nonostante i problemi riscontrati durante la cena nessuna scusa e nessun sconto sul prezzo."
"ui_bubble_rating bubble_50","Ottimo qualità e prezzi","Ottima qualità dei prodotti! Pizze molto buone anche al kamut e senza glutine! consiglio antipasto e i dolci fatti in casa sempre freschi! Ottimo il servizio molto cordiale e sempre disponibile. Prezzi buoni!"
"ui_bubble_rating bubble_30","Pizza ok, servizio no","Conosco da molto il posto. Avendo un bimbo piccolo ultimamente prendevo pizze solo da asporto. Sabato vado con moglie, figlio e suoceri; ordiniamo e la cameriera fa i nostri menu al tavolo a fianco, arrivati dopo di noi. Morale della favola, dopo circa 20 minuti l'altro tavolo mangia le pizze, noi dobbiamo aspettare ancora 25/30 minuti. Per un totale di quasi 50/55 minuti di attesa. Arrivano le pizze a me e mia moglie; dopo 5 minuti arriva a mio suocero, quando noi avevamo finito arriva a mia suocera. E si sono dimenticati anche degli ingredienti. La pizza è sempre buona, purché non la tirino fuori troppo presto, il servizio è stato pessimo. Tornerò un altro sabato sicuramente, ma se il servizio rimane questo vorrà dire che mi limiterò all'asporto."
"ui_bubble_rating bubble_10","Delusione ","Una delusione!Abbiamo fatto un’ora di strada per raggiungere questo locale, convinte dalle buone recensioni lette, e dal fatto che offrissero l’impasto senza glutine.Dopo 15 minuti di attesa, finalmente arriva una ragazza a prendere l’ordinazione:7 pizze, di cui 6 con impasto al kamut.Attendiamo altri 50/55 minuti, sollecitando più volte la cameriera per sapere a che punto fossero le nostre pizze. Puntualmente ci viene risposto “stanno arrivando”.Attendiamo altri 10 minuti e la stessa cameriera ci viene ad informare che era possibile preparare solo 4 pizze con l’impasto di kamut, perché l’avevano terminato. Comunichiamo quali pizze modificare. Finalmente, dopo lunga ed estenuante attesa, arrivano le pizze.È finito tutto per il meglio penserete... assolutamente no!Di 7 pizze, 5 sono sbagliate:- una pizza con le alici, senza alici- Una pizza merendero, con aggiunta di pesto (non richiesto)- Una pizza salsiccia e spinaci, è diventata salsiccia e cime di rapa- Una pizza salsiccia e broccoli, sono scomparsi i broccoli e comparse le cime di rapa- Una merendero senza mozzarella, con provola: non c’era né provola né mozzarella.Sottolineando l’errore, rimandiamo indietro 2 delle 5.Finalmente possiamo assaggiare quest’agoniata pizza.L’attesa non ne è valsa la pena: impasto gommoso, semi-crudo e pieno di olio. Pesante.Per risollevarci il morale, proviamo a chiedere il dessert:- Tiramisu finito- Babà - Panna cotta- Cheesecake: “abbiamo la cheesecake ai frutti di bosco, cioccolato o caramello” ... “ok, tre cheesecake ai frutti di bosco” ... “ok... aaah no scusateee non abbiamo i frutti di bosco”.Devo continuare il racconto? Penso possa bastare.Mi dispiace dover lasciare una recensione negativa, ma purtroppo non posso fare altrimenti. Il servizio non è stato assolutamente all’altezza, e anche il cibo ha lasciato a desiderare."
"ui_bubble_rating bubble_10","Pessimo! Da evitare assolutamente","Pessimo sia nel servizio che nel cibo. Servizio deludente, di 7 pizze ordinate 5 non corrispondevano all'ordine fatto, ci hanno presentato dolci che in realtà non avevano, non ci portavano l'acqua e abbiamo dovuto aspettare più di un'ora per ricevere una pizza con impasto senza glutine che non è mai arrivata (nonostante ci fossimo premunite chiamando anticipatamente per sapere se l'impasto per intolleranti ci fosse). In più la pizza era gommosa e poco digeribile.Se potete evitate questo posto!"
"ui_bubble_rating bubble_40","Consigliato","Sono stata a cena con delle amiche. Locale senza pretese, ambiente adatto per famiglie e comitive. Abbiamo mangiato la pizza e siamo rimaste tutte molto soddisfatte. Una pizza come si deve! Complimenti!"
"ui_bubble_rating bubble_40","Pizza e antipasti","Locale familiare gestione familiare. Buona la pizza impasto non troppo sottile bordi alti tipo napoletana mo biscottato. Ottimi anche gli antipasti mozzarella di bufala fresa. Anche gli affettati buona anche la stria che servono al posto del pane. Carina la cameriera da visitare "
"ui_bubble_rating bubble_40","Buon Ristorante","Siamo stati ieri sera al Sciuscià... Buona posizione vicinissimo al centro storico, parcheggio auto adiacente... ambiente pulito, personale gentile... Abbiamo preso uno spaghetto aglio, olio e peperoncino, un rigatone fumè e una pizza, squisiti i primi piatti, buona la pizza... ritorneremo sicuramente "
"ui_bubble_rating bubble_50","Buonissima cena","Oggi 2 giugno cena in famiglia Antipasto sciu scia abbondante e di qualita ,pizze e altro molto buono.Lo consiglio"
"ui_bubble_rating bubble_10","Delusione!!","Totalmente delusa, ordine con consegna a domicilio con 30 minuti di ritardo, in più la stessa pizza presa 15 giorni fa pagata euro 7,50 con gli stessi ingredienti, oggi sabato 2 giugno 2018 si riprende la pizza di 15 giorni fa e la paghiamo a 7,50 euro con 0,80 centesimi in più per il pomodoro!bahhh... Si ordina tortellini con funghi e tartufo, trovarsi invece tortellini con salsiccia, panna e qualche pezzetto inesistente di funghi... basita!!!! Tagliata pagata a 15 euro e trovarsi più rucola che carne... scrivete sul menù rucola con pezzettini di tagliata..senza parole!!! Fornarina due spicchi con la cipolla di non so quanti giorni... bah a mio avviso meglio non darla a sto punto!!!!.. Su just eat il costo di consegna é di 1 euro e sentirsi dire al telefono due euro per la quantità dall'ordine.. il massimo é di 3 euro se si prende più di 5 cose.. questa non l'ho capita...Mai più!!!"
"ui_bubble_rating bubble_30","Buona","Prendiamo spesso da asporto. La pizza non è affatto male. L'impasto è il classico Napoletano e devo dire che è ben lievitata e con un ottimo condimento. Consiglio la parmigiana con le melanzane fritte. E consiglio di prendere anche la loro porzione di abbondanti e buone patatine fritte. A ridosso del centro di Jesi è molto comodo. "
"ui_bubble_rating bubble_30","Buone le pizze e,questa volta anche il servizio, grande confusione nel fine settimana","Le pizze erano buone ed i tempi d'attesa più che accettabili, considerando l'affollamento ed il fatto che il locale garantisce anche servizio d'asporto. La varietà delle pizze offerte è notevole (ma il locale funziona anche come ristorante ed offre primi e secondi). Purtroppo il sabato c'è molta confusione. Nel nostro caso siamo stati letteralmente assordati da un tavolo occupato da bambinetti esagitati, la cui educazione è solamente pari a quella dei genitori. Prezzi nella media. Da consigliare, evitando il fine settimana."
"ui_bubble_rating bubble_20","Una volta e poi basta","La pizza potrebbe anche essere buona....forse perché io non sono riuscito a gustarmela visto che ho atteso più di un‘oraSono disorganizzatissimi "
