"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottima pizzeria..!!!!","Sicuramente un locale che a Jesi và per la maggiore. Ci veniamo spesso e specie nel week end devi sempre prenotare. E' Un locale casereccio che ha da sempre l'accoglienza e la familiarità i pezzi forti. La pizza e i primi, sono dei piatti che valgono la pena assaggiare specie la carbonara. Per me un locale per comitive e famiglie più che buono con un cucina semplice ma gustosa .Un pò confusionario, ma il servizio è cordiale e veloce.Uno dei migliori."
"ui_bubble_rating bubble_10","Disastro ","Prezzi alti, porzioni di fritti vergognose, pizza veramente di basso livello, l unica cosa che si salva è il tiramisù, rapporto qualità prezzo uno dei peggiori mai visti, 21 euro per una pizza un fritto ridicolo e un dolce "
"ui_bubble_rating bubble_20","Pizza nella media","Dopo averne sentito lungamente parlare abbiamo voluto provare questo ristorante. La base delle pizza è sottile, il condimento abbondante ma insapore. Devo ancora capire a cosa sia dovuta la sua fama."
"ui_bubble_rating bubble_40","Buono e rumoroso","Cena di un mercoledì di settembre,io e il mio ragazzo: servizio veloce e preciso, pizza molto buona e ambiete semplice ma accogliente. Unica pecca eravamo in una sala con altri tre tavoli composti ognuno da dieci ragazzini/e urlanti, abbiamo finito le nostre pizze velocemente e ce ne siamo andati perché non riuscivamo quasi a sentirci."
"ui_bubble_rating bubble_50","Serata per una dolce e piccola ricorrenza","Locale pieno anche se era mercoledì sera. Tavolo prenotato per cui ci hanno fatto accomodare subito. Servizio veloce e preciso senza essere assillante. Pizza sottile e ben condita, se piace così è ottima. Conto giusto per un ottimo rapporto qualità prezzo. Bravi, continuate così."
"ui_bubble_rating bubble_40","Una buona pizza a tutte le ore","Una vera ancora di salvezza per tutti gli amanti delle cene post spettacolo e post teatro.Pizza buona fina e gustosa Consigliatissimi anche i pesciolini come dessert. Personale accogliente!"
"ui_bubble_rating bubble_40","De gustibus ","Normalmente non leggo le recensioni negative prima di scrivere la mia però questa volta l'ho fatto e non concordo con i detrattori. Chissà cosa è dove mangiano. La pizza è buona per niente pesante e ben farcita da come si vede nella foto che allego i dolci sono buoni ma soprattutto il personale è molto gentile e disponibile e professionale. Unico neo il locale è rumoroso ma sfido chiunque a trovare un ristorante silenzioso con tutta quella gente. "
"ui_bubble_rating bubble_50","Gloria in excelsis","Siamo venuti l'altroieri io ed il mio ragazzo a cena (premetto che entrambi lavoriamo da camerieri in un altro locale).Che dire? Un'esperienza commovente: la sapienza, la passione e l'armonia muovono questo cielo - pregio più unico che raro, di questi tempi. Servizio eccellente, camerieri gentili e cordiali non solo con i clienti ma sopratutto tra loro, prezzi modici, titolare magistrale.Le pizze sono letteralmente tanto divine che potrebbero quasi esser offerte agli angeli: fini, croccanti, gustose, variegate, com'è d'uopo una pizza onorevole sia. Riempiono dolcemente, senza intoppare né nel durante né a pasto concluso.Noi abbiamo ordinato una Jacopo e una Parmigiana Bianca ed eravamo indecisi se assaggiare poi anche la Diavola.Peccato soltanto per l'indisponibilità di salmone per la Del Nord e per l'assenza di un fritto misto. Ma queste sono quisquilie.Se volete sapere del Paradiso, non andate in chiesa, ma fate un salto qui. Consigliato di tutto cuore,complimenti !!!PS. leggere le recensioni altrui mi riprova sempre quanto il popolo sia, com'è naturale, irragionevole: mi colpisce chi si lamenta che gli animali non siano ammessi (se ora lo sono, non lo so).  1. Memento che siamo in un ristorante, non in una fattoria o in uno zoo. 2. Poi, se, come in altri locali, ognuno portasse il proprio pet (spesso veri e propri cerberi), si ostruirebbe il passaggio ai camerieri, si rischierebbe che altri eventuali clienti allergici o paurosi si lamentino e si potrebbero verificare spiacevoli episodi come corteggiamenti o risse tra animali."
"ui_bubble_rating bubble_30","Pizza nella media","Sono stato con un collega di lavoro e ci siamo presi una pizza a metà ed un piatto di tortellini . La pizza è di uno stile che non amo, impasto sottile e molto cotta, i tortellini invece erano molto abbondanti ma il sale era veramente eccessivo, ho bevuto tutta la notte"
"ui_bubble_rating bubble_40","Pizza","Bel locale disposizione dei tavoli buona non accalcati. Buono gli antipasti la pizza bassa biscottata ma buoni i prodotti che usano per la farcitura. Consigli magari prenotare io sono stato in settimana ed era pieno per cene e compleanni. "
"ui_bubble_rating bubble_40","Locale ampio e informale","Ottima pizza, ampia varietà di scelta e servizio sollecito. Al termine offrono uno squisito liquore alla liquirizia e limoncello."
"ui_bubble_rating bubble_40","Pizza ottima ","Ristorante pizzeria locale semplice pulito ben illuminato, si mangia bene ottimi primi e secondi, vasta scelta di pizze, molto buone. Consiglio, ci ritornerò prezzi nella media "
