"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Tutto ok","Abitando vicino,ogni tanto prendo le pizze da asporto,oppure dei bei paninozzi fatti con l impasto della pizza,tutto molto gustoso,ordinazioni veloci,e rapidi nella preparazione,il titolare Lorenzo simpatico e cordiale."
"ui_bubble_rating bubble_50","Cortesia e qualità ","Ho cenato due sere consecutive in questa pizzeria e sono rimasto colpito dalla disponibilità nel venire incontro alle mie esigenze. La prima sera ho preso la pizza ed era veramente buona, la seconda sera mi hanno proposto insalatona facendomi scegliere gli ingredienti e devo dire che la quantità oltre che la qualità nn erano affatto male. Con 7 euro si pranza o si cena tranquillamente e occhio alle promozioni giornaliere. Bravi e in bocca al lupo ragazzi. "
"ui_bubble_rating bubble_50","Buona buona","Pizza eccezionale.. Digerita benissimo, condita molto bene e cotta al punto giusto.. Il pizzaiolo é cordiale, sorridente e si prende vita del cliente.. Fanno anche consegna a domicilio 7 giorni su 7 sia a Jesi che Monsano.. Abbiamo provato anche delle fritture.. Deliziose a dir poco. La pizzeria si trova all'esterno del centro commerciale il Torrione in via galleria della Sima.. Sicuramente torneremo e poi un' altra volta ce le faremo consegnare. Aggiungo dicendo che il locale è poi che pulito e non è cosa da poco..."
"ui_bubble_rating bubble_50","Nuova gestione Top","Con la nuova gestione la qualità e la cortesia sono diventati super!! Tutto molto buono a prezzi bassi! Consiglio a tutti di fare i menù... Insomma... Complimenti!!! "
"ui_bubble_rating bubble_50","wow,ottima...","Ho Small Pizza,di Jesi a pochi passi da me.Titolare Lorenzo,moltonsimpaticoIl pasto è carinissimo,puoi vedere la cucina,pulitissima."
"ui_bubble_rating bubble_50","OTTIMO DIREI","Pizza squisita!!!!!!!E' sempre una garanzia mangiare la pizza da Lorenzo. Mia figlia adora il super panino con patatine e il piccolo la pizza small!!!Per non parlare del proprietario sempre gentile e con il sorriso sulle labbra!!!Grazie Lori....alla prossima!!!!"
"ui_bubble_rating bubble_50","Provare per credere!","Se siete amanti della pizza, provatela qui, è davvero buonissima! Io faccio tappa fissa almeno 3 volte a settimana, il personale è molto cordiale e soprattutto quando non posso, usufruisco del servizio a domicilio! Cosa si può volere di più?"
"ui_bubble_rating bubble_50","Di sicuro tra i migliori ","Cibo ottimo. Prezzi molto concorrenziali. Servizio eccellente. Personale simpatico e professionale. Comodo il servizio a domicilio e interessanti le offerte della settimana. Di sicuro lo consiglierei."
"ui_bubble_rating bubble_50","Pizzeria perfetta","Pizza ottima, servizio ottimo, staff eccellente e molto cordiale. Consiglio a tutti di provare!! Località semplice da trovare, prezzi ottimi e la pizza è anche da asporto."
"ui_bubble_rating bubble_20","Avranno cambiato pizzaiolo e gestione","questa pizzeria fà anche servizio a domicilio, per comodità ordino spesso..due settimane si è chiuso un occhio per dei panini con crudo, dove il prosciutto era spezzettato a tocchetti, e non come si fa di solito con fette normali.. (le foto del panino sono in questa pagina)altra anomalia è successa ieri sera, quindi ho deciso di pubblicare una recensione...ieri sera si è ordinato capricciose, inferno, tonno e panini vuoti.. capricciosa mancava prosciutto cotto, inferno le cipolle erano bruciacchiate, l'unica pizza che siamo riusciti a mangiare senza problemi di farciture e bruciature la tonno. I panini vuoti li han fatti pagare 2€ cad uno , dove invece altre volte 0.80 € cent ..avranno cambiato gestione -.- boh cmq ho deciso che per un tot di tempo non mi servirò in questa pizzeria"
