"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Nulla di che","Una coppa grande di gelato che sinceramente non mi ha entusiasmato...I gusti quasi non si differenziavano l' uno dall' altro.Personale gentile"
"ui_bubble_rating bubble_50","Cortesia al top","Conoscevo questo bar da diversi anni per il gelato ed il caffè, ma ho avuto modo solo da poco di poterci pranzare.Come sempre ho trovato ampia cortesia, cibo buono e prezzi onesti.Mi auguro di tornarci presto e di continuare a trovare quanto ho sempre apprezzato."
"ui_bubble_rating bubble_50","Istituto tecnico professionale","Io questo bar lo conosco da 50 anni il vecchio proprietario lo teneva poco accogliente e sporco. Da quando sono arrivati a gestirlo i fratelli Garzedda Sebastiano e Dino il locale ripreso a vivere diventando il miglior varcare del Corso. Fratelli disponibili ed allegri, io ci vado tutte le mattine faccio colazione e mi leggo il giornale. D'inverno sto al bel caldo mi passo un po' di tempo in un ambiente simpatico, in estate sono ai tavoli sotto le Loggia e mi godo il passeggio. "
"ui_bubble_rating bubble_40","Gradevole location al centro del Corso di Jesi","Gradevole location al centro del Corso di Jesi. Le colazioni mattutine; il gelato al tavolo sotto i portici; osservare il passeggio con tranquillità. All'interno ci sono bei quadri acquarello di Mondo Giuliani. Titolari simpatici e tifosi dignitosi del Cagliari. Viva i Rossoblu."
"ui_bubble_rating bubble_40","un pomeriggio a jesi","bar al centro di jesi accogliente con tavoli all aperto.... personale gentile e buon servizio.... buona scelta di pasticceria e salati.gradevole posto anche all interno con saletta.."
"ui_bubble_rating bubble_30","Bene ma non benissimo","Nonostante il piccolo spazio il locale è accogliente. Purtroppo il gelato è granuloso, farinoso, troppo ghiacciato e dai sapori alterati (commestibile ma non buono). Valutazione gelato: 1/5"
"ui_bubble_rating bubble_50","Ottimo bar","Ottimo bar situato lungo il Corso in pieno Centro Storico, luminoso, accogliente, con un'ampia scelta tra brioches e sandwitc (anche per vegani e celiaci), ideale anche per pranzi veloci con primi caldi o cresce, piadine e tramezzini. Personale accogliente e gentile."
"ui_bubble_rating bubble_50",",,, Una sicurezza,,, ","Ottimo bar di ritrovo dove poter fare buone colazioni con molte varietà di brioches e sandwich freschi anche per vegani e celiaci... Locale molto accogliente con personale qualificato e gentile.... Consiglio anche per chi fa pranzi veloci"
"ui_bubble_rating bubble_50","Bar Snoopy... indispensabile...","...un bar e non solo grande situato sul Corso principale frequentato da clienti abituali ma anche da molti turisti che ogni anno popolano questa città. Un posto dove ogni uno trova ciò che desidera dalla prima colazione, gelati oppure un pranzo veloce,un cocktail ecc. Personale molto gentile e professionale come solo in un'attività a conduzione famigliare si può trovare. Un cliente qui si sente veramente a suo agio sia che cerca un caffè veloce che un ristoro per pausa pranzo."
"ui_bubble_rating bubble_40","Il gelato di Snoopy","Locale carino e pulito dove gustare un rinfrescante gelato (ottimi la pesca e il pistacchio) seduti all'interno, oppure nei tavolini esterni (senza maggiorazione). Qualità e quantità a prezzi convenienti e gestore molto simpatico."
"ui_bubble_rating bubble_40","Sì sta bene","I titolari sempre molto gentili e disponibili ,buono sia il dolce che il salato,tavoli a disposizione sia dentro che all'esterno,prezzi nella media."
"ui_bubble_rating bubble_40","ottimo","Bar del cuore a Jesi , torniamo sempre con molta felicità ed è il nostro appuntamento fisso della domenica mattina. Ampia disponibilità di dolci e salati , caffè e cappuccino molto validi. Personale e titolari sempre simpatici e carini."
"ui_bubble_rating bubble_30","Buono per un aperitivo","Quando si è 'a spasso' per il corso, il caffe' centrale è in una posizione ideale per invogliarti a prendere un aperitivo, mentre, da seduti, si osserva il passeggio."
"ui_bubble_rating bubble_20","Caffè a Jesi","Come da titolo, ci siamo fermati presso questo bar soltanto per bere un caffè prima di completare il nostro giro in città. Ci siamo accomodati fuori presso uno dei tavoli all'aperto (gli stessi sono disposti sotto il portico attiguo al locale). Una cameriera è venuta dopo un po' a raccogliere il nostro ordine, portandoci quindi i caffè (anche buoni). Il bagno non era sporco ma in disordine si; la tavoletta (come da foto allegate a questa recensione) era staccata dal water e abbandonata al suolo, certo non un bel vedere. Prezzi nella media e non propriamente solare, per così dire, il signore al banco con cui ho saldato il conto. Credo ci siano margini di miglioramento, mettiamola così."
"ui_bubble_rating bubble_40","Bar centrale sempre aperto","Ottimo bar gestito da due fratelli molto disponibili, gentili e simpatici, il personale è gentilissimo e professionale mentre per il cibo offerto, (brioche, tramezzini, panini, pizzette, ecc.) è di buona qualità a prezzi nella media del centro città.Lo consiglio."
