"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Nuova gestione. Primi buoni ed abbondanti. Decisamente economico","Primi ottimi ed abbondanti (carbonara ed amatriciana)Carne sulla brace discreta, pizza nella norma. Prezzi eccezionali.Ottimo per far baldoria, compleanni di piccoli e grandi"
"ui_bubble_rating bubble_40","Calcetto e cena! ","Cosa c'è di meglio dopo una partita di calcetto aziendale di una bella grigliata all'aria aperta? Locale rinnovato da poco. Ci ritorneremo."
"ui_bubble_rating bubble_20","manca ancora la pedalata giusta","sono stata diverse volte con la mia famiglia questa estate; ho l'impressione che il team (personale sala e cucina) stenti a trovare il pedale giusto ... comunque è una squadra giovane e voglio concedere altri appelli."
"ui_bubble_rating bubble_20","Ennesima gestione che non va.....","Sono stato in questo posto che conosco bene attratto dai giochi gonfiabili ma inconsapevole del cambiamento ( aihmè purtroppo ) della gestione del ristorante.Regolarmente tesserati anche se la tessera scaduta, non c'è stato chiesto di rinnovarla. Abbiamo ordinato e già qui sono partiti con il piede sbagliato. Nel momento in cui ordini e richiedi una piccola modifica ad un primo non ti si può piombare il Cuoco in sala e dirti in maniera un pò diciamo risentita che si può fare ma in realtà era meglio di no. E' che prende ordinazioni che deve riferire e non il cuoco che parte dalla cucina..... Un menù composto da 5 primi e ci viene quasi recriminato il fatto che ne abbiamo presi tre differenti: ma senza parole................. tra l'altro riesce il cuoco dicendo che nel primo modificato si era dimenticato la pasta in cottura. Risultato: i spaghetti sono diventati bucatini. Ma l' errore più grande è che il piatto l' ha portato dicendo: se non vanno bene perchè troppo cotti li rifaccio. Ma scherziamo? Con un minimo di serietà non doveva presentarsi, doveva rifare il piatto e scusarsi del ritardo per il disguido. Comunque da sottolineare che si è scusato per l'inconveniente. Tra i primi e i secondi l'unica cosa veramente buona erano le patate arrosto.....................Della gestione mi astengo."
"ui_bubble_rating bubble_10","RIMPIANGO LA VECCHIA GESTIONE","Domenica sono stata a cena con amici e curiosi dei gonfiabili (visto che abbiamo 2 bambine di 10 anni),siamo rimasti a cena. Altre volte avevo mangiato in questo posto, e devo dire sempre soddisfatta sia del cibo che della gentilezza del personale(mi riferisco alla vecchia gestione). Ieri un altro mondo...cucina scadente, gonfiabili all eccesso della sporcizia (guarda caso ci giocano bambini) e personale nn sempre affabile e gentile. Ordiniamo dal menù ed io al posto dei ciavattoni al guanciale chiedo spaghetti. Mia figlia straccetti di pollo fritti. Si presentano con tre fettine di petto di pollo panate ed un piatto di spaghetti bianchi,collosi e iper-scotti perché il cuoco li aveva dimenticati in pentola. Li ritorno in cucina e dopo una mezz 'ora di attesa ,si presenta il cuoco stesso con un altro piatto di spaghetti al guanciale. Veramente un piatto da brividi: languido,insipido e da dimenticare. La fame si è arrestata ed io ho lasciato praticamente tutto nel piatto. Non credo ritornerò."
"ui_bubble_rating bubble_50","Bellissima esperienza","Nuova gestione . Di tutto di più in questa struttura. Ottima la cucina . Bellissimi i giochi per i bimbi. Tantissimo divertimento. Complimenti alla nuova gestione ."
"ui_bubble_rating bubble_50","W il rugby","Un must per gli amanti del rugby. Ottimi piatti, ottima birra e ottima compagnia. All'interno cimeli e storia del rugby jesi."
"ui_bubble_rating bubble_50","Caratteristico","Siamo stati a cena con le famiglie dei colleghi, abbiamo scelto questo locale in quanto ne sentivamo parlare molto e tutto quello che avevamo sentito è stato confermato.Il menù prevede proposte per grandi e piccoli, la carne fa da padrone, e devo dire molto buona.Il locale come si può capire dal nome è vicino al campo da Rugby, e si respira quell'aria da terzo tempo che c'è dopo le partite.Fuori c'è molto spazio per i bambini.Nella sera in cui siamo stati c'è stata l'Animazione da parte di alcune vecchie glorie del Rugby jesini che bevevano e cantavano, nulla di fastidioso, anzi molto caratteristico.Prezzi ottimi."
"ui_bubble_rating bubble_50","Qualità/prezzo ottimo","Io vado tutte le settimane a mangiare in questo pub e non mi ha mai deluso, birra ottima la Leffe ce l'hanno in pochi, rapporto qualità/prezzo ottimo, buona carne ed ottimi primi, e poi l'ambiente del rugby è inimitabile ed unico, consigliatissimo!"
