"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Fantastico","Locale molto bello, cibo fresco, buonissimo e di ottima qualità. Personale stupendo e simpaticissimi. Consigliatissimo."
"ui_bubble_rating bubble_20","nulla di eccezionale","locale originale e bello. bisogna servirsi da soli alla cassa non è possibile prendere le patatine fritte come contorno,ma solo in abbinamento al burger ... la focaccia testo un pochino pesantina"
"ui_bubble_rating bubble_40","Buona la torta al testo ","Siamo venuti in questo locale per mangiare la torta al testo e ci è piaciuta!I tavolo non si prenotano; ordini alla cassa e ti portano da mangiare al tavolo.Torneremo per provare la carne. Hanno anche primi del giorno."
"ui_bubble_rating bubble_50","Super torta al testo","Ho preso la torta al testo con impasto integrale ed era deliziosa!! La farcitura è sempre bella abbondante così come le porzioni dei contorni. Servizio veloce con personale gentilissimo, disponibile e simpatico!Locale particolare e carinissimo dove cenare ad un prezzo abbordabile a tutti!"
"ui_bubble_rating bubble_40","Serata al testone","Ambiente rustico molto gradevole, il grande caminetto riporta a un clima familiare. Personale efficiente e simpatico oltre che molto disponibile, avevamo due bambini. Ho assaggiato pasta e fagioli, veramente saporito e piccante al punto giusto senza coprire i sapori principali."
"ui_bubble_rating bubble_50","CENA VELOCE MA DI QUALITÁ","È un locale molto accogliente dove poter cenare in coppia o tranquillamente in famiglia. Ha prezzi ottimi e ha prodotti davvero di qualità! Molto consigliato"
"ui_bubble_rating bubble_40","Locale adatto a cene con amici","Ospite di amici, ho sperimentato questo particolare locale.Non ho trovato ampia scelta, ma diverse particolarità culinarie.L'ambiente è informale e il personale è adeguato.I prezzi non mi sono parsi elevati ma nemmeno troppo economici.Credo che ci tornerò."
"ui_bubble_rating bubble_40","Buon Fast Food","Buon fast food, ho mangiato qui con una decina di amici per una cena tardi e siamo stati bene, buona la torta al testo e le farciture, ottimo il rapporto qualità/prezzo.Molto gentili anche le cameriere."
"ui_bubble_rating bubble_30","nella media!","Sono stata qualche volta a mangiare al Testone. Non mi ha colpito niente in particolare, tutto cibo abbastanza buono ma non troppo per i miei gusti, è buona la torta con la braciola, ma in generale tutto nella norma. Nè sì ne no."
"ui_bubble_rating bubble_40","Sempre a colpo sicuro","Se vuoi un locale informale con servizio veloce, a buon prezzo e soprattutto se ti va di assaggiare pietanze abbondanti che non troverai sui menù classici, allora sei nel posto giusto."
"ui_bubble_rating bubble_30","Cibo ottimo ma....","Ci siamo stati a pranzo ieri al Testone. Il locale è molto carino e il cibo è buono. Do solo tre palline per la scena a cui abbiamo dovuto assistere: avendo la cucina in vista si vede tutto ciò che succede mentre si mangia...a un certo punto, uno dei ragazzi che ci lavora (con la barba) ha iniziato a urlare contro il ragazzo che stava alla griglia (che ha continuato a lavorare tranquillamente senza rispondergli), continuava a urlare finché la ragazza che stava alla cassa non è intervenuta per calmarlo. Capisco che ci possono essere dei diverbi quando si lavora, però sarebbe meglio evitare certe scene soprattutto se si è in vista. Torneremo sicuramente sperando di non rivedere la stessa scena."
"ui_bubble_rating bubble_40","Una bella sorpresa","Ambiente accogliente ed originale, personale gentile ed affabile. Tante proposte e la carne di ottima qualità. Sia a pranzo che a cena il palato viene soddisfatto a prezzi accessibili."
"ui_bubble_rating bubble_40","Che torta!","Capito spesso in questo posto. Location carina e accogliente la torta testo umbra regna sovrana. Ottima quella con erba e salsiccia. Consiglio assolutamente!"
"ui_bubble_rating bubble_40","Pausa pranzo","Sono diverse volte che vado in questo locale, specializzato nella torta al testo umbra ma offre anche primi piatti che variano ogni giorno e carne alla brace.Buono il rapporto qualità prezzo.Lo consiglio"
"ui_bubble_rating bubble_30","Impasto pesante","Prezzo ottimo, 5€ per torta al testo e bibita (acqua, coca, birra) È possibile farcire la torta al testo con 3 ingredienti (non due a base di carne).L'impasto, almeno a me, è rimasto sullo stomaco e non sono riuscita a digerirlo.Non è possibile prenotare, c'è posto dentro e fuori.Non si ordina al tavolo ma alla cassa.I ragazzi che portano a tavola sono simpatici."
"ui_bubble_rating bubble_40","Finalmente personale adeguato ","I più grandi complimenti finalmente dopo due anni che sono aperti hanno preso del personale bravo preparato gentile è professione.....fino a poco fa entrando ti suscitava voglia di uccidere che ci lavorava...tutti agitati che non capivano niente di ciò che facevano.bravi ad oggi e cibo più buono"
"ui_bubble_rating bubble_40","Buon locale","una location molto bella il servizio buono,cordiale e competente... si ha una bella ampia scelta...consigliato a chi vuole spendere poco e mangiare bene...Da rifarci un altra visita..."
