"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Servizio lento e distratto","Sono stata a cena con una coppia di amici peccato che c'era una cameriera in bel po' distratta abbiamo dovuto chiedere le cose più volte, tipo un cucchiaio dopo la 3 volta l ha portato, così anche per il pane abbiamo aspettato, chiesto più volte alla fine l ha portato. Il cibo era buono, ma tanta attesa."
"ui_bubble_rating bubble_40","Confuso e felice","Trattoria storica del centro di Jesi, locale carino ed accogliente, menù ristretto ma che lascia spazio alla grande qualità dei cibi, conto che lascia piacevolmente sorpresi...servizio: confuso e felice...da migliorare!"
"ui_bubble_rating bubble_50","Tutto perfetto","Ottimo rapporto qualità prezzo. Un pranzo per 4 con 1 portata a testa e acqua, abbiamo pagato 52 euro. Siamo usciti sazi e soddisfatti. Tutto buono. Tempi di attesa accettabili, in fondo se si vuole un fast food c'è sempre il McDonald "
"ui_bubble_rating bubble_40","Semplicità e correttezza ","Pranzo semplice con sapori del territorio ben abbinati e cucinati per esaltare i piatti :baccalà e olive ,straccetti e salsicce alla birra insalata di finocchi arance e noci. Verdicchio e Lacrima onesti in bottiglia a partire da dodici euro. Dolci purtroppo standardizzati e non invitanti. Conto onesto e servizio cortese con giovani ragazze sorridenti."
"ui_bubble_rating bubble_30","semplicità e gusto","Trattoria economica, ambienti semplici e puliti, personale gentile, cibi saporiti e abbondanti. Ho trovato molto buoni i tortelloni di ricotta con radicchio, salsiccia e noci. Avrei dato 4 stelle, se non avessi trovato salatissima la carne, per il mio palato quasi immangiabile. Buoni i dolci. Consiglio la trattoria a chi voglia assaggiare cibo locale"
"ui_bubble_rating bubble_40","Piacevolissimo","Cena con amico, un antipasto (tagliere di salumi e formaggi alta qualità) e verdure di stagione, due primi (tagliatelle con coniglio e mezze maniche con cicerchia, pancetta e carciofi) molto buoni. Vino, acqua e caffè, 48 euro totale. Materie prime alta qualità e freschezza prodotti."
"ui_bubble_rating bubble_30","Pranzo veloce","Servizio lento. La portata non corrispondeva a ciò che era descritto nel menù. Ovvero ciabattoni ragù bianco e pecorino, il pecorino era inesistente! Poi pagare un primo 9 euro con 70 grammi di pasta mi sembra molto esagerato. Peccato perché il locale è molto confortevole, ma non mi vedranno più. Due primi, due calici di vino della casa, una bottiglia di acqua, una fetta di crostata ed un tiramisù 35 euro. Il prezzo giusto era 20."
"ui_bubble_rating bubble_30","Pranzo di lavoro","Ho pranzato con un primo di pasta e l’ho trovato buono ma sinceramente nulla di sensazionale. Il personale è gentile e disponibile ed il locale abbastanza accogliente, tra tavolini molto vicini con tovagliette di carta e tavoli tondi apparecchiati di tutto punto."
"ui_bubble_rating bubble_50","Buono, Buono !!!","Siamo stati a cena in questo storico e rinomatissimo ristorante nel centro storico di Jesi di sabato sera.Ambiente accogliente, raccolto, luci soffuse e atmosfera tranquilla. Cordialissimo il personale sempre presente ma mai invadente. Di grande pregio le materie prime che compongono i piatti semplici e gustosi della tradizione marchigiana. rapporto qualità/prezzo adeguato. A pranzo vi attende un menù più semplice e a prezzo fisso ma sempre con la qualità che contraddistingue il locale. Consigliato!!!"
"ui_bubble_rating bubble_50","Il mio buen retiro","E'un locale storico che di Antonietta ha conservato il nome. Ma la regina di questo locale è Roberta Castaldo, aiutata in sala da Giovanna e Silvia, due sorrisi che corrono da destra a sinistra come due palline da flipper. La cucina, solo a pranzo per scelta, non ha menù fissi, ma è aggiornata ogni giorno su una lavagnetta. Primi, secondi e dolci, tutto fatto sul momento. Prenotazione obbligatoria"
"ui_bubble_rating bubble_40","Pranzo ","OTTIMO locale cibo buonissimo personale capace e gentilissimo ottima cucina casalinga e pasta preparata al momento dolci fatti in casa "
"ui_bubble_rating bubble_50","Ottimo cibo e ambiente accogliente","Abbiamo mangiato benissimo senza spendere un esagerazione. Cibo di alta qualità. Ambiente curato. Personale molto gentile."
"ui_bubble_rating bubble_40","Cucina tipica marchigiana","Il ristorante si trova a ridosso del centro storico di Jesi a circa 15 minuti a piedi dalla stazione. Ottimi i primi: passatelli con radicchio e guanciale croccante, ravioloni con le noci. Buona la carne fritta, piatto tipico locale. Per finire ottimo Crumble al caffè. Prezzo intorno ai 25 euro a testa. Vino della casa non eccelso ma dignitoso. Personale gentile e servizio molto celere. consigliato."
"ui_bubble_rating bubble_50","Eccellente è dir poco...!","Un posto accogliente, servizio cordiale e attento verso il cliente, le pietanze sono squisite, i primi sono fatti in casa secondo le antiche ricette di un tempo, ma rivisitati in chiave moderna con sughi che ne risaltano i sapori!Un posto dove sicuramente andrò altre volte."
"ui_bubble_rating bubble_40","Piatti di qualità ricercati, ma poco servizio","La cucina è di grande qualità e molto originale con piatti tipici ottime le abbinate con la pasta asciutta e carciofi piuttosto che fave e tanto altro ancora a seconda della stagione. Peccato che il servizio lascia molto a desiderare ed in dala a volte si attende inutilmente. Ma nonostante tutto ci torno sempre volentieri. Da prenotare sempre. Prezzi giusti. Provatelo."
"ui_bubble_rating bubble_50","Pura goduria ","Da tanto che cercavo di andare in questo posto ma non riuscivo mai a trovarlo aperto (in settimana alcune sere è chiuso) ma devo dire che ha SODDISFATTO PIENAMENTE le mie ASPETTATIVE e il mio PALATO. Ho mangiato i passatelli con le zucchine salsiccia rucola e pinoli e ad ogni morso mi aumentava l’acquolina tanto erano buoni! Contorni buoni e secondi pure!tornerò per provare dell’altro "
"ui_bubble_rating bubble_50","Ottima scelta!","Abbiamo visitato Jesi e giunta l'ora di pranzo la scelta della trattoria Antonietta si è rivelata vincente, ottimo rapporto qualità prezzo.Il menù è scritto su una lavagna, questo metodo a mio avviso riduce la scelta ma rafforza il concetto poco ma buono!!Ed è quello che è successo, tutto molto buono.Consiglio una visita!"
"ui_bubble_rating bubble_50","Semplicità","Accoglienza superlativa. Abbiamo assaggiato la pasta fatta in casa e dell'ottima carne nonché delle verdure molto gustose. E' aperta solo a pranzo in questa stagione ma vi consiglio di andarci se siete in zona. "
"ui_bubble_rating bubble_40","garanzia","Trattoria molto carina nel centro città, cortesia e semplicità , piatti squisiti, semplici ma gustosi , buonissimi anche i dolci.consigliatissimo"
"ui_bubble_rating bubble_50","Sapori autentici","Siamo state per caso in questa trattoria nel centro della cittadina . Abbiamo mangiato benissimo e speso il giusto. Il servizio è stato molto veloce. Cortesia e semplicità la caratterizzano. Da consigliare assolutissimamente."
"ui_bubble_rating bubble_50","Un delizioso compleanno","Posto davvero caratteristico a Jesi... Cucina casereccia ma con classe e cura... Gestione familiare e clima accogliente! Da provare per poi ritornare! Anche per festeggiare compleanni di famiglia!"
