"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Tradizione napoletana ad altissimi livelli","Conoscevo già La Taverna Do Re Ma l'ho apprezzato ancora di più nel nuovo Format ristorante braceria!Ho mangiato in coppia e sia i prodotti di mare che quelli di terra erano davvero eccezionali! Polpo da Luciana, zuppa ai frutti di mare, linguine con le vongole e l' inimitabile ragù napoletano! Voto 10 e ci tornerò Appena torno a Napoli"
"ui_bubble_rating bubble_40","La cena di capodanno","Uno dei pochi posti a Napoli con menù alla carta per capodanno (anche se i prezzi per l'occasione erano stati gonfiati)... scelta quasi obbligata dunque ma fortunata!!! Tutti i piatti scelti erano ottimi, antipasto di pesce (polpo alla Luciana) e filetto di carne con chips molto soddisfacenti!! Mi sento di consigliarlo visti anche i prezzi standard molto buoni! Cibo buono e di qualità!"
"ui_bubble_rating bubble_20","Non bene! ","A vedere i 4 solitari pesci defunti con foglie quasi secche del 'banco' dovevo andare via... Servizio cordiale e numeroso, ma lento!! Ci puoi servire il triplo di clienti. Piatti normali... Divertente poi vedere che l'Iva del 10% si aggiunge ai prezzi delle portate... scappo."
"ui_bubble_rating bubble_40","Una buona taverna","La prima sera di un breve viaggio a Napoli abbiamo visitato questa taverna che, al primo impatto, non ci è piaciuta salvo poi ricrederci. Abbiamo mangiato come antipasto mitili crudi molto freschi per poi dei buoni paccheri con il pescato del giorno. Le spesa finale è stata assolutamente nella norma. Da consigliare."
"ui_bubble_rating bubble_50","Accoglienza e cucina tradizionale","Il locale è su due livelli, più una veranda riscaldata. Al piano terra, una sala con pochi tavoli e uno spettacolare banco pesce e carni con griglia ti accolgono in una atmosfera calda e familiare. Il personale è cortese e simpatico, il servizio buono, supervisionato con attenzione dalla proprietà. Abbiamo ordinato pasta col ragù napoletano, cucinata alla perfezione, ed un antipasto. Abbiamo mangiato poco perché reduci da un pranzo impegnativo, ma ciò che vi è stato servito era eccellente. Ristorante da provare. Meglio prenotare. Prezzi nella norma."
"ui_bubble_rating bubble_40","Un’osteria molto buona ","Questa Osteria d’Italia offre un ben equilibrato menù di terra e di mare con un rapporto qualità quantità prezzo molto buono. La cucina parte da una solida base napoletana e consente di apprezzare i piatti della tradizione, ma volendo di assaggiare un buona scelta di carne e pesce di qualità alla brace. La carta dei vini non è male, campana innanzitutto, ma non solo, si rimane soddisfatti, così come i dolci non deludono. Una nota di merito al servizio alla mano, simpatico e sempre educato. Un locale da provare!"
"ui_bubble_rating bubble_50","Sublime","Non siamo abituati a fare recensioni, ma questa volta è proprio necessario. Siamo a Napoli per le feste natalizie e siamo capitati in questo ristorante vicino al ns alloggio..... Che dire: ospitalità, piatti eccellenti (vi consigliamo la degustazione di baccalà e la parmigiana di melanzane), una scelta di vini di tt rispetto. Ovviamente ci siamo tornati più di una volta. Non perdetelo."
"ui_bubble_rating bubble_40","Di rientro al b&b","Ci siamo fermati perché vicino al nostro b&b ed è stata una bella sorpresa. Locale con la saletta piccola ma accogliente, il servizio preciso e poi un menù davvero con piatti della tradizione.Davvero una bella serata."
"ui_bubble_rating bubble_50","Trattamento da re","Dopo una triste esperienza a pranzo, la sera abbiamo cenato qui nella sala superiore (molto accogliente) e siamo riusciti a soddisfare la nostra voglia di buon cibo napoletano. I piatti erano tutti squisiti, sia quelli di pesce che di carne. Il personale estremamente gentile e simpatico, hanno allietato la nostra serata. Si respirava aria di festa, é stata una serata stupenda, ve lo consiglio vivamente. "
"ui_bubble_rating bubble_40","Cenetta napoletana","Locale carino e accogliente, servizio cordiale e preciso. Abbiamo ordinato le bruschette di alici di Cetara, la pasta alla genovese, il tris di ragù di carne e il piatto degustazione di baccalà. Tutto cucinato con attenzione. Eravamo già sazi e Purtroppo non abbiamo potuto ordinare i dessert che sembravano molto invitanti. Da provare. "
"ui_bubble_rating bubble_50","Natale a pranzo","Sono stata insieme alla mia famiglia in questo ristorante per la prima volta per il pranzo di Natale. Il locale è molto accogliente, familiare e tranquillo. Il personale molto é molto gentile, solare e attento. Ci siamo fatti consigliare sul vino e veramente è stato ottimo! In un giorno di festa non mi aspettavo che il servizio era veloce, ma invece mi ha stupita! La cucina classica napoletana è ottima e i prezzi sono giusti!!! Ci ritornerò sicuramente per gustare il resto del menù! "
"ui_bubble_rating bubble_50","Cena di lavoro","Pensavamo di fare classica cena di lavoro ma con l'esilarante simpatia e accoglienza dello staff è diventata una cena tra vecchi amici, per non parlare della qualità dei pasti e anche del vino, eccezionale. Una chicca vi faccio vedere, cernia di 12 kg eccezionale"
"ui_bubble_rating bubble_30","Peccato la location","Ottima cucina basata su piatti del territorio. Servizio cortese anche se lento. Ampia e curata carta dei vini. Molto buona la parmigiana di alici. Peccato però che l'uso anche nella stagione fredda del dehor renda molto spiacevole anche pranzare all'interno in particolare nella piccola stanza a pian terreno dove abbiamo cenato. L'andirivieni dei camerieri ha fatto si che per tutta la durata della cena abbiamo avuto un corrente gelata sul collo. Prezzi non economici."
"ui_bubble_rating bubble_50","Ottimo pesce ed accoglienza partenopea.","Una serata speciale dove ho potuto mangiare ottimo sushi partenopeo e piatti della tmigliore tradizionale napoletana.Accoglienza calorosa e discreta.Un'esperienza al si sopra delle attese Complimenti."
"ui_bubble_rating bubble_40","Una vera e propria taverna napoletana!","Sono stati qui per un pranzo con la famiglia. Location molto carina (ad esclusione della “sala”esterna che non è molto curata). Personale gentile e simpatico. Abbiamo mangiato pesce e crostacei crudi che sono risultati davvero freschi e di ottima qualità cosi come il resto delle pietanze. Ottimi i primi e i secondi della tradizione, come il classico ragù (lo consiglio vivamente)! Altra nota positiva è la vastissima scelta di vini a disposizione.Ci vorrebbe solo giusto un po’ più attenzione al servizio (alcune cose le abbiamo chieste un paio di volte prima di riceverle al tavolo). Prezzi nella media."
"ui_bubble_rating bubble_50","Pranzo napoletano","Siamo tornati due giorni di seguito in questo ristorante tipico, ne vale la pena! Cucina locale, qualità, gentilezza e professionalità indiscusse. Localino centrale, anche se non facilissimo da trovare a causa dei lavori per il metró. Ottimo rapporto qualità prezzo. Consigliato!"
"ui_bubble_rating bubble_40","Buonissimo","Piatti squisiti.. io ho mangiato un piatto tipico con il sugo alla genovese ed era squisito.. buonissimi dolci.. soddisfatta e da consigliare<U+270C><U+270C><U+270C>"
"ui_bubble_rating bubble_40","Qualcosa di più della solita Trattoria","Situato vicino al municipio, offre una ottima scelta di piatti tipici napoletani e una ottima cantina annessa. Servizio molto cordiale e disponibile. Non ci siamo fatti mancare la melanzana alla parmigiana classica e con le alici e come piatto principale una eccellente tagliata di tonno e paccheri col pescato del giorno. Tutto condito da falanghina locale e limoncello, offerto, per un totale di poco più di 30€ a testa.Esperienza consigliata "
