"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo","Ieri sera, spinti da una irrefrenabile voglia di sushi, abbiam deciso di tornare dopo tempo in questo delizioso ristorante delVomero. Location accogliente e personale gentilissimo sono le caratteristiche che immediatamente colpiscono e fanno sentire a proprio agio. Qualità eccelsa del cibo (mai più all you can eat) e prezzi tutto sommato onesti. Unica pecca i 10€ del servizio compensati solo in parte dal coperto gratuito. Ultraconsigliato "
"ui_bubble_rating bubble_40","Cena tra amici ","Spinto dalle eccellenti recensioni fornite da i miei amici, clienti abituali del Ristorante, ho provato anche io questo locale.Nulla da eccepire, grande qualità dei prodotti, alta varietà ma soprattutto molta disponibilità e preparazione nella spiegazione del menù, cosa non affatto scontata in altri Sushi’s Restaurant.Particolarmente buona la tempuraPrezzo in linea con l’eleganza del locale, la posizione e la comodità dei tavoli della seduta, apprezzabile anche lo spazio tra un tavolo e l’altro "
"ui_bubble_rating bubble_50","Il vero sushi a Napoli","Siamo tornati da O Sushi dopo due anni e siamo stati lieti di constatare che la qualità è sempre ottima. Il pesce è fresco e gustoso, così come le verdure.La formula bento del pranzo è molto conveniente, per 15 euro permette di avere zuppa di miso, e quattro pezzi a scelta tra sushi e piatti cotti. I prezzi sono naturalmente più alti rispetto ad un all you can eat, ma la qualità si paga, soprattutto quando si tratta di un piatto così delicato come il sushi. Il locale è carino e pulito, il servizio è buono, solo un po' frettoloso. "
"ui_bubble_rating bubble_30","Mah...","Ristorante di sushi ma personalmente mi sembra un po' mediocre. Il pesce non è particolarmente gustoso. Personale però gentile."
"ui_bubble_rating bubble_40","Buono ma..","Sono anni che ormai io e il mio ragazzo ci affidiamo ad O’ Sushi, facendoci 45 minuti di treno + metropolitana per poter mangiare il sushi (a mio parere) migliore. Siamo sempre stati soddisfatti di tutto ma ieri più delle altre volte una cosa ci ha fatto storcere il naso.I camerieri. Sono disponibili e in gamba ma non va assolutamente bene vedere dei camerieri parlottare e ridere dietro di te mentre mangi. Rende impossibile avere la giusta privacy che una persona si aspetta quando va a pranzo fuori e inoltre è molto fastidioso (e imbarazzante) sentirli ridere di chi sa che cosa alle tue spalle mentre sei intento a mangiare. Un’altra cosa da migliorare è il servizio, in quanto non mi sembra cortese inserirsi al tavolo mentre si sta mangiando per chiedere se è possibile portare via qualcosa. Spero di non ritrovare queste pecche quando sicuramente tornerò qui. Allego foto."
"ui_bubble_rating bubble_40","Buon sushi","La qualità degli ingredienti è valida. Il locale poccolo ma ben fatto. Prezzi alti ma nella media jappo. Ci tornerei"
"ui_bubble_rating bubble_50","Sempre una garanzia ","Esatto sempre una garanzia! Oramai sono più di 4 anni che frequentiamo questo angolo di paradiso sia in coppia che con amici e posso ribadire e confermare ad occhi chiusi che è un vero e proprio luogo di perdizione!Personale gentilissimo e disponibile ad ogni tipo di richiesta o spiegazione, cibo di altissima qualità e caratterizzato da sapori unici ed esplosivi e non da ultimo una grande cura per i dettagli e la pulizia! Consiglio a chi è appassionato a questa tipologia di cucina di provare questo ristorante e fidatevi che una volta assaggiato ciò che propone non potrete più farne a meno.."
"ui_bubble_rating bubble_40","Ottimo ","Ottima qualità di pesce , tonno grasso e salmone selvatico eccellenti , bravo lo chef brasiliano che si vede che lavora con professionalità e che crede nel prodotto che propone . Ottimo il servizio leggermente caro il conto ma .... ci sta e va bene "
"ui_bubble_rating bubble_50","È una conferma ","Ormai è la quinta o sesta volta che ci andiamo, è sempre una conferma di qualità, professionalità e accoglienza.Credo che con il suo rapporto prezzo /qualità, a Napoli non ci sia niente di meglio.Perché è facile far pagare 70/80 euro a persona, è ovvio che ti fanno mangiare bene.Il difficile è farti mangiare bene spendendo 35 /40 euro a persona.Bravi. "
