"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Fritto ottimo","Volevamo provare la pizza fritta, come da tradizione, e abbiamo scelto questo posto specializzato in pizza fritta. Antipasto la montanara, era gustoso nella loro semplicità. Abbiamo poi provato due pizze, una Napoli e una Regina. Entrambe fritte perfettamente e non pesanti, molto gustose. Anche il marsala, a fine pasto, ottimo."
"ui_bubble_rating bubble_50","ECCEZIONALE","Sarà stata la fame, sarà stato il freddo, sarà stata la gentilezza delle proprietarie, ma secondo me, il cuoppo è fantastico.Prezzi ottimi"
"ui_bubble_rating bubble_50","La pizza fritta!!!","Quando desidero la vera pizza fritta non posso sbagliare....direzione via pietro colletta da 1947 pizza fritta!Anche oggi mi sono consolato....Personale cortese, pizza perfetta in tantissime varianti,due locali uno il classico take away ed uno con la possibilità di sedersi comodamente.È sicuramente un must nel suo genere.Un saluto affettuoso ad Enzo e Rita.Thomas"
"ui_bubble_rating bubble_40","La pizza fritta","Ottima pizza fritta e non solo...varietà e gusti topici partenopei...l unica pecca la birra solo nastro azzurro..."
"ui_bubble_rating bubble_50","Moooolto buona","Locale piccolo ma molto accogliente. Pizza fritta squisita. Gestore simpatico e personale cordiale e professionale."
"ui_bubble_rating bubble_50","TUTTO FANTASTICO <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>","Mi sono recata in questo locale con il mio fidanzato, abbiamo preso un cuoppo buonissimo e molto vario, uno dei più buoni che abbia mai mangiato, per non parlare della pizza fritta soffice, croccante e super condita.Siamo andati via sazi per l’ottima cucina e felici per il trattamento ricevuto all’Intero del locale.Se passate dal centro di Napoli non fatevi scappare questa chicca."
"ui_bubble_rating bubble_50","La miglior pizza fritta di napoli","Ottimo locale Trovandoci indecisi sulla cena, siamo entrati in questa pizzeria. Ci ha incuriosito molto la sua insegna e le luminarie, che ci hanno spinto ad entrare. Locale molto bene fatto, molto accogliente e ci si sente davvero a casa. Ad accoglierci c’è Maria, la cameriera, molto garbata e gentile,Che ci ha consigliato la pizza completa davvero buonissima, anche se fritta l’olio era inesistente nel piatto, i gusti fra di loro si combinavano a perfezione. Ottimi ingredienti, di qualità, tra cui la ricotta di pecora. Il merito va a Emanuele, il friggitore un ragazzo spigliato e molto bravo nel lavoro che fa. Enzo, il proprietario, nonché pizzaiolo ci ha fatto assaporare una prelibatezza, una pasta idratata e lievitata al punto giusto, oltre ad essere pizzaiolo e titolare di questa attività, è davvero una persona disponibile, simpatica e molto alla mano. Che dire, complimenti allo staff di 1947 pizza fritta. Da riprovare sicuramente."
"ui_bubble_rating bubble_50","Squisita","Il locale un po’ piccolo ma Abbiamo mangiato due pizze fritte che erano la fine del mondo , complimenti!!!!"
"ui_bubble_rating bubble_50","Ottima pizza fritta","Ho preso una pizza fritta, due crocchè e una frittatina di pasta. Prezzi leggermente alti, ma qualità ottima. Saporiti tutti i fritti e non troppo unti. Consigliato."
"ui_bubble_rating bubble_50","Pizza fritta top di gamma!!!","5 amiche a Napoli X una breve vacanza, appena arrivate e affamate entriamo in questo piccolo locale dove ci accoglie Ilaria con un grande sorriso e ci propone una varietà di pizze fritte una migliore dell'altra... buonissime!!! Non potevamo iniziare meglio di così!! Peccato non aver assaggiato il cuoppo nell' altro locale a pochi metri sempre di loro proprietà. Bravi bravi !!"
"ui_bubble_rating bubble_40","Un fritto di qualità ","Locale ***non è il suo pezzo forte ma si tratta di un locale piccolo con Pochi tavoli si trova nei pressi delle famose pizzerie da Michele e Trianon hanno anche un altro locale a poche decine di metri che però non prevede la possibilità di sedersi ma solo da asporto.Personale: ****Gentile, amichevole ed attento alla clientelaCibo: ****Questo sì che è il suo pezzo forte, i fritti sono leggeri e mai unti, ottimi ingredienti se ne percepisce la qualità. Fanno solo pizze fritte ma la scelta è molto ampia. Abbiamo assaggiato una montanara, la migliore che abbia mai assaggiato in vita mia, una fritta classica napoletana con Cicoli e ricotta ed una personalizzata con provola e mortadella, tutte sono risultate eccellenti, abbiamo preso inoltre un'acqua, una Coca e una birra artigianale napoletana.Conto****Molto buono il rapporto qualità prezzo. Allego scontrinoConclusioni****Non Guardate il locale ma quello che c'è nel piatto torneremo sicuramente per gustare altre varianti della nostra amata pizza fritta"
"ui_bubble_rating bubble_50","Piacevole sorpresa","Ambiente familiare e semplice con cucina a vista. Personale gentile e simpatico. Abbiamo scelto tre pizze fritte montanara reginella e napoli. Una vera sorpresa perché non l'avevamo mai mangiata. La pizza è ripiena con vari gusti e rimane perfettamente asciutta e leggera. Poi abbiamo preso straccetti fritti alla nutella un classico da non perdere. Sicuramente da provare se si viene a Napoli. "
"ui_bubble_rating bubble_40","che bontà","descrivere cosa sia una vera pizza fritta è cosa assai difficile...la pizza fritta va mangiata, calda e appena fatta, il ripieno di base e con provola, pomodoro e basilico poi potrete provare le specialità della pizza fritta con aggiunta di altri ingredienti. Nonostante sia un prodotto fritto vi assicuro che è leggerissima! Il locale è piccolino, ambiente rustico ma ci si può sedere. Lo staff è attento a che tutto fili liscio e il cliente esca sazio e soddisfatto! Brave ragazze e tornerò a trovarvi"
"ui_bubble_rating bubble_50","Un classico napoletano","Un classico Napoletano, Pizza fritta molto buona e cordialità tipica partenopea in un ambiente informale"
"ui_bubble_rating bubble_50","Pizza fritta strepitosa","Siamo atati il 1 novembre.Pizza fritta buonissima, leggera e per nulla unta. Eccezionale anche il cuoppo dei fritti."
"ui_bubble_rating bubble_50","Pizza fritta squisita","Ottima pizza fritta, leggera, fragrante, non unta, bionda e croccante al punto giusto.Locale molto piccolo, giusto qualche tavolino, ma l'accoglienza è eccellente, sono tutti disponibili e sorridenti, mettono di buon umore. C'è molta napoletanità autentica, non di maniera, in questo posto che offre una bella immagine della città ai molti turisti che passano in zona per la presenza di pizzerie famose a pochi metri.I prezzi sono popolari, la maggior parte delle pizze costano tra i quattro e i cinque euro e sono più che sufficienti per un pasto.Il servizio è ridotto al minimo, solo qualche tovagliolo di carta, ma la pizza fritta non richiede tovaglie di lino o posate d'argento. È cibo che va toccato oltre che mangiato, bisogna sporcarsi un po' le mani per apprezzarlo a pieno."
"ui_bubble_rating bubble_50","Ottima!","Pizza fritta Napoli ottima! Con ricotta, provola, cicoli e pomodoro buonissima , leggera e non unta5€, l'abbiamo mangiato in due ed eravamo sazie e non appesantite"
"ui_bubble_rating bubble_50","Cucina a vista e possibilità di vedere la preparazione di questa pizza fritta squisita!","Ottimo cibo e posto,servizio rapido,prezzi più che onesti.Una chicca da non perdere per la magia di vedere coi propri occhi la bravura dei mastri pizzaioli!"
"ui_bubble_rating bubble_50","Fantastica! La migliore di Napoli","Se venite a Napoli e volete mangiare la pizza fritta dovete venire qui! Personale cordiale, cibo ottimo!!!! Soffice, leggera e gustosa! La migliore che abbia mai mangiato a Napoli!"
"ui_bubble_rating bubble_50","Imperdibili","Buonissima pizza fritta, imperdibile!Locale informale e semplice, ottimo per usa serata tra amici!!"
"ui_bubble_rating bubble_50","Ottima","Abbiamo preso la pizza ad asporto, mangiata a casa nonostante fossero passati 10 minuti la pizza era Buonissima ben farcita e gustosa. Personale gentile."
"ui_bubble_rating bubble_40","Ottima ","Mi unisco ai tanti che hanno tessuto lodi per questa pizza fritta sicuramente superiore a tanti più celebrati, prezzi sicuramente modici, vero pasto veloce napoletano. "
"ui_bubble_rating bubble_50","ottimo","Tra le tante cose naturale che a Napoli possano invidiarci anche la pizza, non contenti il top lo diamo anche con quella fritta. consiglio a chiunque di venire qui a provarla . le aspettative saranno certamente soddisfatte"
"ui_bubble_rating bubble_50","Ottima pizza fritta","Siamo capitate in questo posto per caso, avevamo molta fame e la parola 'pizza' ci ha attirare. E il nostro istinto non ha sbagliato! Abbiamo preso una Sorrento e una Montanara. Frittura leggera e farcitura buonissima. Inoltre, le persone che lavorano qui sono carinissime! Ci hanno consigliato tantissimi posti tipici da vedere durante la nostra vacanza."
"ui_bubble_rating bubble_20","Prima con arancine...","Rientrato dalle ferie in ufficio in questi giorni ho voluto fare colazione con sole arancine e birra d' accompagnamento. Avendo lo studio in zona m'incuriosiva provare il fritto di questo locale. Locale che per i non napoletani si trova in una traversa del rettifilo accanto e di fronte alle blasonate e storiche pizzerie di Napoli. Il locale come vuole la tradizione napoletana è con lavorazione a vista. i fritti d asporto già pronti anche se vengono sfornati continuamente. Ebbene devo dire che l'assaggio delle arancine (come si dice a Palermo al femminile) non è stato per niente gustoso. La consistenza c'è ma il sugo è poco presente, i piselli inesistenti, la carne assente, mozzarella nemmeno a parlarne insomma una mappazza che non fa onore alla tradizione culinaria napoletana. Da tenere presente che quest'estate sono stato in vacanza in Sicilia e nel confronto le arancine siciliane sono una meraviglia. Il prezzo è in linea con analoghi prodotti del genere ma caro se consideriamo che la grandezza non c'è come il ripieno che manca. La prossima volta proverò la pizza fritta classica ma ho la sensazione che la delusione sarà confermata."
"ui_bubble_rating bubble_40","Sempre una garanzia di Bontà","È la seconda volta che torno da ‘1947 pizza fritta’ a distanza di anni,la qualità della pizza non è cambiata. Molto buona e frittura leggera. Ho preso la pizza Napoli e la Re Sole,ripieno iabbondante e gustosa! Prezzo giusto e qualità e personale gentile. "
"ui_bubble_rating bubble_40","Molto buona la pizza!","Ho conosciuto questo posto visitando Napoli.Mi ha incuriosito la pizza fritta, mai assaggiata, e mi e' rimasto un buon ricordo. Molto buona,complimenti!"
"ui_bubble_rating bubble_30","Per essere la prima volta, pizza ottima ","Era sera è volevamo assaggiare un piatto tipico del posto, allora abbiamo deciso per la pizza fritta, cerchiamo su TripAdvisor vari ristoranti dove la fanno e infine scegliamo questo e ci avviamo verso il posto, e non c’è ne pentiamo per nulla, appena ci mettono la pizza fritta davanti, scopriamo che è enorme e che una sazia moltissimo, io e mia moglie abbiamo scelto due pizze fritte diverse, lei con la scarola e io normale con provola e pomodoro e basilico( in verità non avevo molta scelta visto che mi hanno offerto il menu con varie pizze e sono andato a scegliere una di quelle speciali e scopro che la maggior parte delle pizze non c’erano e mi chiedo come mai danno un menu con varie pizze e poi non c’è nemmeno la metà)Per il resto pizze fritta molto buona e servizio ottimo, posto da migliorare..."
