"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Buona pizza!","Buona pizza qui al 400 gradi ma ancor più bello il contesto in cui mangi.In un dehor esterno arrangiato alla buona, in mezzo alla strada con dei tavolini di plastica uno attaccato all’altro. Molto easy stile famigliare che magari non sarà bello da vedere ma che ti travolge nella piena atmosfera napoletana.Ci piace così."
"ui_bubble_rating bubble_40","Bell gennarin","Se vi accomodate fuori,armatevi di cappellino,cappotto e guanti,ci sono -400gradi,i primi a gelare sarete voi e poi di conseguenza la pizza....peccato..con una semplice luce termica sarebbe risolto il problema, per il resto ,buona pizza ,prezzi abbordabili e staff giovane ,cortese e ingamba "
"ui_bubble_rating bubble_50","Che pizza!!!","Una pizza semplicemente fantastica!Sia la pizza alla pala che la pizza fritta sono semplicemente ottime e digeribilissime.Il tutto, ad un prezzo bassissimo.Poi mangiare una pizza del genere al centro di Napoli ha un fascino ulteriore.Unica pecca il locale, davvero piccolo e poco accogliente."
"ui_bubble_rating bubble_50","Ottima pizza","Pizza ottima e non aggiungo altro!!!! La pizza più buona che ho mangiato in questi giorni a Napoli. Si mangia bene con veramente poco. Ci fossero in Lombardia pizzerie così!"
"ui_bubble_rating bubble_50","Ottima pizza fritta","Pizza fritta davvero ottima, leggera e non unta! Veramente soddisfatti ci torneremo volentieri ogni volta che passeremo da queste parti! Staff competente "
"ui_bubble_rating bubble_40","Pizza ottima","Ciao ragazzi,vi consiglio di andare a mangiare una pizza da 400 gradi a napoli,molto buona,impasto sofficissimo,sapore ottimo.Non ha molti posti a sedere perchè è su una via e quindi non è un proprio e vero ristorante,ma sono veloci con le portate e quindi nel giro di dieci/15minuti vi sedete.Buono buono buono."
"ui_bubble_rating bubble_50","Pizza fritta un'istituzione","Propietario gentilissimo, cordiale, super attento ad ogni cosa, simpatico, giovane e con tanta voglia di migliorarsi.Abbiamo preso 2 pizze per pranzo consumate al locale piccolo ma autentico. Pizze buonissime e prezzo giusto. Prima di venire via ci siamo fatte preparare una pizza fritta che dalle 15 che erano abbiamo mangiato alle 22, ed è stata un sogno. Non oso immaginare quanto fosse buona appena fritta. Consigliatissimo!"
"ui_bubble_rating bubble_50","Pizza fritta!!!!","Siamo andati in questa pizzeria date le belle recensioni su TA. Il locale è piccolo ( avendo solo una stanza interna e dei tavolini all'esterno) e quindi se tutti i tavoli son pieni bisogna aspettare che si liberi. L'attesa però è breve ed è sicuramente premiata dalla deliziosa pizza che ti verrà servita: impasto leggero e condimenti abbondanti di prima qualità.Super consigliata, soprattutto la pizza fritta!!!!Ci ritorneremo sicuramente!!!!"
"ui_bubble_rating bubble_50","Semplicemente pizza","Ho cenato in questa pizzeria consigliato da Trip Advisor. Piccola sala interna calda e accogliente. Pizzeria semplice così come deve essere la pizza originale. Abbiamo cenato una classica margherita ed una classica fritta. Impasto morbido e ben lievitato. Pizza fritta per niente unta e molto fragrante. In chiusura limoncello fatto in casa offerto. La pizza merita, il posto è caratteristico nei vicoli di Napoli. No fronzoli quindi non adatto a chi guarda più la forma che la sostanza. A breve, comunque, il locale aprirà in una nuova location più accogliente."
"ui_bubble_rating bubble_50","Eccezionale","Trovata per caso, attratti dalle recensioni ci siamo recati in questo locale non molto grande ma che subito ci ha dato impressione di essere accogliente e 'familiare'. Dispone anche di una saletta interna. Abbiamo provato la pizza fritta completa e la pizza siciliana con le melanzane. I prezzi sono modici (abbiamo speso per le due pizze sopra citate e per due coca cola zero 15€ in due) ed il personale è veramente cordiale, attento ed accogliente.Ci hanno offerto anche un ottimo limoncello.Consigliatissimo.Ci ritorneremo."
"ui_bubble_rating bubble_50","Oro colato","Erano anni che non mangiavo una pizza cosìVivo a Roma per lavoro e devo dire che ogni volta che ho provato a mangiare qualcosa di Fritto me ne sono sempre pentitoHo voluto sfidarmi e. Fidarmi dell'arte di questa stupenda famigliaE ho. Provato la pizza. Fritta e cavolo. Che impasto che sapore tutto davvero sublimeUn fritto così leggero mai assaggiatoUna pizza con un impasto assurdo con cornicione Ripieno mio figlio di 4 anni ha gradito alla Grande Ha voluto ritornarci anche il giorno dopo mia moglie uguale così buona mai assaggiata assolutamente da provare locale piccolo ma. Accogliente Spettacolare tutto dalla gentilezza del. Personale ritornerò sicuro anche solo.per Un giorno per mangiare da. LoroQui si si. Mangia la vera. Pizza. NapoletanaFinendo questa recensioneSottolineo che è anche vivendo a. Roma da. Anni ma casertanoE. Avendo provato le differenze culinarieDicoChe a Roma è. ConfermoNon sanno davvero come. Sia la. Vera. Pizza"
"ui_bubble_rating bubble_50","Eccellente pizza","Davvero una pizza buonissima, con ottimo rapporto qualita' prezzo. Personale gentile e simpatico. Ci sono pochi posti per sedersi, e' una tipica pizzeria d'asporto ma noi non cercavamo un locale elegante, ma un posto nel cuore di Napoli dove mangiare una pizza buona. Ho preso una poker, per assaggiare un pezzo di pizza fritta, un pezzo di Margherita e il cornicione con ricotta e salame. Davvero buona"
"ui_bubble_rating bubble_50","Cortesia e qualità ","Che dire, a volte si è portati a recarsi solo in pizzerie dal nome famoso,ma vi posso garantire che in questa piccola realtà si respira l’autenticità napoletana.Pizza fantastica.Qualità,cortesia,simpatia il tutto a buon prezzo.Consigliatissimo"
"ui_bubble_rating bubble_50","Ottima pizza","Abbiamo trovato il locale tramite TripAdvisor ottima pizza e ottimo personale qualita prezzo eccezionaleSicuramente ne faremo ritorno Da provare, la vera pizza napoletana !"
"ui_bubble_rating bubble_50","Pizza squisita","Non lasciatevi ingannare dalle ingiuste recensioni che criticano i tavoli sul marciapiede di questa pizzeria. Il locale è minuscolo, i tavoli sono quelli, sono quattro e sono in mezzo alla strada, se si preferisce mangiare in una vera sala si va altrove. Se invece si decide di soprassedere a questo contesto non proprio raffinato si scoprirà una pizza preparata eccellentemente, leggera e saporita. Fatevi consigliare dalla cordiale signora, scegliete con calma, non disdegnate la pizza con cornicione ripieno di ricotta (ottima!) e assaporate.Un limoncello offerto dal pizzaiolo alla fine e avrete avuto la vostra cena a base di pizza gustosa, economica e con servizio familiare."
"ui_bubble_rating bubble_40","Gusto e cortesia","Un locale piccolissimo (ma sta per arrivare la nuova sede più ampia, a pochi passi dall'attuale), ambiente familiare e quel pizzico di simpatica cortesia che solo a Napoli sanno offrire. 400 gradi lascia il segno battendo ai punti tante pizzerie gourmet con locali a cinque stelle ma con poca sostanza: la pizza dei fratelli Rapuano è molto buona perché ha una pasta leggera, ben cresciuta, ingredienti di qualità (non eccellenti, ma visto il prezzo ci sta) e soprattutto perché viene preparata con grande passione. Come solo nelle piccole pizzerie di quartiere sanno fare. Buone anche le fritture (forse sarebbe meglio se fossero meno untuose) e il dolce finale con la nutella. Prezzi contenutissimi."
"ui_bubble_rating bubble_50","Mai giudicare un libro dalla copertina ","Essendo in cerca di una pizzeria per il pranzo abbiamo fatto una ricerca su internet e ci è comparsa questa pizzeria a pochi passi da noi. Ci siamo diretti li e all'inizio ero un po' incerta dato che il locale è molto piccolo; ma poi ci ha accolto il proprietario con una gentilezza unica, ci ha fatto accomodare ai tavolini esterni e abbiamo fatto quattro chiacchiere e mi sono subito sentita a mio agio. Ci ha consigliato la pizza  Capri con cornicione ripieno di ricotta, pomodorini, salame e mozzarella. E poi abbiamo preso una margherita. Che dire mai mangiata una pizza così buona... Impasto leggero e prodotti di ottima qualità... Ci torneremo senz'altro. Super consigliata <U+2764> "
"ui_bubble_rating bubble_50","Mamma miaaa","Ci siamo fermati in una giornata di pioggia, pizza margherita cn taralli cornicione ripieno...è uscito il sole...proprietario cordiale e simpatico ...complimenti"
"ui_bubble_rating bubble_50","Pizza ottima","Pizza ottima qualsiasi gusto ogni volta che vado a napoli vado a mangiarla a pranzo perché non posso farne a meno complimenti sempre bravi ragazzi "
