"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Pranzo in allegria","Locale pulito, carino, i proprietari gentilissimi ci hanno accolto molto bene. Menù vario, cucinato in maniera egregia. Tutto molto buono, prodotti freschi. Conto giusto. Ci rivediamo presto."
"ui_bubble_rating bubble_30","Ottimo pranzo!","Locale centralissimo e facile da raggiungere. Personale accogliente a gestione familiare. Cibi ottimi con punti forte i piatti tipici della cucina napoletana, come la genovese o la pasta e patate. Anche i dolci sono da provare come il “capriccio”. Rapporto qualità prezzo buono. Siccome il locale è piccolo ed è molto gettonato non meravigliatevi se dovrete attendere per mangiare, ma se vi trovate da quelle parti non perdete occasione di entrare."
"ui_bubble_rating bubble_40","GNAM","Tutto molto buono, io e papà abbiamo apprezzato molto la cucina. Personale carino e gentile.Le polpette e la parmigiana sono IPER CONSIGLIATE.Ovviamente il caffé non poteva mancare voto 10.Il papà e la ragazza dai capelli rosa"
"ui_bubble_rating bubble_50","PASTA E PATATE TUTTA LA VITA","In questo locale ho mangiato bene bene ma,una cosa che vivamente vi consiglio e la pasta e patate perché e TOP"
"ui_bubble_rating bubble_50","Ottimo pranzo..","Trattoria molto carina ..che sfoggia piatti veramente buoni..accoglienza superlativa..insomma ne vale propio la pena sia per il palato..sia per l atmosfera che si respira...complimenti!!"
"ui_bubble_rating bubble_50","La vera Napoli","Una piacevole scoperta nel cuore di Napoli... Nonostante il freddo pungente salvatore ha scaldato il nostro palato ed il nostro cuore... Qualità ottima e conto davvero onesto...."
"ui_bubble_rating bubble_50","Cena tipica fantastica","Abbiamo cenato per due sere di fila in questo ristorante, consigliato da amici... una piacevole sorpresa, cibo ottimo dagli antipasti ai secondi e dolci, personale esilarante e conto piu che adeguato alla qualita' del cibo offerto... consigliato sicuramente!!!!!"
"ui_bubble_rating bubble_40","Una bella serata in semplicità.","Atmosfera casalinga, personale cordiale ed attento. Musica dal vivo molto piacevole. Cena semplice ma che ti immerge al 100% nella cucina napoletana."
"ui_bubble_rating bubble_50","Finalmente una vera trattoria napoletana","Vera trattoria napoletana, cucina ottima, come se fossimo in una delle migliori famiglie napoletane. La cena è accompagnata da canzoni napoletane cantate e suonate dal vivo da un simpatico signore. Piatti ottimi e abbontandi e anche il prezzo è veramente buono.Trattoria super consigliata, se torneremo a Napoli sarà una tappa sicura per un ottima cena. "
"ui_bubble_rating bubble_40","una trattoria non ancora corrotta dal turismo","Siamo stati io e mia moglie in questa trattoria il 30 dicembre a pranzo.Il posto è vicinissimo a via toledo, piazza del plebiscito un posto quindi attraversato dal grande flusso turistico.Il locale è caratteristico, semplice, con tavoli ben separati, personale professionale senza caricature napoletane, i piatti sono della antica tradizione partenopea, noi abbiamo magiato tre ottimi antipasti e ziti con ragù napoletano e genovese ( 2 piatti della domenica che più tradizionali non si può), un buon vino rosso spendendo 35 euro.Cosa volete di più da NapoliA prestoRosa Francesco"
"ui_bubble_rating bubble_30","Buona cena senza infamia e senza grande lode","Ristorante a conduzione familiare in posizione centrale con cucina tipica napoletana. Ristorante semplice, piatti cucinati in modo molto basilare anche se a volte forse per motivi di risparmio non vicinissimi alle ricette originali. Il rapporto qualità/prezzo non è eccezionale ed a Napoli si può trovare anche di meglio"
"ui_bubble_rating bubble_40","Ottima cena ","Ottimo cibo, ben cucinato, a prezzo più che onesto!Massima cortesia e disponibilità del personale.Consigliato!"
"ui_bubble_rating bubble_50","Ottimi sapori e prezzo economico","A due passi da piazza Trento e Trieste. Proprietari molto gentili e sorridenti. Il locale dispone di al massimo 14/15 tavoli. I proprietari sono fieri di aver 'sfamato' attori come Gasman ed anche l'attuale sindaco. Io e mia moglie abbiamo preso un primo di pesce ciascuno e poi un calamar'one' alla griglia in due. La nostra bambina la sua solita pasta in bianco all'olio e parmigiano. Con l'acqua inclusa abbiamo speso 39,00. Il Wi-Fi è presente e funzionante."
"ui_bubble_rating bubble_40","Napoli in bocca","Se non si è alla ricerca di una location fighettina, ma di amore e passione per le materie prime, questo è il posto giusto. La prima cosa che accoglie i visi...Data della visita: gennaio 2019"
"ui_bubble_rating bubble_40","Consigliata ","A circa 150 Mt dalla Galleria Umberto I, in una traversa di via Toledo, troverete questa trattoria tipica napoletana, dove sarete accolti dai proprietari molto gentili. L'ambiente è molto familiare e ci si sente subito a proprio agio.La cucina è tipica napoletana, tutto molto buono.Rapporto qualità /prezzo: medio (antipasto + primo + acqua 28,00 euro).Servizio veloce. "
