"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Sotto le aspettative","Fila chilometrica (1 ora e 30 di fila) e ti aspetti la miglior pizza fritta del mondo, ma sono rimasto un po’ deluso. Contenuto molto carente, quasi nullo e l’impasto non era croccantino come mi aspettavo"
"ui_bubble_rating bubble_30","Nella norma, un po' deluso. ","Pizza fritta buona, ma dalle recensioni mi aspettavo di più, forse arrivando quasi a fine serata, l'olio non era caldissimo, per questo la pizza fritta è risultata non croccante, ma molle, il ripieno era gustoso, da riprovare, forse. "
"ui_bubble_rating bubble_50","Maestria a lavoro","Avevo già gustato la pizza di fritta di zia Esterina, e con piacere posso affermare che i prodotti sono sempre molto buoni. I ragazzi con lemani in pasta, sono dei veri e propri artisti della pizza. Una cosa che ho notato piacevolmente è che ogni qual volta uno dei ragazzi consegnava le pizze e quindi toccava le ricevute o le mance lasciategli, andava a lavarsi le mani prima di ritoccare gli alimenti, cosa che ormai fanno in pochi. Bravi"
"ui_bubble_rating bubble_40","La famosa pizza fritta","Sono stato in questo locale in occasione del ponte del 25 aprile quindi la quantità di gente era notevolmente maggiore.Abbiamo atteso una quindicina di minuti prima di ordinare due pizze fritte classiche. Sono rimasto piacevolmente sorpreso dalla leggerezza nonostante gli ingredienti uniti al fritto.All'interno sono presenti alcuni posti a sedere.Prezzi assolutamente concorrenziali.Unica nota negativa la non troppa simpatia della ragazza alla cassa mentre il cliente sta ordinando.Tappa quasi obbligata se si passa per il centro di Napoli."
"ui_bubble_rating bubble_30","NON NE VALE LA PENA","2 ore e mezza di coda per una pizza fritta buonina, dalla consistenza molliccia e non troppo ripiena.Facilmente digeribile. Non ci tornerei "
"ui_bubble_rating bubble_30","C'è di meglio","Buona ma C'è di meglio avrebbe dovuto essere più asciutta all' interno ma era troppo ricca di mozzarella secondo me "
"ui_bubble_rating bubble_10","NON NE VALE ASSOLUTAMENTE LA PENA","Ci sono stato il 6 gennaio 2019... riesco a pagare alle 16,20 dopo 30 minuti di fila (da premettere che da napoletano non avevo mai mangiato questa pizza fritta ed ero affascinato da queste cose immense che trovavo ogni volta che ci passavo davanti, e dalle foto social postate da migliaia di persone con questa pizza fritta in mano)Le due pizze fritte venivano consegnate alle 17,45... ok pensavo io, se sono fantastiche ne sarà valsa la pena attendere...Ó CESS... colava di olio usato e strausato, dentro era praticamente vuota... ORRENDA, ma stiamo scherzando... la gente fà ore di coda per mangiare questa roba con il solo intento di fare una foto con la pizza di “zia esterina” e postarla su Instagram...le pizzerie di nicchia a Napoli situate in ogni angolo della città la fanno diecimila volte meglio, mi meraviglio delle recensioni positive, o sono turisti che non capiscono niente, perché mi rifiuto di credere che siano napoletani a mettere recensioni dalle due stelle in sù...!!!MAI PIÙ!!!!"
"ui_bubble_rating bubble_50","Top! ","Beh che dire.. Credo sia la pizza fritta per eccellenza!L'attesa è sicuramente lunga specialmente allora di pranzo.. Ma ne vale decisamente la pena! "
"ui_bubble_rating bubble_10","Pessimo ","2:30 ore di coda per mangiare un 2 impasti fritti praticamente vuoti, (dovevano essere cicoli e ricotta per me, polpettine per la mia compagna).Come dice Cannavacciuolo “ADIOS”"
"ui_bubble_rating bubble_20","Attese troppo lunghe per ciò che si ottiene","Stavamo in giro per via toledo e uno del gruppetto ha proposto di mangiare la pizza fritta preparata da esterina sorbillo. Siamo arrivati alle 16.20, con 70 numeri davanti a noi, e abbiamo mangiato alle 18.15, una attesa spaventosa nella quale stavamo morendo di fame e abbiamo deciso di spezzare l'appetito con qualcos'altro. Quando è arrivata la famosa pizza fritta, il giudizio era unanime: niente male, ma non giustifica una attesa di nemmeno di mezz'ora, figuriamo di due ore.Trovo Molto disonesto sia il fatto che, a precisa richiesta, ci è stato detto che c'era da aspettare una mezz'oretta (impossibile, significava servire un cliente in meno di un minuto e i numeri erano ovviamente composti da più persone), sia il fatto che devi pagare tutto subito: probabilmente questo è dovuto a una precisa strategia per costringere le persone a non cambiare idea e rimanere lì anche svariate ore per mangiare una semplice pizza fritta che si può sicuramente mangiare anche altrove di qualità anche simile. Decisamente da sconsigliare."
"ui_bubble_rating bubble_40","Che buona","Deliziosa pizza fritta alla ricotta e pomodoro; si attende in strada ma la vale la pena di assaggiarla e poi intorno ci sono tanti negozi che l'attesa diventa breve."
"ui_bubble_rating bubble_50","Ottima pizza fritta ","Ciao ragazzi,siamo andati in questo famossisimo posto per mangiare la pizza fritta,devo ammettere che è veramente una prelibatezza..l'impasto anche se fritto rimane morbidissimo,non è unto e si mangia proprio volentieri.Consoglio di arrivarci appena apre perchè altrimenti so corre il rischio di affrontare delle file snervanti."
"ui_bubble_rating bubble_30","Troppa coda... ","Se si ha tempo da dedicare all'attesa può valere la pena fermarsi ma sinceramente aspettare un'ora per una pizza fritta buona si, ma niente di indimenticabile, per me non è proprio comprensibile...solo una volta preso il biglietto e pagato ci sono stati chiari i tempi di attesa... Va beh si è fatto una volta e non si farà più "
"ui_bubble_rating bubble_50","Fantastica pizza fritta","Abbiamo assaggiato la celeberrima pizza fritta, scegliendo quella con ricotta e pomodoro.. L'attesa in strada è stata assolutamente ripagata dalla bontà del prodotto!"
"ui_bubble_rating bubble_50","Sublime ","E’ valsa la pena aspettare ben due ore per poter gustare questa specialità campana. Non si può passare da Napoli senza averla mangiata. Consiglio la pizza fritta completa con provola, pomodoro, cicioli campani e tanto altro. Personale cordiale. Assolutamente da provare "
"ui_bubble_rating bubble_40","Pizza fritta ","Una fila di un ora e mezza per una pizza fritta. Non so se ne vale la pena anche se la pizza è buona. Se siete amanti del cibo classico napoletano è una tappa obbligatoria. Se non avete pazienza cambiate posto ma sappiate che non se ne trovano di così buone"
"ui_bubble_rating bubble_50","Veramente buona","Nonostante la lunga fila non potevamo non mangiare la pizza fritta. L’attesa è stata ben ripagata e complimenti vivissimi. Consigliatissima da non perdere."
