"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","La vera sfogliatella!","Non c'è molto da aggiungere: se uno vuole mangiare la vera sfogliatella napoletana, deve passare da Attanasio!"
"ui_bubble_rating bubble_50","Una delizia ","Buonissime, mangiate per strada calde e fragranti, ripieno paradisiaco. Non ho altre parole per descrivere la bontà delle sfogliatelle mangiate qui sia riccia che frolla. Provare per credere "
"ui_bubble_rating bubble_50","Uno spettacolo","Il posto lascia a desiderare ma le sfogliatelle....il tooooppppp!!! E i babba, vabbe', ma cosa grande. Consigliatissimo"
"ui_bubble_rating bubble_50","Eccellenza della sfogliatella","Da napoletano residente altrove, ogni volta che posso devo provare l'esperienza extrasensoriale della sfogliatella di Attasio. E non importa se, come l'ultima volta abbiamo aspettato più di 60! numeri. Ma ne e' valsa la pena. Unica nota negativa, un'uscita poco felice di un lavorante nei confronti di un cliente. Capisco la domanda inopportuna e la stanchezza di chi lavora tante ore, ma a me ha dato molto fastidio."
"ui_bubble_rating bubble_50","ASSOLUTO!!!!","pastiera superba e senza confronti!Taralli napoletani eccellenti!Sfogliatelle nei due tipi da urlo.Capisco perchè c'è gente che scende dal treno e viene qui a fare rifornimento!Come molte cose di Napoli, poca forma e tanta sostanza!"
"ui_bubble_rating bubble_50","Le migliori sfogliatelle di Napoli!!!!!","Abbiamo assaporato questa bontà assoluta!!! Sfogliatelle buonissime, roccoco' fantastici e brioches divine!!! Nulla è paragonabile ai prodotti di questo forno. Assolutamente da provare!!!!!"
"ui_bubble_rating bubble_50","Molto buone","Tradizioni partenopei. Dolcezze prelibate fatte a forma di sfogliatella.un simbolo della città per eccellenza! Tappa obbligata"
"ui_bubble_rating bubble_40","Leccorniando","Appena giunti a Napoli, vicino alla stazione ferroviaria, un appuntamento da non perdere. locale piccolo, clienti tanti (sono circa le dieci del mattino).Sfogliatelle frolle, pastiera, caprese. Un sicuro aumento di glicemia, ma.... si può fare!.Fila per prendere il biglietto e poi pagare, ma il personale è veloce a smaltire le richieste.Goduria"
"ui_bubble_rating bubble_40","Tradizione","Appena arrivati a Napoli col treno, o quando si riparte, è tradizione prendere delle sfogliatelle da Attanasio. Bisogna gustarle con calma, perché sono servite calde, appena sfornate. Costano un po' più della media: € 1,30 l'una, ma ormai è un rito fare la fila e entrare subito nel clima di Napoli. "
"ui_bubble_rating bubble_20","Bah","Sfogliatella molto buona. Ci tornerei,ma solo per quello. Quando sono andato alla cassa,ho chiesto -stupidamente,lo ammetto- due sfogliatelle e due caffè. Il cassiere che credo fosse il padrone,mi ha detto ok. Ho preso lo scontrino,sono andato al bancone e indovinate un po'? Non facevano i caffè e sono stato costretto a prendere 4 sfogliatelle. Domanda : ma cosa vi costava dirmi che non facevate i caffè? Perché avete questa cosa di fregare il turista? Boh. Senza senso."
"ui_bubble_rating bubble_20","Troppa furbizia","Per carità, nulla da dire sulla bontà delle sfogliatelle, ma il personale e l'intera gestione sanno di rapina a mano armata. Entri e devi fare lo scontrino per poi aspettare tempi biblici mentre un solo addetto serve con tutta la calma, la lentezza e la scortesia del mondo. In questo modo alcune persone pagano e sono costrette ad andare via a mani vuote per non perdere il treno. Credo sia una vera e propria strategia per fregare soprattutto i turisti. E poi ci si chiede perché al Sud il turismo non decolla. Pessimi! Un'ora di attesa per incartare pochi vassoi di sfogliatelle: incommentabile!"
"ui_bubble_rating bubble_50","Da non perdere ","Sfogliatelle, e non solo, da urlo.Una tappa immancabile di Napoli.Unica accortezza non andare di fretta, c'è sempre coda."
"ui_bubble_rating bubble_30","Malaccio","Io e la mia ragazza abbiamo mangiato un'ottima sfogliatella frolla (per le ricce c'era da aspettare chissà quanto) a colazione, peccato ci abbia fatto stare male per l'intera giornata... quand'è così darei 1 come punteggio, ma puó essere stato anche un episodio... "
"ui_bubble_rating bubble_40","Sempre eccellente ","Una tappa immancabile se si viene a Napoli. È un forno. Quindi non aspettatevi un grande bar, coi tavoli... Ma la sfogliatella è davvero ottima. Prezzi nella media. Fa anche tante altre cose buone di produzione propria. Li consiglioTi sono stato utile? "
"ui_bubble_rating bubble_50","Spettacolare ","Provata la sfogliatella calda di Attanasio, veramente divina, fatela raffreddare per sentire meglio il sapore. Ricotta molto dolce e arricchita da canditi all’arancia. Se siete a Napoli questa tappa è d’obbligo!"
"ui_bubble_rating bubble_10","Sfacciata maleducazione becera","Le sfogliatelle saranno anche tra le migliori di Napoli e l’attesa di un’ora varrà sicuramente la pena da quel punto di vista ma se deve essere costellata di scene imbarazzanti in cui il personale risponde male ai clienti per motivi sciocchi o li deride apertamente scambiandosi battute da una parte all’altra del bancone allora per me si annulla tutto il resto. Sono sicura che si possano mangiare delle ottime sfogliatelle anche in altri posti in città. Quelle sono scene imbarazzanti per chi (italiani e stranieri) decide di andare in un luogo cosi famoso e consigliato. "
"ui_bubble_rating bubble_50","Incredibile e indimenticabile","Sfogliatelle e altro come non ne avete mai mangiate.Un forno? Una pasticceria? Una bottega magica ? Fate voi....posso solo dirvi che alla domanda : ma quante ne fate al giorno ho ricevuto una risposta fantastica : boh! Neanche i pasticceri lo sanno...."
"ui_bubble_rating bubble_10","IMPARATE A CONTARE!!!","La sfogliatella in se non è male, io ne ho comprate dieci da portare e che mi hanno preparato mentre pagavo; tornata a casa ce ne erano 9 e credo lo abbiano fatto apposta!! Ma se avevate bisogno di 1,30 euro me lo chiedevate e ve lo regalavo!!CHE PEZZENTERIA!!!!!"
