"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Vi faccio i miei più sentiti complimenti!","... Siamo rimasti soddisfatti dall'inizio alla fine. Il locale è molto facile da trovare essendo a pochi passi da via Toledo. L'insegna posta all'esterno si vede molto bene. Veniamo accolti subito molto bene dal personale. Le due sale non sono molto grandi ma comunque belle nell'insieme.Il menù è non è vastissimo ma ben strutturato, con all'interno anche piatti tipici della cucina napoletana. Il cameriere è stato molto gentile nel descriverci i piatti che non conoscevano, soprattutto quelli di Napoli.Tutti i piatti sono stati di nostro gradimento, dalla quantità alla qualità, dalla presentazione alla velocità di uscita dalla cucina.Il conto è onestissimo per quello che mangi, per quanto ne mangi e per come vieni trattato.Consigliatissimo!Complimenti a tutti voi di Biancomangiare!"
"ui_bubble_rating bubble_50","Bel locale ottima qualità","Ho pranzato oggi con amici. È un Piccolo locale ben curato, personale gentile. Buoni prezzi e buon cibo. Patrizio"
"ui_bubble_rating bubble_40","Una piacevole scoperta","Locale carino e accogliente, personale attento e più che disponibile. Menù che non presenta una vasta scelta ma i piatti proposti sono tipici della tradizione, preparati ottimamente e curati nella presentazione. Scoperto per caso la nostra prima sera a Napoli, siamo ritornati molto volentieri. Da provare! "
"ui_bubble_rating bubble_50","Una perla napoletana","Conosciuto tramite amici napoletani della zona (Pignasecca), abbiamo mangiato molto bene, provando praticamente tutto il menù ;-). L'ambiente è molto curato e accogliente, il servizio simpatico. Il Lacryma cristi bianco più che soddisfacente.Consiglio vivamente, speso nella media (bassa) napoletana."
"ui_bubble_rating bubble_50","Grande scoperta! ","Posticino piccolino e delizioso vicino al mercato della pignasecca! Appena ristrutturato in modo molto curato, ha mantenuto prezzi ottimi e pietanze tipiche della cucina napoletana. Il quinto pallino lo merita per la pasta senza glutine: mi è sembrato un sogno poter prendere un piatto di genovese!!!! Complimenti per tutto ci tornerò sicuramente. "
"ui_bubble_rating bubble_50","Scoperta meravigliosa ","Una tipica trattoria napoletana rivisitata in chiave moderna. Il posto è molto carino ed accogliente. Sono stata a cena con amici durante le festività natalizie e siamo stati veramente molto bene nonostante il.caos di questi giorni. Degna di nota gli siti alla genovese ottime anche le polpette a ragù e il baccalà fritto. Spettacolare la pastiera. Il servizio ottimo e il.personale gentilissimo e molto molto disponibile. Il tutto ad un prezzo più che contenuto. Da ritornarci assolutamente!"
"ui_bubble_rating bubble_50","Ottimo ","Ristorante molto carino nel cuore di via Toledo, curato nei particolari e con un ottimo cibo. Consiglio l’antipasto bianco mangiare composto da un tris di antipasti che ho trovato davvero appetitoso ( parmigiana di melanzane, friarielli con piccola salsiccia e un tortino di patate) e le polpette al sugo napoletano con i friarielli. Tutto buonissimo. "
"ui_bubble_rating bubble_50","Fantastica scoperta","Siamo stati a cena da Biancomangiare su consiglio dei proprietari del b&b dove abbiamo alloggiato a Napoli. Il locale è molto carino; l’atmosfera tranquilla e la gentilezza del personale sono stati davvero una manna dal cielo nel folle caos della città durante i giorni di festa e l’ottimocibo è stato la ciliegina sulla torta. Abbiamo mangiato polipo alla luciana, manfredi sugo e ricotta, gnocchi al sugo di polpo, baccalà e polpette; non contenti abbiamo finito con un babbà... che dire, tutto quello che abbiamo mangiato era squisito e anche ben presentato. Rapporto qualità prezzo molto buono. Sicuramente da consigliare! "
"ui_bubble_rating bubble_50","Cucina Tipica in un locale molto carino","Una locanda davvero accogliente e caratteristico, la semplicità dei posti di un tempo con la giusta modernità! personale gentilissimo ma sopratutto una cucina davvero squisita. Pochi piatti (grandissimo pregio) ma davvero speciali. I gusti classici ma veramente autentici. Il tutto con un rapporto qualità prezzo davvero invidiabili. Ci torneremo sicuramente "
