"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Perfetto ","Beh che dire! Scoperta fantastica! Posto bellissimo personale gentile e simpatico! Ottima spillatura della birra e da chef posso dire che i panini assaggiati sono fatti alla perfezione! Ottime le scelte delle materie prime! Complimenti allo chef! L’attesa del servizio giusta! Tempi perfetti! Se fossi il titolare del locale non mi farei sfuggire nessun elemento del suo staff! Lo consiglio a tutti... "
"ui_bubble_rating bubble_50","ultima scelta ma OTTIMA!!!!","dopo un giro siamo arrivati in questo locale, non ci ero mai stata, ma il destino ci ha portati qui, una splendida meta. Personale carino, gentile, simpatico e disponibile. Ho mangiato un buon panino VEGETARIANO davvero ottimo, saporito e grande. VE LO CONSIGLIO, provatelo!!!"
"ui_bubble_rating bubble_50","PUB stupendo","Ci sono stato ieri sera con la mia ragazza, accoglienza ottima, il pub sotto il periodo natalizio è addobbato benissimo (molto accogliente) , personale gentile, cibo ottimo, prezzi nella norma. Consiglio a tutti di andarci... noi siamo andati verso le 22:00 di sabato e abbiamo aspettato 15 min."
"ui_bubble_rating bubble_40","Consigliato ","Menù ampio si può optare per un panino un crostone o anche un primo o tortini o piatti misti o anche varie fritturine insomma c’è solo l imbarazzo della scelta. Ottima accoglienza e simpatia dello staff. Prezzo giusto. Da provare. "
"ui_bubble_rating bubble_50","Non delude mai!","Io e il mio fidanzato spesso ci rechiamo in questo locale quando ci troviamo in zona, e devo dire non ci delude mai!Location sempre curata nei minimi dettagli,Menù ricco di tante cose buone da provare e ampia scelta di beverage,Servizio eccellente;Consiglio assolutamente questo locale! "
"ui_bubble_rating bubble_50","Finalmente ","Ho mangiato benissimo inutile elencare cosa ho mangiato perché ripeto era tutto buonissimo un attenzione particolare hai dolci fatti dalla proprietaria e non comprati i soliti surgelati che non hanno sapore"
"ui_bubble_rating bubble_30","Buono il cibo, il servizio è sicuramente da migliorare","Sono stata sabato sera in questo locale, che si trova a Fuorigrotta non lontano dal più noto Babette, avevamo telefonato per prenotare, ma ci è stato riferito che avrebbero messo il nostro nominativo in lista, ma che poi c'era da attendere. Effettivamente abbiamo atteso più di un'ora per entrare. Dunque il senso di dare il nome per telefono non l'ho capito. Una volta che ci siamo accomodati abbiamo aspettato mezz'ora per ordinare, inutili i nostri tentativi di fare presente al cameriere che aspettare mezz'ora per ordinare non è normale. Anzi dinanzi alla nostra insistenza il cameriere ha detto con un certo tono maleducato Dovete aspettare! Tralasciando ciò va detto che il locale è carino, piccolo, ma che davvero si mangia bene, piatti sono molto particolari, non i soliti da pub. Hanno inoltre una notevole scelta di birre, peccato che sul menu siano elencate poche e il cameriere non ci abbia detto nulla sulle birre presenti invece nel locale. Dunque nonostante l'esperienza assolutamente negativa per il servizio ci tornerò senz'altro e gli darò una chance! Inoltre assolutamente consigliati i dolci, la vera chicca (positiva) della serata"
"ui_bubble_rating bubble_50","Veramente ottimo<U+0001F923>","È il pub dove ho mangiato tutto ottimo.Panini particolari preparati con materie prime di ottima qualità.Una variegata e ricercata scelta di birre.Locale accogliente in stile Newyorkese.Ma i dolci, i dolci di Olga, raggiungono vette inaspettate. Angelo, il boss, è sempre pronto con un consiglio e un sorriso. Ci ritorneremo sicuramente."
"ui_bubble_rating bubble_30","Di stima","Un tempo sicuramente tra i migliori. Nel ritornarci dopo un po' di anni noti la differenza che c'è. In generale rimane per ambiente e qualità dei piatti tra i migliori."
"ui_bubble_rating bubble_40","Più cHe buono","Siamo stati in questo pub spinti dalle recensioni è devo dire che abbiamo apprezzato molto. Ottimi i panini come pure la birra alla spina. Prezzi nella media."
"ui_bubble_rating bubble_50","PUB","Piacevole serata in un bel pub. Servizio ottimo, panini davvero buoni e birre di ogni tipo. Anche i dolci buoni. Prezzi nella media. Unica pecca il locale un po' piccolo ma davvero molto grazioso."
"ui_bubble_rating bubble_50","Uno dei migliori!","Si tratta di un pub vicino casa con un'ottima selezione di birre ed una varietà di piatti molto particolari. Dall'antipasto al dolce, ogni esigenza di gusto può essere soddisfatta(ci sono anche piatti e panini vegetariani),il rapporto qualità prezzo è assolutamente adeguato ed il personale è cordiale e sorridente. Consigliatissimo anche per i dolci:i cremosi sono eccezionali ed hanno diverse varianti di gusto. Provare per credere!"
"ui_bubble_rating bubble_40","Locale NI cibo Si","Per il locale non è un granché, ma può piacere. Ovviamente i gusti sugli arredi sono personali, io cibo e le birre sono davvero buoni. Ogni volta che vado,,’Angiò e bevo bene. Lo consiglio"
"ui_bubble_rating bubble_50","esperienza fantastica!","birreria eccellente gestita dall'ottimo e sopraffino conoscitore do birra, Angelo. da provare i deliziosi dolci di Olga, davvero top!"
"ui_bubble_rating bubble_50","Il mio preferito a Napoli","Senza dubbio è il mio pub preferito a Napoli.Grande numero di birre a rotazione continua.Ottimo cibo: panini, piatti, antipasti sono assolutamente di ottima qualità.Non c'è stata volta che sia uscito da questo posto senza essere contento. Il proprietario e i camerieri sono sempre molto cortesi e simpatici.Assolutamente da provare."
"ui_bubble_rating bubble_50","Panini birra e....","Pensavo al classico pub e invece sorpresa panino e birra ottimi, i piatti davvero particolari,ho assaggiato il tris di tortini veramente buoni e poi come dimenticare i dolci di Olga dolci di produzione del locale .... davvero fantastici"
"ui_bubble_rating bubble_50","Ottimo pub da provare senza dubbi","Un ottimo pub dove si mangia benissimo e di qualità, dai crostoni , ai panini, alla carne al piatto e per finire la serata ottimi dolci. Inoltre c'è un' ampia varietà di birre, una più buona delle altre, di vari nazioni.Per quanto riguardo lo staff, sono tutti molto gentili e disponibili a suggerirti consigli su qualunque cosa. Davvero eccellente, da ritornare al più presto, vuoi con il tuo partner, ma anche con amici, ma anche adatto per famiglie con bambini"
"ui_bubble_rating bubble_40","Bel Pub","Locale moderno e accogliente. Servizio veloce. Personale cortese. E il cibo è ottimo. Ho preso un panino con Black Angus davvero buono. Gli ingredienti sono di buona qualità, non mi hanno appesantita. Da provare le birre alla spina. Consiglio questo pub a tutti, anche a famiglie con bambini."
"ui_bubble_rating bubble_40","Bello... Ma","Bello il locale, prezzi abbastanza buoni, perdonare cortese, birre... Ecco appunto da un pub con quel nome mi aspetto grazie abbia molte più birre, soprattutto alla spina, dove veramente è carente, 5 birre alla spina di cui di 3 marche diverse mi sembrano veramente poche... Comunque posto consigliato perché molto bello e ci si sta bene."
