"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Verso il Cimitero delle Fontanelle","Abbiamo pranzato bene, ma purtroppo in un inverno freddo che nn ha risparmiato neanche Napoli, il locale nn è riscaldato. "
"ui_bubble_rating bubble_20","Caro","Locale caratteristico, molto semplice e spartano (tovaglia di carta, ecc), igiene insomma.I piatti non erano male, soprattutto il polipo che definirei il piatto migliore tra quelli assaggiati. Servizio nella media, vino servito in bottiglia senza etichetta. Conto salato rispetto i canoni Napoletani, forse perché eravamo turisti ma comunque non ci stava.Personale gentile."
"ui_bubble_rating bubble_50","Rito","Ogni volta che vada a Napoli è un rito lasciare i bagagli a casa e andare a mangiare la pizza fritta in questo locale. Rosario è una persona eccezionale, umile e con i piedi per terra. Oltre le pizze consigliatissimi i piatti della cucina tradizionale napoletana. Prezzi più che onesti. Consigliatissimo"
"ui_bubble_rating bubble_10","Deludente","Complicato fare una recensione su questo ristorante.Deludente....per non dire peggio su tutto.Servizio scarsissimo.Coperto da sagra paesana.Cibo scadente.Conto salato.Penso possa bastare...."
"ui_bubble_rating bubble_20","Non ci torno ","Locale molto informale, apparecchiatura con tovaglia e bicchieri di carta . Gli antipasti buoni ma il primo è stato una delusione, non si riuscivano a capire bene quali fossero gli ingredienti. Il conto troppo caro rispetto a ciò che abbiamo mangiato e alla tipologia del locale. "
"ui_bubble_rating bubble_10","Commensali non graditi nel piatto","Io e la mia compagna stavamo esplorando il quartiere Sanità di Napoli e ci siamo imbattuti nel ristorante La cantina del gallo. Affascinati dalla rusticità del posto affrontiamo il pasto con entusiasmo. Ci accomodiamo e il nostro pasto è stato di 1 birra, 1/2 litro d'acqua, 4 pizzicotti fritti, 2 montanare, una pizza diavola e una pizza margherita...e qui la sgradita sorpresa....sotto l'ultima fetta, tra le briciole del piatto, un piccolo scarafaggio. Vista la sala piena di gente, in modo molto educato, abbiamo fatto presente l'accaduto al personale e al proprietario i quali si sono scusati per l'accaduto dicendo che può capitare.Concludendo i punti sono due: 1) NO! Non può assolutamente capitare! Le norme igienico-sanitarie sono molto dure su insetti infestanti in cucine e luoghi adibiti alla ristorazione. Il nostro unico pensiero dopo la scoperta dell'ospite è stato: sarà l'unico o è solo quello che abbiamo visto? Non allego foto...2) Il conto di 25€. Poco per quello che è stato mangiato, ma pagati nella sua interezza (compreso il coperto!) accompagnato da sole scuse. Forse perchè eravamo turisti? Davvero molto male..."
"ui_bubble_rating bubble_50","Siamo stati benissimo!!!!","La semplicità di questo posto è il suo punto di forzaAmbiente familiare, senza pretese, in cui si mangia benissimo... pizzicotti, diavoletti, montanare.... e pizze strepitose! A due passi c'è poi la caratteristica via della Sanità, dove passeggiare dopo pranzo e prendere un buon caffè in tazza bollente!Grazie"
"ui_bubble_rating bubble_50","Bravissimi","Uno dei miei posti preferiti a Napoli. Cucina ottima a prezzi contenuti. Personale sempre simpatico e disponibile. Si respira una bella aria sempre, si mangia bene e si paga poco "
"ui_bubble_rating bubble_10","Sinceramente, da evitare","La Sanità è uno dei miei quartieri preferiti, in cui il calore e l'autenticità dell'ambiente, del cibo e delle persone è speciale: si fatica più degli altri per far rivalutare il proprio quartiere. In questo ristorante, mi dispiace, ma non è così. La qualità del cibo è scarsa, il servizio idem, il livello della pizza è inferiore rispetto a quello standard, i pizzicotti insapore anzi alcuni veramente sgradevoli, la pasta e patate insapore e scotta, sorvoliamo sui vini... delle bottiglie anonime con dentro del vino di dubbio gusto, conto ingiustificatamente caro per quello che offre. 20€ a persona per: un antipasto di pizzetterie (1 pizzetta montanara, 1 crocchè, una frittatina ed un arancino di riso a testa), 2 pizze al centro per 8 persone, 1 primo e 1 secondo al centro per 8 persone, 2 dolci al centro sempre da dividere per 8 persone. Con un finale vi offriamo il limoncello (lo ha preso una sola persona). Poca igiene. Sinceramente sconsiglio questo posto, è stata davvero una delusione. La Sanità merita di essere frequentata e amata, ma in altri luoghi che meritano."
"ui_bubble_rating bubble_50","Tutto buono ","Sono stata in questa cantina qualche domenica fa. Ero con il. Mio ragazzo e devo dire che ci hanno deliziato non solo con il buon cibo, ma soprattutto per la cortesia e la gentilezza.Da ritornare assolutamente "
"ui_bubble_rating bubble_40","Tradizione e genuinità","Rapporto qualità prezzo molto buono, come le portate, giuste e gustose. Ambiente spartano, ma accogliente"
"ui_bubble_rating bubble_10","Delusione","Serata passata con amici, il locale si presenta male, per poter accedere al bagno bisogna uscire dalla sala, livello igienico dubbio, ( piatti che evidenziavano le impronte della cameriera), bicchieri di plastica per bere del vino. Pietanze non buone e distanti dalla tradizione napoletana. La cosa più grave che il listino non è veritiero...il conto molto più alto di quanto sarebbe dovuto stare...pessimo"
"ui_bubble_rating bubble_10","Prezzo inadeguato","Delusione totale, servizio pessimo, vino in bicchiere di plastica mai visto prima, 3 pizza 5 primi e vino, 90€ decisamente troppo per la qualità offerta. Location totalmente inadeguata, basta dire che per accedere al bagno bisogna passare per l' esterno del locale. Delusione."
"ui_bubble_rating bubble_10","Non ci siamo proprio ","Abbiamo speso troppo.piatti onesti ma prezzi davvero alti.Menù povero ma i prezzi sono davvero troppo alti in confronto al locale e alle pietanze "
"ui_bubble_rating bubble_50","Vero ristorante napoletano","Ottimo ristorante con specialità napoletane. In particolare modo la pizza fritta e poi cotta al forno, pasta e patate, e la genovese. Il personale pur essendo affabile e sempre premuroso non risulta per niente invadente. I prezzi sono assolutamente adeguati e giusti....fa quasi piacere pagare il conto dopo un buon pranzo. Da consiliare"
"ui_bubble_rating bubble_50","Ottimo","Cibo genuino, cortesia e disponibilità dei gestori. Locale accogliente, parcheggio comodo e caratteristico. Tutto eccellente! "
"ui_bubble_rating bubble_50","A Napoli si mangia così!","Trattoria trovata per caso dopo la visita al cimitero Delle fontanelle!Cucina tipica partenopea di altissimo livello, personale gentile.Ideale per trascorrere una domenica fuori casa, mangiare bene e per trovare il calore e l'accoglienza che contraddistingue noi napoletani.Da ritornare assolutamente!"
