"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Crocche e zeppoline da panico ","Sono stato qui di passaggio attratto dalla vetrina decido di entrare tutto super buono soprattutto zeppoline e crocche sicuramente ritornero "
"ui_bubble_rating bubble_40","Buona pizza","Buona pizza nel cuore di Secondigliano, periferia a nord di Napoli, ottima la pizza a portafoglio. Attesa abbastanza lunga."
"ui_bubble_rating bubble_50","Fiorentini felici di essere qui ","Bellissima serata con amici !! Abbiamo assaggiato stuzzichini fritti ... e 5 pizze ! La regina delle pizze !! la Margherita la pizza fritta .. e una specialità <U+2764><U+FE0F>"
"ui_bubble_rating bubble_50","Visita San Gregorio armeno","Siamo stati benissimo complimenti per il servizio e per la gentilezza del personale. Torneremo sicuramente la prossima volta."
"ui_bubble_rating bubble_50","La pizza con la P maiuscola","Frittini deliziosi, pizza fritta eccezionale e anche la pizza classica è uno spettacolo. Locale casereccio ma la buona pizza si mangia cosi"
"ui_bubble_rating bubble_40","Di passaggio ","Ieri io e mia moglie passando per questa strada abbiamo notato questa pizzeria fuori tanta gente, al ritorno decidiamo di prendere una pizza così per assaggiare. Pizza buona la classica napoletana, la frittura ottima la fanno li al momento davanti a te  le frittelle, proprietari e personali cordiali attenti. Buona scoperta "
"ui_bubble_rating bubble_30","Frittura top..pizza purtroppo un pò meno","Torno spesso in questa pizzeria, assolutamente imperdibili i fritti, veramente buonissimi, asciutti, leggeri e gustosi.La pizza purtroppo in più occasioni risulta salata, troppo cotta,con pochissimo sugo, insomma non all'altezza della frittura però..è un vero peccato, ci son rimasta molto male."
"ui_bubble_rating bubble_50","Top","Ottima pizza staff cordialissimo sempre allegri gentili e divertenti. Secondo me il cavallo di battaglia è la pizza tirolese na vera goduria"
"ui_bubble_rating bubble_40","Sosta obbligata!","Quando sono in zona mi fermo sempre per una piacevole spuntino.Locale storico, in zona è veramente un punto di riferimento; vetrina con tantissimi prodotti tipici, pizze al portafoglio e cosi via.Zeppole, panzerotti, palle di riso; veramente una bontà.Non mi fermo a mangiare al tavolo perché dentro è abbastanza piccolo però immagino che anche la pizza sia di qualità.Peccato che fuori sia esiguo lo spazio per consumare"
"ui_bubble_rating bubble_50","Pizza Top","Carminiello é una perla nascosta di Napoli, nulla da invidiare alle più famose antiche pizzerie del centro della città, meriterebbe appunto un po' più di pubblicità. Un luogo semplice, informale, familiare dove poter gustare una pizza squisita per non parlare della frittura... Leggera chiara e con ingredienti freschi; imperdibile è il gattó di patate fritto; come pizza consiglio fritta e bufalina da dividere, tutto questo per pochissimi soldini: prezzo medio a persona 8/9 euro e la pancia strapiena. W Secondigliano W Carminiello"
"ui_bubble_rating bubble_50","Tutto buonissimo da ritornarci","Oggi ero con i miei genitori in zona e siccome loro sono clienti abituali, mio padre da sempre in pratica essendo nativo della zona, mi hanno portato li per la prima volta.Locale pulito, ben arredato tra l'altro ci sono i tavoli in marmo un brillante. Abbiamo preso frittura con zeppoline, panzarotti e pall e ris ( i siciliani si sono lamentati che noi napoletani diciamo arancini ). Pizze margherite con provola ottime e poi alla fine abbiamo preso una fritta provola, ricotta e pomodoro. Inoltre già a metà mattinata, come da tradizione napoletana, c'è un banco caldo che vende pizze a portafogli, fritture e ogni bene degli snack della cucina napoletana. E con 2 euro pizza e acqua da 0,5 vi fate il pranzo veloce Da ritornarci al più presto, straconsiglio vivamente"
"ui_bubble_rating bubble_50","La vera pizza Napoletana ","E non si è smentito affatto Carminiello , frittura mista da favola , abbiamo preso una pizza fritta chiusa , è una pizza classica mozzarella di bufala e funghi , da spettacolo , andateci ne vale la pena . "
