"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Serata perfetta...","Cortesia,eleganza,ottima qualità del cibo...sono questi i principali elementi che contraddistinguono questo ristorante ...Ogni piatto ben presentato,perfettamente curato,dall' antipasto al dolce.Personale sempre gentile e disponibile...CONSIGLIATISSIMO ..."
"ui_bubble_rating bubble_50","Delicato, squisito e raffinato","Assolutamente eccezionale, siamo stati in questo locale nelle ore di punta e nonostante fosse affollato, ci è stata riservata una accurata ospitalità e relativo servizio oltre ad ottimo cibo sia negli antipasti che nei deliziosi piatti ispirati alla cucina borbonica. Nonostante “la qualità si paga”, il prezzo è ragionevole ........ ne vale totalmente la pena e ci ritornerò sempre con piacere"
"ui_bubble_rating bubble_50","Assolutamente da provare e riprovare! ","Un mix perfetto tra mare e terra, ti trasmette attraverso il gusto Napoli. I piatti sono molto curati. Personalmente ho amato i fritti e la pasta con provola e patate ma anche il resto del menu era eccellente. Lo staff è stato molto cordiale e disponibile, ti fanno sentire a casa con la loro gentilezza. I vini che propongono sono di alta qualità. Consiglio vivamente di provarlo e non rimarrete delusi!"
"ui_bubble_rating bubble_40","Napoli e un po’ di Sicilia","Nuovo locale, deve rodarsi ancora un po’, però qualità del cibo molto elevata! Pesce fresco cucinato molto bene. Prezzi leggermente alti, ma per Napoli, non certo per altre città! Porzioni abbondanti, cameriere molto attento. "
"ui_bubble_rating bubble_50","“Tappa obbligatoria a Napoli”","Locale accogliente,proprietario gentile e disponibile insieme ai suoi collaboratori. Cibo dieci e lode e birra superlativa. Da provare,lo consigliamo vivamente,da ritornarci quanto prima."
"ui_bubble_rating bubble_30","Crescerà ","Cibarè offre un buon rapporto qualità quantità prezzo in un locale carino nel cuore di Napoli. La cucina si ispira a quella napoletana e siciliana, un po’ ammodernata, con alcuni piatti degni di nota è altri un po’ troppo normali (dolci). Il servizio e gentile e premuroso, ma ancora inesperto. È comunque un locale valido per una sosta e con un po’ di cura crescerà."
"ui_bubble_rating bubble_30","Cena","Siamo stati qui durante il nostro breve weekend a Napoli. Un locale piccolo ma molto raffinato, un po’ intimorisce. Ho preso gli scialatielli del golfo abbondanti e si sente che la pasta è fresca. il mio compagno ha preso antipasto, primo e secondo. Ho assaggiato i ravioli mazara, buoni. Ho assaggiato anche un po’ di fritto ma non sono rimasta impressionata dalla cucina. Pesce fresco e qualità. Prezzi alti che giustificano alcune cose ma non altre.Personale cortese ma un po’ maldestri, forse un po’ troppo presenti "
"ui_bubble_rating bubble_50","A tavola con i Borboni","Materie prime di qualità sapientemente selezionate e preparate per restituire i sapori della tradizione con modernità.Locale raccolto ed essenziale ispirato alla storia dei Borboni. Originale e ricercato il soffitto in legno a cassettoni incorniciato da stucchi dorati."
"ui_bubble_rating bubble_50","Un quasi stellato a buon prezzo","Ambiente raffinato e accogliente. Qualità dei prodotti ottima e menù gustoso. I prezzi seppur alti sono più che proporzionati alla qualità del cibo! Consigliatissimo"
"ui_bubble_rating bubble_50","Qualità eccelsa.","Siamo stati in questo ristorante per festeggiare il compleanno di mia mamma, devo dire che è stato tutto perfetto, la qualità del cibo, tonno e baccalà squisiti, il servizio estremamente gentile, il locale molto curato e molto elegante, ci ritornerò sicuramente, complimentoni davvero. 5 stelle."
"ui_bubble_rating bubble_50","Crudo a volontà","Questa volta le mie viscere sono state deliziate con crudo a volontà di qualità eccelsa. Il tonno era talmente fresco che mi sono eccitato... e non aggiungo altro."
"ui_bubble_rating bubble_40","Cena da Cibarè","Ottimo cibo di alta qualità ,ambiente moderno e ben curato, da provare assolutamente i ravioli ripieni di mossa della è tartare di gamberi!"
"ui_bubble_rating bubble_30","“molto fumo e poco arrosto”","Cena di lavoro, di martedì sera, tavolo da otto, unici avventori.Prima volta in questo ristorante: mi avevano incuriosito le recensioni di TripAdvisor........Facilissimo parcheggiare, per la presenza di numerosi garages nelle immediate vicinanze.Locale piacevole, carino, arredato con gusto. Ci accomodiamo al primo piano. Musica un po’ troppo invadente ma, essendo gli unici avventori chiediamo di abbassare il volume.Ricordo con piacere una sola pietanza della serata: la tartare di tonno con papacelle e maionese ai capperi: sublime!!!! Il resto davvero senza infamia e senza lode: piatti che dal menu parevano intriganti ma che ad assaggiarli erano senza personalità, banali, seppur con ingredienti particolari; cito la pasta e patate con le cozze (troppo cotte ed insapori) e qualcos’altro (bottarga?) che alla fine è stata SOLO una buona pasta e patate! Altra pecca: i primi, tutti con un fondo di acqua di cottura!!!I ragazzi in sala, gentili, attenti, ma a parer mio poco adeguati ad un locale che, all’apparenza e dal menù, mira in alto!Abbiamo scelto come vino una bottiglia di Vintage Tunina di Jermann (vino che conosco, amo ed avevo adocchiato nella cantinetta appena entrato); in otto, ovviamente una bottiglia non sarebbe bastata e forse nemmeno due! Sarebbe stato corretto comunicarci, all’ordinazione del vino e non farlo alla richiesta di una terza bottiglia, che in cantina ce n’erano SOLO due!In ultimo, si esce in strada con gli abiti che puzzano di frittura...Quindi una bella facciata, ma non tanta sostanza!Peccato!"
"ui_bubble_rating bubble_30","Si può crescere!","Mi sono recato in questo ristorante per puro caso con la mia famiglia, incuriosito dalla riproposizione dei piatti borbonici.Ristorante pulito e tenuto bene, dal design forse un po’ troppo moderno. Cominciamo il pranzo con i ravioli ripieni di bufala e tartare di gamberi, non mi hanno impressionato, il sugo di pesce era un po’ troppo forte, gusto personale. Provo anche l’atro primo, spaghetti con zucchine e provolone, e l’unico sapore che emerge è quello del pesto. Per fortuna i secondi sono stati perfetti secondo me, la frittura freschissima e il baccalà cotto al punto giusto e con un perfetto grado di sapidità. Concludiamo il pranzo con i dessert: torta caprese e cannolo scomposto, il secondo molto meglio del primo.Cibarè con le giuste scelte ha le giuste basi e i giusti mezzi per crescere e diventare un must a Napoli!"
"ui_bubble_rating bubble_40","Da tornarci ","Piccolo salotto partenopeo a pochi passi da Piazza Plebiscito con ottimi piatti a base di pesce ben cucinati e presentati .squisiti i ravioli alla Mazara e il Fritto borbonico. Buono la scottata di tonno al pistacchio di bronte. Giusto mix tra tradizione e innovazione... servizio davvero cortese e professionale "
"ui_bubble_rating bubble_50","il mio preferito a Napoli","Senza dubbio è uno dei miei locali preferiti qui a Napoli per una cena a base di pesce. Ottimo e ricercato il menù, la cucina si presenta con i guanti bianchi, piatti elegantemente presentati e il sapore non delude mai. Lo staff è sempre attento e cortese, i ragazzi sono simpaticissimi e il proprietario non mi delude mai quando gli chiedo di riservarmi il tavolo con vista.Ottimo per cene di lavoro, coppia e famiglia."
"ui_bubble_rating bubble_50","Cena gourmet in un posto di classe","Un vero e proprio salottino partenopeo con dettagli barocco, davvero d’effetto!La cena è iniziata con tartare di tonno con maionese e peperoni alla julienne..ottima!Mio marito ha preso spaghetti alla nerano mentre io pasta e patate con le cozze...mai provata prima..ero un po scettica ma alla fine scoperta eccellente! Il dolce è stato ottimo..lo consiglio si sta davvero bene e si mangia benissimo"
"ui_bubble_rating bubble_50","Elegante e raffinato","La mia stima per questo locale nuovissimo nel centro di Napoli in cui mi sono sentita coccolata dall’antipasto al dolce.Tutto impeccabile, dalla cortesia dei camerieri ai piatti. Bellissimo il secondo piano soprattutto nella decorazione degli spazi..piatto da non perdere “ ravioli Mazara”!"
"ui_bubble_rating bubble_50","Esperienza positiva","Tramite amici sono risalito a questo ristorante vicino Piazza del Plebiscito, bel posto raffinato, un’ottima accoglienza e di ottima qualità.Top per la carta dei vini ben fornita.Alla prossima"
