"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Pizze buone","Locale gradevole. Due pizze decisamente buone anche se forse una delle due aveva la copertura a base di pomodoro un po' troppo liquida. Servizio cortese e veloce. Prezzo delle pizze nella media. Prenotare."
"ui_bubble_rating bubble_30","Bisognerebbe rivedere l'attribuzione del certificato di eccellenza","Incuriosito da una citazione in un libro sulla cucina napoletana oggi a pranzo con mia moglie.Ma tante cose negative che elenco qui di seguito.1) difficolta' di park 2)bagno in ipogeo con scala a chiocciola nel semiinterrato(e un disabile??????????)e discretamente pulito ma non al top...3)il cameriere che porta in tavola bottiglie e busta con il pane,con le stesse mani da un cassetto prende le posate x gli utenti...4)la tanto decantata genevose poi....nel mangiarla all'improvviso ci stavo rimettendo un dente....un pezzo di pasta dura non cotta(e lunedi il dentista chi lo paga se non io,servita con una leggera spolverata di parmigiano(e se ne avessi voluto di piu' o di meno? il formaggio va servito a tavola ed ognuno sceglie se e quanto usarne.servita poi con i mezzanelli!!!!!!!!sic!!! la morte dellla genovese e' con i ziti spezzati altro che mezzanelli!5)la tanto decantata parmigiana di melenzana poi...(l'o presa insieme a quella di finocchi.2 pastrocchi altro che,molli disfatte nei piatti,senza che si sentisse il sapore delle verdure,e quella di melenzane navigava nell'olio.6)le alici fritte poi servite in un contenitore metallico,senza una carta gialla che assorbe l'olio...buone si,ma...7)eravamo seduti ad un tavolo dietro la vetrina dove esa scritta la poesia del ragu' di Eduardo e sul bordo finestra tanta polvere e parecchie briciole di pasti precedenti..Non si puo' fare ristorazione in questo modo e se anche si appella come trattoria,alcuni capisaldi non dovrebbero mai mancare.Nota positiva,caffe' offerto e conto miserrimo,ma non basta x dire:ritorneremo"
"ui_bubble_rating bubble_50","Cena a Napoli","Il ristorante  da Donato  è stata una piacevole scoperta! Consigliati dal titolare, abbiamo degustato numerosi assaggi di specialità partenopee, tutti veramente ottimi! Locale piacevole e accogliente, personale cortese e disponibile, prezzi adeguati. Consigliamo di provarlo!"
"ui_bubble_rating bubble_50","Una piacevole serata a tavola","Sette amuvi si sobo dati appuntamento in questo locale dall'atmisfera calda e accogliente e allo stesso tempo moderno, nel centro di Napoli in zona Porta Nolana. Si gustano i piatti tipici della tradizione napoletana ma con rivisitazioni gourmet. Parmigiane di tutti i tipi, di zucchine, di melanzane, di finocchi, di patate. Si spazia da antipasti di terra e di mare ad un'ottima varietà di primi piatti (ottimi gli spaghetti con cozze e parmigiano). Non ho letto la carta dei vini ma ci siamo fatti consigliare il rosè postato in foto. Ottimi anche i dolci.Prezzo ragionevolissimo considerate la bontà ed il numero di portare, 35€ cdu.La prissima vola lo voglio provare a pranzo."
"ui_bubble_rating bubble_50","La coppia di Cagliari","Siamo entrati senza prenotazione accogliendoci come se ci conoscessimo da anni ed invece é stata la nostra prima volta, tutto lo staff ti accudisce senza appesantire la loro presenza durante i pasti (squisiti) veramente bravi, continuate così. Il caffè divino di cagliari vi aspetta alle vostre ferie in Sardegna "
"ui_bubble_rating bubble_30","Napoli","Locale spartano e carino, personale disponibile, cibo buono ma non al top. Di sicuro non è per soli turisti!"
"ui_bubble_rating bubble_50","Ambiente caloroso e buona cucina","Locale molto accogliente vicino alla stazione. Noi abbiamo mangiato la pizza che è risultata buonissimo, come buono è stato un cuoppo di fritto preso come antipasto.Personale gentile ed efficiente.Prezzi ottimi."
"ui_bubble_rating bubble_40","Ospitalità","Abbiamo scoperto questo ristorante due anni fa.Questa volta, noi siamo liguri, abbiamo voluto prenotare per tempo.Anche questa volta,mangiato benissimo, prezzi ragionevoli e cordialità garantita.Consigliatissimo"
"ui_bubble_rating bubble_50","Da non perdere !","Piacevole accoglienza, servizio impeccabile ed ottima cucina. Ci hanno suggerito il menu piu adeguato alle nostre richieste, degustando un antipasto di molte buone portate per poi chiudere con i dolci. Il conto è stato decisamente onesto."
