"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Tradizione.","Il locale credo sia stato rinnovato da poco, ho letto di varie lamentele sul bagno ma, francamente, non ci sono entrato. Ottima la pizza, forse un po' pesante. Personale cortese e prezzo perfettamente nella media."
"ui_bubble_rating bubble_50","Pizza fritta che bontà","Non so come sia possibile che una pizza fritta sia così leggera. Già il nome pizza fritta da l'idea di un qualcosa di pesante e invece vi assicuro che come per magia questa pizza non gonfia per niente. Impasto leggero, cottura impeccabile. L'ho mangiata nel periodo natalizio con scarole ed è una vera bontà. I prodotti sono freschi e di prima qualità. Davvero sono degli artisti. I prezzi sono contenuti."
"ui_bubble_rating bubble_50","Buonissima ","Per me è la migliore pizza fritta di Napoli..... Il posto è piccolo quindi bisogna aspettare fuori che si liberi qualche tavolo... Ma l attesa vale tutta. La pizza è buonissima.... E fritta alla perfezione....e gli ingredienti del ripieno sono di ottima qualità. Prezzo onesto... 6 euro a pizza.ci tornerò sicuramente. "
"ui_bubble_rating bubble_50","Speciale!","Pizza fritta da 110 e lode! Quella con il soffritto superba, tanto che ne abbiamo presa un'altra subito dopo! Assolutamente da provare se si passa da Napoli"
"ui_bubble_rating bubble_50","Un tesoro nascosto","Si decanta la pizza margherita e gli altri tipi di pizza al forno con vari ingredienti ma pochi ( non certo i napoletani) conoscono la pizza fritta. Assicuro che una visita in questo piccolo locale è d'obbligo perchè la pizza fritta sia essa completa o con scarola cruda, olive ed acciughe è unica. Leggera ,saporita e gustosa ha anche il pregio di un prezzo decisamente contenuto."
"ui_bubble_rating bubble_40","Pizza fritta doc. ","Pizza fritta DOC in più varianti. Un po’ di attesa ma ne vale la pena. Camerieri molto educati e disponibili. Prezzi esageratamente bassi. "
"ui_bubble_rating bubble_50","LA pizza fritta!","Pizze di qualità! Eccezionale la pizza fritta molto leggera e gustosa, personale molto cordiale e competente! Rapporto qualità prezzo ottimo "
"ui_bubble_rating bubble_50","Me lo avevano consigliato","Una pizza fritta fantastica, locale spartano è caratteristico, modesta la scelta, ma la qualità del prodotto è da nr 1 a Napoli. Assolutamente da non perdere e prezzi incredibilmente bassi. Ci torneremo"
"ui_bubble_rating bubble_50","Patrimonio dell’umanità","Per fortuna abitando a Napoli posso godere di questo angolo di paradiso gastronomico!!Pochi fronzoli locale anni 50 piccolo anche molto vecchio e mal tenuto , ma quando esci col sorriso tutto questo nn serve !! Pizza fritta unica eccezionale sensazionale strepitosa !!! I tutte le varianti !!! Nn ha segni di olio come per miracolo PAZZESCO"
"ui_bubble_rating bubble_50","Tappa obbligatoria","Programmata,rubata o fortuita, la tappa ristoratrice in questa antica friggitoria è d'obbligo per ritrovare gli antichi sapori."
"ui_bubble_rating bubble_40","Nuova esperienza culinaria. Da provare ","Mi ci son trovato per caso dovevo fermarmi per un pasto veloce con la mia famiglia. Il locale piccino tutti i tavoli sono sotto un gazebo esterno che confina con una pescheria ed un fruttivendolo. Siamo nel cuore del Mercato del Vomero.Si tratta di una friggitoria senza il forno.Posto molto informale dove mangiare una cosa al volo. Tavoli e sedie un po' precari e spesso, per via dello spazio ridotto, addossati gli uni agli altri.Personale molto accogliente e disponibile. Servizio estremamente rapido. Buono l'impasto e, la frittura in olio di qualità, rende le pietanze gradevoli e digeribili. Molto buona la pizza fritta classica con ricotta provola pomodoro cigoli e pepe.Davvero molto buona la variante con broccoli e salsiccia.I miei figli hanno apprezzato le montanare.Unico neo: dopo la frittura le pizze fritte andrebbero passate in carta assorbente perché il residuo di olio a volte è un po' eccessivo e potrebbe non essere gradito.I prezzi sono contenuti in 4 persone compreso le bevande abbiamo speso €29. Personalmente ho apprezzato e mi hanno divertito proprio gli aspetti che possono sembrare negativi: stare tutti vicini vicini su sedie e tavoli piuttosto improvvisati; trovarsi seduti a mangiare praticamente per strada Tra Gli avventori del mercato. Davvero una bella esperienza e soprattutto buona!"
"ui_bubble_rating bubble_30","Buona Pizza Fritta","prezzi nella media e pizza fritta buona...con 5/6 euro si mangia una buona pizza ripieno abbondante...posti a sedere all'internonon si paga il coperto"
"ui_bubble_rating bubble_50","L’essenza della semplicità dei grandi!","Che bello vedere ancora la vera tradizione della pizza fritta autentica nel cuore di Napoli. Antica e storica pizzeria specializzata in pizze fritte. In poco tempo seduti nella saletta interna abbiamo potuto gustare una “chicchinese” che contiene scarole crude, provola, olive nere, acciughe, pomodoro e non so più che altro ed una completa con circoli, provola, ricotta e pomodoro (gli ingredienti dei ripieni tutti freschissimi, abbondanti e di ottima qualità) una birra ed un quartino di falanghina igp. Che dire, la frittura risulta digeribile ed il prezzo è più che invitante; mi piacciono anche le signore che preparano tutto a vista e i due signori che servono i piatti e prendono le ordinazioni ai tavoli! Continuate così siete stupendi nella vostra semplicità!"
"ui_bubble_rating bubble_50","Pizza fritta buonissima ","Ci siamo per caso trovati davanti questa pizzeria passeggiando tra i vicoli di forcella e incuriositi siamo entrati e non siamo rimasti delusi,ottima Pizza con buoni ingredienti e cucinata veramente molto bene,Personale gentilissimo e prezzi modici ,da provare."
"ui_bubble_rating bubble_50","Ottima pizza fritta","Il locale è molto sobrio frequentato solo da napoletani e da pochi turisti xche poco conosciuto ma merita se si vuole un ottima pizza fritta"
"ui_bubble_rating bubble_30","Buona pizza fritta","Buona pizza fritta, servizio veloce e prezzi molto bassi, mentre giri per il centro storico di Napoli è una tappa che va fatta!"
"ui_bubble_rating bubble_50","Rle figliole hanno le mani d oro","Pizza fritta come si deve,leggera e di ottima qualità.Le signore che la gestiscono sono rapide, esperte e preparano un ottima pasta lievitata il giusto.Se poi ci metiamo che oltre al sapore la pizza la paghi anche poco, voilat il gioco è perfettamente riuscito."
"ui_bubble_rating bubble_50","Ci si sente in dovere di ritornare","Dopo un po' di tempo sono ritornato a gustare la loro pizza fritta, bontà divina.Assolutamente da provare."
"ui_bubble_rating bubble_40","vorrei chiedere la mano di una delle figliole","salve , non so chi sono fisicamente le figliole ... ma vorrei chiedere in sposa una di loro ... per farmi preparare ogni giorno , a colazione , pranzo e cena la sua pizza fritta ... ho preso una completa , in cui praticamente c era l impossibile e l altra al soffritto ... mai assaggiata prima ... ero leggermente appesantito ma non dall impasto ma per le cose all interno ... tutto molto bello anche l odore addosso nei giorni successivi :)"
"ui_bubble_rating bubble_40","Piacevole scoperta","Camminando scopro x caso questa storica pizzeria che fa solo pizza fritta farcita.Io ho preso la classica Provola e pomodoro... ottima,leggera e gustosa!locale piccolo ma tranquillo,pulito e personale gentile."
"ui_bubble_rating bubble_40","Un'istituzione","Se vuoi mangiare una vera pizza fritta non puoi non andare in questa storica pizzeria, in uno dei luoghi più caratteristici di Napoli, una vera istituzione."
"ui_bubble_rating bubble_50","Pizza fritta doveva essere,ed è stata..","Nel cuore di forcella,un locale spartano ed autentico,a conduzione familiare,esclusivamente dedicato alla liturgia della pizza fritta. Pizza fritta friarielli salsiccia e provola,ed una completa con tanti ingredienti di qualità ,una birra grande..14 euro. Da provare."
"ui_bubble_rating bubble_50","se la pizza fritta vuoi ... qui devi venire","pizza fritta ... ma sembra non esserlo ... impasto eccellente ... ricotta buonissima ... olio pulitissimo pur essendo in chiusura pomeridiana ... tutto secondo i piani .l unica pecca è l odore di fritto addosso , essendoci seduti dentro ! ma ne è valsa la pena ! tradizione e qualita premiano sempre ."
"ui_bubble_rating bubble_40","La storia","Non c'è niente da fare quando mi trova in questa zona di Napoli verso le h 12 non riesco a rinunciare ad un pizza fritta (per chi arriva prima l'olio da il meglio) e poi passare a mangiarmi due sfogliatelle. Lo so che è pesante ma chi non l'ha mai provata non sa cosa si perde!! Versione standard con ciccioli ricotta mozzarella salame. "
