"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ci tornerò","Locale caratteristico, personale educato e disponibile, piatti squisiti a prezzi ottimi (ho mangiato crocchette di patate e un piatto abbondante di rigatoni al ragù, tutto squisito). Consigliato! ;-)"
"ui_bubble_rating bubble_50","....la napolitanità...!!","Arriviamo senza troppe pretese dopo una serata precedente passata in un ristorante a dir poco anonimo,caro e con un servizio scadente!!Per evitare di aspettare arriviamo tardi ma veniamo subito accolti con simpatia e garbo!!!Ordiniamo qualche antipasto e ci facciamo consigliare I primi!!!Cartoccio di pesce e pignatiello accompagnato da qualche contorno!!!Che dire...primi deliziosi accompagnati da vino bianco e per finire due amari!!Servizio impeccabile e a conduzione famigliare!Usciamo e per magia...la NEVE!!Noi torneremo...voi non cambiate!!! P.S. Ottima qualità-prezzo!"
"ui_bubble_rating bubble_50","Micidiale ","Top del top. Stato con la famiglia tutti contenti cibo ottimo e camerieri simpatici! Very napoletani. Pesce fresco piatti semplici della tradizione. Nello staff si vedono giovani e meno giovani lavorare insieme con affiatamento e passione. Promosso! "
"ui_bubble_rating bubble_40","Una valida trattoria napoletana ","Prenoto con TheFork questo ristorante e devo dire che la scelta è stata corretta.Crocchette di patate, zeppoline di alghe, alici fritte: tutto molto buono.Unica nota le alici fritte le preferisco più croccanti mentre in questo caso forse la temperatura dell’olio era un po’ bassa.Polpetta al sugo saporitissima: da provare.Ordiniamo poi gli gnocchi alla Sorrentina e i polipetti alla Luciana: questo piatto cucinato in modo egregio. Rapidi nel servizio e bella atmosfera con musica napoletana a rallegrare l’ambiente (a volume corretto). Una bella trattoria napoletana."
"ui_bubble_rating bubble_50","Ottima trattoria","Bravi ottimo cibo e cordialità del personale. Se torniamo a Napoli torneremo. Eravamo otto toscani esigenti ma ben riconpesati."
"ui_bubble_rating bubble_30","Mi aspettavo molto di più","Spinti dalle recenzioni io e mia moglie abbiamo prenotato con TheFork ottenendo anche lo sconto del 20% ma francamente mi aspettavo di più. In un menù contenuto alle 21:00 avevano terminato il baccalà eliminando così 5 piatti dalla varietà della carta, inoltre la frittura di paranza seppur di buona qualità nel pescato è risultata fritta in un olio già decotto danneggiando così il gusto di quanto proposto; eccezionali invece gli spaghetti alla pignatiello buona l'orata al forno, servizio deludente ed approssimativo ma parliamo sempre di un osteria seppur ben recensita.Lode al prezzo onestissimo per un antipasto due primi e due secondi con acqua e vino. Logicamente da prenotare su TheFork"
"ui_bubble_rating bubble_50","Numero 1","Spettacolo puro!!!Prezzi più che onesti!!!Qualità del cibo OTTIMA!!!Cortesia e Gentilezza!!!Qui è Napoli!!!"
"ui_bubble_rating bubble_50","Ottima cena","Camerieri disponibili e gentili... Locale carino tipico ed accogliente... Cibo ottimo e porzioni abbondanti e conto moderato... Se mai tornerò a napoli ci ritornerò "
"ui_bubble_rating bubble_50","Eccezionale!","Abbiamo cenato qui due volte durante il nostro soggiorno a Napoli, dopo la prima sera non potevamo non tornarci ancora! Cibo veramente squisito, abbiamo provato diverse pietanze ed erano tutte fantastiche. Difficile forse mangiare male a Napoli ma qui si mangia particolarmente bene e i prezzi sono davvero bassi, sopratutto per gente del nord come noi abituata ad altri standard. Consigliatissimo!"
