"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Ecomesarà?...una serata sfortunata!","Ristorante che propone, a dirsi dal menù, cucina gourmet in una location piuttosto trascurata (specialmente il soppalco).Quasi un’ora e mezza di attesa dopo l’ordinazione, durante la quale nessuno si è presentando ai tavoli per motivare il ritardo nell’arrivo dei piatti. Ci siamo dovuti avvicinare noi alla cucina per scoprire che l’attesa era dovuta ad un problema inaspettato in cucina. Qualche minuto dopo, ecco arrivare i nostri piatti. Un secondo che pareva un antipasto: poco più di un boccone di tonno, la cui cottura ci ha lasciati perplessi, con tre sottilissime fettine di mela. Non ricordiamo di essere mai usciti da un ristorante così affamati.Probabilmente una serata sfortunata per il locale, ma sicuramente una cucina molto “particolare”, ben lontana dalla buona cucina napoletana che si può gustare in molti altri locali. Da riconoscere che ci è stato fatto uno sconto ingente per rimediare alla cena da dimenticare."
"ui_bubble_rating bubble_20","Sarà per la prossima (forse)","Avrei tanto voluto provare uno dei vostri piatti. Siamo passati davanti al vostro ristorante per tre sere ed incuriositi dall’ambiente e dalle recensioni positive abbiamo deciso di prenotare un tavolo per l’ultima sera a Napoli. Quando finalmente dopo 10 minuti abbondanti di attesa mi è arrivato il menù ho realizzato che di vegetariano non c’era assolutamente nulla. Quando ho chiesto consiglio al cameriere lui mi ha proposto una pasta al pomodoro e formaggio. Pomodoro e formaggio? Come in mensa? Vabbè forse i vegetariani non vi stanno simpatici però ci siamo anche noi e forse vi dovreste attrezzare o quantomeno chiedere allo chef delle alternative. "
"ui_bubble_rating bubble_50","Un gioiellino prezioso fra tanti ristoranti turistici in centro Napoli","Dopo alcune brutte esperienze seguendo le guide turistiche... su consiglio di mio figlio che aveva già sperimentato questo ristorante anche se un po' timorosi in quanto cercavamo una vera cucina napoletana ci siamo recati per cena al Eccomesara. Coccole di sapore e colore. Arte nei piatti e delizia in bocca... guidati e consigliati da marilisa.Qui non solo la tradizione napoletana è rispettata ma arricchita dalla ingegno e la creatività di uno staff giovane e entusiasta"
"ui_bubble_rating bubble_50","Eccellente!","Abbiamo scelto questo ristorante fidandoci delle recensioni di tripadvisor e devo riconoscere che non ha deluso le nostre aspettative. I due primi erano spettacolari (spaghetti alla colatura di alici e ditaloni alle vongole e ceci), ma anche l’antipasto (fritto misto) e i dolci sono stati all’altezza (anche se per “dolce” avrei ripreso volentieri un primo)! Ce ne ricorderemo a lungo ! Complimenti alla chef! "
"ui_bubble_rating bubble_40","Piatti da cucina top!","Attenzione al cliente e impiantano davvero curato Pesce fresco.Da provare lo gnocco del prete e la frittura.Da ritornarcim"
"ui_bubble_rating bubble_50","É come sarà?... tutto buono","Capitati per caso in questo locale, Da subito accolti con cortesia, é stato il dopo a sorprenderci... Serviti in tempi rapidi,ottimo il fritto della casa ed il polpo,lo stesso vale per i primi,lo gnocco del prete merita di essere assaggiato.. Ancora di più il risotto al cavolo rosso(da ristorante stellato) perfetto anche il tonno per il quale hanno l'accortezza di far scegliere il grado di cottura..prezzi in linea con la qualità delle materie prime impiegate... insomma tutto buono(persino il cameriere oscar è simpatico) ... Ci ritorneremo"
"ui_bubble_rating bubble_40","Positivo","Ho trovato molto carina la porta, anche se il posto in se non è esteticamente un gran che.Per quanto riguarda il cibo: tutto molto buono, anche l impiattamento molto carino.Non è cucina tradizionale, ma comunque un'ottima variante."
"ui_bubble_rating bubble_40","Pranzo a Spaccanapoli ","Cibo ottimo ricercato e di livello, peccato la location che ricorda molto i bar anni 70 e che non rispecchia la qualità dei piatti. Prezzi medio alti ."
"ui_bubble_rating bubble_50","Che sorpresa!","Veramente una sorpresa questo ristorantino.Accoglienza cordialissima, non lasciatevi ingannare dalla location un pó retro e dalle sedie in stile bar..tutto il menú vi sorprenderà.Buono il polpo, eccezionale il risotto al cavolo cappuccio viola con mozzarella di bufala, mela e cavolo fritto. Per me quasi da ristorante stellato.Ottimo il maialino con i peperoni ed il tonno.Chef e compagno gentilissimi, lasciata una meritata mancia.Più che consigliato, conto corretto."
"ui_bubble_rating bubble_40","ottimo consiglio","Ho chiesto ad un signore di indicarci un buon ristorante e lui ci ha consigliato questo.Ottimo consiglio. I piatti sono fatti con amore , non rispecchiano la tradizione napoletana, ma sono fatti con buone materie prime e come hanno già scritto, cercano di dare nuovi stimoli. piatti non abbondanti ma curati. Ambiente semplice, senza fronzoli, forse un po freddino, ma da provare"
"ui_bubble_rating bubble_50","Fuori dai soliti schemi ad uso e consumo del turista... ","Una cucina interessante, rivisitazione della tradizione che certamente rispetta, ma cerca anche di dare nuovi stimoli al palato. Prezzo onestissimo. Vale la sosta ed anche una tappa ad hoc. "
"ui_bubble_rating bubble_40","Vale sicuramente una visita","Purtroppo mi sono fermato per un pasto rapido e non ho potuto provare molto, ma il primo che ho provato era indubbiamente gustoso ed una interessante rielaborazione di un piatto tradizionale. Forse appena caro, ma prezzi giusti per il tipo di cucina che offre. Da provare!"
"ui_bubble_rating bubble_40","Sarà buono...","Abbiamo cenato in questo ristorante spinti dalla curiosità che ci avevano fatto nascere le recensioni e le foto dei piatti.Cercavamo qualcosa di diverso dal solito e in effetti così è stato anche se non siamo convinti del tutto.Menù con pochissimi piatti, nota positivissima poiché presuppone che ci siano sempre materie prima fresche, locale accogliente e servizio discreto.Abbiamo ordinato come antipasti un fritto e un polpo.Il fritto non mi ha convinto nei sapori , nel senso che erano descritti come qualcosa di ricercato ma nel sapore non ho riscontrato effettivamente una novità.Il polpo ottimo, cucinato ad arte...ne avrei mangiato un altro.I primi piatti: spaghetto alla colatura di alici (superbo) e pasta fresca con ceci e vongole ( non buono come l'altro).Con una bottiglia d'acqua e un calice di vino abbiamo speso 65 euro.Prezzo abbastanza giusto, forse agirei leggermente sull'abbondanza dei piatti, soprattutto per i primi. "
"ui_bubble_rating bubble_40","Notevole","Si trova nella parte meno frequentata di santa chiara ma è da cercare e provare. Menù essenziale e interessantissimo. Ogni piatto che abbiamo provato oltre che buonissimo è curato nella presentazione. Porzioni adeguate. Carta dei vini da rivedere. Personale gentile e preparato."
"ui_bubble_rating bubble_40","Intimo ed innovativo","Locale intimo e tranquillo. Viene sercita cucina locale, con i sapori tipici partenopei, ma in forma rivisitata. Davvero da provare!"
"ui_bubble_rating bubble_50","Tradizione ed innovazione","Siamo stati in questo ristorante caratteristico nel cuore di Napoli giusto dietro ad un dedalo di vicoli, ed è stata una vera scoperta. Eccellente qualità delle materie prime, sapientemente trattate dallo chef-architetto che é anche la titolare del locale. Piatti che sorprendono seppur innestati nel meglio della tradizione e degli ingredienti della meravigliosa cucina napoletana. Il servizio è attento ma non inutilmente prono, la cordialità è verace Come il sapore e l’abbinamento degli ingredienti che sono una vera esplosione di sapore Mediterraneo. Questo locale meriterebbe un miglior riconoscimento da parte dei napoletani che dovrebbero rendersi conto di avere una piccola gemma proprio dietro l’angolo. Ritorneremo. Prezzi assolutamente onesti e persino bassi per la qualità offerta."
"ui_bubble_rating bubble_50","Consigliatissimo!","Finalmente un ristorante a Napoli buono, curato nei dettagli di piatti innovativi ma con rimandi continui alla tradizione. Il personale è cordiale e i prezzi sono del tutto adeguati al servizio. Bravi!"
"ui_bubble_rating bubble_50","Tutto squisito!","Ristorante accogliente e curato nei dettagli. Personale molto gentile e professionale. Piatti ottimi, gustosi e ricercati, presentati in maniera impeccabile. Lo consiglio vivamente!"
"ui_bubble_rating bubble_40","Mio compleanno","Tutto molto buono con piatti originali ma al tempo stesso molto gustosi per non parlare poi della presentazione degli stessi, sembravano dei dipinti!!mi è piaciuto molto il calamaro e la parmigiana."
