"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Eccellente","Dal titolo si capisce già che la qualità è eccellente, siamo stati qui oggi è abbiamo ordinato 2 antipasti e 2 primi ed erano abbondantissimi ma soprattutto pesce freschissimo .. rapporto qualità prezzo ottimo. "
"ui_bubble_rating bubble_50","La certezza","È sempre bello tornare da Masaniello, due volte l'anno ci riesco e mangio sempre bene il pesce nostrano, poi i titolari ed il cuoco sono: simpatici, professionali ed accoglienti quindi....si tornerà spero durante le vacanze di Natale."
"ui_bubble_rating bubble_10","davvero deludente","Premetto che non amo scrivere recesioni negative ma forse, in alcuni casi, le critiche possono aiutare a migliorare. Locale piccolo, ma carino, con dei disegni alle pareti che ricordano i quartieri popolari della Napoli antica. In sala c'è una signora dai modi cortesi. Il locale era semivuoto per essere sabato sera, c'erà un tavolo con una coppia e un altro con 7/8 persone. Noi eravamo in 3, abbiamo ordinato un'insalata di mare, delle alici fritte e 2 porzioni di linguine allo scoglio, una bottiglia di vino e una bottiglietta di acqua naturale. L'insalata di mare era una specie di sauté di vongole (in realtà erano dei lupini) al quale erano state aggiunte delle cozze e dei calamari che, più che sauté, era stato scaldato e ed era privo sapore. Le alici fritte si presentavano bene, ma erano anch'esse prive di una benché minima sapidità. I due primi, collocati in due enormi spaselle piene di frutti di mare, contenevano, credo, circa 80 grammi di pasta in tutto. Appena poggiati sul tavolo, abbiamo avvertito un cattivo odore, evidentemente qualche frutto andato a male, che proveniva da uno dei due piatti rendendolo praticamente immangiabile. La pasta era scotta e il condimento davvero povero... Per quanto riguarda il conto, lascio a voi il giudizio: 84 euro per la quantità e la qualità delle pietanze è stata la cosa più sapida (e salata) della serata. Ma, purtroppo, il racconto non finisce qui! La notte stessa e il giorno successivo siamo stati anche male con problemi di stomaco!"
"ui_bubble_rating bubble_50","o mare e napoli... ncoppa a tavola","ancora una volta sono tornato da masniello e ho avuto la conferma dell ottima qualità del pesce, delle porzioni soddisfacente della cortesia e disponibilità del personale. una pescheria nel cuore del rione alto dove si mangia un ottimo dall antipasto all ultima cozza o alicella...!"
"ui_bubble_rating bubble_10","No comment","Siamo capitati in zona per ora di cena qualcuno ci aveva parlato di questo locale ed abbiamo deciso di provare.Senza commentare descrivo l andamento della serata poi fate un po' voi.Abbiamo optato per il menù turistico che prevede tra l altro come bevande birra o coca cola ma preferendo mangiare accompagnando con il vino abbiamo chiesto alla signora che si occupa del servizio a tavola di poter cambiare con il vino e gentilmente ci è stato spiegato che lo si considerava extra.Non abbiamo battuto ciglio e la signora molto premurosa per altro, ci offerto della falanghina, benissimo fatto salvo che ha portato in tavola una bottiglia aperta di coda di volpe con un improbabile vino all interno.Subito dopo è arrivato il pane stranamente tostato e sicuramente non freschissimo, seguito dall antipasto consistente in tonno in pezzi marinato duro e pieno di aceto, zeppoline impregnate di olio, alici fritte diremmo mosce, impepata di Cozze praticamente i sapore con il pepe sopra.Dpo una buona mezz ora è arrivato il primo consistente in mezzo paccheri in un sugo rosso passato Co qualche cozza I sapori come le precedenti e molte vongole o meglio lupini vuoti.Per il secondo altra mezz'ora e fortunatamente avevo chiesto frittura di soli calamari anche in questo casa con pagamento extra che è stata la cosa meno peggio della serata e da una grigliata di pesce bho!, con un gambero 4 foglie di lattuga alla voce insalata. É vero che il costo previsto per due era di solo 50 euro ma perché farlo se poi sono questi i risultati? L extra è stato 22 euro. Questo è il resoconto della serata vedete un po' voi. "
"ui_bubble_rating bubble_40","Buon pesce, servizio coinvolgente","C'È tutto quello che bisogna aspettarsi da una trattoria del genere: varietà di buon pesce e sapienza nel cucinarlo, simpatia e cortesia della proprietaria. Consigliatissimo se siete al Vomero o Rione alto e siete stufi dei soliti pub"
"ui_bubble_rating bubble_50","Frittura di pesce eccezionale ","Siamo stati con le bambine domenica 5 a pranzo perché avevamo voglia di una bella frittura di pesce e ci siamo recati in pescheria. I titolari persone gentili ci hanno fatto sentire a casa.La frittura di calamari gamberi ed alici era spettacolare . Quando avremo voglia di pesce sappiamo dove andare. Mi dispiace leggere alcune recensioni negative non meritate."
"ui_bubble_rating bubble_10","L'attenzione verso il cliente: un optional","Venerdì 27 luglio in prima serata, verso le 20.45, otto persone allegre si siedono ai tavoli del locale suddetto. A parte me, in evidente stato di gravidanza, c'è un'altra persona incinta, dunque chiediamo appena arrivate quali primi piatti sono senza frutti di mare. La signora ci consiglia un pacchero al ragù di pesce. Evito di criticare il caldo insostenibile nella sala (c'è un apparecchio ventilante ma una finestra spalancata che lo rende inutile), la lentezza nel servizio, l'assenza di acque minerali grandi, la presenza nulla in sala (si attende minuti e minuti per vedere qualcuno), perché la mia recensione assolutamente negativa dipende solo da un dato. Dopo un bel po', la signora porta in prima battuta i suddetti paccheri al ragù di pesce letteralmente ricoperti da cozze, frutti di mare di ogni tipo, due cupole ricchissime e molto invoglianti, soprattutto per chi non le può avere. Quando le facciamo presente che c'è un errore, perché avevamo raccomandato caldamente di dover evitare frutti di mare nelle nostre condizioni, la signora esclama si ma quando avete ordinato io non ho scritto che questi piatti dovevano essere senza. Ma se un cliente chiede la composizione di un piatto e gli viene risposto che è privo di frutti di mare, l'errore può essere del cliente? E non finisce qui. La signora non si scusa minimamente del suo errore, anzi procede dicendo E vabbè togliamo i frutti di mare da sopra. Forse non si rende conto del rischio cui esporrebbe una donna in gravidanza, anzi due donne, per la semplice contaminazione del piatto con un prodotto vietato nelle nostre condizioni. Le facciamo presente con calma, una pacatezza strana per una donna incinta e semidigiuna, che purtroppo non possiamo mangiarli (evitando di sottolineare che è solo colpa sua se ha sbagliato le ordinazioni) e la signora non propone una sostituzione del piatto, ma si innervosisce ed esclama Eh, ma adesso si devono buttare, perché non li dividete voi altri? Dal momento che ormai quasi tutti avevano il loro primo a tavola, tra parentesi tutti si deliziavano e noi zitte, finalmente una santa amica propone di scambiare la sua frittura con un primo. La signora è molto soddisfatta, forse di non dover preparare altro, che magari per educazione avrebbe dovuto proporre, semplicemente per gentilezza, per attenzione, per cura del cliente che, soprattutto nel nostro caso, è in una condizione fisica particolare. Intanto l'altra persona che lavora lì, un uomo, si avvicina al tavolo dopo di lei e rincara la dose, affermando di nuovo: Peccato, ora un piatto si deve buttare. Ma mi chiedo: dal momento che siamo solo in 8 nel locale, dato che si aggiunge un solo tavolo di 4 persone dopo che noi abbiamo già iniziato a consumare, come può una persona confondersi con le ordinazioni e dimenticarsi di due donne incinte? Questo significa che il locale resta forse un'ottima pescheria ma una pessima trattoria. Glisso sul conto, carissimo, presentato sotto forma di scontrino e senza poter controllare la correttezza formale del tutto e l'esattezza nel conteggio di quanto ordinato. Mi dispiace solo per i proprietari, che sono purtroppo miei vicini di casa e persone gentili, grandi lavoratori, che probabilmente ignorano lo squallore e la maleducazione dei propri collaboratori."
"ui_bubble_rating bubble_50","Eccellente ","...ho letto delle recensioni negativa ma, secondo me la gente si droga. Eccezionale tutto. Menu fisso 50 euro a coppia, qualità veramente buona per i soldi spesi. "
"ui_bubble_rating bubble_10","Vergognoso","Oggi, attratto dalle buone recensioni decido con mia moglie di mangiare in questa ristopescheria se così lo si può chiamare.Scegliamo il menù per 2 a 50€una cosa vergognosa un antipasto dove le uniche 2 cose buone erano le cozze e il tonno il resto da buttare un primo ai frutti di mare con gamberetti congelati della peggior qualità e poi i secondi ancora tonno stavolta arrosto e un solo gamberone in 2, ma io pago per 2,E poi l’apoteosi del cattivo gusto nel menù c’è indicato fritto di pesce misto e arriva un piatto con un totano fritto malissimo 4 gamberetti assurdi.Io davvero nn so come la gente scrive recensioni positive a posti del genere davvero mi chiedo cosa mangiate di solito per dire che qui si mangia bene."
"ui_bubble_rating bubble_50","Una bella scoperta","Abbiamo trascorso una bella serata con piatti a base di pesce freschi e molto saporiti; in particolare consiglio di prendere Seppie e fagioli... uno spettacolo.La location è piena di dettagli e decorazioni marine con in sottofondo musica classica napoletana che ci ha addolcito la serata.Siamo rimasti molto contenti della cordialità e gentilezza della signora Pina e suo marito Vittorio.Ci torneremo volentieri."
"ui_bubble_rating bubble_30","noni ha entusiasmato","abbiamo prenotato qui colpiti dalle recensioni positive, non me la sento di confermarle. gestito da marito e moglie (che si occupa della sala, pochissimi tavoli), con un cuoco che lavora in una cucina a vista all'ingresso; entrando, il posto non da l'idea di cura e pulizia (la tovaglia aveva più di una macchia, mascherata dalla stampa), oltre ad essere superdecorato (ma questo è solo secondo i miei parametri), pur essendo collegato alla pescheria, non abbiamo avuto l'impressione di freschezza, in senso ampio, di altri locali del genere. Il cibo, tuttavia, non era male: buone l'orata all'acqua pazza e il trancio alla greca, un po' acquoso il sughero dei polipetti alla luciana (portati insieme ai secondi e non come antipasto, come chiesto). i motivi per cui non torneremo? anzitutto: abbiamo ordinato una bottiglia di coda di volpe, ci è arrivata a tavola una bottiglia etichettata come greco GIA' APERTA, e la signora, prima di portarla in tavola, di là diceva a voce alta (secondo noi per farsi sentire) di ringraziare gli uomini per avergliela aperta risparmiandole la fatica, questo non mi è piaciuto per niente; ho lavorato in ristorante e un po' ne capisco di vino: mi è sembrato un trucchetto per riempire bottiglie vuote con vino sfuso; inoltre, il pane tostato, portato al tavolo, direi che fosse pane raffermo fatto rinvenire nel tostapane"
"ui_bubble_rating bubble_40","Ci ritorneremo di sicuro! ","Abbiamo mangiato benissimo e i prezzi non sono esagerati. I proprietari sono molto simpatici ed accoglienti, l’unica cosa che mi sento di consigliare a chi proverà questo ristorante è di non affidarsi alle scelte di chi prende l’ordinazione ma di scegliere autonomamente. Sicuramente lo chef è bravo ma non STELLARE come si vuol far credere quando si accede e dove vige un divieto di fotografare lo chef. Tutti noi (8) abbiamo avuto questa sensazione, l’aspettativa molto alta ma disattesa anche se solo in parte. Andando più sul tardi si rischia di non trovare tutto ciò che il menù propone, il risotto di mare è intriso di pomodoro, per chi ama il pomodoro si va a nozze mentre nulla da dire sul loro primo piatto tipico (ora non ricordo se fossero linguine o spaghetti con gamberi e frutti di mare ma tante telline e vongole minuscole )Ci ritornerò di sicuro perché i titolari meritano e sono sicura che accetteranno le critiche quanto i complimenti. Prezzo a coppia 65€ per antipasti e primi con vino. Provatelo!!!! "
"ui_bubble_rating bubble_50","***Posto delizioso***","Piacevolissima scoperta, siamo andati alle 23:30 di venerdì sera, i proprietari nonostante non fosse proprio prestissimo, ci hanno accolto con un bellissimo sorriso. Si mangia benissimo, pesce FRESCHISSIMO, l’antipasto, il primo e il secondo SUBLIMI, abbiamo finito tutto...fino all’ultimo boccone, in quanto tutto DIVINO!!!!Grazie di cuore ai proprietari per la splendida serata, ne avevamo proprio bisogno! "
"ui_bubble_rating bubble_50","SI MANGIA BENISSIMO!!! ","Faccio i complimenti allo chef e a pina sono bravissime persone ma soprattutto servono pesce di qualità.Un abbraccio dagli amici nativi del vico paradiso."
"ui_bubble_rating bubble_50","Pesce fresco e 3 premi","Dalla pescheria alla cucina, chef da tre premi x la cucina semplice e pulita, che lascia spazio al sapore vero del pesce e non ha bisogno di spezie ed aromi x aggiustare il sapore! Pesce fresco e cucinato con semplicità e buon gusto, per i dettagli lascio la parola alle foto, tutte porzioni singole abbondanti x 2 persone."
"ui_bubble_rating bubble_10","Ladri","Vergognatevi! Ho appena comprato una frittura di pesce da asporto e avendola pagata 16 euro mi aspettavo di aver avuto una bella porzione ed invece vado a casa... E quattro calamari in una vaschetta enorme semivuota!Una vera fregatura!!! Io personalmente non vado a rubare, i soldi me li guadagno onestamente e non mi sembra giusto che debba essere derubata da dei ladri come voi! Dovete fallire"
"ui_bubble_rating bubble_50","Sublime","ECCELLENTI<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>! Cucina ottima e abbondante,servizio gentile e professionale! Straconsigliato ! Obbligatorio fermarsi a mangiare qui!"
"ui_bubble_rating bubble_40","Pesce fresco e simpatia","Pescheria con annessa cucina e piccola osteria casalinga. Servizio semplice ma preciso e sopratutto cordiale e disponibile. Si mangia quello che c'è sul banco del pesce, più fresco di cosi non si può. Insalata di polipo terminata per cui optiamo per una tagliata di calamari e pomodorini, tiepida, saporita. Buone le zeppole alle alghe appena fritte, asciutte e croccanti così come la frittura mista di gamberi e calamari. Saporito il soffritto di pesce spada con frutti di mare e pomodorini. Piatti semplici e ben cucinati. Porzioni abbondanti. Prezzo giusto. Con una bottiglia di vino bianco (12 euro) abbiamo speso 56 euro in due. Torneremo sicuramente , anche solo per la simpatia dei titolari."
"ui_bubble_rating bubble_50","La signora Ida fiore all’occhiello ","Un pranzo pasquale eccellente ....pesce fresco e la signora Ida eccezionale ...ambiente accogliente e pulito !!!!!! Lo consiglio a tutti "
"ui_bubble_rating bubble_50","Pesce fresco cucinato bene","Una serata piacevole in un locale molto carino, pesce fresco ben cucinato e buon rapporto qualità prezzo. Abbiamo preso il menu da 45 euro a coppia e abbiamo mangiato pesce in abbondanza. Consigliato"
"ui_bubble_rating bubble_50","StraConsigliato","l’accoglienza dei proprietari è soltanto uno dei punti forti di questo locale . Un pesce freschissimo, tutto cotto al momento, dall’insalata di mare (dovete provarla ) alle linguine allo scoglio. Torneremo sicuramente perché un pesce cucinato così bene non l’abbiamo mai mangiato. STRA CONSIGLIATO "
"ui_bubble_rating bubble_50","Aria di mare al Rione Alto","Locale piccolino ed accogliente, una gestione familiare che funziona. Tutto perfetto. Naturalmente la qualità si paga. Consigliato! Ci torneremo presto..."
"ui_bubble_rating bubble_50","Io li amoooo","Sono ormai 4 anni che abitualmente ritorno per mangiare un pesce fresco e per trovare cortesia, qualità e pulizia... Adoro questo locale adoro e chi ci lavora... Insomma è sempre un piacere mangiare li, per la gioia del palato e quella del cuore... Pina sei magnifica!!! "
"ui_bubble_rating bubble_50","Squisito","Ragazzi.. Con un menu di 45 euro per due persone abbiamo mangiato per 2 ore non lo so quanti portate! Pesce e frutti di mare marinato, crudo, con la pasta, fritto, alla brace..tutto buonissimo e freschissimo. Andati a sicuro per mangiare bene in questo posto carino."
"ui_bubble_rating bubble_50","No buono....di piuuuuu","Stamane a pranzo siamo stati in questa pescheria adibita a ristorante...abbiamo scelto un menu fisso per due persone fatto di :antipasti,tonno marinato,polipo all insalata,alici e gamberi fritti.primo piatto scialatielli ai frutti di mare,come secondo frittura di pesce e pesce alla brace...acqua e un bicchiere di vino....tutto a soli 45 euro!!!sconvolgente!!!non nascondo che la frittura non siamo riusciti a mangiarla tutta ,tanta era la roba....ma la qualità?il top!!!giuro....da non credere!!!!"
"ui_bubble_rating bubble_50","Un piacevole ritorno","Era un po' che non mi fermavo a cenare alla Friggipescheria, felicissima di aver trovato sempre tutto ottimo."
"ui_bubble_rating bubble_50","Pranzo ","Siamo stati qualche giorno fa... nulla da dire semplicemente perfetto....calorosi i proprietari.... cucina d'alta qualità..."
"ui_bubble_rating bubble_50","Sempre una garanzia!","Mi sono fermata oggi in questo locale magnificamente caratteristico. Personale gentilissimo e disponibile, locale interessante, curato nei dettagli. Abbiamo ordinato cozze, linguine allo scoglio e calamaro alla brace, piatti abbondantissimi e molto freschi per un ottimo rapporto qualità/prezzo. Inoltre musica suggestiva, nel complesso una fantastica esperienza. Non era la prima volta, ma come sempre, è stato un piacevolissimo pranzetto!"
"ui_bubble_rating bubble_50","Fantastico","Posto incantevole, non delude mai!Servizio cortese, veloce e disponibile.Qualità ottima, ambiente veramente accogliente.Prezzi giusti e porzioni abbondanti .Consiglio vivamente!"
"ui_bubble_rating bubble_50","Fretta....","L’altro giorno ero di corsa non sarei riuscita a cucina ...per fortuna mi ha salvata la friggi pescheria e ‘Masaniello ... dove ti senti a tuo agio ...un’ambiente accogliente e familiare ...e nonostante abbia mangiato pesce di ottima qualitá.. mi aspettavo un conto alto invece ho avuto un prezzo giusto ... esperienza da rifare ... grazie fretta e grazie a friggi pescheria e ‘Masaniello"
"ui_bubble_rating bubble_50","Serata piacevole","Ottimo cibo, pesce freschissimo e amabile accoglienza. Da ritornarci sicuramente con amici e famiglia!"
"ui_bubble_rating bubble_10","Non ci siamo...","Di passaggio al Rione Alto...attratti dalle ottime recensioni ci siamo fermati per il pranzo....il locale è un pò buio e un pò troppo addobbato...ma non siamo i tipi che si fermano alle apparenze ! Ordiniamo un impepata di cozze potenzialmente buone ma stracotte, un insalata di polipo ghiacciato e durissimo, tagliato male (pezzi enormi) ma soprattutto porzione minima poi 2 fette di tonno arrosto....che non erano fette ma pezzi sfrangiati messi vicino come a comporre la fetta e poi non arrosto ma sembrava scaldato...come se fosse stato cotto su una piastra non abbastanza calda...2 insalate e 2 bottigliette d'acqua. 53 euro?! Una delusione per le preparazioni, le porzioni (minime) e il prezzo a mio parere troppo alto. Inoltre non ci hanno fatto pagare con il Bancomat. Non ci torneremo e non lo consiglieremo."
"ui_bubble_rating bubble_50","Pescheria + Ristorante = <U+0001F51D>","Una piacevolissima sorpresa. Pesce e frutti di mare freschissimi. Ci torneremo sicuramente e lo consiglierò volentieri, grazie di tutto."
"ui_bubble_rating bubble_50","Il buono del pescato ","É sempre bello tornare da Masaniello, si mangia sempre bene qualsiasi piatto, lì il pesce i celenterati, i gasteropodi, e i crostacei sono un vero sinonimo della cultura del nostro mare. Si mangia benissimo tutto ma se proprio devo scegliere io preferisco sempre il tonno e il pesce azzurro, ma come dicevo prima è tutto buono e poi i proprietari e il cuoco sono molto accoglienti e gentili. Torneremo presto."
"ui_bubble_rating bubble_40","CORTESIA- ACCOGLIENZA E QUALITA'-PROVARE PER CREDERE.","Locale molto carino,pulito ed accogliente.Pesce freschissimo e ben cucinato.Rapporto qualita' prezzo equilibrato.Proprietari molto gentili.A dispetto delle cattiverie di invidiosi, assolutamente non veritiere ,che circolano in giro per il Rione Alto, dove e' ubicato il locale,lo consigliamo vivamente.PROVARE PER CREDERE."
"ui_bubble_rating bubble_10","Menu da dimenticare ","Siamo stati sabato a pranzo qui, c'eravamo stati già altre due volte: luglio 2015 pranzo domenicale eccellente, gennaio 2016 pranzo del sabato sufficiente, siamo tornati adesso pronti per avere nuovamente un pranzo eccellente ma purtroppo è stata una delusione infinita. Menu da 30 euro a coppia e bottiglia di vino. Vino pessimo. Antipasto: zeppoline buone, alici marinate quasi crude. Primo: piccola porzione di pasta gommosa (forse precotta?) abbondanti frutti di mare ma insapore. Secondo: frittura gamberi insapore e un filetto di platessa poco cotto (rosa all'interno, fatto presente mi hanno detto che va bene così). Pos non presente. Davvero deludente, peccato perché in passato ci era piaciuto moltissimo "
"ui_bubble_rating bubble_50","Pranzo con amici","Bellissima giornata alla friggi pescheria e masaniello. Non conoscevo questo posto sono felice di averlo fatto.Locale molto accogliente proprietari simpaticissimi e disponibilissimi. Rapporto qualita' prezzo eccellente. Lo consiglio vivamente a tutti coloro che vogliono passare una serata all'insegna dela genuinita'."
"ui_bubble_rating bubble_50","Top pranzo domenicale","Ottimo cibo ottimo personale ottimo servizio pesce fresco e ben cucinato consigliatissimo Pesce freschissimo cucinato divinamente abbiamo mangiato un ottimo pacchero con i frutti di mare freschi ed una frittura ben cotta"
"ui_bubble_rating bubble_50","ECCELLENTE è dire poco! ","I proprietari sono delle persone ‘squisite’ che ti fanno sentire a casa, attenti ad ogni nostra richiesta. Locale piccolino ma curato e molto accogliente. Abbiamo mangiato benissimo, e ovviamente tutto pesce fresco..partendo dai vari antipasti tra cui frittura di alici, tonno crudo, impepata di cozze e gamberi con pomodorini. Per primo mezzi paccheri con vongole e cozze ottimi.. e per secondo frittura di pesciolini e pesce misto alla brace. Siete stati una piacevolissima scoperta. Tutto eccellente, ci ritornerò molto molto volentieri! A presto. "
"ui_bubble_rating bubble_50","MERAVIGLIOSO","Un posto super accogliente e rilassante,si mangia benissimo,piatti gustosi a base di pesce, ogni nostra richiesta è stata esaudita nel miglior modo possibile!!! Siamo felicissimi di aver scoperto questo posto fantastico!"
"ui_bubble_rating bubble_20","Il modo migliore per non ritornarci più ","Non mi piace mai fare una recensione negativa ad un locale, ma purtroppo - visto il comportamento scorretto dei proprietari/camerieri in sala - mi vedo costretto per avvisare tutti coloro che andranno in futuro volessero scegliere il locale.Abbiamo mangiato a pranzo ed ordinato una frittura di calamari e gamberi che è risultata buona.Purtroppo il peggio viene subito dopo ordinando un risotto alla pescatora (in teoria dovrebbe risultare una loro eccellenza) il quale è risultato pessimo, tanto è vero che sia io che la mia ragazza abbiamo lasciato per intero le due portate che erano molto ma molto abbondanti e il riso aveva una pessima cottura...praticamente è risultato durissimo, altro che al dente!Ovviamente abbiamo fatto presente il tutto e l'unica risposta data è stata: Avviseremo la cucina, senza nemmeno scusarsi della portata servita.Per continuare l'indecente spettacolo ho chiesto il conto e andando alla cassa a pagare ci hanno riferito che non c'era il pos, non permettendoci di pagare con il bancomat come si dovrebbe fare in qualsiasi attività di ristorazione.Sempre per non finire, ma senza stare a sottolinearlo, ci dà lo scontrino (ovviamente non fiscale........) per un totale di 68€ senza che vengano specificate, come da legge fiscale sulla ristorazione, le diverse portate prese con l'indicazione relativa dei prezzi.Che dire? Alla fine ci ha anche gentilmente indicato la banca più vicina come se dovessimo noi dare un servizio al cliente e non loro e con molta educazione abbiamo provveduto a pagare in contanti e andarcene, e promettendoci che la prossima volta abbiamo voglia di mangiare in una buona pescheria napoletana eviteremo certamente di recarci presso questo posto fatto di tutto ma meno che di cordialità e attenzione al cliente.Mi aspettavo molto ma molto in più ma purtroppo ogni tanto si sbaglia a scegliere il posto dove mangiare, e mi dispiace che succede soprattutto nell'entroterra napoletano dove si dovrebbe mangiare bene e ricevere un'accoglienza decisamente migliore."
"ui_bubble_rating bubble_50","Estasiati","Presi metro e taxi apposta per arrivare in questo piccolo angolo di mare su consiglio di un amico! Posto a mio gusto fantastico semplice ed arredato in modo particolare a ricordare appunto il mare e una pescheria! Il pesce? Una favola, freschissimo, e della quale si distingue perfettamente ogni gusto, dallo spada alla ricciola, dai polipetti ai gamberoni (cambio posate tra una portata e l'altra per non confondere i vari sapori)!!!!!!!!A fine serata una bella chiacchierata con i proprietari bevendo un buon limoncino e scambiando qualche opinione e si torna a casa!Grazie della serataMatteo e Cristina da Varese"
"ui_bubble_rating bubble_50","Ritorno al passato","era un po' che non andavo ma ci sono ritornata volentieri perché avevo voglia di essere trattata bene, senza le solite menzogne che adottano molti ristoratori che ti vogliono convincere delle loro pietanze, a base di pesce fresco......e che non ha nulla a che vedere con il fresco....(per giunta anche fortunati....); quì il pesce è davvero fresco e i prezzi sono contenuti. A volte penso: che te ne fai della vista del mare se poi è tutto una presa in giro e paghi un sacco di soldi?????. La location? o il luogo in cui si mangia bene è fondamentale? Io preferisco la scelta di qualità anche se non ho il mare e poi la dolcezza, la disponibilità e la cortesia della Sig.ra Pina sono indelebili. Vi consiglio l'antipasto misto di mare (che non finisce mai) e un ottima orata alla Greca, ma non vi dico come è preparata, andate e provatela."
"ui_bubble_rating bubble_40","Ormai è una garanzia ","Questa piccola e caratteristica trattoria del rione alto è ormai diventata garanzia di genuinità.Qui si mangia bene,grande varietà di antipasti ..primi deliziosi ,secondi alla brace o fritti tutto preparato al momento e servito in modo garbato e simpatico direttamente dalla proprietaria. Prezzi onesti "
"ui_bubble_rating bubble_50","Una cena squisita !!!","Abbiamo mangiato ieri sera una splendida cena di pesce composta esclusivamente di antipasti crudi e cotti , tutto fresco e ottimo porzioni abbondanti , servizio impeccabile e titolari molto cordiali ! Lo consigliamo perché ne vale veramente la pena !!! Se poi avete ancora fame andate sulla frittura ( una garanzia di qualità e bontà )..."
"ui_bubble_rating bubble_10","Tutto molto bello, a meno dei sapori.","Posto molto carino e proposte interessanti. Premetto che mangio quasi quotidianamente pesce, da circa 30 anni e non sarò un esperto ma qualcosa ne capisco. Peccato che tra gamberi, cozze e vongole, non abbia una e dico una sola volta sentito il sapore del pesce fresco, quel sapore di mare tipico di qualcosa di non conservato.Sconsigliato!"
"ui_bubble_rating bubble_50","Piacevole scoperta, da ritornarci","Titolari gentilissimi e simpaticissimi, pesce fresco, menu con prezzi molto contenuti... Rapporto qualità prezzo fuori dagli schemi... Si respira aria di casa oltre a quella del mare"
