"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Panino di qualità ","Paninoteca davvero valida. Meno in voga del vicino tortora, tramuta questo elemento in un vantaggio: i tempi di attesa non sono eccessivi, questo anche grazie alla flessibilità dello staff.Gli ingredienti sono di qualità, e il piccolo locale ospita anche qualche coperto, per chi volesse fermarsi a mangiare sul posto.Il risultato finale è un panino davvero di qualità, che tiene testa ai rivali più quotati.Da segnalare la possibilità di effettuare ordine a domicilio su JustEat e gli orari di apertura prolungati nella notte; quest'ultimo fattore rende questo posto una tappa fissa nel post serata di molti ragazzi napoletani. "
"ui_bubble_rating bubble_50","Sempre il TOP","Abbiamo ordinato ieri io e mio fratello due panini sul portale JustEat e a parte la puntualità, il panino è davvero buono. Lo proverò anche in loco. MERITA. "
"ui_bubble_rating bubble_50","Ordinato tramite just eat menu combo","Ho ordinato tramite just eat e devo dire servizio e panini impeccabili . Arrivati caldi nonostante il molto traffico presente . Carne gustosa panino croccante fuori e morbidissimo dentro sprigiona profumo di panetteria. Menu con due panini differenti grandi più maxi porzione di patatine con salsiccia sbriciolate e formaggio più due bibite 20€ stupefacente . Davvero bravissimi coloro che cucinano . Spero il proprietario apprezzi il proprio staff."
"ui_bubble_rating bubble_30","Lavoriamoci su...","Bel locale e bei tavoli fuori. Prezzi alti ma nulla di spaventevole. Ho trovato qui una specialità che raramente trovo in giro e ne sono rimasto soddisfatto al punto che ero quasi intenzionato a dare il massimo. Poi ho ordinato un panino non troppo difficile da fare con gli ingredienti scritti sul menù sui quali mi sono basato per ordinare. Ecco, il panino era senza ketchup ma il ketchup era incluso fra gli ingredienti. Si è fatto notare ciò alla fanciulla al servizio ed essa ci ha indicato che il ketchup e la maionese erano sui tavoli. Quelli li abbiamo notati prima ma intanto la maionese c'era nel panino mentre il ketchup no, che ci fossero sui tavoli o meno dei contenitori di tali salse. Si è fatto notare ciò e si è giustamente aggiunto che non potete scrivere fra gli ingredienti delle salse per allungare il brodo e poi non mettercele e, quando ripresi, cercare di cavarsela con la scusa delle salse sui tavoli. Infatti, la fanciulla al servizio alla fine si è scusata e ha detto che si sarà dimenticato lo chef in questione in maniera molto rassegnata, quasi non fosse la prima volta ad essere successo. Questo mix di promesse non mantenute, menzogna e scaricabarile, il mio grado di soddisfazione è scemato di parecchio visto soprattutto il prezzo per un panino bugiardo e molto più povero di quello atteso e cogitato.Mi sono trovato decisamente meglio da giò giò e carmen. Consiglio di farvi dare qualche dritta a riguardo. Per il resto tutto bene.Voto: 5 e mezzo"
"ui_bubble_rating bubble_10","Sono imbufalito per il pessimo panino","Panino preso da asporto e incartato nella stagnola: è arrivato a casa gommoso e umidiccio nonostante il brevissimo tragitto. Hamburger stopposo e le patate... le patate dure come pietre perche scotte, insipite e con la buccia. Era un buon panino anni fa,ma ora non piacerebbe nemmeno ai porci. La cosa più buona del panino è il pane."
"ui_bubble_rating bubble_50","meravigliosa scoperta","ho ordinato tramite just eat il menu combo da 20 euro che comprende due panini maxi , patatine con salsicce e formaggio , 2cocacola. A parte il servizio eccellente nel rispettare l'orario di consegna ( consederando che era sabato) , la qualità e cottura della carne erano sublimi , salate al punto giusto , anche se molto ricco i sapori si distinguono perfettamente, perfino il pane è delizioso. Patatine gustose croccanti fuori e morbide dentro , salsiccia super ..qualità e cortesia senza precentiHo ordinato altre volte mangiando li o da asporto sempre massima qualità , simpatia del personale e rispetto per i clienti"
"ui_bubble_rating bubble_40","Panino ok","Abito in zona e spesso mi fermo quando sono solo a mangiare un panino in questo piccolo pub. Ho sempre avuto un prodotto di ottima qualità ed il personale è stato sempre cordiale, facendomi accomodare nonostante il posto fosse molto piccolo"
"ui_bubble_rating bubble_20","Carne da non servire","Premetto che era sabato, che i servizi diventino difficili e che alcuni errori possano essere compiuti. Così come premetto che evito sempre di recensire male i posti, ma l'atteggiamento generale , combinato alla carne che abbiamo mangiato mi porta a suggerire ai ragazzi di notare l'errore, in modo da non rovinare il loro impegno.Alla comanda ci vengono consigliate hamburger di chianina, nonostante un sovrapprezzo ,decantandone la qualità. Accettiamo, fidandoci sempre di chi ci ospita con la sua cucina. La carne che ci arriva però, dopo moltissimo tempo, è cotta male, ancora fredda dentro, dal sapore non pessimo, ma assolutamente non degno di nota. La consistenza e la temperatura suggeriscono che per la fretta siano state cotte così direttamente dalla temperatura di conservazione. E in questo caso non avrebbero dovuto consigliarcele, e pare evidente sia stato fatto lo stesso per il prezzo maggiore.So che il pub lavora bene in generale, per questo lascio il consiglio, sperando di poter evitare in futuro. Sarò felice in quel caso a rivedere il mio pensiero."
"ui_bubble_rating bubble_50","Ottimo pub","Panini molto buoni , cucina a vista, hamburger di qualità,crostone ottimo, personale gentilissimo, ordinare da casa è un piacere ...precisi , prezzi giusti , ottime birre e per concludere dolci buonissimi"
"ui_bubble_rating bubble_50","Mi ci porta mia figlia di 13 anni","Piccolo localino al Vomero, max 5/6 tavoli.. Ci ho mangiato venerdì sera con mia figlia, me ne aveva parlato spesso e mi ha decantato la bontà di un Panino salsiccia sbriciolata, melanzane a funghetto e formaggio fuso.. che ho giustamente provato così dire, una fine prelibatezza Ragazzi cortesi, servizio veloce.. prezzo giusto nella media,, lo Consiglio per chi vuol fare un pasto veloce "
"ui_bubble_rating bubble_40","Ci vado sempre !","È uno dei miei preferiti. Ci vado spesso anche dopo il lavoro . Innanzitutto sono tutti molto gentili e cordiali. Soprattutto la ragazza che è alla cassa, Claudia. Molto professionale e gentile.Il posto è accogliente. Il cibo è ottimo, i panini strepitosi ! Le polpettine di pollo con salsa piccante sono da dipendenza . Lo strAconsiglio !!!! L'unica cosa che non amo sono i bandidos .l'impanatura è ottima ma non mi piacciono i pezzi di pollo troppo doppi e callosi.. su questo sono una rompiscatole! Lo.ammetto ."
"ui_bubble_rating bubble_50","Da provare","Ottimo panino con prodotti di eccellente qualità...buon rapporto qualità prezzo...consigliatissimo per chi ama scoprire sapori nuovi..."
"ui_bubble_rating bubble_40","Panini fantastici","Sono anni che prendo il panino qui e non resto mai delusa! Con i prodotti di qualità che mette a disposizione e le piastre sempre bollenti pronte per le magnifiche verdure fa leccare le dita a tutti i clienti! Buono il pane e perfetta la cottura delle carni che si amalgano bene al tutto! Prezzi molto competitivi! Zona poco centrale, ma attira ugualmente clienti di ogni fascia d'età grazie all'elevato numero di pietanze disponibili! Veloce anche il servizio a domicilio! Grazie Fuori Menù! "
"ui_bubble_rating bubble_50","Quando un buco ti offre tanto..con tanti BACETTI","questo posto è un buco. Piccolo dentro e fuori ma uno dei posti dove si possono mangiare i bacetti (polpette di carne con la provola dentro e il bacon attorno) e dei panini veramente gustosi e anche economici. Gli antipasti sono vari e le porzioni di patate fritte con scamorza affumicata o con provola e la salsiccia riempiono lo stomaco come se non ci fosse un domani. Il parcheggio non è facile trovarlo ma andando in tarda serata sarà facile mettere la macchina lì vicino e mangiare tranquillamente anche perché restano aperti fino a tardi. Economico buono e sempre gentili. "
"ui_bubble_rating bubble_40","Ottimo","Bruschette buonissime, belle unte, consigliate la Stromboli e la Vesuvio.Panino Romagnolo immenso, enorme e buonissimo. Da tornarci."
"ui_bubble_rating bubble_50","Ottimo","Ci sono venuto per festeggiare il mio compleanno. Vasta scelta di panini, crostoni ecc. Siamo rimasti tutti molto contenti degli ingredienti e della qualità, prezzi decisamente onesti e personale gentilissimo (la ragazza alla cassa è eccezionale). Peccato ci sia poco spazio all'interno, in ogni caso ai tavolini ci si sta bene in 5. Straconsigliato per mangiare qualcosa di diverso dalla pizza a Napoli!"
"ui_bubble_rating bubble_40","Ottimo panino","Ci ho mangiato spesso con amici e sono rimasto sempre soddisfatto, ottimo panino. Ci ritornerò sicuramente "
"ui_bubble_rating bubble_40","Davvero buono","Menù variegato e buoni i panini che ho mangiato seduta a un piccolo tavolino anche se il locale va forte per l'asporto. Lavora moltissimo e se avesse una struttura un po' più ampia e accogliente non avrebbe nulla da invidiare agli altri pub della zona. Ho notato che hanno servito accanto a me una parmigiana che aveva un aspetto niente male..ci tornerò e la assaggerò! "
"ui_bubble_rating bubble_50","Ottima qualità ","Ho ordinato a domicilio per due, una porzione di Salamini di cinghiale, patata Maxi (buonissima) e due panini (1 con hamburger e 1 con salsiccia) entrambi squisiti, tutti i prodotti sono di ottima qualità, la consegna rapida e il personale molto gentile. Altamente consigliato!"
"ui_bubble_rating bubble_40","Panini da asporto comodi e saporiti","Questo locale è molto vicino alla mia abitazione per cui ogni tanto mi faccio preparare dei panini da consumare a casa. La scelta è molto varia:buonissimo il mexicano ed il cheeseburger."
"ui_bubble_rating bubble_40","Consigliato per asporto","Ottimo per mangiare una cosa al volo, appoggiati ai tavolini interni o esterni, o per asporto.Molto buona la qualitá dei prodotti; unico neo le patatine fritte non eccezionali.Consigliato"
"ui_bubble_rating bubble_40","Ottimo bruschettone","È stata una piacevole scoperta questo pub....prodotti davvero buono e il bruschettone è wow; il personale è gentile, servizio veloce da provare "
"ui_bubble_rating bubble_40","Ottima scelta per un panino veloce","Siamo stati in questo locale più volte, l'abbiamo scoperto per caso, perché un pub li' vicino e più rinomato era pieno. I panini sono veramente buoni, il locale é un po' piccolo, l'uni neo é che l'ultima volta abbiamo aspettato un tantino, pero' lo consiglio"
"ui_bubble_rating bubble_40","Bella scoperta ","Ottimo locale per un pasto veloce e buono. Con la possibilità di sederti e digestivo offerto dalla casa!"
"ui_bubble_rating bubble_40","Piacevole sopresa !","Pur passandoci molte volte,io e la mia ragazza non avevamo mai provato questo locale.Devo dire che siamo rimasti piacevolmente colpiti, si viene serviti in maniera abbastanza veloce, si mangia bene e si spende il giusto.Insomma, se vuoi un buon panino con un ottimo rapporto qualità/prezzo, lo consiglio vivamente."
"ui_bubble_rating bubble_50","Non si smentiscono mai!","Abbiamo mangiato diverse volte e siamo sempre rimasti soddisfatti! I panini molto buoni e il personale gentile e inoltre ci offrono sempre un digestivo a scelta. Stra consigliamo!"
"ui_bubble_rating bubble_50","Sbalorditivo","Sono stato assieme alla mia ragazza presso questo luogo ameno! Panini che sarebbe riduttivo definire stupendi! Servizio veloce ma soprattutto prezzi molto bassi. Per una serata informale zona Vomero direi che questo è il luogo giusto "
"ui_bubble_rating bubble_40","Ottimo panino","Un attimo panino nel centro del vomero. Buonissimo rapporto qualità/prezzo. Solo quattro tavoli al coperto."
"ui_bubble_rating bubble_40","Un ottimo panino al Vomero","Ottimo il panino, ottimi gli ingredienti... io adoro l'hamburger di chianina! Tutti ricchi di sapore! Non preferisco le patatine fritte classiche che fa, ma quelle pepe e limone sono ottime. Ordino spesso a domicilio ed è un'ottima scusa per non cucinare quando hai voglia di un buon panino!"
"ui_bubble_rating bubble_50","Panini stratosferici!!!","Fuori menù non si smentisce mai!!!! Sempre una conferma! PANINI STRATOSFERICI (per me nella top 10 tra i pub di Napoli) staff gentilissimo e simpatico, conto onesto, unica cosa localino un pò piccolo anche se accogliente.. Andateci non ve ne pentirete!!!"
"ui_bubble_rating bubble_50","Ottimo","Cortesia e fantasia è davvero un posto bellissimo anzi...buonissimo. Assolutamente da provare. Anche vegetariano. Porzioni abbondanti e cucinati con arte. "
