"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","una delusione","siamo stati stasera in questo ristorante, camerieri gentili e accoglienza buona.ma il cibo non è stato di nostro gradimento: se non siete amanti della cucina speziata e ricca di sapori (anche molto diversi tra di loro e non tutti ben equilibrati) cambiate ristorante.molte cose che erano sul menù non erano disponibili e purtroppo mi sono ritrovata a mangiare solo pane (tra l'altro un pane al formaggio senza formaggio... e non c'era neanche folla). mio malgrado non ci tornerò. "
"ui_bubble_rating bubble_50","Mamma mia!","Un’esplosione di sapori. La cucina indiana del sud e del nord, la migliore a Napoli. Un buon servizio e il personale è molto gentile. Se è la vostra prima volta, verrete consigliati e spiegati, tra l’altro ha una vasta scelta nel menù per i vegetariani! Ritorneremo al più presto."
"ui_bubble_rating bubble_50","Ritorno in kerala","Come sempre Perfetto in ogni cosa ,un ritorno in Kerala senza muoversi da Napoli il dosa Masala sembra di mangiarlo a Cochin."
"ui_bubble_rating bubble_50","Ottima esperienza","Siamo andati per provare la cucina Indiana e ne siamo rimasti colpiti. Benché molto speziate le pietanze erano molto appetitose. Il locale discreto il servizio ottimo come la cucina."
"ui_bubble_rating bubble_50","Un esperienza di sapori ","Abbiamo cenato da Ghi Rice spinti da un'offerta su Groupon. Una splendida accoglienza e di una gentilezza disarmante. Data la nostra inesperienza sulla cucina indiana ci siamo affidati a loro. Per antipasto pollo e verdure croccanti con indian masala. A seguire pollo in latte di cocco e pollo in salsa di zenzero (SPETTACOLARI). Poi riso basmati con verdure e gamberi (da accompagnare assolutamente con il pollo in salsa di zenzero) e un piatto di lenticchie al pomodoro e spezie. Una porzione di pane chappati. Per dolce babà indiano e un dolce con farina di carote. Tutto buonissimo e abbondante. Torneremo sicuramente con amici. Commenti ragazzi! "
"ui_bubble_rating bubble_50","Un pranzo ...particolarmente gustoso!","Io e mio marito ci siamo avvicinati a questo ristorante indiano con non pochi dubbi.Pero’,ci piace rischiare...Cibo fresco,saporito,speziato,piccante.Alcuni piatti hanno risvegliato in noi odori e sapori particolari.Sicuramente,un’esperienza che ripeteremo.Il personale è gentile e il proprietario è una persona molto garbata e gradevole..."
"ui_bubble_rating bubble_10","Più che deludente","Sono stato in questo ristorante per provare la cucina indiana, dato che sembra essere il più quotato in città, ma non so perché ?! Il locale è situato in un vincolo ed appena entrati siamo stati accolti da un signore che a stento parlava italiano, e ci ha fatto accomodare nella sala giù. Abbiamo preso come snack dei samosa che facevano letteralmente schifo: erano 3 e caldi tutti quanti, o almeno credevo. Do il primo morso al primo e mentre fuori l'impasto era caldo, dentro era congelato!!! Gelido!! Questo mi ha fatto subito capire che erano congelati e che non si sono degnati nemmeno di riscaldarli bene. Inoltre all'interno non abbiamo nemmeno capito che cos era, era tutta una poltiglia gialla. Ne il menù ne i camerieri ci hanno spiegato niente. Li ho lasciati in quanto immangiabili. Poi abbiamo preso del pane indiano al burro e allo zenzero: impasto crudo e zenzero secco e totale assenza di burro, era presente solo l'aglio. Dopo due tre morsi non può mangiarne più. Poi abbiamo preso pezzetti di pollo in salsa al latte di cocco, che disgustavano. L'unica cosa un poco più buona e stato il tandoori chicken ma che anche esso aveva un sapore strano. Inoltre una nastro azzurro piccola e una bottiglia d'acqua da mezzo litro 25€. Soldi buttati per avere mal di stomaco. -.-"
"ui_bubble_rating bubble_50","Vera cucina indiana","Locale carino nelle immediate adiacenze della centralissima e bellissima piazza Municipio. Piatti tipici indiani ottimamente preparati (il giovane proprietario e’ indiano), personale gentile e professionale.Ottimo il conto."
"ui_bubble_rating bubble_50","Ottimo ristorante indiano","Cibo delizioso, personale davvero molto gentile e simpatico e prezzo molto contento. Finalmente un buon ristorante indiano a Napoli!"
