"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Crostoni top","abbiamo mangiato dei buonissimi crostoni su suggerimento di un passante: sono molto ghiotti e gustosi.. io ho provato il cheese steak con provola ed insalata, mio figlio con sottiletta e pancetta e mio marito un crostone con Bresalola, rucola e provola. le porzioni sono molto abbondanti e ci si può davvero cenare! consigliato!"
"ui_bubble_rating bubble_50","Una scoperta inaspettata","Eravamo diretti altrove poi ci siamo fermati qui!non lasciatevi ingannare dal luogo angusto perché il personale è davvero carino e gentile!pur essendo di sabato sono stati veloci!ed il mio panino con pulled pork e parmigiana di patate...spettacolare!consigliatissimo!"
"ui_bubble_rating bubble_40","Una bella scoperta","Ci siamo diretti lì in un sabato di tempo incerto mio fratello ed io, in cerca di qualcosa di più particolare rispetto al solito panino o pizza e abbiamo letto dalle buone recensioni che anche i crostoni sono di ottimo livello e non posso far a meno di confermare. I contorni al loro interno, parmigiana bianca e parmigiana di patate, sopraffini. Personale cortese e simpaticissimo. Lascio 4* solo per il locale, che è un po' piccolo ed alcuni coperti sono letteralmente quasi in strada. La cucina però è fenomenale."
"ui_bubble_rating bubble_10","Senza Infamia e senza lode","Locale localizzato in zona vomero. Piccolo, con pochi tavoli. Panini e crostini senza Infamia e senza lode classici delle paninoteche napoletane che tutto fanno tranne che un buon panino.Non lo consiglio."
"ui_bubble_rating bubble_40","Ottimi panini","La pinacoteca si presenta in modo molto rustico, ma quel rustico positivo che invita a provare. La scelta è vasta, davvero è quasi impossibile che non riusciate a trovare qualcosa di vostro gradimento. Personalmente ho assaggiato uno dei panini con base cheesteak e mi ha lasciato davvero soddisfatto. Tornerò per provare altri tipi di panini."
"ui_bubble_rating bubble_50","Bontà e tradizione!","Siamo stati in questo pub nel cuore del vomero qualità e professione fanno di gio gio e carmen un ottimo ritrovo!Da provare il panino con la parmigiana e le polpettine!"
"ui_bubble_rating bubble_50","Una scoperta pazzesca","Cortesia, gentilezza e qualità, ma soprattutto crostoni buoni da morire nel cuore del vomero. L'ho conosciuto ieri, ma credo che andrò altre volte per provare davvero tutte le loro specialità ! Complimenti"
"ui_bubble_rating bubble_50","Panini buonissimi","Locale piccolissimo ma vale assolutamente la pena, i prodotti si vede che sono di qualità e i prezzi sono nella media"
"ui_bubble_rating bubble_50","Mitico!","Avevo letto le recensioni ma ho voluto verificare di persona. Anche se il locale è piccolo e spartano si mangiano dei panini buonissimi e il personale è gentilissimo. Il miglior rapporto qualità/prezzo della città."
"ui_bubble_rating bubble_30","Spartanamente buono","Siamo stati in questo piccolo locale di domenica sera e devo dire che,malgrado ci fossero solo 3 tavoli, ci siamo accomodati subito. Il personale è molto cortese e ricca la varietà dei panini da gustare. Molto buoni i crostoni, soprattutto la qualità del pane, così come i panini con poca mollica e molto ben farciti. Pur essendo al vomero i prezzi sono molto onesti, ci ritorneremo sicuramente. "
"ui_bubble_rating bubble_40","un buon motivo per uscire !","abbiamo mangiato qui panini e un crostone . cibo buono e fatto come a casa ... gentilezza e simpatia si sposano con i profumi ed i sapori della cucina napoletana . "
"ui_bubble_rating bubble_40","Ottimo","Panini veramente molto squisiti e prezzi adeguati personale molto cordiale e molto gentile,consiglio di andarci dopo le 21 perché il parcheggio e molto complicato,il locale e molto piccolo con 3 tavoli"
"ui_bubble_rating bubble_50","Squisito","In un angolino del vomero panini eccellenti.Cordialita e cortesia, crostone sublime Prezzi buoni e tanta varieta.Consigliatissimo"
"ui_bubble_rating bubble_50","Sublime","Ottimo rapporto qualità prezzo, panini e stuzzicheria sopratutto le patatine ottimi, il locale è molto piccolo ma confortevole, staff molto educato e disponibile. Ve lo consiglio vivamentePs: ci ritornerò sicuramente"
"ui_bubble_rating bubble_50","I migliori sono loro :)","Cibo di ottima qualità , sia il panino che il crostone sono veramente squisiti,e anche la stuzzicheria ,ho apprezzato molto le patatine fritte fatte con patate fresche e non surgelate .Il rapporto prezzo qualità è ottimo , e anche un’ottima accoglienza e disponibilità da parte di tutto lo staff . Consigliato , da provare !"
