"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Tutto ottimo","Grazie a The Fork ho scoperto questo raffinato ristorante, non molto grande ma atmosfera intima e rilassante. Sushi veramente buono, il pesce è fresco e di qualità. Il personale di sala attento e cordiale. Prezzi giusti considerato il posto e il cibo. Ci ritornerò."
"ui_bubble_rating bubble_40","Un buon ristorante giapponese ","Alla borghese :Location=8/10, piccolo ma deliziosamente arredato a tema. Menù= 9/10, ottimo il pesce sia crudo che cotto, piatti belli da vedere. Servizio= 9/10 molto disponibili e cortesi. Conto=7/10 giusto spendere di più per le portare , ma alcuni antipasti cari. Piaciuto. "
"ui_bubble_rating bubble_40","Buon sushi","Qualità ottima, pesce molto fresco. Il locale è pulito e molto carino. Il personale gentile e pronto a consigliarti. Ci hanno detto di aver cambiato il cuoco da poco, quindi forse alcune recensioni negative riguardano la vecchia cucina. Abbiamo trovato una discreta varietà di gusti, possono cmq migliorare. Conto giusto. In generale abbiamo mangiato bene. Lo consiglierei!"
"ui_bubble_rating bubble_40","Ottimo sushi","Sono stata qui a pranzo, location curata nei minimi dettagli, sushi ottimo e selezione di vini di alto livello.Oltre al sushi ho assaggiato la carne di Kobe TOP, difficile da trovare così buona.Consiglio!"
"ui_bubble_rating bubble_50","Perfetto!!!","Abbiamo passato una serata perfetta...Locale incantevoleOttimo sushiPersonale gentile e gradevole.Buon rapporto qualità prezzo."
"ui_bubble_rating bubble_50","Eccezionale!!","Un ristorante nella bellissima zona centrale di San Pasquale, arredato in modo impeccabile, raffinato ed elegante, ideale per pranzo o cena. Gli chef sono bravissimi e preparati, i piatti curati e si spazia dalle pietanze della tradizione giapponese per passare a rivisitazioni interessanti (consiglio assolutamente il Lemon Roll, uramaki con gambero in tempura, Philadelphia, avocado e sopra una tartare di Salmone con salsa ristretta al limone ed impanatura croccante ! Buonissimi!), il pesce è freschissimo, uno dei migliori mai provato a Napoli. Consiglio vivamente, una cena qui che sia in coppia o tra amici è d’obbligo!"
"ui_bubble_rating bubble_50","Ottima atmosfera e sushi","Sono stato qui con la mia ragazza per cena ed ho prenotato con the fork per lo sconto del 25% sul menù alla carta; la cameriera è stata molto cortese e simpatica e il sushi era ottimo con pesce freschissimo. Atmosfera molto calda e rilassante; lo consigliamo"
"ui_bubble_rating bubble_50","One of the most amazing sushi place l’ve ever been!","Locale molto carino è accogliente, servizio impeccabile...ottimo il cibo, accostamenti di sapori diversi da altri ristoranti giapponesi della zona, e non dispiace affatto, anzi lo rende molto più interessante...ottima qualità prezzo! consiglio a tutti di provarlo non ve ne pentirete!"
"ui_bubble_rating bubble_50","Sublime","Qualita’ eccelsa pesce freschissimo consiglio i lemon roll che sono una vera goduria per non parlare poi dell’uramaki hanami davvero un emozione unica grazie ragazzi!"
