"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Quando la tradizione sposa l'innovazione.","Sono stata più volte in questo ristorante ed ogni volta si conferma sempre uno dei migliori posti in cui poter assaggiare i piatti tipici della tradizionale cucina napoletana con quel tocco di novità che non guasta, anzi arricchisce il piatto. Anche la pizza è da provare e di altissimo livello, ma la zizza fritta e la pasta e patate nella forma di parmigiano, non si battono!La location molto accogliente ed elegante allo stesso tempo, con quadri dei più grandi artisti napoletani che ti lasciano un sorriso. Il personale molto gentile, così come il proprietario.Anche la cantina di vini è ottima, ricercata, particolare e biologica.La conclusione perfetta? Il cremino al triplo cioccolato che mangio ogni volta che vado. Super promosso! "
"ui_bubble_rating bubble_40","una serata con familiari","ambiente molto bello e luminoso. si mangia molto bene sia la pizza che tutti gli altri piatti. l'unica cosa negativa è la porta d'ingresso che si apre automaticamente e quando sei seduto lì vicino entra un freddo eccessivo perchè si apre di continuo "
"ui_bubble_rating bubble_50","Cena di lavoro informale e piacevole ","Menù alla carta ricco di proposte interessanti e lista dei vini con ricarico corretto. Materie prime di qualità sopra la media preparate e servite con cura. Personale attento e disponibile, anche nel dare suggerimenti se richiesti. Dolci super! (foto babba con ricotta di pecora e cioccolato). Ci tornerò ancora "
"ui_bubble_rating bubble_40","La vera pizza napoletana","Indicatoci da personale dell'Hotel presso il quale soggiornavamo, abbiamo provato questo ristorante/pizzeria che si trova nei pressi della stazione.Ottime le pizze, davvero al livello di quelle di locali più famosi e che si trovano in altre zone di Napoli; buoni ed abbondanti i primi ed i secondi, forse un po' pesantucci alcuni antipasti fritti, anch'essi comunque saporiti.Prezzi un po' alti, ma la qualità dei piatti offerti è alta, quindi ci può stare.Decisamente consigliato!"
"ui_bubble_rating bubble_50","Ottimi piatti di pesce..ottima la pizza","In gita turistica con famiglia a Napoli abbiamo cenato in questo locale accogliente,buono il servizio,ottimi i primi di pesce e la pizza,anche i bambini hanno finito tutto...cosa rara..per dolce ottimo il cremino..quando possibile ci torneremo."
"ui_bubble_rating bubble_40","Piatti originali","Ho pranzato con la mia famiglia il 1 Gennaio, ottima accoglienza e cordialità, pietanze molto originali, buona pizza, rapporto qualità prezzo buono. Sicuramente da ritornare per poter provare tutti i loro piatti.Personale educato e gentile."
"ui_bubble_rating bubble_50","Ottimo servizio e ottimi sapori","Abbiamo optato per un ristorante vicino all'hotel: eravamo un po' stanchi. Siamo stati molto felici della scelta. Le porzioni sono abbondanti tanto che io e mia moglie abbiamo preso una portata ciascuno e ce la siamo divisa. La bimba ha mangiato la sua solita pasta in bianco con l'olio extra vergine ed il parmigiano. Lo staff è molto gentile e premuroso. Meglio prenotare: siamo stati fortunati a trovare 1 tavolo per 3 persone libero alle 19.30... Pietanze gustose ed ambiente curato."
"ui_bubble_rating bubble_50","Ottimo posto per vera pizza napoletana","Pesce fresco, ottima qualità del prodotto,vera pizza napoletana. Personale educato e professionale. Un grazie particolare alla cameriera Manuela.Eravamo un gruppo di otto persone 4 adulti e 4 ragazzi rimasti tutti soddisfatti."
"ui_bubble_rating bubble_40","Come da aspettative! ","Ci siamo affidate a Trip Advisor per cercare un ristorante di pesce in zona. Abbiamo prenotato tramite app. Arrivate con 15 minuti di ritardo (causa metro), il tavolo era stato dato via nonostante avessimo lasciato il nostro recapito per avvertire.Tutto risolto però in tempi brevi e con gentilezza. Cena piacevole e tutto molto buono! "
