"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottima cena","Siamo stati a cena in questo ristorante per il compleanno di mia moglie. Abbiamo mangiato benissimo. Cucina buona e curata nei minimi particolari anche nell’esposizione dei piatti. Ottimo il servizio.Personale capace e competente. Superba la carta dei vini. Bellissima la location con una bellissima vista.Lo consiglio."
"ui_bubble_rating bubble_50","Entusiasmante","Non si può descrivere con una recensione quelli che si prova a cenare da IL COMANDANTE!!!Location unica con una vista di sera che domina tutto il golfo !! I pani sino eccezionali così come i dolci questi solo per menzionare l’inizio e la fine di un pasto costellato di portare di altissimo livello Carta dei vini molto molto bella"
"ui_bubble_rating bubble_30","Delusa dalle aspettative ","Siamo stati a cena qui una decina di giorni fa. Sono stata con il mio fidanzato e abbiamo optato per il menù degustazione. Piatti buonissimi, materie prime di qualità e una bellissima vista. Purtroppo il resto non ha funzionato. Ambiente stucchevole e a tratti kitsch e servizio non professionale. Non tollero che in un ristorante stellato il vassoio con il tartufo viene fatto annusare a tutti anche chi non è intenzionato a prenderlo (personalmente a me non piace moltissimo). Sono stati in altri ristoranti sia stellati e non in cui i camerieri ci informavano di avere a disposizione il tartufo, se si era interessati lo portano a vedere ed annusare. Ma l’idea che su quel tartufo vengono quasi poggiati tanti nasi non mi piace. Successivamente viene fatta una magra figura dal ristorante: mi alzo per andare in toilette e c’era un tipo famoso se non sbaglio rapper napoletano che stava andando via, siccome la toilette sta al nono piano dovevamo metterci tutti e tre nell’ascensore ( io, il rapper e la fidanzata). Prima di metterci nell’ascensore,davanti a me,i camerieri e il maître danno un piccolo regalino a entrambi, una scatolina piccola che penso contenesse un portaborse, al massimo saponetta. Ritornata al tavolo dopo pochi minuti andiamo via e a me non danno niente. Ci sta che uno è “famoso” e c’è un occhio particolare però è proprio una bruttissima figura per un ristorante che si pensa essere di un certo livello. Oppure muovetevi con più discrezione. Inoltre non siamo andati al ristorante prendendoci un antipasto ma due menù il cui totale è venuto quasi 400€. Sinceramente il gesto di “regalarmi” la scatolina ci stava (a meno che non contenesse il diamante nero).Menomale che almeno i piatti erano buoni, ma non penso di ritornarci perché altri ristoranti stellati non sono da meno. "
"ui_bubble_rating bubble_50","Esperienza bellissima con due minimi appunti","Location bellissima.Ambiente di classe.Sono stato a cena con mia moglie in questo ristorante stellato e siamo rimasti entusiasti sia dall’eleganza del posto che dalla veduta mozzafiato.Iniziamo con l’antipasto accompagnato da due flutes di ottimo champagne Luis Roderer.Ottimo anche il pane con lievito madre accompagnato da olio extravergine e burro a base di latte di bufala.Decidiamo di optare per il menù degustazione a 6 portate e di prendere una bottiglia dello stesso champagne.Il menù è stato all’altezza della stella Michelin: più che una cena è un’esperienza gustativa.Vi chiederete quali sono state le sbavature.La prima: Non ho capito come sia possibile che una bottiglia di Roederer costasse 100€ e i due flutes dell’antipasto siano costati 50€.La seconda: in un locale così raffinato, dove paghi più di 250€ a persona (ma ne vale davvero la pena) deve essere tutto perfetto, compreso il tono di voce del maitre e dei camerieri. Per questo devo far notare che dopo che un cliente paga il conto, tornare con in mano il cappotto del cliente e della sua signora e mettere i due cappotti in mano al cliente (quindi senza aiutare, almeno la signora ad indossare il soprabito) è una cosa che non capita più nemmeno nelle pizzerie.È stata una stonatura che abbiamo notato sia io che mia moglie e che ha rischiato di offuscare una serata altrimenti perfetta "
"ui_bubble_rating bubble_50","Rischio sindrome di stendhal","Chapeau.Inutile argomentare in merito alla vista panoramica, inutile parlare della atmosfera curata del locale, inutile sottolineare la qualità , il gusto e l’estetica del menu... per questo basta la Stella come certificazione.Va invece rivelato per chi non conosce Il comandante la grandezza della figura di Mario.Ascoltare Mario è come visitare il Prado o il Louvre, è la voce narrante del tuo libro preferito, è come assistere al pennello che dà dignità alla tela, è come osservare il sole che numera gli alberi al mattino.Insomma a Il Comandate l’unico rischio è la sindrome di stendhal"
"ui_bubble_rating bubble_50","Ottimo e stellato ","Una bella esperienza, sul terrazzo dell’Hotel Romeo. Servizio ottimo e menù eccellente.Ho provato l’uovo al tartufo dello chef, una vera particolarità è l’agnello: ottimo."
"ui_bubble_rating bubble_50","Promosso a pieni voti","Cena in famiglia al Comandante di Napoli Bella location al decimo piano dell’hotel RomeoMenù degustazione e un ottimo champagne il bdn di Philippe Gilbert. A parte l’insalata di tonno piatti davvero interessanti ben composti e che soddisfano palato e occhi. Servizio in sala capitanato dal maitre Marco Vitiello vero uomo di sala che mette realmente del suo rendendo non solo piacevole ma anche interessante una cena al ristorante. La cucina della Chef bianco nel complesso è convincente ed interessante. Ottime le animelle di vitello e lo spaghetto alle vongole fujute"
"ui_bubble_rating bubble_40","Bello ma ....","La location è molto bella e curata , buona la cartella dei vini ma non ottimale , i piatti proposti dallo chef sono molto curati nel accostamento dei sapori anche se la degustazione improvvisata dallo chef ... tanto improvvisata non sembra. Ma comunque ottime portate . Il personale è qualificato ma non ti coinvolge nello spiegare i piatti e lo fa in modo superficiale "
"ui_bubble_rating bubble_30","Bella location ma non ci tornerò","Ristorante stellato deve entusiasmarti con le sue proposte e ti deve trasmettere quella atmosfera e quelle sensazioni surreali che completano quelle visive. Sulla location nulla da dire il decimo piano offre una vista molto bella sul Golfo di Napoli è il ristorante ben arredato in stile moderno. il personale l'ho trovato presente ma non perfetto nella cura e nel dettaglio verso i propri clienti. Una cosa veramente antipatica sono stati i tempi di attesa tra una portata e l'altra che hanno fatto sì che avessimo del disagio. Può essere che questa sensazione di disagio si sia trasferita poi ai piatti E comunque è una cosa non positiva.Comunque due ore per tre portate mi sembra un po' troppe. Sulla qualità delle materie prime, per la preparazione, la cottura e la presentazione nulla da dire però in bocca non sprigionavano quelle sensazioni entusiasmanti che altre esperienze Stellate a Napoli hanno saputo offrirci. Buono l'aperitivo. Abbiamo apprezzato in parte la serata ma credo che per noi basti così visto che non probabilmente non ci torneremo. I prezzi li ritengo conformi al tipo di ristorazione,.."
