"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","A discrezione dello chef! <U+0001F923><U+0001F923><U+0001F923>","Tutto senza un minimo di sapore, interesse, passione. Proprio come il suo gestore, parco di parole e privo d’identità, che si sente un gran fico a dare delle “sole” come: piatto “misto” di sushi e sashimi, fatto solo con salmone(misto?!), forse in eccesso in dispensa e da dover smaltire...Gli che si salvano tra i questi “ geni della ristorazione al risparmio” è un gentile ragazzo bassino con gli occhiali e l’architetto che ha progettato una location molto carina, raccolta e romantica. Ps sono il ragazzo che ha chiesto chi fossero i proprietari e gli è stato risposto: non so chi sono! Hahahhahahhah e ya!"
"ui_bubble_rating bubble_40","Sushi da provare!","Il mio fidanzato questa volta ha avuto ragione a propormi Jorudan sushi. Il locale è molto piccolo e semplice. Il menù variegato e completo.Quando abbiamo voglia di sushi facciamo una lunga ricerca fino a trovare quello che ci ispira. Passo ai piatti, abbiamo preso le alghe wakame che prendo sempre e che sono il mio primo segnale per capire la qualità e preparazione di un buon ristorante, erano buone, croccanti e salate il giusto come piace a me. Poi prendiamo il sushi press di salmone, strepitoso come gusto e come pesce. Poi prendiamo misto sushi per due che comprende un po' di sashimi di solo salmone, un po di nigiri, hosomaki, California rolls, ( squisito quello di granchio) e uramaki. Tutto molto buono e siamo sazi. Mi sono piaciuti perché la quantità di riso è giusta perché non mi piacciono quelli che li fanno enormi e tutti riso. Il pesce è buono. Come prezzi siamo su una fascia media alta forse per la materia prima... unica cosa che non lo fa perfetto che è un po' freddino il servizio o l'ambiente... Lo consiglio e ci torneremo sicuro."
"ui_bubble_rating bubble_40","Spettacolo","Personale accogliente e disponibile, pesce freschissimo e di ottima qualità, uno dei migliori Sushi di Napoli."
"ui_bubble_rating bubble_50","sempre il migliore","dopo più di un anno torno in questo ristorantino e noto con piacere che nulla è cambiato - ambiente intimo accogliente e tranquillo - personale super accogliente e disponibile alle varie richieste - pesce freschissimo e di una qualità ben più che elevata. Per me resta il mior sushi a napoli ed uno dei migliori in assoluto"
"ui_bubble_rating bubble_50","Fantastico!!!","Ottimo ristorante di sushi. Materia prima freschissima e ben preparata. Abbinamenti impeccabili, perfetto mix di sapori, tempura leggerissima. Una gioia per gli occhi e per il palato. Da non perdere!"
"ui_bubble_rating bubble_30","Sushi da asporto","Ho preso sushi da asporto in questo ristorante giapponese.. piccolo dentro, ma nel complesso carino. Il cibo non mi ha colpito, qualità media e non ho trovato la creatività nei piatti che fa la differenza tra un ristorante giapponese e l’altro. Buono nel complesso."
"ui_bubble_rating bubble_50","Eccellente come sempre sia al tavolo che da asperto!","Jorudan è da sempre per me il miglior sushi a Napoli! Il personale è attento e gentile. La preparazione del sushi è accurata. Ottimi vini. Prezzi nella media. Il set misto sushi, sashimi, nigiri è il mio preferito circa 40 pezzi a 50€. Ve lo consiglio vivamente."
"ui_bubble_rating bubble_50","eccezionale da asporto","ogni volta una conferma...tutto freschissimo e preparato rigorosamente al momento.La comodità della propria casa con la bontà genuina di pesce sicuramente fresco...Lo consiglio a tutti !!"
"ui_bubble_rating bubble_40","Bello","Ottima location cibo raffinato staff molto cordiale.. molto intimo con degustazioni particolari.. siamo stati molto contenti della scelta"
"ui_bubble_rating bubble_40","ottimo ma non comodo","il locale non è molto grande ed i posti a sedere sono pochi. Tutto in stile minimalista con tavoli e sedie alte. Il pesce è veramente fresco e la qualità eccellente. Peccato che si mangia in una posizione non proprio comoda. Fanno take away anche con consegna a domicilio. A partire dai 50€ la consegna è gratuita. Considerate che per una persona è difficile raggiungere un liello di sazietà con meno di 30€, la qualità si paga."
"ui_bubble_rating bubble_40","Sushi di qualità in un ambiente intimo ","Locale intimo con pochi coperti (circa 14) generalmente organizzato su doppio turno 21:00-22:30 e 22:30-24:00.Sushi di ottima qualità così come il riso che non risulta affatto gommoso come in altri casi.Squisito il salmone.Prezzi medio alti (circa 35 euro a testa) con birra.Da provare anche di sabato sera essendo fuori dai circuiti."
"ui_bubble_rating bubble_40","Ottimo, ma prezzi altini","Sushi ottimo, ben fatto, riso e pesce combinati al meglio. Adoro il sushi press,credo sia il pezzo più buono che ci sia. Prezzi altini, soprattutto se da asporto, a quel punto conviene sedersi al locale. "
"ui_bubble_rating bubble_50","Conferma eccellente","Avevo ospiti a casa e ho ordinato i sushi a domicilio. Consegna puntuale all'orario pattuito. Sushi eccezionale come sempre, prezzo giusto vista la freschezza del prodotto.. Jorudan si riconferma uno dei migliori, se non IL migliore, ristoranti giapponesi a Napoli. Lo consiglio vivamente"
"ui_bubble_rating bubble_50","Ottimo","Tutto molto buono e ben preparato.Ricercata anche l'estetica dei piatti.Complimenti anche per il servizio."
"ui_bubble_rating bubble_50","Stupenda sorpresa","Finalmente sono riuscita a provare questo ristorantino giapponese, che definirei una vera chicca a Napoli. Abbiamo cenato qualche sera fa io ed il mio ragazzo ed oltre ad esserci sentiti come a casa grazie all'ambiente accogliente ed alla cortesia del personale, é stato davvero bello vedere il sushiman giapponese all'opera. Tutto davvero buono e di eccellente qualità, a partire dai sushi press al salmone al black cod gindara, preparato in modo eccellente. Nulla da dire, se non che siamo stati molto bene e che ci ritorneremo sicuramente."
