"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Piacevole scoperta","La prima cosa che colpisce appena entrati nel locale è l'educazione e la cortesia del personale, caratteristica che di questi tempi a Napoli non è mica scontata.L'offerta è varia, ed i panini sono combinati con gusto. Una sola piccola annotazione riguarda le birre alla spina: qualche referenza in più non guasterebbe. Un posto perfetto, quindi, per una serata easy, tranquilla e piacevole."
"ui_bubble_rating bubble_50","No Bad","Bella atmosfera, un posto tranquillo dove mangiare un buon panino con famiglia e amici servizio ottimo e c'e anche la possibilta' di vedere le partite."
"ui_bubble_rating bubble_50","Perfetto","Mia moglie ed io ci siamo stati il 3 gennaio.Posto accogliente.Cameriera gentilissima e competente.Mi ha anche dato il caricabatterie per il mio cellulare scarico.Chef giovani ma esperti e bravissimi.Panini con carne di ottima qualità e saporiti.Patatine libidinose.Sangria ottima e poco alcolica.Sicuramente un posto da visitare."
"ui_bubble_rating bubble_50","Tutto buono","Siamk stati in una sera di mercoledì andato per la prima volta con la mia ragazza conoscendo e leggendo su Facebook sembra un buon locale e siamo andati ed è vero molto carino effettuano delle offerte come tris di carne a buoni prezzi e il servizio e accogliente da riprovare..."
"ui_bubble_rating bubble_50","Ottima qualità e super accoglienza ","Prenotando stasera con TheFork, abbiamo scoperto questo pub nel cuore del Vomero.Ottima accoglienza, personale davvero cordiale, accompagnato da cibo di qualità!Da provare assolutamente!"
"ui_bubble_rating bubble_50","Veramente un ottimo pub","Il locale si trova all'Arenella e si è dimostrato essere davvero un ottimo pub! Abbiamo assaggiato il pollo fritto e due panini (Wisconsin e Putipu), uno con hamburger di chianina ripieno alla provola e l'altro con polpetta. Buono anche il dolce (torta oreo) e le birre, a fine cena ci è stato anche offerto l'amaro.Buoni anche i prezzi e la cordialità del personale.Unico difetto l'insonorizzazione del locale, pressoché assente, che lo fa risultare molto rumoroso al suo interno."
"ui_bubble_rating bubble_50","Per stare tra amici","Un bel pub, il titolare è molto simpatico e disponibile. I prodotti serviti sono nella media ma molto buoni. Buon compromesso per passare una serata in compagnia tra amici."
"ui_bubble_rating bubble_40","Buono","Locale carino. Personale gentile. Servizio abbastanza veloce. Ottimo il pollo fritto. Buoni i panini. Prezzi leggermente sopra la media ma il gusto non si discute. Da provare"
"ui_bubble_rating bubble_50","Ottimo ","Davvero una bellissima scoperta! Patate con cheddar e bacon buonissime e panino Indiana con prodotti di qualità e strabordante con una hamburger di chianina che era una polpettona ripiena.. infatti l’unico rammarico è stato non riuscire a finirlo tutto perché le patatine già ci avevano riempito! Personale molto disponibile.. Convenzione con il garage multi piano a piazza arenella.. conto nella media. Disponibili prodotti senza glutine.. Molto consigliato!"
"ui_bubble_rating bubble_40","Una bella scoperta ","Sono stato in questo pub usufruendo della promo the fork.Il locale si trova in una posizione abbastanza semplice da raggiungere, è tuttavia piccolo ma comunque accogliente.Il personale è gentile e professionale e il cibo è veramente ottimo. Qualità delle materie prime eccellente, ottima la carne. Consigliatissimo "
"ui_bubble_rating bubble_50","Ottimo","Personale eccelente e pientanze sublimi ormai è il nostro punto di rifermento quando vogliamo mangiare bene e divertirci andiamo li . lo consiglio a tutti ah rapporto qualità prezzo imbattibile."
"ui_bubble_rating bubble_50","Ottima cena","Abbiamo cenato un lunedi sera presso questo Pub spinta dalla curiosità di alcuni video visti in internet. Abbiamo preso una frittura mista molto buona, un panino e un tramezzino di carne con diversi contorni. Ho bevuto un ottima sangria ma non abbiamo preso altro perche eravamo troppo pieni!"
"ui_bubble_rating bubble_10","Una rinconferma negativa","Ci siamo stati sabato sera,eravamo un gruppo di amici.Forse l'unica cosa positiva oltre al personale sempre molto dispobibile e gentile,è proprio il fatto che si possa prenotare il sabato.Di lati negativi invece ce ne sarebbero di infiniti a partire dalla pessima qualita della carne,cotta malissimo,nel menu viene indicata una cottura media quando invece l hamburger ti arriva totalmente bruciato(5 hamburger su 6),locale completamente anonimo e prezzi alti per la qualita offerta.Non capisco veramente le recensioni cosi positive.Non lo consiglio ne tantomeno credo di ritornarci."
"ui_bubble_rating bubble_30","Parcheggio NON gratuito, attesa lunga, buon panino","3 stelle perchè il panino ne meriterebbe 5, ma l'attesa è troppo alta ( 2 ore da quando ci siamo seduti al tavolo), si sono persi un'ordinazione in cucina ( una nostra amica è rimasta quindi senza panino, abbiamo chiesto info, ci hanno detto che era in cottura e stava arrivando, è passata mezz'ora e il panino non c'era ancora) e Attenzione al parcheggio...se nel pub dicono che si paga 2 euro per le prime 2 ore ( e siamo sicuri abbiano detto cosi perche l'abbiamo chiesto per conferma più volte), quando arrivi al parcheggio non possono dirti che in realtà è gratuita la prima ora e le altre si pagano regolarmente, c'è mancanza di convenzione in questo caso. Peccato."
"ui_bubble_rating bubble_50","Super Pub","Uscire di Sabato a Napoli, quartiere Vomero/Arenella, è diventata un'impresa ardua, qualsiasi pub e ristorante diventa inaccessibile, sia per il posto auto che per il tempo di attesa (per non parlare poi dei favoritismi che fanno a persone che, nonostante le loro prenotazioni risultino posteriori ad altre, hanno il permesso di entrare prima).Premesso ciò, il Juicy Lucy è un pub alla portata di tutti, adatto a famiglie ed a gruppi di amici, è facile da raggiungere ed il posto auto non è poi così difficile da trovare (tra l'altro è possibile usufruire di un parcheggio convenzionato).Il personale sempre affabile e cordiale ma soprattutto onesto, per loro non esistono favoritismi. Una menzione speciale va ai due camerieri Fabiola e Simone...simpaticissimi, gentilissimi e davvero in gamba! Il pub in ultimo, ma non importanza,offre prodotti particolari e deliziosi, prezzi bassi e servizio rapido... lo consiglio vivamente!!"
