"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo.","Lavoro in uno studio sito in zona e i Colleghi mi hanno fatto scoprire questo splendido locale. Il titolare, ma il servizio in generale, è estremamente cortese. Il vino è ottimo e c'è anche una certa varietà di cose da mangiare."
"ui_bubble_rating bubble_50","Molto gradevole","Locale molto accogliente il rapporto qualità/prezzo ottimo, un apprezzamento particolare ad Emilia che è una della anime di questo localeQuelli del VX"
"ui_bubble_rating bubble_50","Bontà, semplicità e gentilezza","Ristorante consigliato da un amico e che consiglieró sicuramente a mia volta. Si trova nel quartiere bello di Napoli. Cucina semplice e buonissima; mi è piaciuta in particolare la “trasparenza di mare”. Offerta di vini ampia, ma non così completa, forse solo perché mancavano alcuni vini rossi che siamo abituati a bere. Servizio gentile ed efficiente. Prezzo sicuramente adeguato alla zona in cui si trova il ristorante, anche se qualche euro in meno sarebbe più giusto (6€ un dolce come un semplice babà è un po’ caro)."
"ui_bubble_rating bubble_40","Posticino ben frequentato","Bel ristorante che nasce come enoteca ed è perciò il regno di tantissime etichette tra vini e distillati.Ambiente soft e ben frequentato.Pietanze particolari su cui spiccano i paccheri fritti alla parmigiana e gli schiaffoni con calamari zucchine e mandorle.Cassata e gelato alla meringa top.Cena di avvio delle festività natalizie molto rilassante coronata da ottimo champagne.Prezzo a coppia 125 euro."
"ui_bubble_rating bubble_50","5 STELLE! ","Sono stata ieri sera a cena con il mio ragazzo spinta dalla curiosita dopo aver visto le foto e letto recensioni su tripadvisor... non è stato come mi aspettavo, Ma Molto Meglio.Locale estremamente confortevole e ben arredato, una cantina di vini eccezionale, per non parlare poi dei piatti unici e ricercati.. i prezzi sono un po sopra la media ma è giustificato per i piatti e questo tipo di locale... assegno sicuramente 5 stelle non solo per il ristorante ed i piatti ma anche per il personale gentile e non invadente. "
"ui_bubble_rating bubble_50","Simpatia ed eccellenza","Piacevolissima esperienza culinaria, ottimo vino e tanta tanta simpatia unità a passione! Complimenti "
"ui_bubble_rating bubble_40","Consigliato","Siamo stati qui a cena, proposta culinaria eccellente e selezione di vini infinita. Ci torneremo sicuramente "
"ui_bubble_rating bubble_50","Una cena ed un pranzo deliziosi","Abbiamo cenato in due e poi prnzato il giorno dopo. Piatti di ottimo livello, personale molto ma molto cortese, scelta dei vini ovviamente molto varia e per tutti i gusti, prezzi e qualità. Alla sera necessario prenotare. Locale carino e curato. I piatti sono della tradizione italiana e napoletana ma con interessanti tocchi di originalita'. Buono tutto anche i dolci."
"ui_bubble_rating bubble_50","Cena con amici","Tutto fantastico! Location intima e raffinata . Personale qualificato e gentile . Ho provato diverse pietanze tutte piacevoli per il palato ! Da provare assolutamente!"
"ui_bubble_rating bubble_50","Molto soddisfatto","A cena con amici per la prima volta in questo ristorante, sono subito rimasto colpito dall' ambiente. Clientela di buon livello, salette riservate, senza caos, adatte anche ad una cenetta intima e romantica. Ampia la scelta dei piatti e dei vini, personale sempre sorridente e disponibile. Nel complesso, quindi, il mio voto non può che essere il massimo: anche le pietanza mangiate hanno soddisfatto appieno i miei gusti. E' un posto dove ritornare senza indugi. Grazie anche al ristoratore per la sua simpatia ed affabilità."
"ui_bubble_rating bubble_50","Eccellente ","Bella location. Servizio gradevole. Ottima cantina. Luca superlativo!! Servizio curato e delicato. Una serata tranquilla e di relax gustando ottimi piatti e vino di qualità "
"ui_bubble_rating bubble_40","Enoteca","Bella enoteca, location accogliente e di gusto, ottima la scelta dei vini, servizio efficiente cordiale e veloce prezzi nella media, ci siamnw trovati bene!!!"
"ui_bubble_rating bubble_50","Niente di...impersonale","Prima gambero crudo coniugato al riccio e alle mandorle, poi (anche) mattonellina di provola zucchinata fritta, in abbraccio (delizioso) di prosciutto crudo. Antipasto di (nuovi) gamberi crudi ma ora ((ben) declinati nell'acqua di piselli. Un vermicello cotto perfetto con puttanesca di baccalà dal giusto equilibrio. Ricciola affogata nella cianfotta di sapide (e spero digeribili) verdure. Il tortino caldo di cioccolato con cuore caldo di pistacchio mi ha sopreso, non credevo ci fosse qualcuno (in questo caso il grande Margliano) che potesse farlo al mondo più buono di colei che amo. Gli segue il nobile sapore del cognac, per un ultimo inebriante bacio di buone vacanze. Niente qui che accada senza la compagnia arguta e abbacinante del grande Luca e della sua splendida brigata differenziata, un piccolo aggregato di Peanuts mediterranei. Non fate caso a questa recensione, sono stato in questo posto (davvero ci sono stato, ditelo altrove) troppe volte per non aver capito che chi serve e chi mangia hanno un rapporto circolare e (soprattutto) personale, tu migliori me se io miglioro te, tu accogli me se io accolgo te. Si dica al mondo, amici sparsi (pur sconosciuti) agli altri tavoli! Cifrario indecifrabile in troppi luoghi, dove l'amore per quello che si fa (e si è) è un'opzione trascritta nel libro dell'impossibile. "
"ui_bubble_rating bubble_30","Location accogliente","Ottima location, accogliente e riservata. Piatti cucinati con cura e con ingredienti di buona qualità. Prezzi più alti della media di zona."
"ui_bubble_rating bubble_50","Una bellissima scoperta nel centro di Napoli","Nei pressi del teatro delle Palme, vicino a Via dei Mille, al centro di Napoli, questo ristorantino è stata una piacevole scoperta. Ottimi i primi di pesce assaggiati, eccellente la scelta delle materie prime, cortesia e atmosfera intima, davvero una piacevole scoperta"
"ui_bubble_rating bubble_50","Cena all’Ebbrezza di noe","Abbiamo cenato in maniera completa. Ottimi antipasti con gamberi crudi. Servizio gentile e professionale!! Primi eccellenti! Complimenti al personale di sala e allo chef!!Torneremo presto"
"ui_bubble_rating bubble_40","Posto accogliente","Siamo stati a cena in questa bella enoteca. E' un posto molto accogliente e piacevole. Notevole la scelta dei vini. Abbiamo mangiato molto bene. Servizio efficiente e cordiale. Prezzi medio alti"
