"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una gradita sorpresa ","Mia moglie ed io, incuriositi dalle recensioni, abbiamo deciso di cenare qui il sette gennaio. Siamo stati subito accolti dalla cortesia del cameriere, davvero gentile e preparato. Tutto ciò che abbiamo mangiato è stato davvero fantastico. Una menzione particolare al dolce, che ho abbinato ad un rum invecchiato, proposto con un servizio fantastico (torta caprese, rum e cioccolato fondente da abbinare al distillato). Due antipasti (bruschette e parmigiana), due primi, due dolci, acqua, una bottiglia di vino ed un bicchiere di rum 23 anni per circa 9o euro. Decisamente proporzionato alla qualità di ciò che ci è stato servizio. Grazie allo staff di sala e di cucina per averci fatto passare una serata da incorniciare "
"ui_bubble_rating bubble_40","Tartare e fritto molto buoni","Locale molto carino, a pochi passi da piazza Plebiscito. Abbiamo cenato con delle tartare e un fritto, tutto molto buono. Servizio e camerieri molto disponibili e sorridenti."
"ui_bubble_rating bubble_40","Pranzo delizioso","Locale molto accogliente con servizio attento e curato. Cucina curata con alcune piacevoli sorprese come le linguine all’aroma dei limoni di Sorrento o gli spaghetti aglio ed olio con la ricotta o ancora il fritto preso da antipasto vario e ben fatto. Vino al calice e due caffè. Visto che era un pranzo veloce non siamo riusciti ad assaggiare i dolci. Un motivo per tornare. Assolutamente consigliabile."
"ui_bubble_rating bubble_50","Bella scoperta!","Locale accogliente con personale attento e cordiale. Menù interessante, ma ancor più interessante seguire le indicazioni del proprietario, che ci ha suggerito un menu su misura sulla base del pescato del giorno. Stratosferiche le capesante, ottima la frittura e anche il crudo e la ricciola sciue’ sciue’. Insomma... tutto! Non ci sono primi piatti adatti ai celiaci ma una bella caprese ha chiuso una bella cenetta. Prezzo adeguato alla qualità. In una zona ricca di ristoranti turistici, una bella scelta. Necessaria prenotazione"
"ui_bubble_rating bubble_50","Bella serata","Ristorantino a 2 passi dal ns hotel vicino al lungomare Caracciolo, appena entrati ci accorgiamo subito dell'atmosfera particolare che si respira... ci fanno accomodare con gentilezza, patatine fatte in casa, pomodorini favolosi con l'aperitivo... poi ottimi antipasti e primi da urlo. Vi allego le foto dei piatti perché meritano...W Napoli da un polentone lombardo!!!ah dimenticavo 140 euro in 4 fino e limoncini compresi!!!!!!"
"ui_bubble_rating bubble_50","Molto molto buono e particolare","Siamo stati qui per la prima volta con amiciAbbiamo mangiato molto bene, servizio veloce e corteseMolto buoni gli antipasti di mare Tutto fresco e preparato bene Promosso "
"ui_bubble_rating bubble_30","Buono ma non troppo","Siamo stati in questo ristorantino con le nostre due bimbe di 3e5anni domenica a pranzo;subito siamo stati accolti con gentilezza e premura dai camerieri,i quali ci hanno spiegato il menù e devo dire la verità sono stati disponibilissimi con le bambine.Abbiamo ordinato un antipasto (25€),con fritturina piccola di pesce,tonno,una porzione piccola di vongole,e salmone; per le bimbe 2solo piatto(perché lo hanno diviso)di pennette al sugo,e due calici di vino bianco,e devo dire la verità è arrivato tutto celermente e buono.Dopo abbiamo preso dei fusilli alla Lazzaro davvero ottimi,e un piatto di spaghetti con le vongole... purtroppo quest ultimo è stato un flop,in quanto le vongole erano davvero buone,ma la pasta assolutamente.... sembrava pasta scaldata, insapore,senza nemmeno il prezzemolo,da bocciare sicuramente;lo abbiamo anche fatto presente al cameriere che a dir la verità lo voleva fare rifare,ma non ci sembra il caso,forse per questo che ha tolto qualcosina dal conto,in quanto per 4coperti,1coca piccola in vetro,1acqua naturale,2primi,un piatto di pennette al sugo,un antipasto e 2calici di vino bianco, abbiamo pagato 85€anzichè 91€.....forse un po'sopra la media"
"ui_bubble_rating bubble_40","Da provare davvero!","Dopo aver passeggiato sul lungo mare caracciolo, giungiamo a Castel dell'Ovo per l'ora di pranzo.. dopo aver letto le recensioni dei numerosi ristoranti e pizzerie incontrati sul lungomare e dopo esserci addentrati nel borgo marinaro.. nessuno ci convince davvero.. perciò decidiamo di rinunciare alla vista mare e interroghiamo trip advisor alla ricerca di un ristorante lí vicino.. tra quelli più vicini c'è proprio La Cantina dei Lazzari.. ci colpisce subito la cortesia e la non invadenza con cui veniamo accolti.. il locale è piccolo (per noi è un pregio.. c'è sempre una maggiore attenzione) arredato ed addobbato (per il Natale) con gusto.. il menù vario ma senza troppi piatti.. abbiamo assaggiato una frittura mista e due primi.. tutto davvero squisito.. per non parlare dei dolci.. fantastici.. cosí come la carta dei vini..la cortesia e la professionalità dello staff sono poi la ciliegina sulla torta. Il prezzo decisamente adeguato alla qualità delle materie prime impiegate. Sicuramente consigliatissimo!"
"ui_bubble_rating bubble_50","Ottima impressione e sostanza !","Sono stato qui per cena con un collega attirato dalle recensioni positive e dalla posizione vicina al nostro hotel. All'ingresso del locale siamo stati accolti da un'atmosfera natalizia e raffinata al tempo stesso. Piccola la sala interna con numerosi vini esposti e la cucina quasi a vista tramite una finestrella dalla quale uscivano in sala le pietanze appena preparate dallo chef. Il cameriere è stato molto disponibile e ci ha aiutato nella scelta. Ottima la tartare di ricciola, la bistecca di maialino nero, la bistecca di tonno e antipasto di bufala. Piatti davvero ben presentati e ottimi abbinamenti innovativi. Nel complesso una buona cena accompagnata da un ottimo vino. Prezzi medi quasi alti. Ma giustificati dalla qualità e dalle porzioni giuste e ben servite. Per 2 antipasti,due secondi,due dolci ed una bottiglia di vino il conto è stato di 90€. Considerando un antipasto ed un secondo di pesce (ricciola e tonno) il prezzo è adeguato. Ci torneremo sicuramente! Complimenti"
"ui_bubble_rating bubble_40","Molto bene ","Ho pranzato due volte a distanza di pochi giorni in questo locale, scegliendo sempre di sedere all'esterno. Devo dire che le materie prime utilizzate sono davvero di buona qualità e soprattutto fresche, cosa molto importante per me che ho scelto di mangiare pesce, anche crudo. Tartare di gamberi ottima : ben presentata e con accostamenti giusti come il mango, i finocchi e il riso selvaggio, in cui ogni boccone regalava sensazioni diverse ma sempre stuzzicanti. Non posso dire lo stesso della tartare di scampi, decisamente più anonima come impiattamento, sapori e accostamenti. Anche la guacamole di accompagnamento era piuttosto insapore. Il mezzo astice alla griglia era davvero gustoso anche se l'abbinamento con la provola affumicata non mi ha fatto impazzire : ho trovato che le due cose non si amalgamassero bene, anche se prese singolarmente erano cucinate ottimamente. Infine, ho preso un'ottima frittura di pesce : i calamari, il baccalà e i gamberoni erano fritti benissimo. Nota di merito per i pezzi di baccalà ripieni di provola. I gamberoni presentati benissimo, anche se l'impanatura con il tarallo sbriciolato tendeva un po' a coprirne il sapore. Buona e azzeccata la salsa di aceto caramellato servita in una scodellina a parte. Dolci discreti ma non indimenticabili. Sicuramente promosso, anche se può migliorare, soprattutto in virtù dell'ottima materia prima usata. "
"ui_bubble_rating bubble_40","Piacevole sorpresa","Scopriamo per caso questo posto passeggiando per la città, rimanendo colpiti dall'arredo curato. Ottima cucina che combina innovazione e tradizione con ingredienti di prima qualità, personale cortese e pronto a consigliare. Ci ritorneremo."
"ui_bubble_rating bubble_40","ANTIPASTI OTTIMI!","Ottima cena, ottimi antipasti ed ottimo primo. Baccalà e Polipo moto buoni. Anche i dolci buonissimi e bellissimi. Consigliato."
