"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Grande Franco","Cordialità, ospitalità e professionalità personale sempre disponibile, che dire di meglio non potevo trovare"
"ui_bubble_rating bubble_50","Pranzo stellare","Alla grotta si mangia benissimo, prodotti freschissimo, accoglienza favolosa e sopratutto pesce fresco e pizza strepitosa, ci ritorneremo molto presto"
"ui_bubble_rating bubble_10","Non per coppia!","Locale arrangiato a ristorante.Apprezziamo lo sforzo ma il ristorante vero e proprio è un'altra cosa. Non ci sono tovaglie e fazzoletti di stoffa, si sta uno sopra all'altro e i piatti molto come si dice a Napoli arrmmriat. Le ricette non sono quelle classiche ma sono un pezzotto inoltre i prodotti non sono di primissima scelta. Abbiamo ordiato una tagliatella ai porcini. Erano piene zeppe d'olio e panna e secondo me erano sughi di quelli che si comprano già belli e fatti, sopra c'era pure del tarallo. L'altro primo erano scialatielli ai frutti di mare che erano brodosi e salati che non si potevano mangiare inoltre non c'era nemmeno una vongola. Forse noi abbiamo ordinato con frutti di mare e loro hanno capito con lupini. Anche qui c'erano dei taralli interi, mai visto prima una cosa del genere! La prima volta che siamo andati siamo stati trattati bene ma ora per prima cosa non ci è piaciuto il cibo (forse hanno cambiato cuoco) quando poi per le stesse cose abbiamo pagato 10 euro in più. Forse era solo una tattica per attirare il cliente."
"ui_bubble_rating bubble_50","Pranzo perfetto","Mi sono fermato a pranzo con un collega per mangiare una cosa veloce prima di ritornare a lavoro. Locale un po’ piccolino ma piatti davvero buoni e porzioni abbondanti. Servizio veloce e proprietaria molto simpatica. Prezzo meno di quanto mi aspettavo, sicuramente ogni volta che sarò in zona mi fermerò a mangiare qualcosa."
"ui_bubble_rating bubble_40","Cena tra colleghi ","Abbiamo mangiato benissimo tutto buono,primi piatti ottimi secondo frittura mista fresca , ad un costo accessibilissimo ci torneremo "
"ui_bubble_rating bubble_50","La piacevole serata alla grotta","La grotta è un bel ristorante, in cui si mangia bene, quando vieni loro ti accolgono come in una famiglia, il personale è molto accogliente con gli ospiti e la cucina è molto bella, sicuramente parlerò di questo ristorante ai mie amici. <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>"
"ui_bubble_rating bubble_50","Ottimo","Ottima cucina ,un servizio impeccabile ,personale meraviglioso ,pizze da Dio. Che dire e proprio da consigliare e se parliamo di prezzi, molto bassi. Accorrete"
"ui_bubble_rating bubble_20","Ambiente amichevole e pizza eccezionale","Il locale non è che sia il massimo dell'eleganza però è un ambiente molto amichevole dove è possibile divertirsi e farsi 4 risate. Sono stato con amici e nel tavolo dietro di noi c'erano dei ragazzi con i quali abbiamo fatto amicizia che bevevano litri e litri di vino e ad un certo punto iniziavano a fare ru....i e sc.....e. Ci siamo fatti tantissime risate.Questo per far capire il clima amichevole e allegro che si respira in questo locale. La pizza è buonissima e leggera solo che la porchetta forse sarebbe meglio senza la pelle esterna. Il satè di mare non era fatto con frutti di mare freschi del giorno e c'erano quasi solo lupini sfumato con vino per coprire l'odore. Chi ha ordinato gli spaghetti ai frutti di mare diceva che erano molto duri e molto meglio i primi con la pasta fresca. Ritorneremo per dare un giudizio positivo per i primi piatti"
"ui_bubble_rating bubble_30","Non male la prima","Ambiente accogliente e familiare. Piatti della tradizione napoletana. Da migliorare il servizio ai tavoli e le presentazioni dei piatti. Buona la pizza, i primi e i secondi di pesce. Rivedrei gli antipasti e i secondi di carne. Dolci così così. Prezzo nella norma. Tutto sommato ok."
"ui_bubble_rating bubble_50","Cucina & cibo & simpatia","Oltre gli abbondanti antipasti, abbiamo preso : tagliatelle ai funghi, pasta e fagioli, ravioli. Che dire se non bravi.... ."
"ui_bubble_rating bubble_40","Ambiente accogliente e buona cucina a prezzi modici","siamo stati a cena tra amici.facile da raggiungere e ampia possibilità di parcheggio nella zona antistante.ambiente accogliente personale cortese.Cucina di buona qualità con prodotti preparati al momento e porzioni abbondanti.prezzi ampiamente alla portata di tutti e possibilità di vedere le partite della squadra del cuore quando in programma.la consiglio senz'altro"
"ui_bubble_rating bubble_40","Scialatiello TOP....e non solo","Quando capito in zona non posso non cenare in questo posto semplice, autentico e molto buono. Ho sempre mangiato pesce; antipasti e primi piatti cucinati a regola d'arte; porzioni abbondanti; anche i secondi molto buoni. c'è sempre un entrè di frittelline e patatine in omaggio. Anche le pizze e i piatti di terra sembrano molto invitanti, ma non li ho mai provati.Prezzi modici. Speriamo rimanga sempre così."
"ui_bubble_rating bubble_40","Ok","Siamo stati in questo locale x cena. Verso le 20.45 era quasi vuoto e ci ha lasciato perplessi ma siamo a Napoli e alle 23 era tutto pieno. Come accoglienza crocchette e patate fritte. Abbiamo preso antipasto con fritto misto e mozzarella e prosciutto. 1 pizza margherita 2 tagliate 1 dolce 1 birra da 66cl, 1 acqua, 1 amaro 1 meloncello.. tot 45 euro. Tutto molto buono e abbondante. Locale non troppo grande ma servizio veloce. Servizio gentile. In zona consigliato. "
"ui_bubble_rating bubble_50","Trattoria oppure ristorante?","Appena si entra si ha subito l’idea di una trattoria a carattere familiare. Quando cominci a pensare cosa mangiare allora ti rendi conto che sei in un ristorante. Preparazione dei piatti, materie prime trattate in maniera magistrale, accoppiamento di ingredienti e squisitezza al palato fanno sì che ti senta in una Trattoria Reale. Rapporto qualità prezzo, come fanno non lo so.... Eccezionale. Da tornarci tutte le volte possibili. Ps: oggi un cinghiale superlativo!!!!"
"ui_bubble_rating bubble_50","Ritornato per avere la conferma","Dopo circa un mese sono tornato alla Grotta x verificare se quanto rilevato la volta scorsa era confermato. Assolutamente SI. Eccellente cortesia, ottimi antipastini, buonissimi primi e una frittura di paranza da togliere il fiato. Rapporto qualità prezzo assolutamente megagalattico. In luogo diverso e con una location moderna e di tendenza anziché spendere i 20 euro per persona c'è ne sarebbero volute almeno 100. Complimenti allo chef Franco e alla sig.ra Lina che conduce magistralmente l'orchestra."
"ui_bubble_rating bubble_50","La vera accoglienza napoletana","Siamo stati in questo ristorante per caso,si trovava vicino al nostro hotel. È una trattoria rustica in cui abbiamo ordinato una semplice pizza (era ottima!!) ma ci hanno servito prima e durante la cena varie prelibatezze locali: patatine e crocchette di pane fatte in casa, il soffritto (piatto tipico della cucina napoletana) e un bel vassoio di cozze, tutto ciò senza che lo avessimo chiesto e ovviamente sul conto non abbiamo trovato alcuna sorpresa: è stato tutto gentilmente offerto dalla proprietà. A me non è mai successo in nessun'altra parte del mondo! Si mangia divinamente e si è accolti come a casa, sicuramente ci torneremo e lo consigliamo a tutti, turisti e non."
"ui_bubble_rating bubble_50","In famiglia","Abbiamo mangiato in questo splendido ristorante pizzeria familiare, abbiamo preso cozze marinate, menù del giorno a scelta e dolci, tutto buonissimo... personale gentilissimi...ci ritorneremo!"
"ui_bubble_rating bubble_40","Accogliente ","Bel posto! Bel servizio!Cordiale il personale e bravissimi i proprietari!Ottimi primi, Buon antipasto, per i secondi un po' meno! Ma nel complesso un ottimo rapporto qualità prezzo. Ci ritorneremo!!!"
"ui_bubble_rating bubble_50","Eccellente","È il ristorante in cui ci andresti a mangiare anche tutti i giorni, ti senti a casa, pesce fresco, piatti tipici della cucina partenopea e non; pietanze semplici e gustose senza troppi fronzoli, si bada più al contenuto che all’estetica. La classica trattoria ma con alle spalle uno chef di tutto rispetto! La pizza è ottima e per finire il prezzo che a mio avviso è più che giusto! Ps: camerieri disponibili, alla mano e molto simpatici. "
"ui_bubble_rating bubble_50","Cibo & casa","Abbiamo scritto più volte di questo locale, questa volta lasciamo parlare le immagini.... Mancano gli antipasti ma, a buon intenditor... ."
"ui_bubble_rating bubble_50","Mangiata tra amici","Cibo buonissimo prezzo ottimo e personale bravo e simpatico da ritornare il prima possibile lo consigliò a tutti perché si trova la classica cucina napoletana"
"ui_bubble_rating bubble_50","Numero 1","Locale amichevole e personale delizioso. Cibo di ottima qualità e in grosse quantità,soprattutto pesce fresco. Consiglio per secondo una grigliata mista poiché fresca e in grosse quantità,conto da 10."
"ui_bubble_rating bubble_50","Tanta quantità e tanta qualità","Consigliatissimo ambiente accogliente. Pesce di qualità eccellente,l il migliore in zona. La foto con la porzione di gnocchi parla da sola"
"ui_bubble_rating bubble_50","Quando vuoi mangiare tanto e bene","Ottimo cibo personale cordiale il pesce fresco e abbondante anzi abbondantissimo sicuramente ci ritorneremo"
"ui_bubble_rating bubble_50","Passano gli anni ed aumentano i meriti","La Grotta è un ristorantino a gestione familiare dove la moglie Lina e lo Chef Franco accolgono i loro clienti in modo amicale.Il merito di questa coppia è quello di essere cresciuti tantissimo e di aver raggiunto un livello di cucina di tutto rispetto. Fritturina di alici e calamarelle, impepata di cozze, spaghetti con le telline, risotto alla pescatora: tutto estremamente delizioso.In particolare i primi meritano una lode sia per la scelta delle materie prime sia per la preparazione.Focaccia, sfizi, acqua, vino....Come si fa a mangiare così bene con meno di 20€ a persona???? Da ritornarci...sempre!"
"ui_bubble_rating bubble_50","Una cena veloce tramutata in cena slow food di livello. ","Eravamo intenzionati a cenare fugacemente ma la vista di materie prime eccellenti ci ha dirottati in una cena slow food. Impepata di cozze Suprema, spaghettone di Gragnano con pomodorini gialli del Vesuvio e scampi freschi nostrani, cucinati divinamente dallo chef Franco. Fritturina di paranza eccezionale. Servizio attento, puntuale e professionale. Rapporto qualità prezzo, positivamente sorprendente . Da ritornarci anche tutti i giorni. "
"ui_bubble_rating bubble_10","Che caos!","Nonostante avevamo prenotato arriviamo e troviamo il nostro tavolo occupato e abbiamo aspettato un'ora in piedi. Finalmente ci sediamo e mentre sta arrivando qualcosa da mangiare ci tolgono un tavolino per fare sedere altre persone affianco a noi. Gli spaghetti di mare erano brodosi e salati e il pesce meglio non parlarne proprio. I prezzi sono cari e a quelle cifre c'è molto di meglio da scegliere."
"ui_bubble_rating bubble_40","Una bella sorpresa.","Ci siamo capitati per caso proprio leggendo qualche recensione.Sono rimasto molto soddisfatto, atmosfera informale e frequentazione famigliare.Personale accogliente e menù molto vario.ACCOGLIENZA IMMEDIATA con palline di pizza fritta bollenti e patate fritre artigianali, antipasto con salmone marinato, gamberi al vino, frittura alici e ciuffetti, proseguito con cozze, vongole e telline col sughetto...un super piatto di scialatielli alla pescatora...vino della casa con la percoca....caffè e amaro...abbiamo speso una ventina circa!Meglio di così?"
"ui_bubble_rating bubble_50","Numeri 1 !!! Consigliato","Sono una cliente affezzionatissima di questo locale, ve lo consiglio si mangia da favola dal primo piatto alla pizza i titolari sono delle persone fantastiche e disponibili e i camerieri sono sempre pronti a soddisfare il servizio dei clienti e infine i pizzaioli sono fantastici la pizza migliore di Napoli la troverete alla Grotfa siete grandi numeri 1"
"ui_bubble_rating bubble_50","Senza parole","Ebbene si! devo ricredermi mi avevano parlato male di questo locale invece sono rimasto senza parole, iniziamo dal personale , educati, molto disponibili e attenti, sempre presenti ai tavoli con garbo ed educazione,La cucina è da 10 è lode uno spaghetto quadrato ai frutti di mare che parlava da solo,al termine del pranzo ho conosciuto il proprietario Franco persona umile e ripeto umile ed educata. Sicuramente ritornerò con piacere.Le pietanze genuine e fresche Complimenti"
"ui_bubble_rating bubble_50","si mangia benissimo","cibo ottimo, cottura perfetta, porzioni abbondanti,servizio impeccabile, complimenti, possano essere tutti come voi"
"ui_bubble_rating bubble_50","Eccellente... In famiglia","Sono stata questa sera in questo ristorante pizzeria... Tutto buonissimo... Personale cordiale e disponibile... Pietanze gustose e fatte con amore"
