"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Tradizione napoletana","Pranzo molto piacevole immersi nella tradizione napoletana. Primi piatti ottimi: spaghetti alle vongole e siti alla genovese. Purtroppo la frittura di gamberi e calamari era di dubbia freschezza. Tiramisù sublime! Il locale e il servizio lasciano un po' a desiderare, ma in compenso l'atmosfera generale è piacevole e folcloristica. "
"ui_bubble_rating bubble_40","laterale di via Toledo","Tripadvisor ci ha indicato questo locale con molteplici giudizi: proviamo.Locale piccolo, non bellissimo la proprietaria ci conduce di fronte sull'altro lato della via in altro piccolo ambiente, la signora è davvero gentile e ci consiglia un fritto di terra, abbondantissimo e uno di mare idem ma la quantità non è a discapito della qualità, anzi - mangiamo un'ottima pasta pomodori e melanzane ed una saporita salsiccia con i friarielli. Purtroppo era l'ultimo giorno, ci saremmo sicuramente tornati per assaggiare la loro cucina.In tutti i casi bravi"
"ui_bubble_rating bubble_10","Non soddisfatto","Siamo andati a cena in questo ristorante in 4 adulti su consiglio di chi lo frequenta.Ordiamo il vino della casa sfuso. Imbevibile. Lo facciamo presente e lo rimandiamo indietro. Ordiniamo una bottiglia. Il cameriere non fa non fa una piega.L'antipasto mozzarella e pomodori era una porzione misera. Nella pasta ai frutti di mare ( solo cozze e vongole...) erano presenti gusci di cozze. Immangiabile. Servizio impacciato con camerieri confusi nelle ordinazioni. Costo 30 euro a testa ( il vino che avevamo rimandato indietro non è stato addebitato). Devono migliorare. Non lo consiglio."
"ui_bubble_rating bubble_40","Serata napoletana alla Locanda","Pesce (cozze e vongole) molto fresco, locale semplice ma tipico ed accogliente. Da consigliare per un tuffo nella cucina partenopea."
"ui_bubble_rating bubble_30","Buono ma...","... nei quartieri spagnoli abbiamo mangiato meglio spendendo meno. Porzioni generose, buona anche la qualità. Gentile e accogliente la proprietaria. Il locale ha due sale staccate e anche dei tavoli esterni."
"ui_bubble_rating bubble_50","Eccellente qualità/prezzo","Scrivo per conto dei miei genitori che sono stati 3 giorni a Napoli e hanno trovato nella “Locanda dei Borboni” una certezza. La simpatia e l’efficienza di Rosario e la pastiera napoletana della madre ci hanno conquistato. Locale consigliato a tutti quelli che vogliono mangiare bene del pesce fresco e non spendere eccessivamente.Un abbraccio, famiglia Diodato "
"ui_bubble_rating bubble_40","IN GIRO PER SAPORI","Continuando il mio giro nella città più bella del mondo, alla ricerca dei sapori della tradizione, sono andato in questo ristorante, tutto napoletano, dall'arredo ai piatti che vi si servono.Ho assaggiato la genovese, ottima, ed un altro primo, anche quello molto buono, spaghetti alla Don Raffaè, conditi con alici, pinoli, pomodorini e tarallo sbriciolato.Invece di un secondo piatto abbiamo preso un antipasto misto, costituito da molteplici portate, così come illustrato nelle foto. E poi una porzione di baccalà fritto che non poteva mancare in un menù tradizionale e, per finire, cos'altro se non un babà?Servizio veloce, personale cordiale, locale simpaticamente arredato con elogio a Napoli ed alla sua storia.Unica nota stonata la mozzarella, assolutamente non all'altezza degli altri piatti, ma si può rimediare.Complimenti."
"ui_bubble_rating bubble_40","Un piacere!","Delizioso ristorantino ai Quartieri Spagnoli con un ottima cucina e un gentilissimo titolare.Le porzioni sono enormi, ma i prezzi accettabilissimi!"
"ui_bubble_rating bubble_50","Un S.Stefano superlativo!!!","È impossibile dire “non mi sento a casa!” Ottima accoglienza da parte dei titolari, persone affabili e simpaticissime! Il locale è una Chicca nei Quartieri Spagnoli.Il cibo è semplicemente una delizia per il palato, eccellente servizio ai tavoli..Insomma se hai fame e si vuole mangiare bene non si può non andare nella Locanda dei Borboni!! "
