"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Per grandi tavolate!","Abbiamo provato per la prima volta questo luogo alcune settimane fa...Devo dire che sebbene si trovi molto vicino al caos napoletano da l'aria di essere sito in zone di montagna...Tutto grazie al suo immenso spazio dedicato al parcheggio e alla location.Tanti ettari di verde che ne fanno da padrone!Locale interno molto grande, piuttosto caratteristico.Cibo davvero di prima scelta.Dagli affettati ai primi primi piatti finendo con la carne.Trofie con noci e funghi dal sapore davvero singolare.Paccheri con pomodorini di una bontà e semplicità unica con olio utilizzato di buona qualità.Carne di buona scelta.Patatine fritte croccanti e davvero ben realizzate.Servizio buono anche se il personale era un po' frettoloso.Nota abbastanza discutibile visto e considerato che non c'erano tante persone quella sera.Gentilissimo il proprietario che ci ha anche applicato uno sconto sul prezzo finale.Abbiamo mangiato a volontà e alla fine abbiamo pagato 20 euro a testa.Un prezzo davvero modico considerate le porzioni abbondanti che ci sono state servite.Consigliato al 100% per grandi tavolate! Conto di ritornarci. "
"ui_bubble_rating bubble_10","Sopravvalutato","Il locale si trova nella zona dei Camaldoli a Napoli. E' poco segnalato con cartelloni stradali. Dispone di un parcheggio all'aperto molto ampio e comodo. Vasta area all'aperto con giostrina, utilizzabile per i bambini nel periodo primaverile-estivo. Il complesso si sviluppa sulla base di una cantina del '700. Sala giochi per bambini creata con pannelli di compensato, accostata al locale. Locale poco luminoso. Antipasto costituito da ricottina dura, parmigianina mignon con zucchine che non mi è piaciuta, pasta cresciuta con verdure che non mi è piaciuta ed altro. Mezzi paccheri in quantità da dieta forzata, poco cotti e con un sughetto inconsistente buttato sopra. Carne di per sè di qualità sufficiente ma cotta malissimo, mezza cruda all'interno e bruciata nera all'esterno. Lista dei vini inesistente. Servizio lento e svogliato. Tutti i piatti sono tornati indietro quasi interi, nessuno ha mangiato. Non ci ritornerò."
"ui_bubble_rating bubble_40","Pranzo pre-natalizio","Pranzo con amici per stare insieme prima delle festività.Locale accogliente, pulito e ben organizzato. Spazi aperti molto estesi per eventi e giochi all'aperto, quindi location molto adatta ai bambini. Le pietanze sono ottime e gustose. La carne ottima e le cotture altrettanto. Di sicuro tornerò per pranzare o cenare con amici...situazione piacevole...lo consiglio"
"ui_bubble_rating bubble_30","Solo carne ok","Primi nella norma, antipasto della casa da migliorare molto, la carne merita la visita. Scarsa lista vini . Non credo di ritornarci ."
"ui_bubble_rating bubble_40","A tutta vitaaaa!!!!","È il posto ideale per andarci con amici e con famiglie numerose. Con l'enorme spazio verde a disposizione degli ospiti si può giocare, correre e divertirsi all'aria aperta in una bella domenica di Sole! L'organizzazione è impeccabile, il servizio veloce e cortese. Ottimi gli antipasti. Buoni i primi, irrinunciabile la grigliata ed i vini.Ma è l'allegria che si crea nello stare tutti insieme a giocare sul prato, che rende tutto speciale...ed ancora più buono il pranzo! Atmosfera calda ed accogliente all'interno.Buono anche il rapporto qualità prezzo. "
"ui_bubble_rating bubble_40","Domenica","Buona cucina, buona ospitalità, ideale per famiglie con spazio esterno ed interno per bambini più animazione e ampio parcheggio. Comodo per chi non vuole fare troppi km."
"ui_bubble_rating bubble_30","A due passi dal caos del centro citta","Con tenacia hanno saputo strappare all' incuria dell' uomo e al cemento qualche ettaro di vegetazione sulla collina dei camandoli, facendone una area antistress. Con questa missione un proprietario attento alle esigenze delle giovani famiglie e riuscito a riportare la cucina della tradizione dove materie prime a chilometro zero vengono con sapienza elaborate per ottenere pietanze che soddisfano i quattro sensi. Prezzo accettabile, bibite illimitate,buon vino, cortesia e simpatia."
"ui_bubble_rating bubble_50","Ottimo","Titolare molto gentile...menù fisso siamo andati di domenica... Locale molto carino e accogliente e caldo. Antipasto ottimo anche i primi e la carne.... Dolci top... Animazione perfetta la bimba si è divertita mancava il sole per poter usufruire dello spazio fuori molto bello"
"ui_bubble_rating bubble_50","Ottimo rapporto qualità prezzo","Siamo stati presso questo ristorante sabato a pranzo (03.11.18) . Eravamo otto adulti e cinque bambini; menù fisso sia per gli adulti che per i bambini, ottime le porzioni e buona la qualità delle diverse portate (antipasti, primo, grigliata di carne, dolci, amaro e caffè). "
"ui_bubble_rating bubble_50","bellissima serata in allegria","siamo stati in questo locale un sabato sera, eravamo diverse famiglie.La cena a menù fisso è stata buona con antipasti sfiziosi e un ottima grigliata di carne, per concludere con il dolce veramente buono. Poi il karaoke e l'animazione sono state la ciliegina sulla torta ... ci siamo veramente divertiti !! un posto che consiglio se si vuole passare una serata in allegria. prezzi ottimi per il servizio offerto. ci ritorneremo sicuramente."
"ui_bubble_rating bubble_50","Molto buono","Siamo stati lo scorso fine settimana per la festa di compleanno di un amico.Abbondanti gli antipasti, varie miniporzioni che comprendevano ricotta al forno, gateau di patate, zuppa di fagioli con crostini, tortino di zucchine, zeppole spiedino di affettati...Ottimi il primo, scialatielli con melanzane pomodorini e provola. Poi salsiccia (per nulla pesante) con patate fritte e rucola.Tutto ottimo!!!"
"ui_bubble_rating bubble_40","Domenica in compagnia ","Sono stato per la priva volta unitamente ad amici in qst agriturismo...premetto subito che c'è tantissimo spazio per i bambini e le animatrici sono molto disponibili. Il cibo è buono ma il servizio è molto lento,ma cmq lo consiglio per chi vuole passare una domenica tranquilla! "
"ui_bubble_rating bubble_20","Deludente","Personale giovane, poco ospitale. antipasto servito freddo e servito senza criterio .I primi piatti pesce spada e melanzane senza sapore , fusilli con salsiccia e funghi congelati .Il secondo dei bambini 4 patatine di numero con 3 piccolissimi straccetti di pollo . Andrebbe anche bene nel complesso se non ci fosse un menu fisso da 28 euro a testa"
"ui_bubble_rating bubble_30","Un buon posto","Il locale si trova sulla collina dei Camaldoli,ha un maneggio e dello spazio aperto con un pò di parco giochi per i bimbi. Il ristorante caratteristico,in stile rustico.Personale molto cordiale.Abbiamo pranzato di domenica con menù fisso. .antipasti e secondo buoni..primo un pò scotto..dolce medio basso.Punto positivo è che nel prezzo fisso di 28 euro erano compresi anche le bevande (cosa difficile da trovare).Abbiamo trovato davvero carina l'idea dell'animazione per bambini,che li ha tenuti occupati con allegria.In complesso una buona soluzione per una domenica all'aria aperta.Non eccelle ma ha buoni punti di partenza.Penso che se si presentasse l'occasione potrei tornarci."
"ui_bubble_rating bubble_40","Tanto spazio e buona carne","Buon ristorante in una cantina del 700.Esternamente è presente un maneggio e spazio verde con una struttura per far giocare i bambini.Prima dell ingresso un biliardino ed una altalena. Peccato manchi l animazione per i bimbi, sarebbe perfetto per lo spazio presente.Abbiamo scelto un menù fisso con antipasto molto buono (ricottina, bruschette, parmigiana, tortino zucchine, etc...), trofie con funghi e salsiccia ed una buona entrecote.Per i bimbi, menù dedicato...buona la cotoletta di pollo.Porzioni buone, ottima la carne.Servizio cordiale ed abbastanza celere. Prezzi nella media."
"ui_bubble_rating bubble_40","ottimo vino","Sono stato per un pranzo domenicale con la famiglia, devo dire cucina buona e vino ottimo, forse il prezzo leggermente più alto della concorrenza.Buona animazione per la bambina con tanto di giardino dotato di giochi, con una quota di 5 euro.Nel complesso buono e sicuramente da ritornarci."
"ui_bubble_rating bubble_50"," Ritornato.....Ottimo.....Consiglio","Sono veramente soddisfatto dell'ottima cucina che risalta i vecchi sapori di una volta con pasta di alta qualità e carne freschissima che si scioglie in bocca. Da non dimenticare la professionalità dei camerieri che cercano sempre di accontentare i clienti nelle loro esigenze.Un saluto e buon appetito a tutti."
"ui_bubble_rating bubble_40","Nuova fermata.....","Bella la location, cibo molto buono, unico neo il menù dal quale abbiamo chiesto l'agnello ma non c'era, abbiamo chiesto la birra alla spina ma non c'era, un suggerimento, non dare in visione agli ospiti un menù se poi non hai in cucina tutto quanto in esso contenuto.Al netto di tutto ci è piaciuto, ritorneremo."
"ui_bubble_rating bubble_10","Mamma mia che delusione","Ci siamo ritornati dopo tempo, le prime volte l' abbiamo trovato tutto ok ed eravamo stati fortunati ( pensavamo)ad aver trovato un posto bello dove si mangiava benissimo..Ritornandoci stasera ci siamo promessi di cancellare tutto quello di buono sul , chiamiamolo, ristorante,che ricordavamo!!! Ci avevano chiesto di prenotare il tavolo, nella telefonata preventiva, perke' avremmo potuto non trovare posto! Siamo entrati ed eravamo non da soli ma gli unici superstitiin tutta la sala ! Di tutto quello che era scritto sul sito nel menu' del giorno si era perso nella nebbia.. il pane affettato e il vino, buoni come al solito ..erano disponibili.ma per il resto si apettava la notizia di  chi l' ha visto!! Non ci torneremo mai piu',abbiamo mangiato i soliti , ma fatti male, antipasti poi gnocchi che non conoscevano le patate e penne al sugo colorate di rosso con una sostanza non meglio identificata!!! Abbiamo pagato per questo  40 euro...un FURTO###MEDITATE GENTE......MEDITATE"
"ui_bubble_rating bubble_40","Ottimo cibo, bella location","Ieri io e mia moglie abbiamo pranzato in questo locale davvero molto caratteristico. Si trova vicino alla collina dei Camaldoli, dalla quale si può apprezzare una bella vista e un bel panorama. Hanno un maneggio per cavalli e mi sono ripromesso di tornarci per fare una passeggiata a cavallo.Abbiamo ordinato à la carte però le proposte di primi, secondi e contorni erano identiche a quelle del menù fisso. Questo però non è stato un problema.Abbiamo quindi mangiato:- antipasto composto da prosciutto crudo, spech, pancetta al pepe, ciliegine di mozzarella, calzoncino fritto con ricotta, pizzelle di ciurilli, parmigiana di melenzane, gateau di patate e bruschette con zucchine;- Primo piatto: fusilli alla campagnola (salsiccia, rucola tritata e pomodorino);- Secondo: Tris di carne (salsiccia, tracchia e black angus);Per finire abbiamo preso un caffè. Abbiamo speso euro 25,00 a persona.Cibo ottimo, location davvero molto carina, personale di sala gentile e cortese. Avrebbero potuto mettere una sola scelta in più sia per il primo che per il secondo ma giusto per rendere ancor più perfetta la scelta.Ve lo consiglio caldamente. Io sicuramente ritornerò a mangiare da loro."
"ui_bubble_rating bubble_50","Perfettamente Perfetto","Cucina buona,tranquillità,qualità e cortesia,praticamente tutto PERFETTAMENTE PERFETTO.....ritorneremo"
"ui_bubble_rating bubble_40","Manca solo la ciliegina","Locale carino, per chi cerca pace e tranquillità, enorme parcheggio. Servizio attento e simpatico, materie prime di primo livello, esecuzione perfetta, insomma, si mangia veramente da dio. L'unico neo , la carta dei vini...mi sarebbe piaciuto maggior qualità e ricercatezza...ma d'altronde...nessuno è perfetto....alla prossima."
"ui_bubble_rating bubble_50","Eccellente ","Bellissima location per mangiare benissimo e in più assicurare divertimento all'aria aperta ai più piccoli.Ottimo rapporto qualità prezzo Personale gentile e disponibileCi ritorneremo!"
