"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","La pizza della campionessa","Sono andato in questa pizzeria sotto consiglio di alcuni amici Napoletani , la pizza è fantastica vera e genuina pizza napoletana ..L'impasto merita veramente in quanto leggerissimo e gustoso,il pomodorini colti alle falde del Vesuvio hanno reso unitamente alla bufala ,la mia pizza veramente la miglior pizza che io abbia mangiato nella mia vita....Personale gentilissimo e titolare pluricampionessa del mondo di pizza...Del resto parliamo di un patrimonio Unesco.....Bravissimaaaaa...consigliatissimo....a presto."
"ui_bubble_rating bubble_50","SPETTACOLARE","La mia amica ci ha portati qui a mangiare la pizza....posso dire solo che è DIVINA...La pizza più buona che ho mangiato <U+2764><U+FE0F>"
"ui_bubble_rating bubble_50","Pranzo in allegria","Sono stato da Teresa qualche giorno fa con amici piemontesi a pranzo. Abbiamo preso 2 pizze margherite (una con melenzane), una pasta alla siciliana, polpette fritte con scarole, salsiccia con contorno di friarielli e melenzane a funghetto. Tutto buonissimo! Caffè e camomille riscaldanti (ebbene sì!) per le ragazze infreddolite. Servizio perfetto. Colorato. Allegro. Conto davvero economico in rapporto a quanto mangiato. 5 stelle a Teresa che ti lascia ben più di un sorriso all'uscita dal locale e tanta voglia di ritornarci al più presto."
"ui_bubble_rating bubble_50","Teresa e le sue fantastiche pizze...","Alle spalle di piazza Borsa è possibile secondo me.mamgiare una delle pizze più buone di Napoli. Basta andare da Teresa o più precisamente da Le figlie di Iorio.Durante la settimana lo troverete aperto solo a pranzo ma venerdì e sabato anche la sera. Sarete accolti dalla simpatia di Teresa che vi farà sentire subito a casa.A parte la simpatia,le pizze sono squisite sia le classiche che quelle speciali.Obbligatorio provare la femn e fritt....Tra le mie preferite la montanara fritta al forno... una delle migliori mai mangiate.È consigliato prenotare."
"ui_bubble_rating bubble_50","la miglior pizza fritta.","Le prime 5 stelle sono tutte per la simpaticissima Teresa. Altre 5 per la sua fantastica pizza fritta e al forno. Poi altre 5 per tutto il resto. Posto da provare, con tutte le buone recensioni possibili, non si riesce mai a rendere l'idea a voi che entrerete per la prima volta in questo locale. Do 15 stelle."
"ui_bubble_rating bubble_50","Pizza fritta mondiale","Oggi a pranzo da Teresa Iorio, la campionessa del mondo di pizza fritta e pixza margherita. Locale accogliente, pulitissimo, personale tutto femminile gentili, con divise immacolate e capelli raccolti. Belle, femmine e cortesi, poi c'è Teresa che vi accoglierà e seguirà durante il soggiorno nel locale.Ampia scelta di pizze classiche della tradizione e gourmet della innovazione. Inoltre ampia varietà di sfizioserie da asporto come tranci di pizza, frittate di maccheroni, crocchette e zeppoline. Insomma tutte le golosità della tradizione napoletana.Locale sito nella zona più centrale di Napoli dietro piazza Bovio, per noi della BorsaGrazie ancora di tutto."
"ui_bubble_rating bubble_50","Pizza pera buonissima","Seconda volta in questa pizzeria a Napoli, pizza superlativa per chi ama L accostamento frutta-formaggi in quanto la pizza “pera” è condita con provola,gorgonzola ,pere e noci........buonissimacomplimenti alla signora Teresa "
"ui_bubble_rating bubble_40","Da provare assolutamente ","È la seconda volta che mangio la pizza qui e a parte la simpatia e la solarità sia della proprietaria che della nipote ,la qualità dell’impasto e degli ingredienti utilizzati sono veramente alto livello...La consiglio vivamente.Complimenti Teresa "
"ui_bubble_rating bubble_40","La cucina napoletana verace","Locale piccolo ma piacevole.Ci sono capitato con alcuni amici a cena.Di sera fanno solo pizze ma vi posso garantire che ho mangiato la migliore pizza fritta napoletana,ottima anche la pizza con pere e formaggio cotta al forno.Buonissimo il dessert assolutamente da provare.Brava Teresa"
