"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Da non perdere","Era la prima volta ed è stata davvero una bellissima esperienza. Iniziando dall'accoglienza e dalla cortesia e disponibilità del personale. La cena è stata davvero molto buona con piatti molto vicini alla nostra tradizione ma ben rivisitati senza stravolgere. Buono anche il rapporto qualità prezzo, torneremo sicuramente."
"ui_bubble_rating bubble_50","Da non perdere!","Tutto ottimo dall'antipasto al dolce e sia i piatti di pesce sia quelli di carne, bel locale, buon servizio, lo consiglio vivamente!"
"ui_bubble_rating bubble_40","Ambiente curato e cibo curato","Un bel ristorante in zona non di passaggio turistico anche se non lontano da Via Riviera di Chiaia, curato l'arredo e la presentazione dei piatti, buono il cibo, il personale efficiente ed educato. Un po' diverso dai ristoranti per turistici con piatti spesso dozzinali. Peccato averlo scoperto l'ultima sera del nostro soggiorno a Napoli."
"ui_bubble_rating bubble_50","Fantastica cena romantica ","Sono tornato in questo locale, centrale, ma non nel caos cittadino. Ho parcheggiato con semplicità. Sono stato accolto con gentilezza e professionalità. Ho gustato pietanze di carne e di pesce,Servite ed impiattate in maniera ineccepibile. Il tocco finale e’ stato il prezzo. Decisamente contenuto rispetto alla qualità."
"ui_bubble_rating bubble_40","Molto bene!","Qualche sera fa, durante il nostro soggiorno a Napoli, ci siamo recate in questo ristorante, attirate dalle numerose positive recensioni presenti. Devo dire che la cena si è rivelata di livello superiore alle nostre aspettative: gradevolissime, sia per il palato che nella presentazione dei piatti, tutte le portate, a me piace base di pesce freschissimo( ma il menu offre anche carne) e di ingredienti di ottima qualità, abbinati tra loro in modo tipicamente mediterraneo ma anche creativo e particolare. Non abbiamo provato i dessert, saziate dai piatti precedenti e da un’ottima focaccia fatta in casa, ma ritengo che fossero all’altezza del menu, ascoltando anche il commento in proposito fatto da clienti abituali del ristorante, seduti di fianco al nostro tavolo.A completare la positiva esperienza, personale di sala gentile e cordiale, location raffinata e tranquilla, tempi d’attesa perfetti. La posizione del ristorante è in una strada secondaria vicino alla zona Mergellina, volutamente e, a mio parere, fortunatamente al di fuori dal circuito dei ristoranti turistici di Napoli...in conclusione, esperienza da ripetere in un prossimo ritorno in questa bellissima e affollatissima città!"
"ui_bubble_rating bubble_40","Scoperta interessante..","Scelto per puro caso..è stato davvero un’ottima scoperta..locale di gusto, accogliente, personale preparato ed estremamente garbato, cibo di ottima qualità e ben impiattato..nulla lasciato al caso..addirittura zollette di zucchero per il caffè in tema natalizio servite nella tazzina direttamente dal personale di sala..Idea ottima sia per una cena di coppia che per una rimpatriata tra amici che hanno voglia di mangiare bene e chiacchierare serenamente..Importantissima anche la collocazione geografica..a ridosso del centro (chiaja) ma con facile parcheggio..Prezzo in media con gli standard dei ristoranti improntati su una cucina ricercata e particolare.."
"ui_bubble_rating bubble_50","Un piacevole ritorno","In questa recensione piuttosto che esordire con gli apprezzamenti sulla qualità della cucina che si conferma sempre eccellente. Vorrei soffermarmi sulla squisitezza del personale, sempre pronto ad un accorto suggerimento sempre disponibile, sempre cortese ma mai invadente. Con personale del genere la serata trascorre serena e si apprezza certamente di più la splendida cucina."
"ui_bubble_rating bubble_40","Piacevole serata!","Essendoci andata per cena di lavoro, ho voluto provarlo in due! L'ambiente è molto curato e di tendenza. Il servizio garbato e attento. La cucina senz'altro ricercata con piatti rivisitati ma gustosi, caratterizzati da una spiccata attenzione alla scoperta di nuovi abbinamenti, in verità sempre di eccellente sapore. Un cenno merita la sfera di cioccolato, di cui non voglio svelare il segreto. Lista dei vini di livello. Prezzo nella media per il prodotto di qualità offerto.Sicuramente è nella lista dei ristoranti dove ritornare."
"ui_bubble_rating bubble_50","Una certezza","Siamo lontani dalle rotte turistiche, qui ci devi arrivare apposta e lo devi sapere prima quello che ci troverai. Ci troverai una accoglienza impeccabile, con un personale di sala di professionalità rara per la nostra città, ci troverai una cucina mai banale, mai assaggiata altrove. Grande attenzione alle materie prime, dal pesce, dove dominano il ricco antipasto di crudi, il tortino di zucchine, calamaro e provola affumicata, invenzione e accostamenti geniali, il sandwich di triglia... I primi non sono da meno, cosi come non resta deluso chi non è amante del pesce. La tradizione c'è ma la rielaborazione e la ricerca vi si aggiungono. Il personale in cucina, intravisto attraverso gli oblò, si muove in uno spazio piccolo ma ben organizzato, sorprendente l'abilità del giovanissimo chef e della sua squadra. Torno ogni volta che posso, o che devo organizzare qualche evento per lavoro, e non me ne pento mai."
"ui_bubble_rating bubble_50","Si torna sempre dove si è stati bene","Accoglienza calda come quando torni a casa dopo un lungo viaggio ma sempre elegante e con il giusto rispetto per un cliente. Cibo di ottima qualità, innamorato della fettucina che rende pieno omaggio al gambero e delizioso il croccante all'amarena. Non vedo l'ora di tornare."
"ui_bubble_rating bubble_50","Eccellente","Sono stata a cena con un'amica in questo moderno e raffinato ristorante,situato in una tranquilla zona di Napoli.Molto piacevole l'accoglienza,accomodati al tavolo ci hanno offerto l'aperitivo.Il menù propone una cucina davvero innovativa,ma fedele alla tradizione (ottimi i crudi,gustoso il polpo affumicato,con presentazione ad effetto,sublime il tonno in crosta di arachidi,squisito il flan al pistacchio!).Servizio attento,professionale e sempre disponibile.Cantina dei vini molto ben fornita.Prezzo più che adeguato,per un'esperienza senza eguali,da ripetere e consigliare!"
"ui_bubble_rating bubble_50","Perfetto","Cena squisita ottimi gli antipasti specie il polipo con patate , con cucina ricercata e di qualita buono amche il servizo ,ci tornerò presto"
"ui_bubble_rating bubble_50","Bellissimo locale","Personale molto attento e cucina divina ,abbiamo mangiato benissimo . Consiglio ,tra gli antipasti,il polpo e la sfera di baccalà. Ottimo,poi,il tonno in crosta di arachidi e il salmone al miso. Torneremo al più presto !"
"ui_bubble_rating bubble_50","Ottima cucina","Sono ritornata per la seconda volta in questo bellissimo ristorante. A distanza di pochi mesi ho potuto riconfermare l'eccellenza della loro cucina. Tonno in crosta di arachidi con insalatina e polpo alle due cotture su crema di patate indimenticabili! Tornerò di sicuro."
"ui_bubble_rating bubble_30","Non proprio all’altezza delle aspettative...","Siamo stati di recente, una domenica di novembre, ma forse più per scelte nostre non proprio azzeccate, non posso dire di aver mangiato memorabilmente, a partire dal sandwich di triglia, “asciiiuuutto” come direbbe Iginio Massari imitando Fabio De Luigi, polpette di Baccalà in tre declinazioni così così, paccheri un po’ anonimi e spaghettoni discreti. Insomma alti e bassi, anzi medi e bassi, dolce discreto e volendo bere “bollicine” e andare sul sicuro in mancanza di solide alternative, ci siamo fidati solo dello Champagne. Peccato! Ma viste le nostre precedenti esperienze, accorderemo una seconda occasione, una giornata anonima puó capitare a tutti..."
"ui_bubble_rating bubble_30","Mi aspettavo di piu","Posto bello certamente personale qualificato ma prezzo è qualità non vanno a braccetto, prezzi troppo alti"
"ui_bubble_rating bubble_40","Merita","Molto buono. Effetto scenico bello. Tutto ben tenuto ed elegante. Tavoli ben collocati. Bagni puliti. La cucina è innovativa su materie prime di ottima qualità. Alcune pietanze da applauso!Dolci non entusiasmanti.Vini al calice con troppa poca scelta sia di vitigni che di case vinicole.Prezzi equi.Servizio attento. Troppo attento. Neanche entri e partono all’attacco con un flûte di benvenuto e una pallina fritta. Aspettate!!! Io mi lavo le mani prima di mangiare. Nel complesso, comunque, molto positivo. Ci tornerò e lo consiglio."
"ui_bubble_rating bubble_50","Great, perfect if you look for sophistication!","The area is quite and set apart from touristic routes but the restaurant is very elegant and comfortable. Ideal if you are looking for sophisticated location.The cuisine melts Neapolitan tradition and innovation; plating is amazing. We surely suggest it, fish plates are the best!La zona è tranquilla e un po’ fuori dai soliti giri turistici ma il ristorante è molto elegante e acccogliente. Ideale se cerchi un posto raffinato.La cucina unisce tradizione napoletana ed innovazione; l’impiattamento è bellissimo. Sicuramente raccomandato, meglio se per i piatti a base di pesce."
"ui_bubble_rating bubble_40","ottima cena ","Ottima cena con amici con uno sconto con the fork abbiamo preso piatti ricercati e particolari, il piatto con il tonno era molto fresco e delicato. La location semplice ed elegante in un posto un po' nascosto di Napoli. Consigliato per chi vuole una cena tranquilla lontano dal caos con pietanze un po' fuori dal comune."
"ui_bubble_rating bubble_50","Ottimo !!!! Speciale !!!!","Locale in posizione centralissima... ma comunque in posizione non di passaggio pedonale quindi con giusta privacy.Ambiente molto curato.Servizio impeccabile.Menù carne e pesce. Piatti molto curati, con ri italiani degni di uno chef che cerca di rendere i piatti originali con accostamenti di sapori ottimi.Complimenti. Consigliatissimo !!!!!"
"ui_bubble_rating bubble_50","Eccellente","Ho prenotato per un pranzo mamma e figlia, e le aspettative sono state superate... rapporto qualità prezzo eccellente, cibo ottimo, personale accogliente... sicuramente da ripetere e consigliato a tutti!!"
"ui_bubble_rating bubble_40","Consigliato! ","Zona tranquilla anche se un po' isolata. Locale dallo stile moderno ed insolito. Piatti belli e buoni, con materia prima soddisfacente. Piccola pecca la lista dei vini (4 nomi stampati su un foglio svolazzante) ed il servizio non esattamente ineccepibile. Rapporto qualità-prezzo eccellente. Ci tornerò assolutamente "
"ui_bubble_rating bubble_40","Elegante e moderno ","Locale moderno, sito in una zona residenziale lontano dal caos, molto accogliente e intimo; servizio super cortese e attento. Le proposte culinarie si basano su accostamenti particolari sia di carne che di pesce: buoni i crudi, non mi ha entusiasmato invece il primo con broccoli e gamberi, ma ottimo il tonno in crosta. Lo consiglio per una cena “diversa” che non sia il solito pub/pizzeria. Prezzi medio-alti ma avendo prenotato con the fork (30% di sconto regolarmente applicato) la spesa si è ridotta a 50 euro a persona. La votazione di 4 va sicuramente in primis al locale e al servizio, da riprovare in futuro per qualche altra portata. "
"ui_bubble_rating bubble_50","Elegante e discreto","Cena con famiglia, attraverso the fork, con un ottimo risultato. Cibo di buona qualità e offerta interessante con un menù atipico e ben servito. Personale competente, discreto e gentile. Conto in linea con un ristorante quasi gourmet con uno sconto eccellente grazie a the fork. Torneremo certamente. "
