"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo ristorante! ","Cercavamo un locale tipico e non turistico dove sentirci un po' nella vera Napoli e lo abbiamo trovato! Il proprietario molto molto gentile e attento al cliente ma anche il resto del personale tutti molto presenti in modo non pressante e anzi molto piacevole. Abbiamo ordinato senza vedere il menù né i prezzi fidandoci delle recensioni precedenti e abbiamo addirittura osato prendere taglierini all'astice! Ottimi! Prima diversi antipastini consigliati dal proprietario, tutti buonissimi.. Abbiamo assaggiato un vino delizioso a 10 euro la bottiglia che li valeva tutti e di più. Non siamo riusciti a prendere altro perché le porzioni erano abbondanti e nutrienti, e il conto è stato onestissimo! Lo consigliamo di cuore, pochi passi in più a Chiaia valgono decisamente la pena"
"ui_bubble_rating bubble_40","Si mangia benissimo ma...","Il cibo è ottimo, la cucina è sublime ma...sarebbe ora che il signor Nunzio lasciasse lavorare un po' di piu' i suoi collaboratori e si stressasse di meno a correre da un tavolo all'altro per fare tutto lui :-) I ragazzi sono piu' che in grado di prendere le ordinazioni, di sorridere ai clienti e di fare il conto finale. Caro Nunzio, non rinunci a passare dai tavoli per conversare con i clienti, ma con calma. Non è assolutamente pensabile che in una sera di sabato con il ristorante pieno debba essere lei ad occuparsi di tutto, oltretutto a discapito di clienti che spesso devono aspettare piu' del necessario senza nemmeno una bruschetta o un frittellina durante l'attesa ( che ne dice di questa idea ? ) - Certo l'elenco delle pietanze dettato da lei è simpatico, ma siamo nel 2018 e un menu anche scritto a penna un'ora prima dell'apertura è indispensabile; inoltre le farebbe guadagnare molto tempo. Lei è una persona molto simpatica ed in gamba, ma la sua squadra puo' supportarla molto piu' di quando creda ( e non solo sopportarla ) - cominci a lasciarli fare anche da soli, tanto sono li, e lei provi a respirare un po'...il tempo passa per tutti; la grandezza di un imprenditore è anche dare spazio a chi gli sta intorno, e mi raccomando non li spii, guardi i risultati, non il modo di fare. Da soli non andiamo da nessuna parte, ah si...solo da una, ma poi non si puo' tornare ;-) un cordiale saluto e complimenti per la qualità dei cibi...a proposito, ho scoperto il segreto del tiramisu', ma non lo dico a nessuno ;-)"
"ui_bubble_rating bubble_40","Domenica top ","Osteria zona Chiaia, personale molto gentile. Cibo ottimo. Buoni i fritti e i primi. Classica cucina napoletana. Come a casa della nonna. Prezzi molto buoni. Lo consiglio vivamente "
"ui_bubble_rating bubble_50","Cena di compleanno","Ho festeggiato il mio compleanno cenando in questo locale, che è uno dei miei preferiti per l’atmosfera familiare: eravamo in quindici. Servizio familiare, ma ineccepibile. Notevole la delicatezza del crocchè e della frittatina e la croccantezza del fiore di zucca ripieno di ricotta: non sono ancora riuscito a carpire il segreto della cuoca, la signora Annalisa (la moglie di Nunzio): difficile farle così buona. Non avevo mai assaggiato, invece, la pasta e ceci con porcini e tartufo, un piatto super. Come sempre da manuale la genovese. La parmigiana e le verdurine passate in padella come sempre da manuale in quel locale. Oltre alla bontà e alla qualità cibi, di quel locale apprezzo la gentilezza e l’attenzione al cliente del personale. Non abbiamo assaggiato i dolci in quanto ho provveduto io a portare le graffette alla Nutella di Fabiolotto e la torta Rocher di Bellavia, accompagnata da un ottimo Brachetto d’Aqui Duchessa Lia. Rapporto qualità/prezzo alto! Ve lo consiglio caldamente."
"ui_bubble_rating bubble_40","Ottima trattoria","Il locale e’ un po’ vintage, ma la cucina ottima.Leggeri gli antipasti fritti, ottimi sia i primi che i dolci.Non abbiamo ordinato i secondi ma anche il fritto di pesce che abbiamo visto passare sembrava delizioso.Sicuramente da consigliare per una cena tipica, anche per il buon rapporto qualità/costo."
"ui_bubble_rating bubble_30","Trattoria alla mano","Nunzio, oste vecchia maniera, ti porta in tavola quello che la cucina ha preparato quel giorno. Nulla di più e nulla di meno. Quindi se un piatto c’è, vuol dire che è fresco. Nel menù non possono mancare i grandi classici della tradizione napoletana: pasta pagare e provola, ragù e pescato del giorno. Dolci fatti in casa ottimi e fritture come antipasto davvero saporite. Il tutto in un locale che sembra davvero la camera da pranzo di casa. Molto bello."
"ui_bubble_rating bubble_40","Buon pranzo","La cucina è semplice e di buona qualità io penso che le specialità siano nelle paste con i legumi che sono semplicemente fantastiche"
"ui_bubble_rating bubble_50","Osteria familiare","In occasione del nostro soggiorno in questa splendida città' abbiamo cenato un paio di volte in questa Osteria. Ambiente semplice, pulito e confortevole. Ottima cucina con pietanze dai sapori di una volta e preparati con cura. Cortesia e disponibilita'.Ottimo rapporto qualità' prezzo."
"ui_bubble_rating bubble_50","Cucina Napoletana "," Sono un frequentatore abituale della trattoria, che dire la cuoca e Annalisa che è la moglie di Nunzio i proprietario e in cucina non si batte, ogni giorno ci delizia con una varietà di piatti molto molto buoni cucinati veramente ad un ottimo livello cottura perfetta sapori napoletani e la cosa bella sembra di stare a casa.Grazie Nunzio è un ringraziamento particolare ad Annalisa che mi fa mangiare meravigliosamente bene."
