"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Economico....","Sicuramente se si vuol mangiare spendendo poco è il posto giusto. Cibi in linea con i prezzi.Cucina iperunta e per pance forti. Adatta a studenti fuorisede e muratori. "
"ui_bubble_rating bubble_50","Semplicemente casa","Che posso dire?non posso che darvi 5 stelle e se potessi ve ne darei di più.Ogni volta mi trovo al centro storico,mangi e bevi è la mia tappa fissa,quando sono in questa trattoria mi sento a casa,anche se si siedono accanto a me persone che non conosco,non ci faccio nemmeno caso.Il cibo e abbondante e freschissimo,ma il piatto forte e Sua Maestà pasta e patate..andate e non ve ne pentirete"
"ui_bubble_rating bubble_50","Pasti veloci e buonissimi","Rapporto qualità prezzo ottima. Personale gentile e simpatico. Piatti ottimi della tradizione napoletana. Consigliato per pasti veloci. Servizio rapido ed efficiente"
"ui_bubble_rating bubble_40","Nella confusione organizzativa si mangia molto bene","Consigliatami da un napoletano, ho voluto provare questa trattoria. Non conoscendo le dinamiche organizzative del locale all'inizio non è stato facile capire come funzionava. Essendo piccola la trattoria, si pranza nello stesso tavolo con altre persone. Non ci si è abituati a queato ma la cosa alla fine è carina e divertente. Si mangia davvero bene e la quantità dei piatti è abbondante. Il servizio è veloce e i prezzi son davvero molto bassi. Consigliatissimo."
"ui_bubble_rating bubble_50","tutto buono e abbondante","Sono andato ieri con mio figlio a pranzo locale formato da una sala grande e tavoli dove si siedono anche persone sconosciute.Siamo arrivati alle 15 e purtroppo i primi piatti erano esauriti,avrei volentieri mangiato rigatoni alla grecia ceh dall aspetto di piatti ordimati da alltri commensali erano ottimi.comunque abbiamo preso salciccia con patate (abbondanti)e una porzione di provola arrosto con 1 litro d acquaa. ci devo ritornare .prezzi al di sotto della media"
"ui_bubble_rating bubble_40","trattoria con piatti tipici napoletani per un pranzo informale","Molto spesso pranzo in questo localino frequentato da professionisti della zona, studenti e turisti. Affollatissimo nelle ore di punta, conviene andare un po' prima della chiusura degli uffici, offre un menu giornaliero tipicamnete napoletano. Tante tentazioni ma anche minestre della tradizione, fritti e contorni buoni, porzioni abbondanti, personale sbrigativo ma veramente cordiale, si divide il tavolo con altri ospiti, tanta confusione e rumore ma si esce felici, veramente economico"
"ui_bubble_rating bubble_50","Tutto buono","Tutto buono, piatti semplici, abbondanti e ottimi. Abbiamo preso gnocchi alla Sorrentina davvero buoni, e un paio di secondi. Tutto fresco e in meno di 10 min siamo stati serviti. Personale veloce e gentile. Lo consiglio vivamente!"
"ui_bubble_rating bubble_40","Da approfondire","Cortesia e simpatia, piatti semplici ma discreti: un cuoppo con melenzane indorate e fritte buono ma forse troppo arricchito di olio, fusilli con pomodoro da leccarsi le dita, una fritturina di pesce leggera e un dolce alla crema e panna ben fatto. Prezzi popolari"
"ui_bubble_rating bubble_40","Pranzo informale","Pranzo veloce con piatti della tradizione napoletana. Servizio rapido ed efficiente, prezzi davvero al di sotto della media. Personale molto disponibile, ci torneremo sicuramente!"
"ui_bubble_rating bubble_50","Qualità, cortesia e prezzo!","La prima volta che ci siamo recati a mangiare con un gruppo di amici al Mangi e Bevi è stata una casualità, solo perchè era a meno di 100 metri dal nostro B&B. E' stata una vera sorpresa, non avremmo mai immaginato di trovare tanta cordialità verso degli sconosciuti (per di più settentrionali), cortesia, pulizia ma sopratutto la qualità del cibo. Nel corso della settimana che è durata la nostra vacanza siamo tornati almeno altre tre volte, purtroppo il ristorante apre solo dal lunedì al venerdì e solo a mezzogiorno, altrimenti saremmo andati praticamente sempre lì. Abbiamo assaggiato di tutto, primi squisiti, pesce freschissimo, carne tenera e buon vino.Se ci andrete non dimenticate di assaggiare le loro crocchette di patate, insuperabili. Alla fine resterete sconvolti dal conto veramente basso, pensate come se non bastasse, che a fine pasto fanno arrivare il caffè da uno dei posti più rinomati di Napoli, il caffè Mexico che si trova giusto dietro l'angolo, credetemi un caffè così non lo troverete da nessun altra parte."
"ui_bubble_rating bubble_40","PECCATO NON POTERSI TRATTENERE","Tutto ottimo, niente da dire su qualità del cibo e i prezzi che sono molto contenuti. Devi però mangiare e lasciare presto il posto a nuovi avventori. Il personale è gentilissimo ma dopo l ultimo boccone ti mette in mano il conto e accosta le sedie. PECCATO!"
"ui_bubble_rating bubble_50","fantastico ","tutto molto casareccio e stile famiglia da farti sentire proprio a casa..piatti molto buoni fatti con gusto e con il calore della classica cucina della famiglia napoletana..prezzi da provare per credere..sono stato benissimograzie"
"ui_bubble_rating bubble_50","unici","è stata una scoperta fantastica, locale tipico napoletano con cibo di prima qualità, genuino e abbondante! il menu è ricco di tradizione napoletana frequentato da professionisti che lavorano in zona ma anche gente comune e turisti, l'avessi sotto casa ci andrei ogni giorno! pulizia e personale eccellente, sono veloci nel servire e disponibili al massimo. La cosa veramente carina è che, essendo il locale non molto grande, se c'è posto in un tavolo con altre persone ti siedi li' vicino a loro...un modo per socializzare con tanta bella gente. Complimenti davvero a tutto lo staff. Ritornerò!"
"ui_bubble_rating bubble_50","Ottimo","Semplicità, qualità e servizio non posso che dire ECCELLENTE. Piatti ottimi gustosi è velocissimi nel servizio "
"ui_bubble_rating bubble_50","numeri uno","eccellentegrande qualita' e prezzi bassi lo consigliuo a tutti provare per credere qualita' e cucina napoletana"
"ui_bubble_rating bubble_50","Ottimo","Tappa fissa quando si va a Napoli. Menù con molta scelta, diverso ogni giorno. Prezzi molto bassi e allo stesso tempo buona qualità dei prodotti. Da provare l'hamburger con provola e bacon, le polpette ripiene e la julienne di ortaggi."
"ui_bubble_rating bubble_40","Da rifare","Pranzo con amici veloce e gustoso. L’atmosfera è genuina e semplice e la cucina tradizionale, tutto davvero saporito. I prezzi sono bassissimi.Consigliato! "
"ui_bubble_rating bubble_40","Genuino","Locale senza pretese con cucina espressa, ma fatta con amore e tradizione. Personale gentilissimo e menù molto invitante."
"ui_bubble_rating bubble_50","Un piccolo assaggio di Napoli e della sua ospitalità. Pochi fronzoli, cibo delizioso!","Inizio questa recensione ringraziando anzitutto i miei commensali Marzio, Pasqualino, Mimmo e Peppe conosciuti al Mangi e Bevi.E sì, questo è un locale dove condividerete il tavolo (normalmente da 4) assieme a dei perfetti sconosciuti, con cui potrete sia condividere un pasto veloce sia scambiarvi utili informazioni su Napoli e dintorni. Non aspettatevi pertanto di trovare la privacy, ma questo luogo è fatto per regalare ciò che offre: genuinità e convivialità.Andando al sodo:-Il locale è semplice, forse un pò piccolo e stretto;-Il servizio è preciso e rapido, con i camerieri pronti ad elencarvi i piatti del giorno nonché darvi dei suggerimenti, se servisse. Senza molti fronzoli ma comunque positivo.-Il cibo è di buona qualità e molto saporito, mi ha ricordato la cucina di mia madre, uil che è tutto dire. Ho ordinato una calamarata alla bolognese (mi pare si chiamasse così), una porzione di friarielli (buoni ma un pò troppo piccanti e forse un pò aciduli) e una porzione di polpette che ha rappresentato una vera delizia tra il sapore della carne, delle spezie e del sugo di pomodoro.-Il conto mi ha lasciato senza parole, a distanza di giorni sono ancora incredulo di aver pagato per un primo, un secondo, un contorno e il coperto (comprensivo di pane) solo 8 EURO. In conclusione, locale consigliato a chiunque, soprattutto a giovani in ricerca di una cucina semplice, gustosa e senza troppe pretese da nouvelle cuisine. Un grazie al proprietario Luigi per la sua onestà e a lui và il mio augurio per mantenere sempre i prezzi accessibili con un cibo di buona qualità.Stefano"
"ui_bubble_rating bubble_50","Sapore (sano e squisito) di casa","Porterei qui a lezione di umiltà tanti chef stellati e non. Ecco a voi la semplicità, ecco a voi il sapore antico della cucina tradizionale napoletana, ecco a voi il rapporto qualità/prezzo imbattibile! Il resto, se si è in grado e si ha lo spirito giusto lo si apprezza (sedersi a caso con gli altri, il rumore, la...velocità del servizio), altrimenti meglio andare altrove.Consigliatissimo"
"ui_bubble_rating bubble_50","Come sentirsi a casa","Altissima qualità a prezzi bassi! L’accoglienza di Giggino e di tutto il suo staff è straordinaria, tanto quanto la sua cucina. I piatti gustosissimi rispecchiano a tutto tondo la vera cucina napoletana, ogni pietanza è una chicca, dai legumi alla pasta, dalle polpette alla parmigiana. Fermarsi a pranzo in questo posto è sempre come pranzare in famiglia, un vero piacere! 10+"
"ui_bubble_rating bubble_30","rustico ma buono!","E' una trattoria un po' spartana, dall'arredamento casalingo. Servono i piatti tipici napoletani uguali a come li farebbe la nonna. Servizio veloce e prezzi convenienti !"
"ui_bubble_rating bubble_50","Ottimo e lo consiglio","Nonostante il locale sia piccolino ci si siede dove capita anche al tavolo dove ci sono altre persone. Molto alla mano con piatti tipici campani ma anche altro. Menu del giorno con diverse pietanze disponibili. Prezzi molto abbordabili dove con 10 euro primo secondo contorno e bevanda sono compresi. Un bel posto caratteristico molto pulito e sempre pieno di gente. Aperto solo a pranzo sino alle 16"
"ui_bubble_rating bubble_50","Unico !!!","Mi reco spesso in questo splendido posto. Qualità dei piatti altissima, cucina tradizionale doc, cortesia e simpatia dello staff, rapporto qualità prezzo meraviglioso. Una vera gemma del centro storico, unico ed insostituibile !!!"
"ui_bubble_rating bubble_40","Mangi e bevi....se ti siedi!!!","Trattoria simpatica tutto in velocità, mentre aspetti scrivi quello che vuoi ordinare.Ti siedi al tavolo con altri, magari socializzi.Cucina casalinga, prezzi bassi.A me piace."
"ui_bubble_rating bubble_40","Posto delizioso","Trattoria senza pretese, ma ottima cucina, strepitoso rapporto qualità prezzo, grande cortesia. Adatto per una velocissima pausa pranzo, perché bisogna lasciare il tavolo in fretta, per la tanta gente in attesa, studenti e impiegati. "
"ui_bubble_rating bubble_50","La vera trattoria Napoletana","Frequento quasi quotidianamente questa verace trattoria napoletana per motivi di lavoro. Il personale è molto affabile, il menù molto variegato e con pietanze napoletane e non. Il rapporto qualità-prezzo è semplicemente ottimo.Vi capiterà di sedere al tavolo con altre persone e di essere serviti in maniera veloce.Se siete in zona non mancateci"
"ui_bubble_rating bubble_50","Ottimo","Consigliati ottimamente. Aperto solo a mezzogiorno feriali. Bella atmosfera di convivialità, cibo genuino e prezzi imbattibili. Grande atmosfera, ci ritornerò senz'altro."
"ui_bubble_rating bubble_50","Più che ottimo","È una osteria per questo non bisogna pretendere troppo. Il cibo è buono, i prezzi bassi. Locale caotico ma caratteristico."
