"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ormai una certezza!!!","Ho già recensito questa gelateria il 24 luglio 2018 e ribadisco che è la migliore gelateria di Napoli. Sono tornato a fine dicembre a Napoli e volevo far provare alla mia famiglia il loro gelato e come immaginavo sono rimasti tutti contenti. Il gelato un po' pesante ma buonissimo!! Volevo mangiare il gusto Baba' ma la commessa mi ha detto che i gusti vanno a periodi perciò ho preso gusto cioccolato al rum e cremino salato (credo si chiamasse così). Per il resto, gentilezza e cordialità ottime!"
"ui_bubble_rating bubble_40","Un gelato dop","Provato il gelato alla mela annurca così come alle mandorle. Valorizzato il territorio con i prodotti di eccellenza. Gustoso e genuino "
"ui_bubble_rating bubble_10"," ANTIPATIA BIOLOGICA ","Personale antipatico e poco accogliente per aver chi sto un bicchiere d'acqua dopo aver comprato il gelato."
"ui_bubble_rating bubble_50","Uno dei migliori gelati della mia vita","Dove si mangia bene a Napoli c'è sempre da fare la fila. Qui tornerò a farla sicuramente!Il gelato è fresco ed incredibilmente cremoso, il cono croccante e fragrante è composto da parecchi strati.Non ci ho fatto mettere sopra la panna...e me ne sono pentito!Assolutamente da provare."
"ui_bubble_rating bubble_50","Gelato tra i più buoni mai mangiati ","Gelato 100% naturale veramente tra i più buoni mai mangiati! Provato gusto arachidi e mandorle, mannella rock, pistacchio e nutella, tutti buonissimi! Il cono da due gusti viene 2,50€ ed è enorme, e la cialda è speciale! Per il gelato a Napoli consiglio assolutamente questo posto!"
"ui_bubble_rating bubble_40","Che Gelato !","A passeggio per Napoli ci siamo fermati a prendere un gelato da Mennella: fior di panna e cioccolato fondente...molto molto buono! "
"ui_bubble_rating bubble_10","Il peggior gelato mai mangiato","Ho preso un cono 3 gusti, eccessivamente grande. Cassata con tantissima cannella immangiabile, sorbetto alla mela che sembrava una pappetta per bambini e cremino al sale orribile. Ho dovuto buttare il gelato. Il cono almeno era buono perché appena fatto."
"ui_bubble_rating bubble_30","Porzioni grandi, gelato nella media","Abbiamo provato gusti alla frutta (molto fresca), sorbetto limone e mandarino e ne siamo rimasti abbastanza soddisfatti. Cremosi e gustosi, non troppp zuccherati!"
"ui_bubble_rating bubble_50","Il migliore!","Il gelato è il migliore in assoluto. Quest’anno ho voluto concludere il cenone della vigilia di Natale con il panettone crema e amarena, una vera bontà.Complimenti."
"ui_bubble_rating bubble_50","Uno dei migliori gelati in città","Poco da dire, gelati fatti con ingredienti ottimi, forse un po' troppo grassi per via della panna di altissima qualità ma equilibrati in dolcezza e cremosità.Il cremino al sale mi lascia sempre più che soddisfatto!"
"ui_bubble_rating bubble_50","Il migliore in assoluto! ","Il mio preferito da anni ormai! Il gusto Mennella Rock è qualcosa di eccezionale! Dopo averlo scoperto, è impossibile farne a meno. "
"ui_bubble_rating bubble_50","IL TOP del Gelato","Salve...come già anticipato nella precedente recensione. Dopo aver consumato una pizza presso il ristorante senza infamia e senza lode Pizza e Baba, ci siamo diretti in via Toledo presso la Gelateria Mennella, dove abbiamo gustato un gelato Fantastico, prodotto con ingredienti genuini, preparati nei minimi dettagli. Complimenti alla Gelateria Mennella che produce un gelato strepitoso, facendo gustare sapori di altri tempi. SUPER CONSIGLIATO...da provare ASSOLUTAMENTE"
