"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Sempre al top<U+0001F4AA><U+0001F4AA><U+0001F4AA>","Stasera ho scelto la croccantella una pizza gourmet gustosissima, saporita ma allo stesso tempo leggera grazie all eccellente impasto che non si smentisce mai. Complimenti"
"ui_bubble_rating bubble_50","Molto bene","Abbiamo provato questa pizzeria viste le buone recensioni e non ci ha deluso. Fritti buoni e pizza ottima con un' ampissima scelta. Una nota di merito va al personale molto gentile."
"ui_bubble_rating bubble_50","Luigi number one","Sono anni che veniamo e ogni volta restiamo molto soddisfatti..pizza ottima fatta con lievito madre..cameriera bravissima molto attenta nei minimi particolari locale molto accogliente pulito con paytv e ben arredato bravissimi avanti sempre così!"
"ui_bubble_rating bubble_40","Da provare","Ottima la pizza, vasta scelta e ottimi ingredienti. Personale cortese e attento, bella accogliente la location "
"ui_bubble_rating bubble_50","Finalmente la Pizza","Ero alla ricerca di una pizza che si avvicinasse ai sapori della mia infanzia, cosa che con il tempo non ho più trovato in nessuna pizza! Consigliata da amici che non cambiano pizzeria da anni, mio marito ed io ci siamo detti proviamo! Che dire, non potevamo fare scoperta più dolce...anzi più saporita! Finalmente una pizza di qualità e per un attimo mi sono sentita bambina, con quei sapori che ormai non si trovano più. Non lasciatevi scappare i fritti, una delizia per il palato. Finalmente ho trovato la Pizza che tanto sognavo. Provare per credere!"
"ui_bubble_rating bubble_50","6 anni che non cambio pizzeria. ","Crea dipendenza, non riesco a trovare pizze che reggano il paragone se non gaetano genovesi con, con la differenza che con genovesi lo stomaco rimane insoddisfatto. Onestamente, per qualità/prezzo per disponibilità e Cordialità del titolare e di tutto il personale, non c'è nulla che regga il paragone.Un consiglio posso darvi: andateci e godetene tutti! "
"ui_bubble_rating bubble_50","Grande qualità ","Per gusto, qualità degli ingredienti, ampia scelta delle pizze, pulizia, organizzazione e, non ultimo, cordialità e cura per il cliente, non c'è settimana in cui non vada da mondo pizza almeno un giorno dopo che il mio ragazzo me l'ha fatta scoprire. Che si tratti di panuozzo o pizza non delude mai. L'impasto è leggero, il proprietario si occupa personalmente della preparazione delle pizze e per tutte le volte che sono andata non mi è mai capitato che la pizza fosse bruciata. Da provare assolutamente sono i loro rotolini di pizza, dei piccoli antipasti che non ho mai trovato in nessun altra pizzeria ma che sono davvero buonissimi, tanto che uno tira l'altro. Anche qui c'è un ampia scelta di gusti. Insomma, se voglio una gioia vado da mondopizza!! "
"ui_bubble_rating bubble_50","Una pizza mondiale.","A mio parere la pizza di Luigi (mr Mondo Pizza) è una delle pizze più buona di Napoli. Gusti di tutti i tipi abbinati sapientemente e pasta soffice e croccante così come deve essere . "
"ui_bubble_rating bubble_50","Mondiale pizza","Mondo pizza....pizza mondiale. Il ripieno migliore che abbia mai mangiato,ma consiglio vivamente la Rustichella con scarola provola e formaggio piccante!!!!!!!1000 stelle a Luigi"
"ui_bubble_rating bubble_50","Devo x forza rirecensire","Ieri sera sono andata da mondo pizza con amici, solitamente prendo sempre le mie solite pizze... O Margherita o Margherita alle olive o 4 formaggi, ma ieri tutti mi dicevano sei standard, varia un pochino così ho chiesto a Luigi stesso di consigliarmi così ho provato la SUBLIMEcrema allo yogurt, zucchine, salame e scaglie.... No vabbè ero scettica sullo yogurt, ma mi sono consolata e ricreduta, ho fatto i complimenti a Luigi x la bella trovata e lui mi ha risposto facendomi assaggiare il rotolo infinity, sempre con yogurt pomodorini datterini e ricotta.... Ma come fa a non sbagliarne una????? Da provare!!"
"ui_bubble_rating bubble_50","Una garanzia","Ieri sera da mondo pizza abbiamo mangiato una pizza veramente SUPERLATIVA... fritturine ottime, un ambiente caloroso e una gentilezza veramente incredibile.Assolutamente da provare.Luigi D’Auria è il TOP! "
"ui_bubble_rating bubble_50","King K. Rool","Venite qui una volta a settimana pure se abitate tipo in Australia, si mangia benissimo aaaaaaa mangiate qui e là vostra vita inizierà nuovamente come una maestosa fenice che rinasce gloriosa dalle ceneri"
"ui_bubble_rating bubble_50","Una perla !","E’ davvero strano che certe perle si trovino solo nei posti meno frequentati e conosciuti. Ma così è il senso delle cose: come un gioco a nascondino. Questo vale per MONDOPIZZA!Posto caldo e accogliente.Personale qualificato,simpatico ed educato.Da tornare ASSOLUTAMENTE !"
"ui_bubble_rating bubble_50","Una delle pizze più buone di Napoli","Sono stata recentemente in questa pizzeria e la cosa che mi ha sorpresa è stata la qualità della pizza! Buona in tutte le sue varianti!Impasto leggero e squisito!Complimenti anche per la sala interna, molto moderna e che dona un’atsmosfera intima e familiare! Qualità-prezzo eccezionale..con ottimi dolci con la nutella a fine cena..Top..da ritornare!!!!!!!"
"ui_bubble_rating bubble_50","Ottimo! ","Locale accogliente, a partire dal sorriso di chi ci lavora. Gentili e veloci. Pizza ottima e splendido servizio. Tornerò volentieri"
"ui_bubble_rating bubble_50","Ottima pizza","Ottimo locale vicino casa, pizza buonissima con una notevole varietà di gusti. Prezzi economici per la qualità che offre."
"ui_bubble_rating bubble_50","Una Pizza che non di fa dimenticare","Buon pomeriggio, come mi capita appena trovo l'occasione .....faccio ina capatina a Napoli per vivere questa splendida città. Tra i miei tanti giri non può mancare la sosta obbligatori alla Pizzeria Mondo Pizza. Qui ritrovo ogni volta un ambiente pregno di profumi colori e sapori che mi riempiono e mi mettono di buon umore.... Personale impeccabile, gentile, simpatico e disponibile e soprattutto una puzza eccezionale che si fa mangiare con gli occhi.... per non dire dei saltimbocca dei crocche e i tutte le altre fantasticherie. È poi.Basta chiedere .... il maestro Luigi è sempre pronto a soddisfarti non solo nel deliziarti il palato, ma anche a derimere tutte le curiosità fornendogli tutte le informazioni sulle materie prime e sulle lavorazioni. La pizza è un arte e mondo pizza la sua casa. Lo consiglio vivamenteSe passate da Paolo non potete non fare un giro da Mondo pizza ed assaggiare la sua Pizza."
"ui_bubble_rating bubble_50","Pizza top","Pizza al metro squisita personale gentile.. tutto da provare sala accogliente unico neo come tutto il Vomero è il parcheggio...."
"ui_bubble_rating bubble_40","Cena","Ottima pizza. Personale educato e disponibile, portano subito i menù e da bere. Comunque sono stato un po' di tempo"
"ui_bubble_rating bubble_40","La pizza giusta ","La pizza è buonissima e i proprietari sono carinissimi, compro regolarmente la pizza, sia singola che a metro, effettuano anche la consegna a domicilio, le pizze arrivano intere e abbastanza calde inoltre sono seri e precisi sugli orari della consegna."
"ui_bubble_rating bubble_50","Pizza per cena","Una delle pizze più buone che ho mangiato a Napoli. Forse quella che preferisco in assoluto! È un posto che fa la differenza"
