"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Bistrot top!","Ho cenato con amici sabato sera in questo bistrot in zona baretti, ci siamo trovati benissimo.Il locale, che propone piatti a base di mozzarella di altissima qualità, è molto piccino e caratteristico, il personale è fantastico e sempre pronto a dare i giusti consigli.Abbiamo ordinato come antipasti bocconcini di mozzarella, chips di patate con fonduta di mozzarella e un piatto a base di mele stark condite con pesto e bocconi di bufala, tutto davvero buonissimo.A seguire tartare di tonno con limoni di sorrento, straccetti di bufala e pesto davvero delizioso, molto buona anche la carne tenerissima. Indimenticabile la cheese cake, davvero spaziale. Il tutto accompagnato da un ottimo vino bianco (sharis di Livio Felluga).I prezzi non sono bassissimi ma ne vale la pena al 100%!!!Consigliato!"
"ui_bubble_rating bubble_50","Fantastici","Locale piccolo carinissimo e curato. Menu ricercato esplosione di gusto, protagonista l’ottima mozzarella di bufala. Grazie all indicazione di Massimo abbiamo potuto apprezzare portate eccezionali Grazie alla genialità dello chef e a tutto il cordialissimo personale."
"ui_bubble_rating bubble_50","Un gioiello da non perdere! ","Un connubio tra tradizione ed innovazione speciale: rivisitazione, cura e qualità della materia prima, il tutto adornato da un servizio ineccepibile. "
"ui_bubble_rating bubble_50","Pranzo eccezionale ","Da provare assolutamente i bocconcini pesto e mela e la tartare tonno e bufala. Per dessert cheesecake con ingrediente segreto.Locale accogliente e vivace, personale molto cortese e disponibile. Assolutamente da provare!!"
"ui_bubble_rating bubble_50","Bufala forever ","Localino in zona baretti. Molto pulito e ordinato. Tutto a base di bufala. Noi abbiamo preso una fonduta di bufala con patatine e due secondi di pesce squisiti. Assolutamente da provare. Dolci molto invitanti, purtroppo eravamo pieni e non li abbiamo assaggiati. "
"ui_bubble_rating bubble_50","Capodanno a Napoli ","Trovato per caso siamo rimasti entusiasti della qualità dei prodotti, massimo ci ha aiutato nella scelta e abbiamo fatto bene. Consiglio sicuramente "
"ui_bubble_rating bubble_50","Da leccarsi i baffi","Abbiamo pranzato in questo locale, piccolo ma carinissimo, con dell’ottima mozzarella di bufala. Abbiamo assaggiato sia la classica caprese che piatti più elaborati come la tataki di tonno o il salmone croccante, tutto veramente squisito!Per concludere poi il pranzo, abbiamo preso una fetta di cheesecake...sublime!!Rapporto qualità/prezzo ottimo."
"ui_bubble_rating bubble_50","Serata perfetta","In una serata a Napoli con freddo, pioggia e folla del periodo natalizio la sosta in questo ristorante piccolo ma molto carino ed accogliente. Cena con pietanze originali, gustosissime e presentate in maniera deliziosa. Vino di ottima qualità ma soprattutto siamo rimasti molto favorevolmente impressionate dall'accoglienza e dalla simpatia del personale. Massimo ci ha seguito con attenzione e discrezione tutta la serata. Una serata di brindisi a go-go per sole donne! Tutto perfetto. Ottimo il rapporto costo/qualità. Da ripetere sicuramente!"
"ui_bubble_rating bubble_40","Da provare!","Locale molto carino e accogliente, cibo squisito e personale estremamente gentile e disponibile. Si ha la possibilità di gustare piatti tradizionali rivisitati in chiave moderna e sofisticata. Consiglio assolutamente di assaggiare la cheesecake cotta al gusto di Nutella e pistacchio. Ma soprattutto, consiglio di dare ascolto ai suggerimenti del personale sui piatti da scegliere! Non ne resterete delusi :D"
"ui_bubble_rating bubble_40","Consigliato!","Bel locale sul lungomare di Mergellina... tutto ottimo dalla pasta e patate alle polpette al sugo... e per finire il tiramisù servito in modo molto originale!"
"ui_bubble_rating bubble_40","Ottima la cheesecake!","Siamo stati in questo locale settimana scorsa. Il servizio è stato abbastanza veloce, buona la pasta col pistacchio e la pasta e patate. Davvero ottima la cheesecake. L'unica pecca è una scelta limitata dei piatti nel menù e il locale un po' piccolo. Ma tutto sommato è stata un'esperienza positiva!"
"ui_bubble_rating bubble_40","la mozzarella formato moderno!!","locale piccolo ma accogliente , personale molto simpatico e premuroso, menu caratterizzato da prodotti locali di ottima qualità cucinati in maniera moderna ma non modello nouvelle cuisine, consiglio soprattutto il carciofo su letto di purea di rape rosse e i fiori di zucca ripieni! per non parlare dei dolci.... una delizia unica, soprattutto il cheese cake di bufala, grandioso!!! da tornarci assolutamente!!! buona anche la scelta dei vini."
"ui_bubble_rating bubble_40","Quando il personale fa la differenza ","Siamo stati di sabato sera, prenotazione al secondo turno(22.30). Al nostro arrivo, ci chiedono di pazientare qualche minuto(trasformatosi in mezz'ora) perché il primo turno aveva tardato. Da lì è nato una sorta di simpatico siparietto tra il nostro tavolo ed il personale che con garbo e simpatia hanno fatto passare in secondo piano il ritardo. C'è da dire che anche la cena ha giocato a loro favore. Muzza fritta, fonduta, fiori di zucca e polpettine davvero buone. Per concludere non può mancare la cheesecake (una offerta per scusarsi per l'attesa). Alla fine basta così poco per ammaliarsi la clientela: gentilezza, simpatia e buon cibo Peccato che molti non ci arrivino. "
"ui_bubble_rating bubble_30","Buono,ma al di sotto delle aspettative","Abbiamo cenato in questo piccolo locale di venerdì sera.era pieno ma per fortuna non abbiamo dovuto attendere.volevamo provarla già da un po’ colpiti dall’onnipresenza nelle portate della signora mozzarella! Ci siam fatti consigliare dai camerieri, cortesi e disponibili. Abbiamo provato pesto e mela( non ha incontrato il nostro gusto),come primo piatto una pasta e patate e mozzarella (buona ma ne abbiamo mangiate di migliori) e una tartare di tonno. Buono il dolce: cheesecake al cioccolato fondente. I prezzi sono medio alti ma in linea con i ristorantini della zona."
"ui_bubble_rating bubble_50","Mozzarella eccelente","Sono stato in questo piccolo locale, che prepara tutte pietanze a base di mozzarella, il locale è molto piccolo ma molto accogliente, il servizio è eccellente il prezzo forse un po’ troppo caro. "
"ui_bubble_rating bubble_50","Stupendo ","Molto accogliente, cibo ottimo, servizio voto10+ per Massimo e 10 ++ per il cuoco Marco grazie davvero!! Esperienza fantastica"
