"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Un locale dove tornare","Ottimo il servizio. Gennaro è preparato e gentilissimo. I piatti gustosi e ricercati, soddisfano occhio e palato. Un locale intimo,col gusto del particolare dove tornare spesso a pranzo e cena."
"ui_bubble_rating bubble_50","Assolutamente da provare!","Personale molto gentile e pronto a spiegare con precisione ogni piatto. Come antipasto abbiamo scelto la mozzarella fritta, seguita da una rattacasa e da una tartare di tonno con mozzarella. Tutto buonissimo!! Vi consiglio però di lasciare un po' di spazio anche per il dolce, la cheesecake è deliziosa."
"ui_bubble_rating bubble_50","Soddisfatta","Tutto perfetto dalla pulizia al personale per finire al cibo . Mozzarella ottima accompagnata da verdure di stagione . Prezzi medi . Da consigliare "
"ui_bubble_rating bubble_50","Ottima serata","Eccezionale la cucina. Il servizio non è da meno. Ci tornerò al più presto.Il modo più raffinato di gustare la mozzarella. In sala chiedete di Genni, vi saprà consigliare alla grande"
"ui_bubble_rating bubble_50","Diventato il nostro posto preferito a Napoli...","...con una sola cena! Ci è piaciuto tutto, dall’arredamento del piccolo locale (saranno una ventina di posti in tutto) al servizio senza sbavature, i camerieri erano cordiali e alla mano. Per non parlare dei piatti! Sapori diversi e unici, come il pesto con mela e mozzarella (che vi consiglio di provare). Tutto davvero buono dall’antipasto al dolce... anzi, il dolce era più che buono, la cheesecake più buona mai mangiata in Italia (l’abbiamo provata con nutella e pistacchio, una cosa squisita)!"
"ui_bubble_rating bubble_50","..... una piacevole cena ","Stasera eravamo in 6 e tutti abbiamo riscontrato un trattamento con i guanti di velluto, ci hanno consigliato/servito/seguiti in maniera elegante e professionale. Il cibo di ottima fattura servito con simpatici piatti e stoviglie. Il conto in linea con quanto scritto sul menu (equilibrato) . Esperienza da ripetere quanto prima .Bravi da......Arnaldo e Aurora Russo "
"ui_bubble_rating bubble_50","Ottimo","Gennaro e Andrea sono gentilissimi ottima cucina la mozzarella è buonissima. Tornerò molto volentieri! Ok "
"ui_bubble_rating bubble_50","Molto carino...","Sono stata qualche sera fa in questo locale, ci ha accolti un cameriere, Gennaro, che ci ha accompagnati tutta la serata con tanto di cortesia, professionalità e riassumendo un servizio eccellente, tanto da pensare che fosse il proprietario del locale! Il nuovo menu ha molta scelta e i piatti che abbiamo scelto erano tutti deliziosi, fino a concludere con il dolce...La struttura inoltre ha un tema suo personalizzato, é molto caratteristica e ti permette di trascorrere una serata tranquilla gustando ottimi piatti con giochi di sapori fuori dal comune.Complimenti! "
"ui_bubble_rating bubble_50","Botte piccola","Piccolino in una traversa defilata, offre piatti veramente buoni.Piatti particolari e diversi dai soliti ristoranti.Cucinati molto bene con cura delle materie prime, abbinamenti e impiattamento. Servizio veloce, professionale e cortese.Bravi!"
"ui_bubble_rating bubble_50","Super consigliato","Una vera chicca nel cuore del Vomero. Buonissime le chips con fonduta e la mozzarella in carrozza. Ottimi anche i primi e i secondi, ma il dolce è straordinario: abbiamo provato la cheesecake cotta al pistacchio e cioccolato bianco, SUPERLATIVA. Prezzi nella norma, servizio eccellente."
"ui_bubble_rating bubble_50","Consigliatissimo","Per chi è amante della mozzarella di bufala questo è il posto giusto! Personale molto simpatico e prodotti di alta qualità! Lo consiglio a tutti! (buonissima la mela con la mozzarella e il pesto) Ci vediamo presto "
"ui_bubble_rating bubble_50","Una gustosa scoperta","Ci siamo fermati per caso a pranzo,è stata la ciliegina sulla torta della giornata. Personale molto cordiale e professionale, i piatti gustosissimi. Ho assaggiato una pasta e patate davvero ottima e la mozzarella in carrozza buonissima. Il locale è molto carino, pochi tavoli ma intimo, ti senti a casa. Ci tornerò sicuramente"
"ui_bubble_rating bubble_50","Ottimo cibo e Ottimo Staff","Era da un pò che volevamo provare uno dei ristoranti Muu:ne è valsa sicuramente la pena! Siamo stati accolti da uno staff ricco di entusiasmo, educazione, attenzione per il cliente e molta passione per ciò che si fa, caratteristiche che non ai trovano ovunque, se si pensa poi che i ragazzi che lavorano nel locale non sono i titolari! Cibo di ottima fattura con prodotti di qualità! Abbiamo mangiato polpettine al sugo, bon bon di mozzarella in tempura, chips con fonduta di mozzarella e semi di papavero, poi un secondo a base di tonno, mozzarella su riduzione di pomodori gialli e un secondo di salmone in croccante di mais su crema di mozzarella. Alla fine lo staff ha insistito per offrirci 2 porzioni di cheesecake (una alla nutella e una ai frutti di bosco). Il tutto bagnato da una bianco Gewurztraminer. Ottimo rapporto qualità prezzo, con uno staff che fa ladifferenza, e a cui facciamo i complimenti! Bella serata!"
"ui_bubble_rating bubble_50","Ottima idea. Fantastica mozzarella!","Abbiamo cenato da Muu con alte aspettative, e sono state decisamente superate. Tutto, dalla presentazione dei piatti alle pietanze stesse è stato curato nei minimi particolari e servito con disponibilità ed un sorriso sulla faccia.Vivamente consigliata la pasta e patate, servita in una scodella enorme e con la grattugia per il formaggio! Buona anche la cheesecake, sia cotta che cruda e servita con una grande varietà di toppings."
"ui_bubble_rating bubble_50","Muu..... che bontà","Bel posto, anche se non molto grande. Ottimo cibo. Ci sono piaciuti in particolare gli antipasti pesto e mele e chips con fonduta, il salmone gratinato e il tonno nelle varie proposte. Strepitosa la cheesecake ai frutti di bosco. Chiedete di Andrea gentile e disponibile come tutti del resto."
"ui_bubble_rating bubble_50","Una serata veramente piacevole!","Sono andata in questo bistrot di mercoledì sera su consiglio di un'amica e devo dire che ha superato le aspettative. Il locale è piccolo ma accogliente e veramente carino, con arredo definito in ogni particolare e in tema con la filosofia del bistrot. Ho asseggiato più cose e tutto era molto buono:assolutamente da non perdere la mela con il pesto (accoppiata particolare che non capita di provare altrove), i Fiorilli, la pasta e patate servita in una grattugia napoletana vecchio stile, e gli speghetti latte e pepe (in tutte le pietanze c'è il giusto equilibrio tra latticini e altri ingredienti) . L'impiattamento è sempre carino (sopratutto quello del tiramisù). Ultima chicca, il personale: Gennaro definirlo gentile è riduttivo, affidatevi a lui nella scelta del menù e non sbaglierete un colpo. Assolutamente da consigliare."
"ui_bubble_rating bubble_40","Lo adoro ma caro","È uno dei ristoranti che adoro anche se devo ammettere sia troppo caro , soprattutto per quanto riguarda il servizio che grava troppo sul conto. La cucina è ottima , da assaggiare assolutamente le patatine peccato per le crocchette di pollo tolte dal menù , consiglio di rivalutarle!Cheesecake più buona in assoluto."
"ui_bubble_rating bubble_50","Eccellente!","Sono stata ieri a pranzo con mia madre in questo ristorantino.Non ci sono tantissime sedute, ma il locale è molto caratteristico ed informale.Le birre sono quasi tutte belga(ottima scelta); abbiamo preso tre antipasti e due primi piatti; gli antipasti erano bocconcini di mozzarella con mela e pesto, tacos di mozzarella con insalata iceberg e cipolla e bocconcini con peperoncini verdi.. deliziosi!! I primi piatti invece latte e pepe(una rivisitazione della cacio e pepe) e dei ravioli su base di ragù con ricotta.Come dolce cheesecake con ricotta.. inoltre servono anche un particolarissimo tiramisù nella moka con caffè espresso a parte..come prezzo circa 35 euro a persona.Niente da dire assolutamente, tutto estremamente buono e servito in tempi giusti. vorrei fare anche i miei complimenti ad Andrea, il cameriere che ci ha servito ieri: ha gestito la sala piena benissimo, sempre con cortesia e gentilezza, senza mai trascurare nessuno dei suoi clienti.Bravi!"
"ui_bubble_rating bubble_40","La cena perfetta!","Locale non troppo grande ma intimo e accogliente, personale gentile e disponibile ma soprattutto piatti particolari, cibo di ottima qualità e buon vino! Se decidete di provarlo non potete non prendere la cheesecake..ne vale la pena! Insomma si è rivelata una buona scelta"
"ui_bubble_rating bubble_50","Un compleanno speciale","Dall’antipasto al dolce, un menù delizioso e variegato. Accoglienza, professionalità ed ottimo cibo fanno di questo ristorante una chicca in centro città. "
"ui_bubble_rating bubble_50","Quanta bontà","Cercavo un ristorante particolare,diverso dagli altri e l’ho trovato. Il ragazzo che ci ha serviti si è messo subito a disposizione e ci ha spiegato tutti i piatti essendo la prima volta che ci andavamo,servizio veloce e cibo ottimo e particolare. Ci ritorneremo sicuramente."
