"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Fantastico","Carinissimo locale veg a Napoli, sicuramente da provare se si è nei dintorni! Cibo molto vario, personale gentilissimo! Abbiamo provato la cassatina ed era ottima, vi consiglio di non perdervi questo posticino!"
"ui_bubble_rating bubble_50","Takeaway vegano","Un locale fighissimo in centro a Napoli (lungo via Mezzocannone).I piatti cambiano ogni giorno (quindi non affezionatevi) e sono con ingredienti freschissimi e abbinamenti azzeccati.Mi hanno fatto venir voglia di diventare vegetariana!Il personale è gentilissimo, i prezzi sono stracciati, l'acqua è gratis!Questo locale rispecchia proprio la gentilezza e la cura dei napoletani per il cibo, dovete andarci. "
"ui_bubble_rating bubble_50","Adoro questo posto","È un posto speciale, non solo per il cibo leggero sano ed economico ma per la filosofia che c'è dietro, davvero sono dispiaciuta non ce ne siano altri così a Napoli! Dopo 4 anni di fedele frequentazione assicuro che il pranzo qui ti evita l'abbiocco, persino ai corsi universitari ;) un ringraziamento speciale a chi ci lavora, sempre disponibili simpatici e pazienti :) "
"ui_bubble_rating bubble_10","Zozzo","Ho appena mangiato in questo take away con tavoli all'interno. Il cibo non è male ma l'ambiente è molto sporco. Premesso che c'era un capello nel panino integrale del mio compagno, non c'è un bagno per gli avventori, mentre la cucina, ambiente unico, ospita il praticamente chiunque... Il proprietario che tocca soldi e piatti da servire, la cameriera che fa lo stesso. Mentre un altro ragazzo, spero un collaboratore, è entrato con indosso giubbino e zaino, senza alcun problema.Personalmente sconsigliato! "
"ui_bubble_rating bubble_40","Ottimo!","Il locale è molto piccolo, ma è perfetto per una pausa veloce e gustosa, a base vegetale (ottima sia per chi è vegetariano che non!)"
"ui_bubble_rating bubble_50","BUONISSIMO!","Non sono vegana, ma quando mi trovo al centro di Napoli O Grin è tappa fissa! Piatti squisiti e salutari, prezzi modici e personale fantastico! La location è piccina ma molto particolare e gioiosa.. ogni volta mi sento sempre come se fossi a casa! :D anche perché.. da O Grin l'acqua è gratis, così come i sorrisi che offrono! Lo consiglio davvero a tutti."
"ui_bubble_rating bubble_50","Ottimo","Ho conosciuto O Grin pochi giorni dopo la sua apertura e raramente i suoi piatti non mi sono piaciuti. Il locale è piccino, ma il sapore di questi, la gentilezza dei ragazzi che ci lavorano, politiche come “acqua gratis” non fanno ogni volta che riportarti qui"
"ui_bubble_rating bubble_50","Sorprendente ","Questo ristorante è davvero quello che serviva a Napoli, che purtroppo non offre molti ristoranti etici. Cibo buonissimo, di ottima qualità, c'è molta varietà, molti gusti, è economicamente accessibile, ed è anche molto comodo portare via il pasto completo facendolo mettere in una scatola. Ci tornerò sicuramente e magari porterò con me persone che non hanno mai mangiato in un ristorante vegano e vogliono aprirsi a questa nuova esperienza provando non solo il piacere del cibo, ma anche il piacere di mangiare sano senza nuocere a nessuno. "
"ui_bubble_rating bubble_40","per chi è vegano,ok","location piccina ma accogliente,servizio rapido e cortese,prezzi moderati, sapori buoni ma solo per chi è vegano e quindi non per tutti i palati, chi è abituato a mangiare carni e formaggi troverà dei sapori poco avvincenti e saporiti."
"ui_bubble_rating bubble_20","Quel panino va migliorato","Capitato di passaggio ne avevo sentito parlare ed essendo ora di pranzo ci sono entrato.locale semplice e accogliente personale gentile.ho preso un panino con straccetti di seitan e insalata con proposta di aggiungere una salsa tipo maionese che ho declinato.purtroppo sono rimasto un po deluso:gli straccetti che io intendo sottili erano pezzoni belli doppi anche se era morbido assolutamente non insaporito,il tutto ricoperto da insalata che anch'essa non aveva mimimo accostamento col seitan nemmeno un po d'olio ne sale.capisco la salubrita' alimentare pero'...!anche se avessi aggiunto le salse sono convinto che sarebbe rimasto cosi.non sono uno chef ma insaporitelo un po quel seitan e se lo era gia' dategli una spinta in piu'! Tornero' per provare nuove cose.al di la di tutto complimenti per quello che fate! Alla prossima"
"ui_bubble_rating bubble_50","Tutto perfetto!","Per me è una tappa obbligata quando mi trovo in zona! Bellissima atmosfera, prezzi bassi e personale gentilissimo, si vede che è tutto curato nel minimo dettaglio. Ogni volta che torno la qualità è il gusto mi sembrano migliorati."
"ui_bubble_rating bubble_50","un gran bel posto","Un gran bel posto perchè, seppur piccolo, è accogliente ed è sempre bello entrarci.Il cibo è vario e originale, si possono combinare diversi piatti tra loro con un rapporto qualità prezzo ottimo (piatto terno 5 euro) e su una grande lavagna nel locale viene segnato il menù del giorno: i piatti con gli asterischi sono senza glutine!! Quindi un' ottima alternativa anche per i celiaci.In ogni dettaglio c'è l'impegno, la passione e l'attenzione di chi ha deciso di intraprendere questa attività: stoviglie, piatti e contenitori da asporto biodegradabili e compostabili; seduti al tavolo condiviso, l'acqua è condivisa e non si paga.La disponibilità e la cortesia del personale sono eccezionali.Mi dispiace che la sera siete chiusi."
"ui_bubble_rating bubble_30","Pratico e piacevole","Locale piccolo e spesso affollato nell'ora di punta, offre cibo buono e personale gentile. Il menù del giorno, con annessi prezzi, è scritto sulla grande lavagna lungo la parete destra e continuamente aggiornato mano a mano che i piatti diventano indisponibili, dunque facilmente consultabile da chiunque. Tutto è pensato per essere quanto più green possibile, l'acqua contenuta in brocche sparse per il locale è a volontà, i piatti compostabili e le posate e i bicchieri vanno lasciati, al termine del pasto, in dei cestini al banco. Il cibo è buono, i prezzi modici, e il servizio rapido. Viste le dimensioni del locale si rischia facilmente di avere difficoltà a trovare un posto per sedersi, considerata anche la vicinanza con la zona universitaria è infatti sempre pieno di studenti, ma l'atmosfera piacevole, quasi fraterna, che c'è o si crea fa sì che in qualche modo questo problema pesi meno di quanto normalmente dovrebbe. Insomma un luogo in cui andare se si è in zona, si desidera un pasto al volo e si ha la voglia o l'esigenza di farlo stando ad una certa etica."
"ui_bubble_rating bubble_40","Un nome geniale, un bel ristorantino veg","Il nome è geniale e il posto, in piena zona universitaria, molto carino.Inoltre, è una rarità un ristorante veg a Napoli. Ottimo rapporto qualità-prezzoDa provare"
