"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Kebab eccellente","Uno dei migliori kebab che io abbia mai mangiato, ho preso quello americano con bacon e cheddar mai trovato da altri, una delizia. "
"ui_bubble_rating bubble_30","Buono, veloce ed economico ","Ci siamo recati in questo negozio per la voglia improvvisa ed esagerata di kebab. Dato che ne avevamo sentito parlare, abbiamo deciso di provare e non ne siamo rimasti per nulla delusi. Abbiamo assaggiato tutti e tre i tipi di pita che propone la casa ed ognuno è buono a suo modo; sicuramente, quella che più consiglio è l’American con bacon e cheddar. La qualità è molto buona ed i prezzi popolari. La consiglio per chi vuole gustare un pasto veloce, gustoso e a basso costo."
"ui_bubble_rating bubble_50","Miglior kebab di Napoli, ottima qualità ","Come ho scritto da titolo, per me, qui si mangia il miglior kebab di Napoli, io raramente mangio il kebab proprio perché non mi piace come lo fanno altri, qui invece devo dire che ci ritornerei, che il kebab è davvero buone e gli ingredienti sono di qualità e penso sia proprio questa la differenza tra questo kebab e quello di altri "
"ui_bubble_rating bubble_30","Una buona e veloce pausa pranzo post università. ","Locati vicino alla fermata “Università” della metro e vicino a molte sedi della Federico II, questo piccolo locale take away è molto conosciuto. Proprio grazia alla buona fama che ha, mi ci sono recata. Ero molto entusiasta all’idea di provare il loro kebab perché ne sono un amante. Abbiamo preso dei bocconcini di pollo fritto (2€) che erano 5 e non erano proprio buonissimi (nonostante io ami il pollo, li ho trovati gommosi) per poi provare tutte e tre le pite offerte: la classica, quella con verdure e la rivisitata.Prima d’ora non avevo mai provato la pita ma avevo mangiato il kebab abbinato a piadine e lo preferisco con quest’ultima. Il kebab però era molto buono e mi è piaciuta più di tutte la pita con le verdure, il secondo posto lo conquista la pita classica e poi, in ultimo, la rivisitata. I prezzi sono onestissimi (4€ le pite, 0,70€ l’acqua).Nonostante non sia il miglior kebab provato, penso ci ritornerò."
"ui_bubble_rating bubble_50","uma delicia","sono passato dopo l'università essendo un avido degustatore di kebab e sono rimasto soddisfatto , troppo buono "
"ui_bubble_rating bubble_50","KEBAB PARADISIACO","Quando dici Kebab a Napoli...dici O’Talebano....e quando dici O’ Talebano ...dici sicurezza! Luogo strategico , ragazzi svelti e servizio impeccabile. Il Kebab una verità goduria. Magico. "
"ui_bubble_rating bubble_40","Prendete il kebab intero e non ve ne pentirete","Ok, non sarà quello originale, ma il kebab intero di questo piccolo negozio a Porta di Massa è di quelli che ti fanno venir voglia di tornarci. Pieno di condimento, salse e di qualità, è quello che ci vuole nel bel mezzo di una stancante giornata universitaria. Per quanto riguarda il personale, notevole è la gentilezza e l’accoglienza della signora che serve i clienti."
"ui_bubble_rating bubble_30","Non male","Da ciò che avevo letto in giro mi aspettavo di più, rientra tra i migliori kebab che io abbia assaggiato ma non è il migliore in assoluto. "
"ui_bubble_rating bubble_50","Uno dei veri kebab.","Come non poter apprezzare il vero kebab per i miei gusti uno dei migliori, chi può andate ad assaggiare che è una vera goduria."
"ui_bubble_rating bubble_50","Il vero kebab","Spesso mi servo del servizio... ottimo arriva sempre nell'orario predetto al telefono, mai in ritardo e il suo sapore è un esplosione di sapori perfettamente equilibrati, da molta soddisfazione mangiare il loro kebab.Erms"
"ui_bubble_rating bubble_40","Pulizia e Bontà ","Locale che si trova in prossimità dell'università Federico II, tra via Mezzocannone e Corso Umberto, un tipico take away, ideale per un pranzo veloce o come spuntino , ottimo kebab, ingredienti di ottima qualità, locale a gestione familiare , Genny e Marietta, sono una macchina sforna kebab veloce ed affiatata, ogni volta che sono in zona, è una tappa fissa. "
"ui_bubble_rating bubble_50","Tappa fissa","Posto abbastanza piccolino ma accogliente, appena entrerete verrete accolti dalla signora alla cassa sempre sorridente.Prezzi abbordabili per tutti.E una pita stupenda, una carne di ottima qualità e variante dei panini altrettanto eccezionali. "
"ui_bubble_rating bubble_50","Wow","Non ho potuto fare a meno di tornare... Il miglior kebab della città, senza dubbio!Molto cordiali nel servizio, oltre che rapidi ed efficaci"
"ui_bubble_rating bubble_30","Buona pita <U+0001F32F>","Attirato dai vari consensi letti sono stato qui un sabato sera. Prodotti di buona qualità a prezzi accessibili. Personalmente mi aspettavo di più x la fama ma nel complesso se sei in zona una sosta veloce ci sta"
"ui_bubble_rating bubble_40","soddisfacente","rapido, buono, non il miglior kebab della storia ma se passate in zona vale la pena farsi uno bello spuntino da loro."
"ui_bubble_rating bubble_50","Miglior kebab di Napoli","Ho provato questo kebab due volte a distanza di parecchio tempo ma la qualità è sempre eccellente. Consiglio per ovvie ragioni la pita completa al prezzo davvero irrisorio di €3,50. Il kebab è artigianale e si sente, tutti gli ingredienti sono ottimi e gustosissimi, come le patate e le cipolle caramellate. Si trova in zona centrale e il servizio è velocissimo."
"ui_bubble_rating bubble_50","Favoloso","Incredibile come per caso abbia scoperto questa meraviglia. Ottimo kebab, leggero e buonissimo e con un prezzo molto irrisorio. Ho preferito la pita al classico panino e devo dire che è una prelibatezza. Vi consiglio anche le patatine"
"ui_bubble_rating bubble_50","3.50 per il miglior kebab che mangerai nella vita","Premetto che sono andato in questo locale dopo aver già fatto uno spuntino, chiedo il kebab completo meno patatine e cipolle nella pita. Velocissimo arriva e...wow. Nonostante io non sia un amante del kebab ne ho provati molti ma questo mi lascia sconcertato per il sapore.Si distingue il tipo di carne e la freschezza Delle verdure tra cui spicca la croccantezza della lattuga, il piccante non è invadente e la salsa tzaziki giusta. Per me che sono anche esperto di sicurezza alimentare riuscire a distinguere chiaramente la carne di un kebab è magia. Consigliato. Foto dal mio instagram"
"ui_bubble_rating bubble_40","Buona pita","In questo piccolo localino, punto di incontro di studenti delle università vicine, tipico mordi e fuggi si può gustare una buonissima pita kebab, genuina e non molto pesante a soli 3,50€ (a questo prezzo la pita completa con: kebab pollo, ketchup, mayonese, tsatsiki, patatine friite, cipolle, pomodorini). Unica pecca è che il sapore è un po' troppo dolciastro, forse per l'unione di tsarsiki, cipolle e mayonese. Personale gentile"
"ui_bubble_rating bubble_50","Ottimo","Panini squisiti! Molto veloci nel servire il cliente. Locale piccolo ma carino. Personale gentile e disponibile"
"ui_bubble_rating bubble_50","Best Kebab Ever","Sono stato ieri allo stand al GoBeer Expo,un kebab migliore di questo non l'ho mai assaggiato,tutto di prima qualità,veramente buonissimo,vi verrò a trovare di sicuro anche nel vostro locale,complimenti.P.S. Non mi è mai capitato di mangiare una pita col kebab ed avere ancora fame. :)"
"ui_bubble_rating bubble_50","Buonissimo","Meraviglioso panino. Servizio efficiente ed efficace, prezzi contenuti. Ne vale la pena per chi si trova a passare nella zona"
"ui_bubble_rating bubble_50","Il re del kebab!!!","Da oltre dieci anni svetta incontrastato come migliore kebab di Napoli, sia per la qualità della carne che per gli ottimi contorni e accostamenti gustosissimi..Se vuoi un kebab solo dal Talebano!!"
"ui_bubble_rating bubble_50","Buonissimo e consigliatissimo!","Non sono un amante del kebab, ma questo posto si supera! È buonissimo, mi è piaciuto davvero molto ed anche alla mia ragazza! Consigliatissimo, anche per il prezzo, economico visto che si trova in zona universitaria "
"ui_bubble_rating bubble_50","Ottimo kebab","Avevamo già assaggiato le prelibatezze di questo piccolo locale. Ieri è toccato al proverbiale kebab:forse il migliore assaggiato. Ottimo rapporto qualità - prezzo"
"ui_bubble_rating bubble_40","Ottima qualità","Ho preso spesso per pranzo il panino completo, ingredienti ottimi e prezzo nella media. Con un piccolo sovrapprezzo è possibile poi personalizzare il panino e aggiungere un contorno e/o sostituirne un altro . Apprezzerei se il panino fosse piastrato per un po' più di tempo perché un paio di volte è capitato che all'interno fosse freddo, ma nonostante ciò era comunque ottimo."
"ui_bubble_rating bubble_50","<U+2606><U+2606><U+2606><U+2606><U+2606>","Se vuoi gustare il vero sapore del kebab è il posto giusto...davvero un ottimo panino, un saluto al simpaticissimo emanuele che sa davvero come trattare i clienti..ci ritorneremo <U+2606><U+2606><U+2606><U+2606><U+2606>"
"ui_bubble_rating bubble_40","gentilezza e disponibilità per un pranzo veloce","Il posto è strategico, vicino l'università, via marina e la fermata della metro. Per un pranzo rapido è l'ideale. Buono il kebab, si poteva scegliere tra pita e panino, io ho preso il panino. Personale molto gentile con cui scambiare anche due amabili chiacchiere. "
"ui_bubble_rating bubble_50","Il re del kebab","Ubicato quasi di fronte all'Università '0 Talebano è un minuscolo take away che, oltre ai tradizionali fritti napoletani, prepara un kebab strepitoso, con ingredienti di prim'ordine,forse il migliore della città. A differenza di altri locali della specie è gestito da italiani.Grande cortesia. Prezzi imbattibili. Da raccomandare senza riserve."
"ui_bubble_rating bubble_50","Buonissimo ed economico","Ci sono stata ieri, dinuovo. Cuoppo di patate con la buccia molto buono, soprattutto però quando le patate le fanno sottili e croccanti.Kebab molto buono e ricco. Prezzi giusti. Inoltre la signora che si occupa delle ordinazioni è molto cortese."
"ui_bubble_rating bubble_30","Senza infamia e senza lode ","Mi sono recata in questo locale per le recensioni ottime e per il seguito che hanno sulla loro pagina. I prezzi sono giusti e questo è un punto a favore ma sinceramente il panino o la pita è nella media. Non può considerarsi il migliore Ho mangiato kebab migliori . Troppo sponsorizzato a mio avviso. "
"ui_bubble_rating bubble_50","Ottimo","Ideale per uno spuntino veloce. Prendo sempre la pita completa da 3.50€ farcita con kebab rigorosamente di pollo, patatine, cipolle (a scelta tra semplici o caramellate), pomodori, insalata, tzatziki, maionese e ketchup. Una vera bontà! Ottimo il servizio, il prezzo e la qualità. Consigliato."
"ui_bubble_rating bubble_40","Ottimo","Offre alternative alla solita pizza che puoi mangiare a Napoli. Grande scelta sui panini, molto buono e i tempi d'attesa sono veloci"
"ui_bubble_rating bubble_20","Senza infamia senza lode","Partendo dal fatto che ho pagato un kebab pita 4.50€, mentre vedo che in molti scrivete che il costo è di 3.50€, voglio fare una critica costruttiva. Il sapore era buono ma la consistenza degli ingredienti nn era per nulla soddisfacente. Le patate erano riscaldate e la pita era floscia mentre credo che dovrebbe essere bella consistente... forse perché sarà stata fatta riscaldare poco tempo sulla piastra. Come ho detto nn discuto la qualità delle materie prime ma dovrebbero essere cucinate meglio. Sono rimasto un po' deluso perché era da tanto tempo che volevo venire a provare a detta di molti quest'ottimo prodotto ma purtroppo le aspettative sn state disattese. Forse una serata storta... eppure eravamo solo in 3 in fila. "
"ui_bubble_rating bubble_50","Ottima Pita","Per uno spuntino al volo è un ottima soluzione, diversa dalla pizza a portafoglio o da un panino..una pita completa con kebab patatine tzatziki maio ketchup insalata pomodoro con o senza cipolle al costo di 3,5 euro e acqua 0,70 cent. Situato nei pressi della zona universitaria all angolo con il corso Umberto. COnsigliato!!!"
"ui_bubble_rating bubble_50","Il top ! ","Top è la parola giusta per descrivere tutto. La pita,il kebab esclusivamente di pollo,tutti gli ingredienti che lo accompagnano (dalle patatine alla verdurine,alle salse),il prezzo e per finire, perché è un punto aggiunto, i proprietari! "
"ui_bubble_rating bubble_50","Tutto ottimo","Mangiamo spesso da Genny, che non ci delude mai. Ottimo servizio, qualità eccellente a prezzi contenuti. La perfezione è cosa rara ma esiste. Consigliatissimo."
"ui_bubble_rating bubble_30","Ideale per un panino veloce, a prezzi contenuti","Piccolo locale nei pressi dell'Università. Ottimi panini, a prezzi contenuti e con ingredienti di qualità."
"ui_bubble_rating bubble_50","Il miglior Kebab che abbia mai mangiato. ","Il locale è piccolo, ideale per il take away, non ho provato altri panini ma il kebab è ottimo. Lo consiglio. "
"ui_bubble_rating bubble_50","Il miglior kebab di Napoli","Il prodotto non è comparabile con nessun altro offerto da altri locali. La carne è esclusivamente di pollo e, a differenza di altri kebab provati altrove, riesce a saziare senza però appesantire. Particolarmente apprezzata la pita artigianale, molto soffice, ed ottime anche le salse di accompagnamento. Il costo è decisamente basso (3,50€) ed è ideale per il pranzo degli studenti universitari della zona. Consigliatissimo anche ai non amanti del kebab!"
"ui_bubble_rating bubble_50","sempre il top","andavo qui quando erano nella vecchia sede, e ora ogni volta mi trovo in zona mi fermo a mangiare da loro,panini buonissimi, kebab speciale, gentilezza e qualità, veramente soddisfatto, rapporto qualità prezzo imbattibile, da andare ogni qual volta ci si trovi in zona!!"
"ui_bubble_rating bubble_50","Pita con kebab davanti all'Università e non ti pentirai!","O' Talebano si trova proprio davanti alla facciata principale dell'università Federico II e, quindi, è uno dei luoghi preferiti dagli studenti per uno spuntino veloce tra una lezione e l'altra. Ma non perdetevi nemmeno voi una bella pita con kebab e patate. Il prezzo è di solo 3,50 €, bottiglietta d'acqua 70 centesimi, e siete pronti per passeggiare nel centro storico mangiando. La cassiera è veramente cortesissima, ma del resto si sa ... siamo a Napoli."
"ui_bubble_rating bubble_50","Buono e bello!!","Ci sono poche parole... Il miglior kebab che io abbia mai mangiato!! Spettacolare !! Per gusto personale l'ho preso senza piccante e ketchup. Il prezzo è ottimo: 3,50€. "
"ui_bubble_rating bubble_40","salvezza","Cercavamo come disperate qualcosa da mangiare dopo ore in giro, e ci siamo ritrovate qui. Abbiamo ordinato un kebab completo a testa che, nonostante non sia tra i miei cibi preferiti, ho apprezzato. Ottima la pita e anche gli ingredienti. Personale gentilissimo e prezzi bassissimi.4 su 5 solo perchè, considerata la mia fame, avrei preferito fosse un po' più grande :)"
"ui_bubble_rating bubble_40","Ottimo per pranzi veloci!","Il posto migliore dove andare quando stai studiando a porta di massa!!! Personale amichevole ed educato. Ottimi panini a prezzi bassi. E se proprio sei pieno di studio, la consegna è velocissima! "
"ui_bubble_rating bubble_50","Un Kebab da leccarsi i baffi!","Sono andato oggi a prendermi un kebab,poiché volevo provare qualcosa di diverso dai soliti kebab indiani (senza togliergli nulla,ovviamente). Kebab veramente ottimo,da leccarsi i baffi e che sà come stuzzicare il palato ad ogni morso."
"ui_bubble_rating bubble_50","Molto carino!","Ottimo fast-food e comodissimo per universitari come me, vista la vicinanza alla sede della Federico II. Panini e rosticceria buonissimi, cotti alla piastra. Personale cordiale, simpatico, gentile e sorridente con chiunque. "
"ui_bubble_rating bubble_50","Scegli il TOP!","Personale cordiale e attento a qualunque esigenza del consumatore,carne di ottima qualità,di certificata provenienza!"
"ui_bubble_rating bubble_50","Ottimo kebab","Il kebab e' davvero buono e il personale cordiale. Ottima soluzione per un pranzo veloce zona università. Lo consiglio "
"ui_bubble_rating bubble_20","Prezzi bassi come la qualitá","Mangio spesso in zona universitaria, e ho provato anche queato fast food.I prezzi corrispondono alla qualitá, con meno di 5 euro, mangi un panino e compri una bibita. Spesso i panini non sono fatti al momento, ma vengono riscaldati, consiglio di prendere panini che non sono giá presenti in vetrina.Consigliato per un pranzo veloce e senza pretese, non di più."
"ui_bubble_rating bubble_30","BUON RAPPORTO QUALITA'-PREZZO","Ci vado spesso in pausa pranzo perchè fanno delle pite davvero buone, in tempi rapidi e ad un ottimo prezzo. La signora che è alla cassa,poi, è sempre molto gentile!"
"ui_bubble_rating bubble_40","Very good!","Buono buono buono! Ottimo rapporto qualità prezzo cn 3.50€ un kebab completo soddisfa la fame,molto gustoso e per niente pesante! Pita molto morbida! Peccato sia aperto solo 9.30-18.30 e dal lun al ven! Si potrebbe andare più spesso! Very good! ^_^"
"ui_bubble_rating bubble_50","Ottimo","Ottimo per un pranzo veloce e gustoso, prezzi onesti e servizio veloce, non c'è mai tanto da attendere"
"ui_bubble_rating bubble_30","Rapporto qualità-prezzo. ","Il panino costa molto poco ed è buono per chi volesse pranzare velocemente. È molto fornito, nel panino si può aggiungere davvero di tutto! :)"
"ui_bubble_rating bubble_40","ottimi panini e pita","Panini di tutti i tipi e Kebab sia in panino che Pita molto delizioso. Per un velocissimo pasto a prezzi buoni"
