"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottimo risotorante","Pochi coperti, ambiente informale e rilassato, molto attento al servizio, frequentato da autoctoni (buon segno). Menu selezionato, menzione speciale per il risotto alla pescatora, carta dei dolci esigua, nel complesso consigliato."
"ui_bubble_rating bubble_50","Ottimo!","Ci sono stato con tutta la famiglia. Locale accogliente e staff gentile, servizio veloce, cibo ottimo e prezzo più che onesto! "
"ui_bubble_rating bubble_50","un angolo di tranquillità","Questa osteria è l'ideale per uscire dalla confusione che spesso caratterizza i ristoranti napoletani; l'atmosfera è gradevolmente serena, da questo punto di vista apprezzo sempre la mancanza di schermi televisivi.Ho mangiato bene, ed era la mia seconda volta quindi si è trattato di una conferma.Le proposte culinarie innovano con discrezione i piatti tradizionali.Tornerò con piacere."
"ui_bubble_rating bubble_40","Locale piccolo ma molto buono il cibo","Sono venuto a Napoli per motivi di lavoro e dell'hotel in cui alloggio mi hanno consigliato questo ristorante. In realtà il nome Osteria faceva pensare ad un locale molto dimesso ma in realtà, pur essendo piccolo lo spazio (circa 35 - 40 coperti) in realtà la cucina è molto buona e la presentazione dei piatti è di ottimo livello.Ho cenato con dei paccheri in salsa di gamberi (molto buoni anche se un po' al dente) e per secondo ho preso dei calamari arrosto con salsa di piselli (cucinati veramente bene e presentati in maniera eccellente).Il costo medio dei primi è sui 10 euro mentre i secondi di pesce oscillano tra i 12 ed i 18 euro.Si può prendere il vino a calici (5 euro) per cui mediamente si spende intorno ai 30 euro a persona esclusi dolci.Ottimo livello e rapidità del servizio.Da riprovare...."
"ui_bubble_rating bubble_50","Pace e tradizione","È un vero e proprio angolino di pace nel centro di Napoli. Potrete gustare un pasto tipico senza dover rinunciare alla serenità o al volervi rilassare dopo magari aver camminato tanto. Prezzi contenuti "
"ui_bubble_rating bubble_10","Assolutamente sconsigliato ","Cena di lavoro per 16 persone. Antipasto freddo,2 primi piatti uno di risotto alla pescatora che é stato cotto con formaggio e l altro di paccheri completamente crudi (non piatti interi ma assaggini). Per dolce dei budini spacciati per panna cotta dal gusto prribilante. Totale 33,50 a persona. Assolutamente da non ripetere."
"ui_bubble_rating bubble_30","Un discreto ristorante di pesce...un tantino....","Al centro di Napoli con qualche tavolo in uno slargo tra palazzi, ambiente interno abbastanza anonimo e triste con poca luce. Si mangia bene con una cucina molto tradizionale buone materie prime, mano felice del cuoco ma niente di più. Una discreta lista di vini che non colpisce ne per varietà ne per numeroInsomma una buona alternativa a casa per chi vuole mangiare benino. Costi un tantino elevati .... appunto... è un posto un tantino....ma niente di più "
"ui_bubble_rating bubble_30","Centrale e tranquillo","Locale centrale non molto grande con posti anche all’esterno . Servizio , a pranzo ,veloce.Menù tradizionale e vario , con cibo di buona qualità.Prezzi ,almeno a pranzo,contenuti ."
"ui_bubble_rating bubble_40","Semplice con gusto","Il ristorantino si trova al centro di Napoli, ha anche uno spazio esterno. All’interno, tutte quelle citazioni incollate alla buona sulle pareti toglievano un po’ di stile al locale. Sfido qualcuno ad averle lette, perché troppo lunghe. Comunque, quello che importa è che la cucina è di buon livello, il pesce fresco e ben cucinato. Consiglio gli spaghetti al nero di seppia, davvero buoni. Prezzi forse un tantino alti"
"ui_bubble_rating bubble_50","Un tuffo nella freschezza","Un locale molto gradevole, in un vicolo trannquillo e silenzioso a un passo dalla trafficata via Medina. Un menù con tanto pesce, dagli antipasti ai primi, ai secondi, tutto freschissimo e cucinato con arte e modernità. Abbiamo provato diversi antipasti, tartare di tonno, polpo alla griglia, sardine fritte, polpettine e carpaccio di spada, seguiti da meravigliosi spaghetti al nero di seppia, che hanno aperto la via a un sontuoso barracuda con caponatina e salicornia. La cena è degnamente terminata con un tradizionale babà e con torta alla ricotta e pistacchi. E un tale pasto non poteva non essere accompagnato da un vino ipg consigliato dal gestore, bianco e fresco, all'altezza delle pietanze. Tutto il personale è cortese e premuroso e il rapporto qualità prezzo è ottimo"
"ui_bubble_rating bubble_40","Elegante ristorante di pesce","In visita a Napoli con la famiglia a inizio agosto, una sera abbiamo cenato all'Angolino, gustando primi e secondo di pesce di assai buona qualità, con l'accompagnamento di ottimo Falangnina . Ambiente elegante, in cui si fa apprezzare la scelta di decorare le pareti con citazioni di autori antichi relative alla geografia gastronomicacampana, servizio inappuntabile. Prezzo adeguato. Sicuramente consigliabile."
"ui_bubble_rating bubble_50","Un ritorno alle origini con una bella scoperta ","Consiglio questo posticino per la genuinità e la stagionalità (che si traduce in freschezza) dei piatti: uno spaghetto con il pomodorino fresco d'o piennolo è da intenditori: semplicità e sapore a km zero. Ottimo anche il filetto di pesce scottato con verdure. Delizioso il babà. Servizio simpatico ed accogliente. Da ritornarci! "
"ui_bubble_rating bubble_50","Cena all’Angolino","Qualità del cibo eccellente, servizio cortese ed efficiente. Pesce freschissimo, primi piatti da non perdere linguine al granchio fellone e pacchetti al pomodoro e basilico. Cantina ok vini campani, piemontesi e sicilianiQualità Prezzo ottimo."
"ui_bubble_rating bubble_40","Stampo siculo a pranzo","Provato oggi per caso a pranzo con colleghi di zona. Scoperta piacevole per le proposte e la qualità culinaria. Ho mangiato un’ottima pasta con spada e finocchietto selvatico, di chiara ispirazione siciliana. Dieci euro, acqua inclusa."
"ui_bubble_rating bubble_30","L'angolino che si salva .......... in calcio d'angolo","Siamo stati a Cena in quattro, conoscevo la zona ma non questo ristorante che si trova in una zona riservata ai pedoni.L'ambiente è piccolo (massimo 10 tavoli per meno di 30 posti a sedere) anche se dispone di alcuni tavoli all'aperto. La cucina ed i servizi sono nell'interrato ed il locale è comunque climatizzato. Luci soffuse, gentilezza del giovane personale, diversi turisti.Menù un po' povero così come la carta dei vini, ricette non banali ma sul pesce ho qualcosa da ridire. Abbiamo chiesto notizia della cerina definita sul menù locale, ma visto che nel golfo di napoli scarseggiano, dopo aver chiesto ci è stato risposto: Del Tirreno.Non avendo mangiato personalmente i paccheri di Gragnano (abbiamo chiesto di quale pastificio ma non si è mai saputo) alla cernia, risultati essere comunque buoni, ho da ridire sulle mie linguine alla Luciana dove i polipetti non erano assolutamente freschi ma comunque il piatto era discreto.Gli altri due primi (tagliolini zucchine e forse baccalà non ricordo bene) sono molto piaciuti così come il baccalà servito polenta grigliata, mentre l'entrecott era senza infamia e senza lodeSul dolce si sono rifatti; la mia scomposta alle fragole era davvero buonaTutto sommato si sono salvati in calcio d'angolinoFrancesco M."
"ui_bubble_rating bubble_30","Cibo discreto porzioni risibili","Il cibo è discreto, a pranzo menu ridotto, ma porzioni incredibilmente piccole che stridono con il fatto che rimane una osteria e nulla di più Personale appena sufficiente per il servizio e non molto accogliente. Insomma primi piatti da 40 grammi appaiono davvero ridicoli.il prezzo in media con gli altri esercizi ma cari considerando l'esiguitá delle porzioni."
